boro,discharges,register_01,year,attendance_01,district,holyday_counter
K,103.0,855,2015-2016,825,17,4
K,67.0,552,2015-2016,507,18,4
X,40.0,514,2015-2016,414,10,4
K,43.0,413,2015-2016,359,17,4
M,45.0,554,2015-2016,529,5,4
K,36.0,311,2015-2016,275,16,4
X,49.0,594,2015-2016,537,9,4
K,12.0,172,2015-2016,157,16,4
M,,109,2015-2016,99,1,4
K,,58,2015-2016,56,17,4
K,38.0,509,2015-2016,473,18,4
K,23.0,225,2015-2016,210,18,4
M,27.0,188,2015-2016,172,2,4
X,132.0,1268,2015-2016,1199,11,4
X,25.0,395,2015-2016,338,11,4
M,26.0,237,2015-2016,206,4,4
