q1_1,q9_1,q15_c6_r4,q14_c2_r2,q8_r3_c1,q17_c4_r4,q2_1,q22_r2_c2,q14_c9_r4,q16_c5_r3,q15_c11_r4,q9_10,q20_r2_c2,q20_r7_c3,q8_r4_c1,q6_1,q17_c1_r2,q21_r4_c3,q21_r6_c2,q7_4,q3_1,q17_c10_r1,q20_r6_c2,q7_3,q15_c6_r3,q13_c1_r2,q14_c7_r2,q15_c2_r4,q9_15,q13_c6_r3,q13_c7_r4,q9_14,q16_c10_r4,q9_9,q14_c6_r3,q16_c7_r3,q13_c3_r1,q21_r7_c2,q14_c8_r2,q14_c10_r4,q9_3,q17_c5_r2,q16_c1_r2,q21_r6_c1,q7_2,q13_c5_r1,q13_c4_r4,q16_c1_r1,q17_c7_r2,q21_r5_c1,q6_3,q13_c6_r4,q21_r1_c2,q16_c12_r4,q22_r2_c3,q16_c9_r2,q13_c5_r2,q17_c12_r2,q15_c9_r2,q8_r3_c2,q11_r1_c3,q15_c9_r3,q14_c3_r2,q16_c9_r4,q11_r1_c1,q16_c4_r1,q21_r6_c4,q15_c9_r4,q14_c2_r1,q15_c2_r2,q21_r1_c1,q13_c9_r3,q20_r5_c2,q14_c6_r4,q12_c1_r3,q16_c7_r4,q17_c8_r2,q16_c9_r3,q13_c2_r1,q9_20,q17_c11_r4,q13_c4_r1,q15_c5_r4,q17_c9_r4,q4_2,q20_r1_c4,q15_c8_r1,q10_r5_c1,q16_c2_r3,q9_16,q14_c5_r3,q16_c3_r3,q14_c6_r2,q13_c2_r3,q15_c3_r3,q14_c3_r4,q7_1,q13_c7_r2,q17_c9_r3,q8_r5_c2,q20_r5_c1,q11_r3_c3,q20_r3_c4,q16_c7_r1,q17_c5_r3,q16_c15_r3,q21_r6_c3,q16_c7_r2,q13_c8_r4,q16_c13_r4
Pat,1,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,1,,,0,,0,,,8.0,0,,,0,,8.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,,,1,,0,,0.0,8.0,0,,0,,0,,,,8.0,1,,,,,1,0,,0,0.0,0,,,,0.0,0.0,,,,,0.0,0,0,0,,,,0,,,
William,0,,2.0,1.0,,0,0,,,,1,0,0,0.0,0.0,2.0,0,0,,0,,0,,,2.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,3.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,2.0,,0,,0,,0.0,2.0,0,,0,,0,,,,0.0,0,,,,,0,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Suleikis,0,0.0,0.0,0.0,0.0,0,0,,0.0,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,0.0,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,0.0,0.0,0.0,,0,0.0,,0,,0,,0.0,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
John,0,,,0.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Juan,1,,,1.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Craig,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Michelle,1,,,1.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,1,,,,,,,,,,0.0,0,0,0,,,,0,,,
Kerry,0,,,1.0,,0,0,,,,0,0,0,3.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Andrea,0,,,1.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Jessica,1,,,1.0,,0,0,,,,0,0,0,0.0,0.0,,0,0,1.0,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Amy,1,,0.0,1.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,0.0,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,,0,,12.0,12.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Rubi,0,,0.0,0.0,0.0,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,13.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,,0.0,6.0,,0,0.0,,0,,0,,,,,1.0,0,,0.0,,0,6.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,13.0,,1,0,,0,6.0,0,0.0,6.0,,0.0,0.0,0.0,,,,1.0,0,0,0,,,,0,,,
Vonte,1,,,1.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Rebecca,0,,,0.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,3.0,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Kelly,0,,,2.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Lisa,0,5.0,0.0,1.0,0.0,0,0,,14.0,,1,0,0,1.0,0.0,15.0,0,0,,0,,0,,0.0,0.0,,5.0,0,,,0,,0,,,10.0,0,,,0,15.0,0.0,0,,10.0,0.0,0.0,,0,0.0,,0,,0,,0.0,,,,0,,0.0,,0,0.0,0,,10.0,0.0,0,,0,,0,,,,10.0,0,,10.0,5.0,,1,0,,0,14.0,0,0.0,14.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,10.0,,0,,,
David,0,,,0.0,,0,0,,,,0,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Lisa,0,,0.0,0.0,,0,0,,,,0,0,0,1.0,0.0,70.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,70.0,0,,,,70.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,,0,,0.0,70.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Mariana,1,,0.0,0.0,,0,0,,,,1,0,0,0.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,1,,,0,,0,,,0.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,18.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,1,,,,,1,0,,0,0.0,0,,0.0,,0.0,44.0,0.0,,,,18.0,0,0,0,,,,0,,,
Freddie,0,0.0,5.0,,0.0,0,0,,10.0,,0,0,0,1.0,0.0,0.0,0,0,1.0,1,,0,,5.0,5.0,5.0,0.0,0,5.0,0.0,0,,0,5.0,,0.0,0,,,0,0.0,5.0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0,,0,,5.0,,,22.0,0,,5.0,,0,0.0,0,,0.0,15.0,0,,0,0.0,35,,,,0.0,0,,0.0,0.0,,0,0,,0,10.0,1,5.0,10.0,5.0,5.0,5.0,0.0,,5.0,,,0,0,0,,0.0,,0,,,
Annamaria,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,1,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Laurie,0,,0.0,0.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,0.0,,0.0,0,,,0,0.0,6.0,0,1.0,,0.0,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,0.0,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,1,0,,0.0,,0,,,
Kimberly,0,,,,,0,0,,,,1,0,0,,0.0,,0,0,,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Themis,0,,,1.0,,0,0,,,,1,0,0,3.0,0.0,,0,0,,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,1,,,,,,,,,,0.0,0,0,0,,,,0,,,
Maria,0,,80.0,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,40.0,,0.0,0,,,0,,0,,,,0,,,0,,80.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,0.0,40.0,0,,0,,0,,,,12.0,0,,,,,1,0,,0,0.0,0,,,,0.0,,,,,,0.0,0,0,0,,,,0,,,
Michelle,1,,25.0,0.0,,0,0,,,,0,0,0,1.0,0.0,30.0,0,0,,0,,0,,,25.0,,30.0,0,,,0,,0,,,,0,,,0,,30.0,0,1.0,,,0.0,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,0.0,25.0,0,,0,,0,,,,0.0,0,,,,,0,0,,0,0.0,0,,,,0.0,,,,,,0.0,0,0,0,,,,0,,,
Kendra,0,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,15.0,0,0,,0,,0,,,0.0,,1.0,0,,,0,,0,,,,0,,,0,,15.0,0,,,,0.0,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,0.0,15.0,0,,0,,0,,,,0.0,1,,,,,0,0,,0,0.0,0,,,,0.0,,,,,,1.0,0,0,0,,,,0,,,
Meliss,0,,,1.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,1.0,1,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,1,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Charles,0,,,1.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,5.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,1,,,,,,,,,,0.0,0,0,0,,,,0,,,
Maria,1,,12.0,1.0,3.0,0,0,,2.0,,1,0,0,1.0,0.0,6.0,0,0,,0,,0,,,3.0,,5.0,1,,,1,,0,,,2.0,0,,,0,6.0,20.0,0,,,,4.0,,0,0.0,,0,,0,,,,,25.0,0,,12.0,,0,4.0,0,,7.0,6.0,0,,0,,3,,,,2.0,0,,,,,1,0,,0,2.0,1,4.0,2.0,,2.0,3.0,12.0,,,,25.0,0,1,0,,3.0,,0,,,
Colin,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,0.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,2.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Luis,1,,,0.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Frances,0,,,1.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,2.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,2.0,0,0,0,,,,0,,,
,0,,120.0,0.0,10.0,1,0,,,,1,0,0,1.0,0.0,100.0,0,0,,0,,0,,,120.0,,20.0,0,,,0,,0,,,0.0,0,,,0,,120.0,0,1.0,0.0,50.0,0.0,,0,0.0,,0,,0,,120.0,,,0.0,0,,120.0,,0,0.0,0,,0.0,120.0,0,,0,,0,,,,0.0,0,,0.0,,,0,0,,0,50.0,1,50.0,50.0,,20.0,50.0,20.0,,,,0.0,0,0,0,,,,0,,,
Mary,0,0.0,0.0,0.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,17.0,0,0,,0,,0,,0.0,0.0,,0.0,0,,,0,,0,0.0,,0.0,0,,,0,17.0,17.0,0,,0.0,0.0,0.0,,0,0.0,,0,,0,,0.0,,,2.0,0,,0.0,,0,0.0,0,,0.0,17.0,0,,0,0.0,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0,0,,0.0,,0,,,
Anna,0,,0.0,1.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,1.0,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,1,,0,,0.0,0.0,0,,0,,8,,,,0.0,0,,,,,0,0,,0,12.0,0,,12.0,,8.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Laura,0,,,1.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Camille,1,,64.0,1.0,,0,0,,,,1,0,0,1.0,0.0,64.0,0,0,1.0,0,,0,1.0,,64.0,,32.0,1,,,1,,0,,,,0,,,0,,96.0,0,1.0,,,32.0,,0,1.0,,0,,0,,,,,12.0,0,,,,0,,0,,32.0,96.0,0,,0,,64,,,,32.0,0,,,,,1,0,,0,64.0,0,,,,64.0,,,,,,1.0,0,0,0,,,,0,,,
Naomi,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,0.0,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Ryan,0,,0.0,,0.0,0,0,,0.0,,1,0,0,2.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,0.0,,1,,0,0.0,,0.0,0,,,0,0.0,0.0,0,,0.0,0.0,0.0,,0,0.0,0.0,0,,0,,0.0,,,1.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,0.0,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,0.0,,0,,,
Angela,0,,0.0,0.0,0.0,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,1,,,0,,0,,,0.0,0,,,0,0.0,0.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,,,0,0,,0,0.0,1,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,0.0,,0,,,
Corinne,0,0.0,0.0,1.0,0.0,0,0,4.0,0.0,0.0,1,0,0,1.0,0.0,0.0,0,0,,0,0.0,0,,0.0,0.0,0.0,0.0,1,0.0,4.0,0,0.0,0,11.0,0.0,0.0,0,0.0,4.0,0,0.0,0.0,0,,0.0,4.0,20.0,0.0,0,0.0,4.0,0,,0,0.0,0.0,,0.0,25.0,1,0.0,0.0,0.0,1,20.0,0,0.0,0.0,0.0,0,0.0,0,4.0,15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,1,11.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,3.0,0,1,0,20.0,0.0,,0,0.0,4.0,
,0,,,0.0,,1,0,,,,1,0,0,0.0,0.0,0.0,0,0,,0,,0,,,0.0,,44.0,0,,,0,,0,,,,0,,,0,,0.0,0,,,,6.0,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,0.0,0,,0,,18,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Michelle,0,,,0.0,,0,0,,,,0,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
David,0,,,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Valerie,1,,2.0,0.0,2.0,0,0,,,,1,0,0,1.0,0.0,2.0,0,0,,0,,0,,,2.0,,2.0,0,,,0,,0,,,2.0,0,,,0,,2.0,0,,,,2.0,,0,0.0,,0,,0,,,,,25.0,1,,2.0,,1,2.0,0,,2.0,2.0,0,,0,,0,,,,2.0,1,,,,,0,0,,0,0.0,1,,0.0,,0.0,0.0,2.0,,,,25.0,0,0,0,,,,0,,,
Teresa,0,,30.0,0.0,10.0,0,0,,,,1,0,0,1.0,0.0,10.0,0,0,,0,,0,,,30.0,,30.0,0,,,0,,0,,,30.0,0,,,0,,10.0,0,1.0,,30.0,10.0,,0,0.0,,0,,0,,,,,1.0,0,,30.0,,0,10.0,0,,30.0,30.0,0,,0,,30,,,,30.0,0,,30.0,30.0,,1,0,,0,10.0,1,,10.0,,30.0,30.0,30.0,,,,0.0,0,1,0,,,,0,,,
Samona,0,,,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Fatima,0,,,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
CHRISTOPHER,0,,0.0,0.0,0.0,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,0.0,1,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,0.0,,0.0,0.0,,0,0.0,,0,,0,,,,,,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,,0,0,0,,,,0,,,
Alana,0,,0.0,0.0,,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,16.0,1,,,1,,0,,,2.0,0,,,0,,0.0,0,,,16.0,0.0,,0,0.0,,0,,0,,,,,5.0,0,,0.0,,1,0.0,0,,2.0,0.0,0,,0,,0,,,,2.0,1,,2.0,,,1,0,,0,0.0,1,0.0,0.0,,0.0,0.0,55.0,,,,1.0,0,0,0,,,,0,,,
Paul,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Emily,0,,0.0,0.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,0.0,,0,,0,0.0,,0.0,0,,,0,0.0,0.0,0,,0.0,1.0,0.0,,0,0.0,0.0,0,,0,,0.0,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,0.0,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0,0,,0.0,,0,,,
Shonelle,0,,0.0,0.0,,0,0,,,,1,0,0,0.0,0.0,0.0,0,0,,1,,0,,,0.0,,,0,,,0,,0,,,,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,0.0,,0,,0,,0,,,,,0,,,,,1,0,,0,0.0,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Dalilah,0,,1.0,0.0,1.0,0,0,,0.0,,1,0,0,1.0,0.0,1.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,0.0,1.0,0.0,,0,0.0,,0,,0,,0.0,,,0.0,0,,1.0,,0,0.0,0,,0.0,1.0,0,,0,,0,,,,0.0,1,,0.0,,,0,0,,0,0.0,0,,0.0,,0.0,0.0,1.0,,,,0.0,0,0,0,,,,0,,,
Lee,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
,0,,,1.0,,1,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,,0,,,0,,0,,,,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,7.0,0,,,,0,,0,,,,0,,0,,0,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Abigael,0,,40.0,0.0,,0,0,,,,0,0,0,1.0,0.0,80.0,0,0,,0,,0,,,40.0,,40.0,0,,,0,,0,,,0.0,0,,,0,,80.0,0,,,80.0,0.0,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,0.0,80.0,0,,0,,0,,,,0.0,0,,0.0,,,0,0,,0,0.0,0,,0.0,,9.0,,,,,,0.0,0,0,0,,,,0,,,
Stephen,1,,,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,,0,,0,,,,,,1,,,1,,0,,,,0,,,1,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,1,,,,,,,,,,2.0,0,0,0,,,,0,,,
Sherry,1,,2.0,,12.0,0,0,,,,1,0,0,,0.0,2.0,0,0,,0,,0,,,0.0,,14.0,0,,,0,,0,0.0,,1.0,0,,,0,2.0,2.0,0,,0.0,3.0,0.0,,0,0.0,,0,,0,,0.0,,,25.0,0,,2.0,,0,0.0,0,,20.0,0.0,0,,0,2.0,0,,,,0.0,1,,0.0,14.0,,0,0,,0,17.0,1,0.0,17.0,0.0,0.0,0.0,2.0,,,,24.0,0,0,0,,0.0,,0,,,
Adriana,0,,100.0,1.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,100.0,,100.0,0,,,0,,0,,,100.0,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,100.0,,0,,0,,100.0,100.0,0,,0,,100,,,,100.0,0,,,,,1,0,,0,,0,,,,100.0,100.0,100.0,,,,,0,0,0,,,,0,,,
Wendy,0,,0.0,,0.0,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,,1,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,0.0,0.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,1.0,0,,0.0,,1,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,0.0,,0,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,,0,0,0,,0.0,,0,,,
Loydie,0,,0.0,0.0,15.0,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,15.0,0,,,0,,0,,,10.0,0,,,0,0.0,0.0,0,,,10.0,0.0,,0,0.0,,0,,0,,,,,1.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,2,,,,10.0,0,,10.0,,,1,0,,0,0.0,0,,0.0,,10.0,0.0,10.0,,,,1.0,0,0,0,,0.0,,0,,,
Christine,1,,30.0,0.0,,0,0,,,,1,0,0,0.0,0.0,5.0,0,0,,0,,0,,,25.0,,30.0,1,,,1,,0,,,30.0,0,,,0,,10.0,0,,,,10.0,,0,0.0,,0,,0,,,,,1.0,1,,,,0,,0,,30.0,30.0,0,,0,,25,,,,30.0,0,,,,,1,0,,0,5.0,1,,5.0,,30.0,,,,,,20.0,0,1,0,,,,0,,,
Reuben,0,,,0.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,3.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,2.0,0,0,0,,,,0,,,
