avoided_emissions_onsite,data_center_ups_output_meter,multifamily_housing_number_4,financial_office_number_of_1,energy_power_station_gross,fuel_oil_2_use_kbtu,third_party_certification_1,data_center_it_site_energy,hotel_percent_that_can_be,non_refrigerated_warehouse,convenience_store_with_gas,water_use_all_water_sources,courthouse_gross_floor_area,count_of_buildings,data_quality_checker_run,national_median_energy_star,office_number_of_workers,temporary_values,mailing_center_post_office,senior_care_community_living,supermarket_grocery_number,wholesale_club_supercenter,latitude,data_center_pdu_input_meter,multifamily_housing_number_5,avoided_emissions_offsite,retail_store_open_or_closed,address_2,water_current_date,percent_of_recs_retained,energy_star_certification,retail_store_walk_in,alert_property_has_no_uses,multifamily_housing_number_6,office_computer_density_number,electricity_use_generated,third_party_certification_2,municipally_supplied_potable,hospital_general_medical_10,_3rd_largest_property_use_1,convenience_store_with_gas_1,retail_store_gross_floor,source_energy_use_adjusted,restaurant_weekly_operating,laboratory_gross_floor_area,hotel_room_density_number,office_number_of_computers,repair_services_vehicle_shoe,financial_office_number_of,city,multifamily_housing_gross,estimated_data_flag_1,property_gfa_calculated_2,leed_us_project_id,multifamily_housing_number_1,multifamily_housing_percent_1,_2nd_largest_property_use,propane_use_kbtu,multifamily_housing_number_3,estimated_values_water,green_power_offsite_kwh,weather_normalized_site_energy,third_party_certification,alert_individual_monthly,nyc_building_identification,hospital_general_medical_9,borough,default_values,primary_property_type_self,data_center_ups_system,alert_meter_has_less_than,hospital_general_medical_4,financial_office_gross_floor,property_name-hospital_general_medical_17
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.779346,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5579198.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Worship Facility,Not Available,Not Available,Unable to Check (not enough data),0,2070078.5,Not Available,Ok,1046786;1046799,Not Available,MANHATTAN,No,K-12 School,Not Available,Ok,Not Available,Not Available,St. Ignatius Loyola-Not Available
32.6,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2810.4,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.679079,Not Available,0,0,Not Available,Not Available,06/30/2017,100,Not Available,Not Available,Ok,20,Not Available,186336.1,Not Available,2810.4,Not Available,Not Available,Not Available,Not Available,6290114.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,53221,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.05222,Yes,0,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Herkimer Residence-Not Available
Not Available,Not Available,86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3759.7,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.773025,Not Available,0.66486,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11031569.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,129350,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.15964,No,0,7186161,Not Available,Ok,1049250,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,325 East 79th Street-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,31716542.8,Not Available,Not Available,Not Available,Not Available,Not Available,15346.5,Not Available,,Yes,50,Not Available,No,Not Available,1.584,Not Available,Not Available,40.865365,Not Available,Not Available,0,Not Available,Not Available,02/28/2017,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86857326.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,53776371.2,Not Available,Ok,2051277;2801660;2111063,Not Available,BRONX,Yes,Senior Care Community,Not Available,Ok,Not Available,Not Available,BETHCO - 612 Allerton Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,377,Not Available,,Yes,50,5,No,Not Available,Not Available,Not Available,Not Available,40.755156,Not Available,Not Available,0,Not Available,Exec Offic,02/28/2017,Not Available,Not Available,Not Available,Ok,Not Available,0.29792,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1558086.8,Not Available,Not Available,Not Available,20,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,516939.2,Not Available,Ok,Not Available,Not Available,MANHATTAN,No,Office,Not Available,Ok,Not Available,Not Available,The General Society Building-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3034.1,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.769128,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flushing,Not Available,Not Available,17213,Not Available,Not Available,Not Available,Parking,Not Available,Not Available,No,0,12576633.4,Not Available,Ok,4822421,Not Available,QUEENS,No,Manufacturing/Industrial Plant,Not Available,Ok,Not Available,Not Available,Crystal HQ and Factory-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79106,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.766906,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9208532.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Astoria,2580773,Not Available,28715,Not Available,214,100,Parking,Not Available,0.08951,Yes,0,5315969.2,Not Available,Not Available,Not Available,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,12-15 Broadway-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.606758,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2552714.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Far Rockaway,104463,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40002,Unable to Check (not enough data),0,2361092.6,Not Available,Ok,4452153,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,13-25 Eggert Place-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7637.6,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.768819,Not Available,0,0,Not Available,31-90 140 St,12/31/2016,Not Available,Not Available,Not Available,Ok,136,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10837117.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,176086,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,1.4,No,0,11595954.4,Not Available,Ok,4433336;4433335;4433334,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Linden Towers Co-op-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,5749.7,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.755062,Not Available,Not Available,0,Not Available,Not Available,02/28/2017,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24072350.6,Not Available,Not Available,2.19792,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,10653963.8,Not Available,Ok,1036218,Not Available,MANHATTAN,No,Hotel,Not Available,Ok,Not Available,Not Available,Residence Inn by Marriott-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,1500,No,Not Available,Not Available,Not Available,Not Available,40.842742,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,5.35714,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,237055306.3,Not Available,Not Available,Not Available,3000,Not Available,Not Available,Bronx,Not Available,Not Available,205760,Not Available,Not Available,Not Available,Parking,Not Available,Not Available,Unable to Check (not enough data),0,106197352.7,Not Available,Ok,2117335,Not Available,BRONX,No,Office,Not Available,Ok,Not Available,Not Available,Simone: 1250 Waters Place-Not Available
Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.698415,Not Available,0.00504,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17822496.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,992374,Not Available,13036,Not Available,107,80,Parking,Not Available,0.12596,Unable to Check (not enough data),0,11524485.5,Not Available,Not Available,3418152,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Brooklyn Warehouse 180 LLC-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3745.7,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.819186,Not Available,Not Available,0,0,Not Available,02/28/2017,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,0,12187617.4,Not Available,Not Available,2021926,Not Available,BRONX,Yes,Retail Store,Not Available,Not Available,Not Available,Not Available,Castle Hill Ave-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8575.9,Not Available,,No,50,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,40.803026,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15282496.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,63756,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.40002,No,0,8712645,Not Available,Ok,2003998,Not Available,BRONX,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Willow LLc-Not Available
