descriptor,:@computed_region_sbqj_enih,open_data_channel_type,cross_street_1,status,:@computed_region_92fq_4b7q,created_date-bridge_highway_name
Pothole,29.0,UNKNOWN,WEST  179 STREET,Closed,29.0,2022-04-15T13:21:11.000-nan
MOLD,14.0,ONLINE,,Closed,35.0,2022-04-15T17:55:04.000-nan
Car/Truck Music,26.0,ONLINE,PELHAM LINE,Closed,43.0,2022-04-15T20:02:43.000-nan
ELECTRIC/GAS RANGE,26.0,PHONE,,Closed,31.0,2022-04-15T17:29:44.000-nan
Other,7.0,ONLINE,3 AVENUE,Closed,50.0,2022-04-14T07:03:53.000-nan
POWER OUTAGE,6.0,PHONE,,Closed,10.0,2022-04-14T13:12:17.000-nan
Car/Truck Horn,65.0,ONLINE,76 ROAD,Closed,24.0,2022-04-16T16:10:45.000-nan
Commercial Overnight Parking,62.0,MOBILE,62 ROAD,Closed,34.0,2022-04-15T22:23:39.000-nan
Controller,8.0,UNKNOWN,,Closed,51.0,2022-04-15T01:31:00.000-nan
Posted Parking Sign Violation,69.0,ONLINE,DOUGLAS ROAD,Closed,20.0,2022-04-15T11:52:35.000-nan
Blocked Sidewalk,33.0,MOBILE,GRAND AVENUE,Closed,29.0,2022-04-14T06:12:36.000-nan
Trash or Recycling,71.0,PHONE,137 AVENUE,Closed,46.0,2022-04-14T19:59:48.000-nan
Banging/Pounding,5.0,ONLINE,EAST HOUSTON STREET,Closed,50.0,2022-04-15T02:30:21.000-nan
MAINTENANCE,9.0,ONLINE,,Closed,51.0,2022-04-14T09:37:41.000-nan
ENTIRE BUILDING,57.0,ONLINE,,Closed,38.0,2022-04-14T17:11:51.000-nan
ENTIRE BUILDING,25.0,ONLINE,,Closed,43.0,2022-04-14T10:21:23.000-nan
Loud Music/Party,56.0,ONLINE,SOUTH    1 STREET,Closed,30.0,2022-04-14T12:58:57.000-nan
Illegal Hotel Rooms In Residential Building,11.0,UNKNOWN,,Closed,51.0,2022-04-15T12:43:04.000-nan
Dirty Water (WE),59.0,PHONE,DEAD END,Closed,47.0,2022-04-15T11:03:00.000-nan
Blocked Hydrant,46.0,MOBILE,THOMAS S BOYLAND STREET,Closed,17.0,2022-04-15T02:32:34.000-nan
Blocked Crosswalk,60.0,ONLINE,130 STREET,Closed,46.0,2022-04-15T08:26:37.000-nan
Loud Music/Party,49.0,ONLINE,SCHENECTADY AVENUE,Closed,49.0,2022-04-15T01:48:21.000-nan
Loud Music/Party,56.0,ONLINE,GRAND STREET,Closed,30.0,2022-04-16T00:25:56.000-nan
Pothole,,UNKNOWN,223 STREET,Closed,,2022-04-15T14:24:34.000-nan
Double Parked Blocking Traffic,38.0,ONLINE,EAST   33 STREET,Closed,8.0,2022-04-16T00:45:00.000-nan
Car/Truck Music,21.0,ONLINE,AMSTERDAM AVENUE,Closed,23.0,2022-04-14T21:14:22.000-nan
Leak (Use Comments) (WA2),72.0,PHONE,37 AVE,Closed,33.0,2022-04-15T11:45:00.000-nan
Other (complaint details),72.0,PHONE,43 STREET,Closed,33.0,2022-04-15T07:56:09.000-nan
Excessive Water In Basement (WEFB),71.0,ONLINE,111 AVE,Closed,46.0,2022-04-14T18:19:00.000-nan
Driver Complaint - Passenger,8.0,ONLINE,PARK AVENUE,Closed,51.0,2022-04-14T07:25:03.000-nan
Derelict Vehicles,61.0,PHONE,89 AVENUE,Closed,16.0,2022-04-15T09:52:00.000-nan
Bulky Trash,64.0,PHONE,128 STREET,Closed,46.0,2022-04-15T08:09:15.000-nan
