unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53922774,2022-04-15T22:44:34.000,2022-04-16T14:18:36.000,,170475.0,10 BROOKLYN,,2.0,-74.03690107513255
53918807,2022-04-14T08:32:53.000,2022-05-31T14:33:24.000,5 STREET,182399.0,55 BROOKLYN,,2.0,-73.97457255259384
53918657,2022-04-14T08:49:27.000,2022-04-30T09:08:00.000,,173302.0,12 BROOKLYN,,2.0,-73.97390103726978
53920308,2022-04-15T12:32:00.000,2022-04-15T14:17:19.000,DEAD END,226160.0,07 QUEENS,,3.0,-73.84695439597677
53915959,2022-04-14T03:22:07.000,2022-04-14T04:12:33.000,LIRR CONNECTING RAIL LINE,203311.0,05 QUEENS,,3.0,-73.88576662023776
53919260,2022-04-14T08:30:32.000,2022-05-16T00:00:00.000,,175325.0,17 BROOKLYN,,2.0,-73.94735088437204
53921681,2022-04-15T21:23:59.000,2022-04-15T22:08:30.000,FREDERICK DOUGLASS BOULEVARD,231952.0,10 MANHATTAN,,4.0,-73.95678904346106
53924398,2022-04-15T07:15:30.000,2022-04-15T08:44:39.000,WEST  180 STREET,248462.0,12 MANHATTAN,,4.0,-73.9342412100782
53925028,2022-04-15T09:42:02.000,2023-10-20T11:05:44.000,128 AVENUE,188439.0,13 QUEENS,,3.0,-73.73280923485328
53923384,2022-04-15T07:48:22.000,2022-04-15T08:29:59.000,8 AVENUE,175359.0,07 BROOKLYN,,2.0,-73.99847926348086
53916538,2022-04-14T10:03:42.000,2022-04-14T10:29:45.000,61 STREET,208861.0,02 QUEENS,,3.0,-73.9043284492515
53919209,2022-04-14T11:11:33.000,2022-04-14T12:07:22.000,175 STREET,197259.0,12 QUEENS,,3.0,-73.78650856640591
53923765,2022-04-15T12:04:59.000,2022-04-30T18:12:42.000,,235720.0,10 MANHATTAN,,4.0,-73.94383473214417
53919845,2022-04-14T11:12:22.000,2022-07-13T11:36:19.000,3 AVENUE,210212.0,06 MANHATTAN,,4.0,-73.98105011066615
