location,park_facility_name,landmark,:@computed_region_f5dn_yrer,taxi_pick_up_location,latitude,park_borough,complaint_type,bridge_highway_segment,agency_name,street_name
"{'type': 'Point', 'coordinates': [-73.855555764558, 40.676028936469]}",Unspecified,PITKIN AVENUE,62.0,,40.67602893646883,QUEENS,Illegal Parking,,New York City Police Department,PITKIN AVENUE
"{'type': 'Point', 'coordinates': [-73.76978030943, 40.76833579252]}",Unspecified,,26.0,,40.7683357925195,QUEENS,Noise,,Department of Environmental Protection,215 STREET
"{'type': 'Point', 'coordinates': [-73.864560869242, 40.820109124377]}",Unspecified,,58.0,,40.82010912437747,BRONX,Derelict Vehicles,,Department of Sanitation,ST LAWRENCE AVENUE
"{'type': 'Point', 'coordinates': [-73.938427867774, 40.827964479458]}",Unspecified,WEST  153 STREET,18.0,,40.82796447945757,MANHATTAN,New Tree Request,,Department of Parks and Recreation,WEST  153 STREET
"{'type': 'Point', 'coordinates': [-73.952646305691, 40.736917369611]}",Unspecified,MCGUINNESS BOULEVARD,36.0,,40.73691736961068,BROOKLYN,Blocked Driveway,,New York City Police Department,MCGUINNESS BOULEVARD
"{'type': 'Point', 'coordinates': [-74.024884137406, 40.621679629245]}",Unspecified,85 STREET,10.0,,40.621679629244674,BROOKLYN,Residential Disposal Complaint,,Department of Sanitation,85 STREET
"{'type': 'Point', 'coordinates': [-73.88748223395, 40.729938883476]}",Unspecified,74 STREET,54.0,,40.72993888347571,QUEENS,Illegal Parking,,New York City Police Department,74 STREET
"{'type': 'Point', 'coordinates': [-73.93985182082, 40.707737355763]}",Unspecified,,36.0,,40.70773735576328,BROOKLYN,Homeless Person Assistance,Mezzanine,Department of Homeless Services,
"{'type': 'Point', 'coordinates': [-73.932871372577, 40.755442837041]}",Unspecified,29 STREET,39.0,,40.75544283704125,QUEENS,Illegal Parking,,New York City Police Department,29 STREET
"{'type': 'Point', 'coordinates': [-73.956789043461, 40.80332248776]}",Unspecified,WEST  114 STREET,18.0,,40.80332248776049,MANHATTAN,Noise - Vehicle,,New York City Police Department,WEST  114 STREET
"{'type': 'Point', 'coordinates': [-73.736920227225, 40.693481518742]}",Unspecified,224 STREET,63.0,,40.6934815187421,QUEENS,Damaged Tree,,Department of Parks and Recreation,224 STREET
"{'type': 'Point', 'coordinates': [-73.896621638601, 40.820545799431]}",Unspecified,,8.0,,40.82054579943144,BRONX,APPLIANCE,,Department of Housing Preservation and Development,DAWSON STREET
"{'type': 'point', 'coordinates': [-73.913856458031, 40.744514319994]}",Unspecified,JOHN DOWNING PARK,53.0,,40.7445143199936,QUEENS,Drinking,,New York City Police Department,JOHN DOWNING PARK
"{'type': 'Point', 'coordinates': [-73.810750599924, 40.820933632717]}",Unspecified,MILES AVENUE,43.0,,40.82093363271652,BRONX,Abandoned Vehicle,,New York City Police Department,MILES AVENUE
"{'type': 'Point', 'coordinates': [-73.946195493196, 40.677465689248]}",Unspecified,PACIFIC STREET,16.0,,40.6774656892478,BROOKLYN,Illegal Parking,,New York City Police Department,PACIFIC STREET
"{'type': 'Point', 'coordinates': [-73.971851969269, 40.784641030209]}",Unspecified,,20.0,,40.78464103020883,MANHATTAN,Request Large Bulky Item Collection,,Department of Sanitation,WEST   84 STREET
"{'type': 'Point', 'coordinates': [-73.982652249533, 40.744331137992]}",Unspecified,,11.0,,40.74433113799236,MANHATTAN,HEAT/HOT WATER,,Department of Housing Preservation and Development,EAST   30 STREET
"{'type': 'Point', 'coordinates': [-73.978420167204, 40.740932421502]}",Unspecified,EAST   28 STREET,71.0,,40.74093242150187,MANHATTAN,Noise - Helicopter,,Economic Development Corporation,EAST   28 STREET
"{'type': 'Point', 'coordinates': [-73.93799240924, 40.670975655573]}",Unspecified,,16.0,,40.67097565557301,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,ST JOHNS PLACE
,Unspecified,,,,,QUEENS,Street Condition,,Department of Transportation,139 AVENUE
"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",Unspecified,EAST  231 STREET,29.0,,40.89249747900574,BRONX,Noise - Residential,,New York City Police Department,EAST  231 STREET
"{'type': 'Point', 'coordinates': [-73.792683270708, 40.767149632559]}",Unspecified,,22.0,,40.76714963255917,QUEENS,Water System,,Department of Environmental Protection,
"{'type': 'Point', 'coordinates': [-73.820438389105, 40.695925783773]}_",Unspecified,,46.0,,40.69592578377301,QUEENS,Street Condition,,Department of Transportation,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.968725573149, 40.629261924378]}",Unspecified,AVENUE H,60.0,,40.62926192437833,BROOKLYN,Illegal Parking,,New York City Police Department,AVENUE H
"{'type': 'Point', 'coordinates': [-73.897436119731, 40.655438637818]}",Unspecified,,45.0,,40.655438637818335,BROOKLYN,UNSANITARY CONDITION,,Department of Housing Preservation and Development,SNEDIKER AVENUE
"{'type': 'Point', 'coordinates': [-73.862454436358, 40.869088725439]}",Unspecified,MATTHEWS AVENUE,59.0,,40.869088725438914,BRONX,Blocked Driveway,,New York City Police Department,MATTHEWS AVENUE
"{'type': 'Point', 'coordinates': [-73.913828561847, 40.838625656495]}",Unspecified,GRAND CONCOURSE,50.0,,40.838625656495104,BRONX,Illegal Parking,,New York City Police Department,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.788608599551, 40.752007666804]}",Unspecified,47 AVENUE,26.0,,40.75200766680422,QUEENS,Noise - Commercial,,New York City Police Department,47 AVENUE
"{'type': 'Point', 'coordinates': [-73.933048260602, 40.597407068221]}",Unspecified,,32.0,,40.59740706822059,BROOKLYN,Derelict Vehicles,,Department of Sanitation,WHITNEY AVENUE
"{'type': 'Point', 'coordinates': [-73.881868513799, 40.680840361661]}",Unspecified,,45.0,,40.68084036166122,BROOKLYN,ELECTRIC,,Department of Housing Preservation and Development,FULTON STREET
"{'type': 'Point', 'coordinates': [-73.945579845659, 40.835477611684]}",Unspecified,,47.0,,40.83547761168423,MANHATTAN,General Construction/Plumbing,,Department of Buildings,RIVERSIDE DRIVE
"{'type': 'Point', 'coordinates': [-73.938103964316, 40.838218552927]}",Unspecified,,47.0,,40.83821855292657,MANHATTAN,UNSANITARY CONDITION,,Department of Housing Preservation and Development,AMSTERDAM AVENUE
"{'type': 'Point', 'coordinates': [-73.819133510011, 40.687736076622]}",Unspecified,125 STREET,62.0,,40.687736076622,QUEENS,Noise - Residential,,New York City Police Department,125 STREET
"{'type': 'Point', 'coordinates': [-73.95814566842, 40.77125078678]}",Unspecified,,23.0,,40.77125078678037,MANHATTAN,Special Projects Inspection Team (SPIT),,Department of Buildings,EAST   75 STREET
"{'type': 'Point', 'coordinates': [-73.905636252647, 40.672617001538]}",Unspecified,,55.0,,40.67261700153828,BROOKLYN,PAINT/PLASTER,,Department of Housing Preservation and Development,SACKMAN STREET
"{'type': 'loint', 'coordinates': [-73.850987578289, 40.742383339373]}",Unspecified,,66.0,,40.74238333937343,QUEENS,Derelict Vehicles,,Department of Sanitation,111 STREET
"{'type': 'Point', 'coordinates': [-73.822838200801, 40.75094279483]}",Unspecified,45 AVENUE,22.0,,40.75094279483036,QUEENS,Noise - Residential,,New York City Police Department,45 AVENUE
"{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}",Unspecified,,29.0,,40.89920658663928,BRONX,Illegal Parking,,New York City Police Department,EAST  237 STREET
"{'type': 'Point', 'coordinates': [-74.007033064278, 40.738763129977]}",Unspecified,,57.0,,40.738763129976725,MANHATTAN,PLUMBING,,Department of Housing Preservation and Development,HORATIO STREET
"{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}",Unspecified,EAST  122 STREET,7.0,,40.80143293457596,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,EAST  122 STREET
"{'type': 'Point', 'coordinates': [-73.990452140702, 40.761401627525]}",Unspecified,9 AVENUE,12.0,,40.76140162752549,MANHATTAN,Noise - Commercial,,New York City Police Department,NINTH AVENUE
"{'type': 'Point', 'coordinates': [-73.855308581929, 40.753403539749]}",Unspecified,,65.0,,40.75340353974878,QUEENS,GENERAL,,Department of Housing Preservation and Development,112 STREET
"{'type': 'Point', 'coordinates': [-74.006900274691, 40.710936788479]}",Unspecified,,56.0,,40.71093678847912,MANHATTAN,Water System,,Department of Environmental Protection,NASSAU STREET
"{'type': 'Point', 'coordinates': [-73.924299153125, 40.834636704052]}",Unspecified,JEROME AVENUE,50.0,,40.83463670405151,BRONX,Noise - Street/Sidewalk,,New York City Police Department,JEROME AVENUE
,Unspecified,,,,,STATEN ISLAND,Street Condition,,Department of Transportation,WASHINGTON PLACE
"{'type': 'Point', 'coordinates': [-73.880116316779, 40.841263402394]}",Unspecified,EAST  178 STREET,35.0,,40.84126340239402,BRONX,Illegal Parking,,New York City Police Department,EAST  178 STREET
"{'type': 'Point', 'coordinates': [-73.806869892891, 40.760046173653]}",Unspecified,159 STREET,22.0,,40.76004617365279,QUEENS,Blocked Driveway,,New York City Police Department,159 STREET
"{'type': 'Point', 'coordinates': [-74.007956020312, 40.73178865153]}",Unspecified,BARROW STREET,57.0,,40.73178865153027,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,BARROW STREET
"{'type': 'Point', 'coordinates': [-73.915233287014, 40.777095460231]}",Unspecified,26 STREET,39.0,,40.777095460231415,QUEENS,Blocked Driveway,,New York City Police Department,26 STREET
"{'type': 'Point', 'coordinates': [-74.030504711243, 40.631990451359]}",Unspecified,RIDGE BOULEVARD,10.0,,40.63199045135857,BROOKLYN,Noise - Residential,,New York City Police Department,RIDGE BOULEVARD
"{'type': 'Point', 'coordinates': [-73.981636542603, 40.763299921646]}",Unspecified,7 AVENUE,11.0,,40.763299921645554,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,SEVENTH AVENUE
"{'type': 'Point', 'coordinates': [-73.949129373393, 40.825005403846]}",Unspecified,WEST  144 STREET,37.0,,40.825005403846085,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,WEST  144 STREET
"{'type': 'Point', 'coordinates': [-73.80032068229, 40.706259646068]}",Unspecified,89 AVENUE,41.0,,40.70625964606806,QUEENS,Dirty Condition,,Department of Sanitation,89 AVENUE
"{'type': 'Point', 'coordinates': [-73.993117475713, 40.643827066906]}",Unspecified,40 STREET,2.0,,40.64382706690627,BROOKLYN,Blocked Driveway,,New York City Police Department,40 STREET
"{'type': 'Point', 'coordinates': [-73.927228813326, 40.862066435157]}",Unspecified,,47.0,,40.86206643515698,MANHATTAN,FLOORING/STAIRS,,Department of Housing Preservation and Development,ARDEN STREET
"{'type': 'Point', 'coordinates': [-73.936167992187, 40.682637206745]}",Unspecified,MACON STREET,69.0,,40.68263720674462,BROOKLYN,Damaged Tree,,Department of Parks and Recreation,MACON STREET
"{'type': 'Point', 'coordinates': [-73.919135634069, 40.745001223655]}",Unspecified,,53.0,,40.74500122365459,QUEENS,UNSANITARY CONDITION,,Department of Housing Preservation and Development,43 AVENUE
"{'type': 'Point', 'coordinates': [-73.892735340769, 40.824236641539]}",Unspecified,,8.0,,40.82423664153876,BRONX,Street Condition,,Department of Transportation,WESTCHESTER AVENUE
"{'type': 'Point', 'coordinates': [-73.985917838179, 40.643886795917]}",Unspecified,12 AVENUE,2.0,,40.64388679591743,BROOKLYN,Blocked Driveway,,New York City Police Department,12 AVENUE
"{'type': 'Point', 'coordinates': [-73.919680588846, 40.661173702081]}",Unspecified,,61.0,,40.66117370208075,BROOKLYN,DOOR/WINDOW,,Department of Housing Preservation and Development,KINGS HIGHWAY
"{'type': 'Point', 'coordinates': [-73.971882319625, 40.789729771857]}",Unspecified,WEST   90 STREET,20.0,,40.78972977185651,MANHATTAN,Noise - Residential,,New York City Police Department,WEST   90 STREET
"{'type': 'Point', 'coordinates': [-73.865050435291, 40.874443949354]}",Unspecified,HOLLAND AVENUE,29.0,,40.87444394935435,BRONX,Blocked Driveway,,New York City Police Department,HOLLAND AVENUE
"{'type': 'Point', 'coordinates': [-73.943913682646, 40.634237034786]}",Unspecified,,61.0,,40.634237034786175,BROOKLYN,Noise,,Department of Environmental Protection,
"{'type': 'Point', 'coordinates': [-73.791283369074, 40.710443114019]}",Unspecified,,41.0,,40.710443114019,QUEENS,Water System,,Department of Environmental Protection,88 AVE
"{'type': 'Point', 'coordinates': [-73.77781335143, 40.743319405652]}",Unspecified,,26.0,,40.743319405651874,QUEENS,Illegal Parking,,New York City Police Department,198 STREET
"{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}",Unspecified,,35.0,,40.85793552759152,BRONX,GENERAL,,Department of Housing Preservation and Development,EAST  187 STREET
"{'type': 'Point', 'coordinates': [-73.838889522087, 40.722118962666]}$",Unspecified,,40.0,,40.72211896266612,QUEENS,HEAT/HOT WATER,,Department of Housing Preservation and Development,112 STREET
"{'type': 'Point', 'coordinates': [-73.915416583888, 40.834611318752]}",Unspecified,,50.0,,40.834611318751726,BRONX,Street Condition,,Department of Transportation,SHERMAN AVENUE
"{'type': 'Point', 'coordinates': [-73.862211681966, 40.844904847644]}",Unspecified,BARNES AVENUE,59.0,,40.84490484764405,BRONX,Illegal Parking,,New York City Police Department,BARNES AVENUE
"{'type': 'Point', 'coordinates': [-73.877124492065, 40.872212276043]}",Unspecified,DECATUR AVENUE,24.0,,40.87221227604257,BRONX,Dirty Condition,,Department of Sanitation,DECATUR AVENUE
"{'type': 'Point', 'coordinates': [-73.962738781397, 40.653677753967]}",Unspecified,WOODRUFF AVENUE,60.0,,40.65367775396683,BROOKLYN,Noise - Street/Sidewalk,,New York City Police Department,WOODRUFF AVENUE
"{'type': 'Point', 'coordinates': [-73.985108001176, 40.720435648954]}",Unspecified,STANTON STREET,70.0,,40.72043564895416,MANHATTAN,Illegal Parking,,New York City Police Department,STANTON STREET
"{'type': 'Point', 'coordinates': [-73.957452691785, 40.686168588107]}",100 Quincy Street Community Garden,QUINCY STREET,69.0,,40.68616858810718,BROOKLYN,Animal in a Park,,Department of Parks and Recreation,QUINCY STREET
"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",Unspecified,EAST  231 STREET,29.0,,40.89249747900574,BRONX,Noise - Residential,,New York City Police Department,EAST  231 STREET
"{'type': 'Point', 'coordinates': [-73.913296048598, 40.78135934042]}",Unspecified,21 AVENUE,39.0,,40.781359340419776,QUEENS,Traffic,,New York City Police Department,21 AVENUE
"{'type': 'Point', 'coordinates': [-74.002717890914, 40.754762454246]}",Unspecified,11 AVENUE,12.0,,40.75476245424559,MANHATTAN,Consumer Complaint,,Department of Consumer and Worker Protection,11 AVENUE
"{'type': 'Point', 'coordinates': [-73.991551172528, 40.691402186219]}",Unspecified,COURT STREET,68.0,,40.69140218621899,BROOKLYN,Noise - Street/Sidewalk,,New York City Police Department,COURT STREET
"{'type': 'Point', 'coordinates': [-73.829679590506, 40.758660374766]}",Unspecified,MAIN STREET,22.0,,40.75866037476562,QUEENS,Obstruction,,Department of Sanitation,MAIN STREET
"{'type': 'Point', 'coordinates': [-73.950648338748, 40.73054046623]}",Unspecified,,36.0,,40.73054046623013,BROOKLYN,Street Light Condition,,Department of Transportation,
"{'type': 'Point', 'coordinates': [-73.962692041902, 40.801702416194]}",Unspecified,WEST  109 STREET,20.0,,40.801702416194175,MANHATTAN,Noise - Residential,,New York City Police Department,WEST  109 STREET
"{'type': 'Point', 'coordinates': [-73.893624928148, 40.674596486428]}",Unspecified,,45.0,,40.67459648642842,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,WYONA STREET
"{'type': 'Point', 'coordinates': [-73.90128732186, 40.671081766416]}",Unspecified,,45.0,,40.67108176641611,BROOKLYN,Derelict Vehicles,,Department of Sanitation,PITKIN AVENUE
"{'type': 'Point', 'coordinates': [-73.906543093409, 40.72522122382]}",Unspecified,56 AVENUE,54.0,,40.72522122381996,QUEENS,Dirty Condition,,Department of Sanitation,56 AVENUE
"{'type': 'Point', 'coordinates': [-74.087946007114, 40.603596164181]}",Unspecified,,30.0,,40.60359616418054,STATEN ISLAND,Electronics Waste Appointment,,Department of Sanitation,ALAN LOOP
"{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}",Unspecified,,24.0,,40.87789645757858,BRONX,PAINT/PLASTER,,Department of Housing Preservation and Development,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.95607642958, 40.711842621539]}",Unspecified,SOUTH    1 STREET,36.0,,40.71184262153895,BROOKLYN,Noise - Vehicle,,New York City Police Department,SOUTH FIRST STREET
"{'type': 'Point', 'coordinates': [-73.935296654513, 40.677687892744]}",Unspecified,ATLANTIC AVENUE,69.0,,40.67768789274407,BROOKLYN,Disorderly Youth,,New York City Police Department,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-74.174403639519, 40.556284043873]}",Unspecified,BARLOW AVENUE,15.0,,40.55628404387348,STATEN ISLAND,Illegal Parking,,New York City Police Department,BARLOW AVENUE
"{'type': 'Point', 'coordinates': [-73.804693295222, 40.755101951442]}",Unspecified,162 STREET,22.0,,40.75510195144204,QUEENS,Street Condition,,Department of Transportation,162 STREET
"{'type': 'Point', 'coordinates': [-73.783932486501, 40.76934582151]}",Unspecified,33 AVENUE,26.0,,40.76934582151032,QUEENS,Sanitation Worker or Vehicle Complaint,,Department of Sanitation,33 AVENUE
"{'type': 'Point', 'coordinates': [-73.99226736787, 40.734533420951]}",Unspecified,,57.0,,40.73453342095126,MANHATTAN,Noise - Street/Sidewalk,,New York City Police Department,EAST   13 STREET
"{'type': 'Point', 'coordinates': [-73.921555387008, 40.841554286533]}",Unspecified,SHAKESPEARE AVENUE,50.0,,40.84155428653312,BRONX,Dirty Condition,,Department of Sanitation,SHAKESPEARE AVENUE
"{'type': 'Point', 'coordinates': [-73.978790527756, 40.779125599138]}",Unspecified,WEST   74 STREET,20.0,,40.77912559913823,MANHATTAN,Noise - Helicopter,,Economic Development Corporation,WEST   74 STREET
"{'type': 'Point', 'coordinates': [-73.965145129145, 40.6350688672]}",Unspecified,ARGYLE ROAD,60.0,,40.635068867200346,BROOKLYN,Illegal Parking,,New York City Police Department,ARGYLE ROAD
"{'type': 'Point', 'coordinates': [-73.876292560078, 40.757704304284]}",Unspecified,92 STREET,65.0,,40.75770430428375,QUEENS,Noise - Residential,,New York City Police Department,92 STREET
"{'type': 'Point', 'coordinates': [-73.954978136404, 40.714414039233]}",Unspecified,,36.0,,40.71441403923324,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,HAVEMEYER STREET
"{'type': 'point', 'coordinates': [-73.786164950848, 40.591271393294]}",Unspecified,,51.0,,40.59127139329369,QUEENS,Water System,,Department of Environmental Protection,BEACH   56 PLACE
"{'type': 'Point', 'coordinates': [-73.934876629632, 40.613091887243]}",Unspecified,AVENUE R,5.0,,40.61309188724291,BROOKLYN,Abandoned Vehicle,,New York City Police Department,AVENUE R
"{'type': 'Point', 'coordinates': [-73.779363570101, 40.76994649703]}",Unspecified,,26.0,,40.76994649702991,QUEENS,Street Light Condition,,Department of Transportation,
"{'type': 'Point', 'coordinates': [-74.029003421336, 40.626158162476]}",Unspecified,,10.0,,40.626158162475775,BROOKLYN,Building/Use,,Department of Buildings,82 STREET
"{'type': 'Point', 'coordinates': [-73.914996519559, 40.835291698618]}",Unspecified,SHERMAN AVENUE,50.0,,40.83529169861803,BRONX,Noise - Residential,,New York City Police Department,SHERMAN AVENUE
"{'type': 'Point', 'coordinates': [-73.906685797272, 40.819127128933]}",Unspecified,JACKSON AVENUE,49.0,,40.81912712893279,BRONX,Consumer Complaint,,Department of Consumer and Worker Protection,JACKSON AVENUE
"{'type': 'Point', 'coordinates': [-73.97175200144, 40.790462583263]}",Unspecified,,20.0,,40.79046258326348,MANHATTAN,Elevator,,Department of Buildings,WEST   91 STREET
"{'type': 'Point', 'coordinates': [-73.822047585609, 40.701025325747]}",Unspecified,,46.0,,40.701025325747125,QUEENS,Graffiti,,Department of Sanitation,130 STREET
"{'type': 'Point', 'coordinates': [-73.921863096821, 40.671882587159]}",Unspecified,PARK PLACE,55.0,,40.671882587158734,BROOKLYN,Blocked Driveway,,New York City Police Department,PARK PLACE
"{'type': 'Point', 'coordinates': [-73.863030257965, 40.747514510616]}",Unspecified,,66.0,,40.74751451061606,QUEENS,Street Condition,,Department of Transportation,102 STREET
"{'type': 'Point', 'coordinates': [-73.819875308966, 40.718805302415]}",Unspecified,78 ROAD,25.0,,40.71880530241471,QUEENS,Illegal Parking,,New York City Police Department,78 ROAD
"{'type': 'Point', 'coordinates': [-73.91076698487, 40.758200028908]}",Unspecified,,39.0,,40.75820002890765,QUEENS,Street Condition,,Department of Transportation,48 STREET
"{'type': 'Point', 'coordinates': [-73.929782521342, 40.857366345871]}",Unspecified,,47.0,,40.85736634587064,MANHATTAN,Boilers,,Department of Buildings,FAIRVIEW AVENUE
"{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}",Unspecified,164 STREET,25.0,,40.72491540798941,QUEENS,Noise - Vehicle,,New York City Police Department,164 STREET
"{'type': 'Point', 'coordinates': [-73.935470646071, 40.699072502041]}",Unspecified,,42.0,,40.69907250204072,BROOKLYN,Noise - Street/Sidewalk,,New York City Police Department,BEAVER STREET
"{'type': 'Point', 'coordinates': [-73.950862494637, 40.72391471475]}",Unspecified,MANHATTAN AVENUE,36.0,,40.72391471474964,BROOKLYN,Noise - Residential,,New York City Police Department,MANHATTAN AVENUE
"{'type': 'Point', 'coordinates': [-73.887481642841, 40.723878455436]}",Unspecified,60 AVENUE,54.0,,40.72387845543598,QUEENS,Illegal Parking,,New York City Police Department,60 AVENUE
"{'type': 'Point', 'coordinates': [-73.94901341309, 40.797151908628]}",Unspecified,,7.0,,40.79715190862778,MANHATTAN,HEAT/HOT WATER,,Department of Housing Preservation and Development,FIFTH AVENUE
"{'type': 'Point', 'coordinates': [-73.909322568954, 40.758621591861]}",Unspecified,49 STREET,39.0,,40.75862159186145,QUEENS,Blocked Driveway,,New York City Police Department,49 STREET
"{'type': 'Point', 'coordinates': [-73.929430946756, 40.854827281928]}",Unspecified,WEST  190 STREET,47.0,,40.85482728192759,MANHATTAN,Illegal Parking,,New York City Police Department,WEST  190 STREET
{''[4,Unspecified,STERLING PLACE,16.0,,40.67150987389073,BROOKLYN,Noise - Street/Sidewalk,,New York City Police Department,STERLING PLACE
"{'type': 'Point', 'coordinates': [-73.920485314752, 40.814583979348]}",Unspecified,EAST  146 STREET,49.0,,40.81458397934778,BRONX,Blocked Driveway,,New York City Police Department,EAST  146 STREET
"{'type': 'Point', 'coordinates': [-73.913422933369, 40.839289572718]}",Unspecified,,50.0,,40.839289572718044,BRONX,PLUMBING,,Department of Housing Preservation and Development,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-74.002705692039, 40.721018469149]}",Unspecified,GREENE STREET,57.0,,40.721018469149456,MANHATTAN,Encampment,,New York City Police Department,GREENE STREET
"{'type': 'Point', 'coordinates': [-73.876373204723, 40.875672534267]}",Unspecified,PERRY AVENUE,24.0,,40.87567253426723,BRONX,Illegal Parking,,New York City Police Department,PERRY AVENUE
"{'type': 'Point', 'coordinates': [-73.901104142303, 40.71439134358]}",Unspecified,FRESH POND ROAD,54.0,,40.71439134358028,QUEENS,Food Establishment,,Department of Health and Mental Hygiene,FRESH POND ROAD
"{'type': 'Point', 'coordinates': [-73.854239552183, 40.69597355618]}",Unspecified,85 ROAD,46.0,,40.69597355617956,QUEENS,Abandoned Vehicle,,New York City Police Department,85 ROAD
"{'type': 'Point', 'coordinates': [-73.97693960861, 40.76468791678]}",Unspecified,AVENUE OF THE AMERICAS,11.0,,40.76468791677967,MANHATTAN,Encampment,,New York City Police Department,6 AVENUE
"{'type': 'Point', 'coordinates': [-73.916379609979, 40.853330931102]}",Unspecified,PHELAN PLACE,6.0,,40.853330931102384,BRONX,Noise - Street/Sidewalk,,New York City Police Department,PHELAN PLACE
"{'type': 'Point', 'coordinates': [-73.858834838947, 40.668279004667]}",Unspecified,,45.0,,40.66827900466744,BROOKLYN,HEAT/HOT WATER,,Department of Housing Preservation and Development,LORING AVENUE
"{'type': 'Point', 'coordinates': [-73.954819678162, 40.820462522015]}",Unspecified,,37.0,,40.82046252201524,MANHATTAN,Air Quality,,Department of Environmental Protection,BROADWAY
"{'type': 'Point', 'coordinates': [-73.84870439186, 40.905556677757]}",Unspecified,EAST  242 STREET,29.0,,40.90555667775749,BRONX,Blocked Driveway,,New York City Police Department,EAST  242 STREET
"{'type': 'Point', 'coordinates': [-73.962323365658, 40.770247653908]}",Unspecified,LEXINGTON AVENUE,23.0,,40.77024765390775,MANHATTAN,New Tree Request,,Department of Parks and Recreation,LEXINGTON AVENUE
"{'type': 'Point', 'coordinates': [-73.877880919339, 40.873785789578]}",Unspecified,,24.0,,40.87378578957796,BRONX,SAFETY,,Department of Housing Preservation and Development,PERRY AVENUE
"{'type': 'Point', 'coordinates': [-73.949242828111, 40.647845415412]}",Unspecified,NOSTRAND AVENUE,61.0,,40.647845415412206,BROOKLYN,Noise - Residential,,New York City Police Department,NOSTRAND AVENUE
"{'type': 'Point', 'coordinates': [-73.832439814338, 40.860993345162]}",Unspecified,DEMEYER STREET,59.0,,40.86099334516224,BRONX,Traffic,,New York City Police Department,DEMEYER STREET
