school_name,forcible_sex_offenses_without,intimidation_harassment,criminal_mischief_with_weapon,weapon_possession_under_other,alcohol_possession,assault_with_serious_physical,riot_without_weapon_s,drug_possession,homicide_with_weapon_s,weapon_possessionthrough,minor_altercations_with_weapon,other_sex_offenses_with_weapon,minor_altercations_without,reckless_endangerment_with,riot_with_weapon_s,reckless_endangerment_without,larceny_or_other_theft_without
Theatre Arts Production Company School,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Bronx High School Of Business,0,0,0,1,0,0,0,0,0,6,0,0,12,0,0,5,3
Is 339,0,0,0,4,0,0,0,5,0,1,1,0,118,1,0,4,1
Ps 199 Shakespeare,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0
Benjamin Banneker Academy,1,0,0,2,1,0,0,0,0,2,0,0,3,0,0,0,1
Forward School,0,0,0,0,1,0,0,1,0,1,1,0,43,0,0,1,0
Ps 9 Ryer Avenue,0,2,0,1,0,0,0,1,0,0,0,0,7,0,0,0,2
Ballet Tech/Nyc Ps For Dance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brooklyn Technical High School,0,1,0,5,10,0,0,5,0,3,0,0,6,1,0,2,4
Manhattan Village Academy,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0
Williamsburg Preparatory School,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,1,0
Ps 163 Alfred E Smith,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
Ps 175 City Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyc Museum School,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Belmont Prep High School,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,1,0
Ps 61 Francisco Oller,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Chelsea Career And Technical Education High School,0,0,0,7,1,0,0,0,0,2,0,0,19,0,0,4,7
Facing History School (The),0,0,0,2,0,0,0,0,0,3,0,0,5,1,0,2,0
Ps 235 Lenox,0,3,0,3,0,0,0,1,0,1,0,0,26,0,0,1,0
Ps 157 Benjamin Franklin,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ps/Is 217 Roosevelt Island,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0
City College Academy Of The Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Ps 5 Dr Ronald E Mcnair,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0
International High School At Prospect Heights,0,0,0,3,0,0,0,0,0,3,1,0,15,0,0,0,4
Ps 34 Oliver H Perry,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Bronx Mathematics Preparatory School,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 59 William Floyd,0,1,0,1,0,0,0,0,0,0,1,0,29,0,0,0,0
Ps 177 The Marlboro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Ps 319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms 260 Clinton School Writers & Artists,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3
Bronx Center For Science And Mathematics,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0
Ms 51 William Alexander,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0
Secondary School For Research,0,0,0,0,3,0,0,4,0,1,0,0,36,0,0,0,0
New Explorers High School,0,0,0,2,1,0,0,1,0,0,0,0,38,0,0,0,6
Ps 30 Wilton,0,0,0,2,0,0,0,0,0,0,0,0,48,0,0,1,1
Ps 194 Countee Cullen,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0
Ms 258 Community Action,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,1,2
Manhattan International High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 17 Henry D Woodworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 140 Nathan Straus,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,1
Ps K231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
"High School For Law, Advocacy And Community Justice",0,0,1,0,0,0,0,1,0,5,0,0,20,0,0,0,3
Ps 37 Multiple Intelligence,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
Ps 197,0,1,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0
Ps 46 Edgar Allen Poe,0,0,0,1,0,0,0,0,0,0,3,0,60,0,0,3,1
Ps 107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 370,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
Brownsville Academy High School,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0
Ps 811 Mickey Mantle,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
Ps 261 Philip Livingston,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
Ps 127 Mckinley Park,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Heights School,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 159 Isaac Pitkin,0,0,0,1,0,0,0,0,0,0,1,0,74,0,0,1,5
"High School For Arts, Imagination And Inquiry",0,0,0,1,0,0,0,1,0,2,0,0,18,0,0,1,0
Ms 203,0,0,0,4,0,0,0,1,0,0,0,0,9,0,0,0,0
Fannie Lou Hamer Freedom School,0,0,0,2,1,0,0,0,0,0,0,0,28,0,0,1,2
High School For Environmental Studies,0,1,0,5,5,0,0,3,0,0,0,0,10,0,0,0,4
Jhs 118 William W Niles,0,1,0,9,0,0,0,1,0,0,1,0,41,0,0,4,1
Children'S Workshop School,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ps 23 At Queens Children Center,0,1,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0
Beacon High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 163 Bath Beach,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
Esperanza Prepatory Academy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 159 Luis Mumoz Marin Biling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Is 187,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0,0,1
Ps 39 Henry Bristow,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
James Baldwin School,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 215 Morris H Weiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 373 Brooklyn Transition Center,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,2,0
Thurgood Marshall Academy For Learning & Social Change,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1,2
Ps 372 Children'S School,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Ps 16 Leonard Dunkly,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ps 77 Lower Lab,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0
Ps 69 New Visions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ps 2 Morrisania,0,0,0,1,0,0,0,0,0,0,1,0,21,1,0,1,3
Bronx Latin School,0,0,0,3,2,0,0,0,0,0,1,0,31,0,0,1,1
Is 218 Salome Urena,0,0,1,2,1,0,0,1,0,0,0,0,4,1,0,0,0
South Brooklyn Community High School,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Ps 18 John Peter Zenger,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0
Astor Collegiate Academy,0,0,0,0,2,0,0,1,0,0,1,0,17,1,0,0,0
Ps 721 Brooklyn Occupational Training,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0
Cascades High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 73,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0
Ps 213 New Lots,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Bronx Community High School,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Urban Assembly Acad-History And Citizenship For Young Men,0,2,0,1,1,0,0,1,0,0,0,0,16,0,0,0,2
Ps 18 Edward Bush,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Globe School For Environmental Research,0,0,0,0,1,0,0,1,0,2,1,0,29,0,0,1,3
Ps 110 Florence Nightingale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eagle Academy For Young Men,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2
Bronx High School For Medical Science,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,1,0
Jhs 13 Jackie Robinson,0,0,0,5,2,0,0,1,0,0,0,0,39,0,0,2,1
Clara Barton High School,0,0,1,4,3,0,0,1,0,4,2,0,65,1,0,4,5
W H Maxwell Career And Technical Education High School,0,0,0,0,0,0,0,4,0,18,0,0,34,1,0,2,2
Academy Of Applied Mathematics And Technology,0,0,0,3,1,0,0,0,0,0,0,0,22,0,0,2,3
Is 181 Pablo Casals,1,0,0,7,2,0,0,0,0,0,0,0,19,0,0,1,0
Community School For Social Justice,0,2,0,3,1,0,0,0,0,7,0,0,26,1,0,1,2
Ps 145 Bloomingdale,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1
Ps 101 The Verrazano,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
Ps 152 Dyckman Valley,0,0,0,3,0,0,0,0,0,0,5,0,8,1,0,0,0
Jhs 166 George Gershwin,0,1,0,6,2,0,0,1,0,3,1,0,25,0,0,0,1
Ps 123 Mahalia Jackson,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0
East Village Community School,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 121 Throop,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 287 Bailey K Ashford,0,2,0,0,0,0,0,0,0,0,0,0,22,1,0,2,0
Community Health Academy Of The Heights,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
Is 96 Seth Low,0,0,0,4,1,0,0,2,0,0,1,0,31,0,0,2,1
Is 117 Joseph H Wade,0,0,0,1,0,1,0,0,0,0,0,0,32,0,0,5,0
Ps 91 Albany Avenue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Science Skills Center High School,0,1,0,3,0,1,0,2,0,0,0,0,15,2,0,0,0
Global Neighborhood Secondary School,0,0,0,1,0,0,0,0,0,0,1,0,37,0,0,0,1
Is 30 Mary White Ovington,0,0,0,5,0,0,0,0,0,0,1,0,34,1,0,0,0
"Brooklyn Community High Sch-Communication, Arts & Media",0,1,0,0,1,0,0,1,0,1,0,0,19,0,0,1,4
Discovery High School,0,0,0,2,0,0,0,0,0,5,0,0,10,0,0,0,0
Academy Of Public Relations,0,4,0,4,0,0,0,1,0,0,3,0,36,0,0,1,0
Anderson School (The),0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Is 289,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
Ps 25 Bilingual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ps 105 The Blythebourne,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Ms 243 Center School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 83 Donald Hertz,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1
Is 340,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0
Ps 12,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0
In Tech Academy,0,0,0,3,1,0,0,1,0,0,0,0,8,0,0,0,2
Urban Assembly School For Media Studies,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,3
Harlem Renaissence High School,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3
Jane Addams High School For Academic Careers,0,0,1,4,0,0,0,0,0,5,0,0,45,0,0,0,2
East Bronx Academy For The Future,0,0,1,3,2,0,0,0,0,1,0,0,48,3,0,5,3
Ps 35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bronx Haven High School,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Young Scholars Academy Of The Bronx,0,0,0,1,0,0,0,1,0,2,0,0,13,0,0,0,0
Ps 205 Clarion,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0
Ps 83 Luis Munoz Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 306,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0
Urban Academy Laboratory High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhs 52 Inwood,0,0,0,1,0,0,0,1,0,0,0,0,12,2,0,0,1
Ps 5 Port Morris,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0
Antonia Pantoja Preperatory Academy,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0
Ps 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Urban Action Academy,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1
Ps 4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0
Ps 160 William T Sampson,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brooklyn Preparatory High School,0,0,0,0,1,0,0,1,0,4,0,0,45,0,0,1,0
Ps 138 Samuel Randall,0,1,0,5,0,0,0,0,0,0,2,0,49,0,0,3,1
Ms 224 Manhattan East,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0
Ps 811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 204 Vince Lombardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 33 Chelsea Prep,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Bilingual/Bicultural School,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 108 Philip J Abinanti,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Ps 130 Abram Stevens Hewitt,0,2,0,4,0,0,0,0,0,0,2,0,22,1,0,2,0
Ps 154 Harriet Tubman,0,0,0,1,0,0,0,0,0,0,1,0,39,0,0,0,0
Ps 15 Institute For Environmental Learning,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0
Ps 398 Walter Weaver,0,3,0,4,0,0,0,0,0,0,2,0,4,0,0,1,0
Bronx Dance Academy School,0,1,0,1,0,0,0,3,0,0,1,0,10,0,0,1,1
Ps 137 John L Bernstein,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Magnet School For Science And Technology,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ps 161 The Crown,0,1,0,2,0,0,0,0,0,0,1,0,11,0,0,0,0
Brooklyn International High School,0,0,0,0,1,0,0,0,0,1,0,0,12,0,0,0,1
Ps 247,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Ps 75,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
Ps 197 John B Russwurm,0,1,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0
Ps 200 James Mccune Smith,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,1,0
Ps 133 Fred R Moore,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0
Ps 31 Samuel F Dupont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 38 Roberto Clemente,0,1,0,2,0,0,0,0,0,0,0,0,8,0,0,1,0
Ps 30 Hernandez/Hughes,0,1,0,1,0,0,0,0,0,0,0,0,31,0,0,0,2
Dr Susan S Mckinney Secondary School,0,0,0,1,3,0,0,0,0,1,1,0,14,0,0,0,6
Ms 319 Marie Teresa,0,2,0,1,1,0,0,0,0,0,1,0,25,0,0,0,1
Ps 270 Joanne Dekalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 34 Franklin D Roosevelt,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,4,1
High School For Civil Rights,0,1,0,2,0,0,0,0,0,2,0,0,9,0,0,0,3
Jhs 98 Herman Ridder,0,2,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0
Middle School For Art And Philosphy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Urban Assembly Academy Of Arts And Letters,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,4
Ps 112 Lefferts Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 79 Creston,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ps 56 Norwood Heights,0,3,0,3,0,0,0,0,0,0,0,0,25,0,0,1,1
Kappa,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,1,0
Ps 21 Philip H Sheridan,0,4,0,6,0,0,0,0,0,0,2,0,74,2,0,5,0
Ps 20 George J Werdan Iii,0,1,0,1,0,0,0,0,0,0,3,0,6,0,0,2,0
Ps 149 Sojourner Truth,0,0,0,3,0,0,0,1,0,0,1,0,14,0,0,5,1
Ps 167 The Parkway,0,2,0,0,0,0,0,0,0,0,2,0,12,1,0,0,0
Ps 158 Baylard Taylor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Pablo Neruda Academy For Architecture And World Studies,0,0,0,1,1,0,0,2,0,2,0,0,22,0,0,0,0
Ps 262 El Hajj Malik El Shabazz,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhs 123 James M Kiernan,0,2,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0
Ps 48 Joseph R Drake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ps 246 Poe Center,0,3,0,5,0,0,0,1,0,0,0,0,11,1,0,0,0
School For Environmental Citizenship,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Murry Bergtraum High School For Business Careers,0,3,0,9,3,0,0,3,0,4,0,0,86,1,0,1,5
Ps/Is 25 So Richmond High,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0
Ps 92,0,1,0,3,0,0,0,0,0,0,0,0,13,0,0,2,0
Satellite Three,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6
Ps 219 Kennedy-King,0,1,0,2,0,0,0,0,0,0,1,0,24,0,0,2,0
Ps 154 Jonathan D Hyatt,0,2,0,0,0,0,0,0,0,0,1,0,15,1,0,3,0
Ps 214 Michael Friedsam,0,1,0,3,0,0,0,0,0,0,1,0,9,0,0,2,2
Ps 375 Jackie Robinson,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
Ps 48 Mapleton,0,0,0,2,0,0,0,0,0,0,2,0,15,0,0,2,0
Kurt Hahn Expeditionary Learning School,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ps 90 George Meany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulse High School,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ps 186 Dr Irving A Gladstone,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0
James Weldon Johnson School,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ps 340,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 67 Mohegan,0,2,0,1,0,0,0,0,0,0,1,0,14,0,0,0,0
Ps 172 Beacon School Of Excellence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx Expeditionary Learning High School,0,0,0,0,1,0,0,0,0,10,0,0,36,0,0,1,2
Ps 126 Dr Marjorie H Dunbar,0,1,0,0,1,0,0,0,0,0,0,0,30,1,0,1,0
Ps 200 Benson,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0
Ps 229 Dyker,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 59 Beekman Hill International,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
Ps 35 Franz Siegel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 92 Adrian Hegeman,0,1,0,1,0,0,0,0,0,0,1,0,92,0,0,1,5
Young Scholars' Academy For Discovery And Exploration,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0
High School For Service And Learning,0,0,0,0,0,0,0,1,0,6,0,0,6,0,0,0,1
Ps 196,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
