dbn,phone_number,code1,grade9geapplicantsperseat1,transfer,requirement6_4,grade9swdfilledflag6,requirement6_5,requirement3_2,requirement1_4,requirement3_7,common_audition6,grade9gefilledflag5,interest3,admissionspriority38,program1,appperseat1specialized,admissionspriority23,requirement3_4,academicopportunities2,method1,shared_space,grade9geapplicants8,interest8,code5,requirement3_1,requirement1_5,grade9geapplicants9,pbat,admissionspriority56,admissionspriority72,admissionspriority27,requirement7_5,seats4specialized,grade9geapplicants4,requirement1_8,seats9ge1,grade9gefilledflag10,admissionspriority31,grade9swdfilledflag3,interest2,seats9swd8,prgdesc10,advancedplacement_courses,admissionspriority21,requirement7_2,grade9swdapplicantsperseat7,grade9geapplicants10,academicopportunities1,admissionspriority11,program8,seats9swd1,academicopportunities5,eligibility4,requirement3_6,admissionspriority34,grade9swdapplicants8,admissionspriority33
04M495,212-831-1517,M17J,32.0,,,,,,,,,,,,Park East High School,,,,"Full-time college counselor and Peer College Coaches are on staff to work with juniors and seniors, preparing them for the college admissions process.",Screened,No,,,,"Course Grades: English (70-100), Math (70-100), Science (70-100), Social Studies (70-100)",,,,,,,,,,,77.0,,,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish, AP U.S. History",Then to New York City residents,,,,"College-Prep support courses (9-12) such as Freshman, Sophomore, Junior, and Senior Seminar as well as a Library Research class for all 10th graders",Priority to Manhattan students or residents,,15.0,"Chorus, Yearbook, Fitness/Nutrition, and Yoga; National Honor Society; PRDE Council",,,,,
09X263,718-466-4000,X07R,6.0,,,,,,,,,,,,Validus Preparatory Academy,,,,"All juniors and seniors are enrolled in our College and Career, PSAT, and SAT prep classes.",Ed. Opt.,Yes,,,,,,,,,,,,,,,64.0,,,,,,,AP English Literature and Composition,Then to New York City residents,,,,Mock Regents to prepare students for the January and June exams. Results determine strengths and areas for improvement.,Priority to Bronx students or residents,,17.0,,,,,,
14K071,718-302-7900,K11A,3.0,,,,,"Course Grades: English, Math, Science, Social Studies",,,,,Performing Arts,,Visual Art and Design,,Then to New York City residents,,College readiness counseling provided by College Bound Initiative counselor; CUNY At Home In College English and math courses,Audition,Yes,,,,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,63.0,,21.0,,,N,Performing Arts,,,"AP English Literature and Composition, AP Spanish, AP U.S. History",Then to New York City residents,,,,"Visual Arts, Band, Chorus, Dance, or Theater courses culminate in an Arts Endorsed Regents Diploma",Priority to continuing 8th graders,,4.0,,,,Then to Brooklyn students or residents who signed in at a fair or at an information session,,
24Q550,718-271-8383,Q99A,14.0,,,,,,,,,,,,Arts and Business,,,,"Ten Credit Program in Visual & Performing Arts, Band, Chorus, NYSMAA, Career Pathways, CUNY College Now, Journalism, Playwriting, Business Law",Ed. Opt.,No,,,,,,,,,,,,,,,161.0,,,,,,,"AP Art History, AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Spanish, AP U.S. History",Then to New York City residents,,,,"CTE program(s) in: Business, Management & Administration, Manufacturing Production",Priority to Queens students or residents,,30.0,"Microsoft Office Specialist (MOS) Certification, Center for Arts Education Internships, Rewarding Achievement (REACH), Computer Science",,,,,
32K403,718-381-7100,L23A,2.0,,,,,,,,,,,,Academy for Environmental Leadership,,,,"We seek to empower students through rigorous instruction to become self-reliant/resilient, responsible leaders, caretakers of the Earth and others.",Limited Unscreened,Yes,,,,,,,,,,,,,,,89.0,,,,,,,AP English Literature and Composition,Then to New York City residents,,,,Advanced Placement Environmental Science class takes place in our newly constructed NY Sunworks sponsored hydroponics lab (or green classroom).,Priority to New York residents who signed in at a fair or at an information session,,19.0,We will achieve this by incorporating the citywide instructional expectations and preparing rigorous lessons with the Common Core Standards in mind.,,,,,
09X231,718-466-8000,X99X,11.0,,,,,,,,,,,,The Eagle Academy for Young Men,,,,Facing History: empowering teachers and students to think critically about history and to understand the impact of their choices.,Limited Unscreened,No,,,,,,,,,,,,,,,51.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,"AP English Literature and Composition, AP U.S. History, AP World History",Then to Bronx students or residents who signed in at a fair or at an information session,,,,Software Engineering Pilot / Pathfinders Computer Science Internships / CS4All: a sequence of courses culminating in AP Computer Science.,Priority to continuing 8th graders,,14.0,AP Preparation: we offer courses designed to prepare students for AP instruction.,,,,,
29Q283,718-949-8405,Q84A,4.0,,,,,,,,,,,,Preparatory Academy for Writers,,,,,Limited Unscreened,Yes,,,,,,,,,,,,,,,68.0,,Then to New York City residents,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Statistics, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"Individualized College, Academic and Career Planning, Advisory; Focus on developing strong writing skills",Priority to continuing 8th graders,,13.0,,,,,,
31R047,718-370-6900,R01R,11.02062035,,,,,,,,,,,,CSI High School for International Studies,,,,"Four-year Advisory class for all students to enrich communication skills, social proficiency, global competence, and college and career readiness.",Limited Unscreened,Yes,,,,,,,,,,,,,,,97.0,,"Then to Districts 20, 21, and 31 students or residents",,,,,"AP Biology, AP Calculus AB, AP Comparative Government and Politics, AP English Language and Composition, AP English Literature and Composition, AP Studio Art: Drawing, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"College courses with CUNY College of Staten Island, and tuition waivers.","Priority to Districts 20, 21, and 31 students or residents who signed in at a fair or at an information session",,24.0,International travel opportunities and language immersion programs (4-year requirement of a world language is mandated in Chinese and Japanese).,,,,,
08X332,718-860-1053,Y22A,2.0,,,,,,,,,,,,Holcombe L. Rucker School of Community Research,,,,"Forensic Science, Advanced Placement in Literature and World History.",Ed. Opt.,Yes,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,"CTE Courses for Electrical Certificate, Building Maintenance, Certified Nursing Assistant, Medical Billing, and Graphic Design.",Open to New York City residents,,20.0,,,,,,
02M393,212-246-2183,A14A,11.0,,,,,,,,,,,,Business of Sports School,,,,"Students are matched with a four-year mentor from the business world through iMentor, Morgan Stanley, and Big Brothers Big Sisters.",Ed. Opt.,Yes,,,,,,,,,,,,,,,103.0,,,,,,,"AP English Language and Composition, AP Environmental Science, AP Psychology, AP U.S. History",Then to New York City residents,,,,New York State endorsement in CTE program: Business Management & Entrepreneurship,Priority to Manhattan students or residents,,21.0,CollegeSpring: All students complete year-long SAT preparation class and four diagnostic exams during their Junior year.,,,,,
02M459,212-517-6728,M93A,5.0,,,,,,,,,,,,Humanities and Interdisciplinary,,,,Small learning clusters; Collaborative group work and project-based instruction; Performance-Based Assessment including portfolios,Screened: Language,Yes,,,,,,,1.0,,,,,,,,71.0,,,,,,,,,,,,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams,,,14.0,,,,,,
26Q566,718-736-7100,Q32A,5.0,,,,,,,,,,,,Teaching Institute,,,,"College and Career Advising in a modern technology center, Exploration of teaching and education professions, Internships through Teaching Institute",Ed. Opt.,Yes,,,,,,,,,,,,,,,235.0,,Then to Queens students or residents,,,,,"AP Computer Science, AP English Language and Composition, AP Statistics, AP U.S. History",Then to Districts 26 and 29 students or residents,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Priority to students attending PS/IS 266Q and PS/MS 208Q,,44.0,Advanced Placement (AP) courses offered in 9th and 12th grades,,,,,
30Q580,718-361-5275,Q41A,26.0,,,,,,,,,,,,International Baccalaureate Program,,,,"Pre-IB Diploma Programme, IB Diploma Programme, Community, Extended Essay, Theory of Knowledge, Community and Service",Screened,No,,,,"Standardized Test Scores: English Language Arts (3.4-4.5), Math (4.0-4.5)",,,,,,,,,,,108.0,,Then to New York City residents,,,,,,Then to Queens students or residents,,,,Authorized by the International Baccalaureate (IB) Organization to offer the Diploma Programme,Priority to continuing 8th graders,,20.0,,,,,,
19K502,718-922-0389,K62X,4.0,,,,,,,,,,,,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,,,,Introduces the occupational benefits of the Fire and Emergency Medical Services (EMS),Ed. Opt.,Yes,,,,,,,,,,,,,,,89.0,,Then to New York City residents,,,,,AP English Language and Composition,Then to Brooklyn students or residents,,,,CTE program(s) in: Health Science,Priority to students who reside in the geographical catchment area,,19.0,Students learn official procedures for becoming a NYC firefighter,,,,,
24Q530,718-392-3433,Q27J,6.0,,,,,,,,,,,,International High School at LaGuardia Community College,,,,English instruction in all content classes with native language support; students grouped in small interdisciplinary learning communities,Screened: Language,Yes,,,,,,,1.0,,,,,,,,93.0,,,,,,,,,,,,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,,17.0,Internship program in the 11th and 12th grades,,,,,
27Q302,718-868-2978,Q06B,5.0,,,,,,,,,,,,Computer Science Program,,,,"Certification in IC3, preparation for Cisco Certification exam, programs in C++, Adobe, Cloud Applications",Ed. Opt.,Yes,,,,,,,,,,,,,,,45.0,,,,Computer Science & Technology,,,"AP Computer Science, AP U.S. History",,,,,"CTE program(s) in: Information Technology, Computer Science",Open to New York City residents,,9.0,Transitional Bilingual Program for English Language Learners in Mathematics and Science. Native Language Arts class to promote literacy in Spanish.,,,,,
09X404,718-860-1385,X46A,3.0,,,,,,,,,,,,School for Excellence,,,,Network for Teaching Entrepreneurship NFTE,Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,"Arts Integration theme in classes: Poetry, Photography, Painting, Drawing",Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,"Performing Arts classes which include: Theatre, Dance, Music, Art, and Poetry",,,,,
07X548,718-292-7110,X31A,11.0,,,,,,,,,,,,Urban Assembly School for Careers in Sports,,,,Four years of math,Limited Unscreened,Yes,,,,,,,,,,,,,,,99.0,,Then to Bronx students or residents,,,,,"AP English Language and Composition, AP Environmental Science, AP U.S. Government and Politics",Then to New York City residents who signed in at a fair or at an information session,,,,Career Courses,Priority to Bronx students or residents who signed in at a fair or at an information session,,26.0,,,,,,
29Q272,718-525-6439,Q45A,5.0,,,,,,,,,,,,Veterinary Science Institute,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Limited Unscreened,Yes,,,,,,,,,,,,,,,45.0,,Then to Queens students or residents,,Science & Math,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Macroeconomics, AP Statistics, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,CTE program(s) in: Health Science,Priority to Queens students or residents who signed in at a fair or at an information session,,9.0,,,,,,
09X327,718-294-8111,Y27A,8.0,,,,,,,,,,,,Comprehensive Model School Project (CMSP),,,,College Courses for College Credit in Grade 12,Limited Unscreened,Yes,,,,,,,,,,,,,,,71.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,"AP Biology, AP European History",Then to Bronx students or residents who signed in at a fair or at an information session,,,,"After-School and Saturday Tutoring, Advisory, Career and College Counseling",Priority to continuing 8th graders,,19.0,,,,,,
07X551,718-401-4891,X27A,4.0,,,,,,,,,,,,Bronx Academy of Letters,,,,"Writers In Residence Program, Writing Electives, Writers Forum (speaker series)",Limited Unscreened,Yes,,,,,,,,,,,,,,,64.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,"AP Biology, AP English Literature and Composition, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History",Then to Bronx students or residents who signed in at a fair or at an information session,,,,Academic Portfolio required,Priority to continuing 8th graders,,17.0,"House Council, College-Partnerships, Study Abroad Partnerships, Comprehensive Summer Programming, Advisory",,,,,
02M047,917-326-6668,M54A,3.0,,,,,,,,,,,,American Sign Language Studies Program,,,,"Partnerships: Baruch College Now, yearly programs at various CUNY campuses, College Summit and collaboration with Cooperative Technical Education",Screened,Yes,,,,"Course Grades: English (63-100), Math (56-100), Science (60-100), Social Studies (64-100)",,,,,,,,,,,57.0,,,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition",Then to New York City residents who know or are interested in learning American Sign Language,,,,"Small class sizes, online courses, after-school tutoring and after-school enrichment programs", American Sign Language & English Lower School students,,12.0,"Community-Based Internships, Mindfulness Practices",,,,,
17K600,718-636-4900,K50A,3.0,,,,,,,,,,Science & Math,,Health Career Professions,,,,"Majors: Nursing(LPN- Practical Nurse), Medical Assistant/Billing & Coding, Nurse Assistant, Dental Assistant, Dental Lab Technician, Vision Technician",Ed. Opt.,Yes,,,,,,,,,,,,,,,291.0,,,N,Health Professions,,,AP Computer Science,,,,,"Students may receive CTE state endorsements in one of six different majors, preparing students for entry-level jobs in these highly competitive fields.",Open to New York City residents,,70.0,Through Medgar Evers College we give students the opportunity to begin their associate's degree through the Pipeline Program.,,,,,
08X452,718-597-1587,X32A,2.0,,,,,,,,,,,,Gotham Collaborative,,,,IlearnNYC: Program for expanded online coursework and self-paced learning,Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,"AP Physics, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"Project-Based Learning, Interdisciplinary Courses, Extended Class Periods",Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,CUNY College Now; Monroe College Jump Start; Monroe College Early College; Monroe College Presidential Partnership School,,,,,
03M859,212-501-3318,A85A,9.0,,,,,,,,,,,,"Voice, Instrument, and Composition",,,,"Students major in Instrumental, Voice, or Composition and develop the fundamentals of music theory, history, technology, and technique",Audition,Yes,,,,Course Grades: Average (68-100),,,,,,,,,,,33.0,,,,,,,,Then to New York City residents,,,,Conservatory-Level core classes and ensembles update the traditional model of classical music education and prepare students for careers as musicians.,Priority to continuing 8th graders,,7.0,"SMS fosters the habits of mind necessary for ethical and empathic community members and curious, imaginative, and resilient learners",,,,,
24Q293,718-271-1487,Q76A,8.0,,,,,,,,,,,,Civic Leadership Academy,,,,"The Opportunity Network, Weill Cornell Youth Scholars Program, Kaplan SAT Prep, Regents Prep, Peer Tutoring, College Awareness, College Tours",Limited Unscreened,Yes,,,,,,,,,,,,,,,120.0,,,,,,,"AP Biology, AP English Language and Composition",Then to New York City residents,,,,"CUNY College Now at Queens College; Science Technology Entry Program (STEP) Academy at Baruch College, New York University, and St. John's University",Priority to New York City residents who signed in at a fair or at an information session,,22.0,"After-School programs: Out-of-School Time (OST), The After-School Corporation (TASC)",,,,,
28Q686,718-286-3600,Q39Z,,,,,,,,,,,,,Zoned,,,,,Zoned Priority,Yes,,,,,,,,,,,,,,,,,Then to New York City residents,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP European History, AP U.S. Government and Politics, AP U.S. History",Then to Queens students or residents,,,,"Dance, Theater, College 101",Priority to students who apply and live in the zoned area,,,,,,,,
02M542,212-757-5274,M57B,11.0,,,,,"Course Grades: English (70-100), Math (67-100), Science (66-100), Social Studies (70-100)",Attendance,,,,Engineering,,Bilingual Spanish Information Technology and Computer Science,,,"Course Grades: English (70-100), Math (70-100), Science (70-100), Social Studies (70-100)","Honors, Advanced Placement, & College Courses",Screened: Language & Academics,Yes,,,,"Course Grades: English (70-100), Math (70-100), Science (70-100), Social Studies (70-100)",,,,,,,,,211.0,,50.0,,,Y,Engineering,,,"AP Computer Science, AP English Language and Composition, AP Environmental Science, AP Spanish",,,,,Dual Language and Transitional Bilingual Programs,,,10.0,"Peer Mentoring, Tutoring, and Homework Help",Open only to New York City residents whose home language is Spanish and are proficient in English,,,,
11X514,718-696-3820,X85R,4.0,,,,,,,,,,,,The Bronxwood Preparatory Academy,,,,"After-School Tutoring, Reading Excellence and Discovery (READ) Program, College Now, Guest Speakers, Trips",Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,"AP English Language and Composition, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,,,,,,
27Q260,718-471-2154,Q75X,2.0,,,,,,,,,,,,Frederick Douglass Academy VI High School,,,,"Pre-AP Biology, AP Biology, AP English Literature",Limited Unscreened,Yes,,,,,,,,,,,,,,,91.0,,Then to Queens students or residents,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition",Then to New York City residents who signed in at a fair or at an information session,,,,CUNY College Now Program with York College,Priority to Queens students or residents who signed in at a fair or at an information session,,17.0,,,,,,
14K,718-388-1260,K09X,8.0,,,,,,,,,,,,Architecture and Design,,,,Distinctive course of study that promotes both creative thought and technical proficiency.,Limited Unscreened,Yes,,,,,,,,,,,,,,,124.0,,Then to Brooklyn students or residents,,,,,"AP Environmental Science, AP Human Geography, AP Spanish",Then to New York City residents who signed in at a fair or at an information session,,,,Four-year Career & Technical Education (CTE) program: Architectural & Design.,Priority to Brooklyn students or residents who signed in at a fair or at an information session,,26.0,Guidance-driven approach to support students' learning styles and academic goals.,,,,,
03M299,212-799-4064,M11R,2.0,,,,,,,,,,,,The Maxine Greene High School for Imaginative Inquiry,,,,Arts- and inquiry-based instruction is integrated across the curriculum,Ed. Opt.,Yes,,,,,,,,,,,,,,,100.0,,,,,,,"AP English Literature and Composition, AP Environmental Science, AP Spanish, AP U.S. Government and Politics, AP U.S. History",,,,,"CTE program(s) in: Business, Management & Administration",Open to New York City residents,,20.0,Tuition-Free courses are offered through CUNY College Now at John Jay College of Criminal Justice and The City University of New York,,,,,
09X227,718-410-4077,X58X,5.0,,,,,,,,,,,,Bronx Collegiate Academy,,,,"Elective Courses: American Sign Language, Criminology, Forensics, SAT Prep, Art Technology, History Through Film, Economics, Government, Nutrition",Limited Unscreened,Yes,,,,,,,,,,,,,,,75.0,,,,,,,"AP Biology, AP European History, AP Spanish, AP U.S. History",Then to New York City residents,,,,"Honors Courses: English Language Arts, Chemistry, Government, Geometry, Algebra II & Trigonometry, Precalculus",Priority to New York City residents who signed in at a fair or at an information session,,20.0,"CASA (Community, Arts, Studies, Achievement); An after-school program for English as a New Language students of all levels",,,,,
17K382,718-564-2566,L21A,3.0,,,,,,,,,,,,Academy for College Preparation and Career Exploration,,,,"Internships and Mentoring Programs at local colleges, community-based organizations, and businesses",Limited Unscreened,Yes,,,,,,,,,,,,,,,67.0,,Then to New York City residents,,,,,"AP Biology, AP English Literature and Composition",Then to New York City residents who signed in at a fair or at an information session,,,,Advanced Placement Courses-AP for All initiative,Priority to continuing 8th graders,,14.0,SAT and Regents preparation supported by Brooklyn College (CUNY),,,,,
31R080,718-815-0186,R15J,9.032258034,,,,,,,,,,,,Comprehensive Academic for New Students,,,,"Special Arts Program with courses in instrumental, orchestral and vocal music",Ed. Opt.,Yes,,,,,,,,,,,,,,,62.0,,,,Humanities & Interdisciplinary,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Macroeconomics, AP Statistics, AP U.S. Government and Politics",,,,,"Unique, flexible, individualized programming encourages independence and builds organizational, time management and college readiness skills",,,15.0,,,,,,
14K488,718-486-2550,K07X,10.0,,,,,,,,,,,,Brooklyn Preparatory High School,,,,"Intensive college and career planning beginning in the ninth grade, including partnerships with College Bound Initiative.",Limited Unscreened,Yes,,,,,,,,,,,,,,,105.0,,Then to Brooklyn students or residents,,,,,"AP Calculus AB, AP Chemistry, AP English Literature and Composition, AP European History, AP Psychology, AP Spanish, AP Studio Art: 2-D Design, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,Academic Portfolio for assessment; students prepare and present a portfolio each semester highlighting and reflecting some of their best work.,Priority to Brooklyn students or residents who signed in at a fair or at an information session,,22.0,Small group Advisories for academic and social support.,,,,,
11X290,718-696-3340,X22A,8.0,,,,,,,,,,,,Bronx Academy of Health Careers,,,,"CPR/First Aid Certification, Bronx Community College Medical Billing and Coding Certification, and Peer Mediation Certification.",Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,"AP English Literature and Composition, AP Environmental Science",Then to New York City residents who signed in at a fair or at an information session,,,,"Emphasis on science & math; College Now courses, CUNY LINCT, and AP FOR ALL courses which are given within our school and with other campus schools.",Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,"Partnerships with New Yorkers Against Gun Violence, New York City Commission of Human Rights, Community Word Project, and College Access for All.",,,,,
03M403,212-877-1103,A17A,6.0,,,,,,,,,,,,The Global Learning Collaborative,,,,"College Partners: College Now at Hunter College, Science and Technology Entry Program at Fordham University, Double Discovery at Columbia University",Limited Unscreened,Yes,,,,,,,,,,,,,,,90.0,,Then to Manhattan students or residents,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. History",Then to New York City residents who signed in at a fair or at an information session,,,,"Seven Advanced Placement Courses: English Language, English Literature, US History, Calculus AB, Computer Science, Spanish Literature, Environmental Science",Priority to Manhattan students or residents who signed in at a fair or at an information session,,18.0,"Parent Workshops include: Art Therapy, ESL, College Readiness, Financial Aid/Scholarship Night",,,,,
28Q350,718-480-2689,Q26G,15.0,,,,,,,,,,,,Jamaica Gateway to the Sciences,,,,,Ed. Opt.,Yes,,,,,,,,,,,,,,,91.0,,,,,,,"AP Biology, AP Calculus AB, AP English Literature and Composition",Then to New York City residents,,,,"PSAT/SAT Prep, College Now, Tutoring, Internships, Volunteering, College Planning, Trips, Boys/Girls Groups, College-Readiness Courses, Regents Prep",Priority to Queens students or residents,,17.0,,,,,,
16K594,718-455-0746,L35A,3.0,,,,,,,,,,,,Gotham Professional Arts Academy,,,,Emphasis on arts and arts-related careers throughout the curriculum; Classes designed around student discussion; Advisory program,Limited Unscreened,Yes,,,,,,,1.0,,,,,,,,67.0,,,,,,,,Then to New York City residents,,,,Academic Portfolio required for graduation - Performance-Based Assessment Tasks (PBATs),Priority to New York City residents who signed in at a fair or at an information session,,14.0,,,,,,
