location,latitude,longitude,closed_date,cross_street_1,:@computed_region_yeji_bk3q,street_name,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-19T06:46:30.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.98888, 40.662247]}",40.662247,-73.98888,2025-12-18T04:36:49.000,6 AVENUE,2,17 STREET,9
"{'type': 'Point', 'coordinates': [-73.910716, 40.68068]}",40.68068,-73.910716,2025-12-14T15:20:40.000,ROCKAWAY AVENUE,2,MACDOUGAL STREET,55
"{'type': 'Point', 'coordinates': [-73.843022, 40.678664]}",40.678664,-73.843022,2025-12-20T13:10:41.000,LIBERTY AVENUE,3,95 STREET,62
"{'type': 'Point', 'coordinates': [-73.945297, 40.704587]}",40.704587,-73.945297,2025-12-24T00:41:13.000,SEIGEL STREET,2,MANHATTAN AVENUE,36
"{'type': 'Point', 'coordinates': [-74.028024, 40.627298]}",40.627298,-74.028024,2025-12-13T14:19:25.000,3 AVENUE,2,80 STREET,10
"{'type': 'Point', 'coordinates': [-73.910862, 40.695302]}",40.695302,-73.910862,2025-12-18T12:57:47.000,KNICKERBOCKER AVENUE,2,CORNELIA STREET,42
"{'type': 'Point', 'coordinates': [-74.023535, 40.626176]}",40.626176,-74.023535,2025-12-13T21:59:23.000,5 AVENUE,2,79 STREET,10
"{'type': 'Point', 'coordinates': [-73.888151, 40.819759]}",40.819759,-73.888151,2025-12-16T01:07:39.000,SENECA AVENUE,5,FAILE STREET,8
{''[4,40.703003,-73.914455,2025-12-14T22:46:18.000,WYCKOFF AVENUE,2,GREENE AVENUE,42
"{'type': 'Point', 'coordinates': [-73.96552, 40.767241]}",40.767241,-73.96552,2025-12-18T12:58:53.000,EAST 66 STREET,4,LEXINGTON AVENUE,23
"{'type': 'Point', 'coordinates': [-73.796759, 40.767047]}",40.767047,-73.796759,2025-12-18T14:31:45.000,33 AVENUE,3,169 STREET,22
"{'type': 'Point', 'coordinates': [-73.978823, 40.755689]}",40.755689,-73.978823,2025-12-16T21:31:56.000,EAST 45 STREET,4,5 AVENUE,11
"{'type': 'Point', 'coordinates': [-74.0273, 40.618723]}",40.618723,-74.0273,2025-12-11T02:41:19.000,90 STREET,2,90 STREET,10
"{'type': 'Point', 'coordinates': [-73.892972, 40.861104]}",40.861104,-73.892972,2025-12-23T08:19:36.000,EAST 188 STREET,5,MARION AVENUE,6
"{'type': 'Point', 'coordinates': [-73.980873, 40.758198]}",40.758198,-73.980873,2025-12-15T09:32:25.000,ROCKEFELLER PLAZA,4,WEST 48 STREET,11
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-21T13:56:38.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.993737, 40.643471]}",40.643471,-73.993737,2025-12-22T08:28:18.000,40 STREET,2,TENTH AVENUE,2
"{'type': 'Point', 'coordinates': [-73.822095, 40.714319]}",40.714319,-73.822095,2025-12-13T14:47:37.000,135 STREET,3,82 AVENUE,25
"{'type': 'Point', 'coordinates': [-73.898826, 40.658366]}",40.658366,-73.898826,2025-12-12T21:34:14.000,NEW LOTS AVENUE,2,VAN SINDEREN AVENUE,45
"{'type': 'Point', 'coordinates': [-73.965101, 40.713163]}",40.713163,-73.965101,2025-12-19T10:40:53.000,WYTHE AVENUE,2,SOUTH 3 STREET,36
"{'type': 'Point', 'coordinates': [-74.008504, 40.612056]}",40.612056,-74.008504,2025-12-15T10:09:41.000,15 AVENUE,2,85 STREET,1
"{'type': 'Point', 'coordinates': [-73.918133, 40.691997]}",40.691997,-73.918133,2025-12-15T01:18:59.000,EVERGREEN AVENUE,2,PALMETTO STREET,42
"{'type': 'Point', 'coordinates': [-73.85065, 40.785297]}",40.785297,-73.85065,2025-12-19T10:58:55.000,14 AVENUE,3,117 STREET,22
"{'type': 'Point', 'coordinates': [-73.987573, 40.755857]}",40.755857,-73.987573,2025-12-17T10:44:59.000,WEST 41 STREET,4,TIMES SQUARE,11
"{'type': 'Point', 'coordinates': [-73.910942, 40.889321]}",40.889321,-73.910942,2025-12-20T20:24:35.000,HENRY HUDSON PARKWAY WEST,5,WEST 239 STREET,48
"%{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,2025-12-22T10:12:54.000,71 AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.795246, 40.682742]}",40.682742,-73.795246,2025-12-24T01:37:42.000,115 AVENUE,3,147 STREET,41
"{'type': 'Point', 'coordinates': [-73.920563, 40.758822]}",40.758822,-73.920563,2025-12-16T12:04:15.000,BROADWAY,3,38 STREET,39
"{'type': 'Point', 'coordinates': [-73.87801, 40.831133]}",40.831133,-73.87801,2025-12-23T13:55:56.000,WESTCHESTER AVENUE,5,WARD AVENUE,58
"{'type': 'Point', 'coordinates': [-73.910164, 40.779655]}",40.779655,-73.910164,2025-12-15T11:54:22.000,20 AVENUE,3,28 STREET,39
"{'type': 'Point', 'coordinates': [-73.871713, 40.673013]}",40.673013,-73.871713,2025-12-21T12:39:15.000,DOSCHER STREET,2,SUTTER AVENUE,45
"{'type': 'Point', 'coordinates': [-73.983632, 40.736215]}",40.736215,-73.983632,2025-12-10T21:45:09.000,3 AVENUE,4,EAST 19 STREET,71
"{'type': 'Point', 'coordinates': [-73.874071, 40.688153]}",40.688153,-73.874071,2025-12-10T23:16:58.000,CRESCENT STREET,2,WHARTON PLACE,45
"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}",40.672731,-73.90056,2025-12-18T22:51:26.000,HINSDALE STREET,2,GLENMORE AVENUE,45
"{'type': 'Point', 'coordinates': [-73.961948, 40.694391]}",40.694391,-73.961948,2025-12-11T19:55:26.000,PARK AVENUE,2,EMERSON PLACE,68
"{'type': 'Point', 'coordinates': [-73.951519, 40.664142]}",40.664142,-73.951519,2025-12-16T09:32:44.000,ROGERS AVENUE,2,EMPIRE BOULEVARD,17
"{'type': 'Point', 'coordinates': [-73.96183, 40.661566]}",40.661566,-73.96183,2025-12-20T04:20:51.000,EMPIRE BOULEVARD,2,FLATBUSH AVENUE,17
"{'type': 'Point', 'coordinates': [-73.987492, 40.606769]}",40.606769,-73.987492,2025-12-22T09:57:59.000,AVENUE P,2,STILLWELL AVENUE,1
"{'type': 'Point', 'coordinates': [-73.914099, 40.699086]}",40.699086,-73.914099,2025-12-24T01:08:16.000,IRVING AVENUE,2,LINDEN STREET,42
"{'type': 'Point', 'coordinates': [-73.866287, 40.743445]}",40.743445,-73.866287,2025-12-10T14:46:08.000,ALSTYNE AVENUE,3,CORONA AVENUE,66
"{'type': 'Point', 'coordinates': [-73.841512, 40.578076]}",40.578076,-73.841512,2025-12-13T13:42:49.000,BEACH 121 STREET,3,ROCKAWAY BEACH BOULEVARD,51
"{'type': 'Point', 'coordinates': [-73.815508, 40.714369]}",40.714369,-73.815508,2025-12-13T08:56:15.000,COOLIDGE AVENUE,3,DANIELS STREET,25
"{'type': 'Point', 'coordinates': [-74.028888, 40.616442]}",40.616442,-74.028888,2025-12-12T03:20:07.000,92 STREET,2,GELSTON AVENUE,10
"{'type': 'Point', 'coordinates': [-73.941001, 40.754498]}",40.754498,-73.941001,2025-12-20T16:51:49.000,40 AVENUE,3,22 STREET,39
"{'type': 'Point', 'coordinates': [-73.879457, 40.754318]}",40.754318,-73.879457,2025-12-21T22:15:24.000,34 AVENUE,3,34 AVENUE,65
{''[4,40.743072,-73.954735,2025-12-16T06:06:38.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-12T07:31:41.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.939732, 40.592816]}",40.592816,-73.939732,2025-12-20T16:57:58.000,AVENUE X,2,HARING STREET,32
"{'type': 'Point', 'coordinates': [-73.935228, 40.814769]}",40.814769,-73.935228,2025-12-23T15:14:08.000,WEST 138 STREET,4,5 AVENUE,7
"{'type': 'Point', 'coordinates': [-73.943073, 40.593784]}",40.593784,-73.943073,2025-12-11T01:37:50.000,EAST 27 STREET,2,AVENUE X,32
"{'type': 'Point', 'coordinates': [-73.945853, 40.629081]}",40.629081,-73.945853,2025-12-23T05:12:26.000,EAST 31 STREET,2,AVENUE I,5
"{'type': 'Point', 'coordinates': [-73.974074, 40.680426]}",40.680426,-73.974074,2025-12-20T13:05:00.000,6 AVENUE,2,BERGEN STREET,16
"{'type': 'Point', 'coordinates': [-73.870271, 40.743066]}",40.743066,-73.870271,2025-12-10T14:31:24.000,94 STREET,3,46 AVENUE,66
"{'type': 'Point', 'coordinates': [-73.760846, 40.712786]}",40.712786,-73.760846,2025-12-19T10:31:54.000,197 STREET,3,CARPENTER AVENUE,41
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-17T13:51:55.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.745031, 40.696135]}",40.696135,-73.745031,2025-12-19T14:32:04.000,LINDEN BOULEVARD,3,NASHVILLE BOULEVARD,63
"{'type': 'Point', 'coordinates': [-73.953048, 40.669259]}",40.669259,-73.953048,2025-12-16T11:11:24.000,EASTERN PARKWAY,2,ROGERS AVENUE,17
"{'type': 'Point', 'coordinates': [-73.981002, 40.760542]}",40.760542,-73.981002,2025-12-20T17:20:31.000,AVENUE OF THE AMERICAS,4,WEST 50 STREET,11
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-15T17:19:19.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-22T10:14:15.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.994791, 40.720387]}",40.720387,-73.994791,2025-12-12T22:26:23.000,BROOME STREET,4,ELIZABETH STREET,57
"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,2025-12-17T11:21:21.000,71 AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.955569, 40.785298]}",40.785298,-73.955569,2025-12-16T17:15:22.000,EAST 93 STREET,4,EAST 93 STREET,23
"{'type': 'Point', 'coordinates': [-73.873211, 40.728656]}",40.728656,-73.873211,2025-12-12T07:13:12.000,85 STREET,3,60 DRIVE,54
"{'type': 'Point', 'coordinates': [-73.855116, 40.682556]}",40.682556,-73.855116,2025-12-21T11:57:21.000,ROCKAWAY BOULEVARD,3,85 STREET,46
"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}_",40.672731,-73.90056,2025-12-23T04:21:04.000,HINSDALE STREET,2,GLENMORE AVENUE,45
"{'type': 'Point', 'coordinates': [-73.957124, 40.608626]}",40.608626,-73.957124,2025-12-13T15:45:16.000,KINGS HIGHWAY,2,EAST 16 STREET,32
"{'type': 'Point', 'coordinates': [-74.028249, 40.631816]}",40.631816,-74.028249,2025-12-21T04:48:35.000,RIDGE BOULEVARD,2,BAY RIDGE PARKWAY,10
"{'type': 'Point', 'coordinates': [-73.954825, 40.604961]}",40.604961,-73.954825,2025-12-14T23:01:49.000,AVENUE R,2,EAST 18 STREET,32
"{'type': 'Point', 'coordinates': [-73.87961, 40.743702]}",40.743702,-73.87961,2025-12-22T02:58:49.000,VIETOR AVENUE,3,JUDGE STREET,66
"{'type': 'Point', 'coordinates': [-73.973806, 40.681815]}*",40.681815,-73.973806,2025-12-13T15:02:28.000,6 AVENUE,2,DEAN STREET,16
"{'type': 'Point', 'coordinates': [-73.99275, 40.641085]}",40.641085,-73.99275,2025-12-11T11:10:08.000,FORT HAMILTON PARKWAY,2,43 STREET,2
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-22T13:45:01.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-21T13:53:13.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-74.009647, 40.644977]}",40.644977,-74.009647,2025-12-22T14:35:36.000,5 AVENUE,2,50 STREET,9
"{'type': 'Point', 'coordinates': [-73.861201, 40.690314]}",40.690314,-73.861201,2025-12-13T16:04:15.000,80 STREET,3,88 AVENUE,46
"{'type': 'Point', 'coordinates': [-73.905579, 40.725646]}",40.725646,-73.905579,2025-12-12T08:38:52.000,60 STREET,3,55 DRIVE,54
"{'type': 'Point', 'coordinates': [-73.900852, 40.866628]}",40.866628,-73.900852,2025-12-15T20:27:27.000,GRAND AVENUE,5,WEST 192 STREET,24
"{'type': 'Point', 'coordinates': [-74.09192, 40.570656]}",40.570656,-74.09192,2025-12-18T19:49:54.000,BADEN PLACE,1,LINCOLN AVENUE,30
"{'type': 'Point', 'coordinates': [-73.874071, 40.688153]}",40.688153,-73.874071,2025-12-10T23:16:57.000,CRESCENT STREET,2,WHARTON PLACE,45
"{'type': 'Point', 'coordinates': [-73.979945, 40.757805]}",40.757805,-73.979945,2025-12-16T10:17:25.000,ROCKEFELLER PLAZA,4,WEST 48 STREET,11
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-21T03:04:56.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.946891, 40.704535]}",40.704535,-73.946891,2025-12-19T04:17:55.000,MOORE STREET,2,LEONARD STREET,36
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-12T08:28:48.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.986226, 40.688937]}",40.688937,-73.986226,2025-12-21T14:45:15.000,SCHERMERHORN STREET,2,HOYT STREET,68
"{'type': 'Point', 'coordinates': [-73.822095, 40.714319]}",40.714319,-73.822095,2025-12-18T18:13:38.000,135 STREET,3,82 AVENUE,25
"{'type': 'Point', 'coordinates': [-73.961575, 40.683711]}",40.683711,-73.961575,2025-12-13T11:39:32.000,GATES AVENUE,2,GRAND AVENUE,68
"{'type': 'Point', 'coordinates': [-73.978451, 40.756037]}",40.756037,-73.978451,2025-12-16T21:33:13.000,5 AVENUE,4,EAST 46 STREET,11
"{'type': 'Point', 'coordinates': [-73.738514, 40.658566]}",40.658566,-73.738514,2025-12-21T19:06:02.000,243 STREET,3,MAYDA ROAD,63
"{'type': 'Point', 'coordinates': [-74.034004, 40.633922]}",40.633922,-74.034004,2025-12-10T21:52:44.000,NARROWS AVENUE,2,74 STREET,10
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-14T14:16:10.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.879847, 40.74427]}",40.74427,-73.879847,2025-12-18T17:10:04.000,VIETOR AVENUE,3,JUDGE STREET,66
"{'type': 'Point', 'coordinates': [-73.874771, 40.674043]}",40.674043,-73.874771,2025-12-15T08:03:06.000,PITKIN AVENUE,2,FOUNTAIN AVENUE,45
"{'type': 'Point', 'coordinates': [-73.847254, 40.881937]}",40.881937,-73.847254,2025-12-17T14:47:49.000,EASTCHESTER ROAD,5,EAST 223 STREET,29
"{'type': 'Point', 'coordinates': [-74.092037, 40.595507]}",40.595507,-74.092037,2025-12-24T00:57:56.000,WILSON STREET,1,WILSON STREET,30
"{'type': 'Point', 'coordinates': [-73.978451, 40.756037]}",40.756037,-73.978451,2025-12-22T18:09:52.000,5 AVENUE,4,EAST 46 STREET,11
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-11T05:55:55.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-23T04:44:52.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.909433, 40.847606]}",40.847606,-73.909433,2025-12-23T07:23:02.000,WALTON AVENUE,5,HENWOOD PLACE,6
"{'type': 'Point', 'coordinates': [-73.870271, 40.743066]}",40.743066,-73.870271,2025-12-21T00:42:38.000,94 STREET,3,46 AVENUE,66
"{'type': 'Point', 'coordinates': [-73.978975, 40.756657]}",40.756657,-73.978975,2025-12-19T20:11:07.000,EAST 46 STREET,4,5 AVENUE,11
"{'type': 'Point', 'coordinates': [-73.887732, 40.703807]}",40.703807,-73.887732,,70 AVENUE,3,67 STREET,54
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-23T13:36:44.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-74.034836, 40.612073]}",40.612073,-74.034836,2025-12-22T11:12:27.000,3 AVENUE,2,SHORE ROAD,10
"{'type': 'Point', 'coordinates': [-73.979162, 40.756356]}",40.756356,-73.979162,2025-12-19T20:10:48.000,EAST 46 STREET,4,5 AVENUE,11
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-21T13:52:54.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.856525, 40.838613]}",40.838613,-73.856525,2025-12-22T04:24:37.000,ST RAYMOND AVENUE,5,ODELL STREET,58
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,2025-12-22T02:48:25.000,LORIMER STREET,2,MESEROLE AVENUE,36
"{'type': 'Point', 'coordinates': [-73.905022, 40.881022]}",40.881022,-73.905022,2025-12-12T23:02:23.000,WEST 232 STREET,5,KINGSBRIDGE AVENUE,48
"{'type': 'Point', 'coordinates': [-73.978013, 40.628781]}",40.628781,-73.978013,2025-12-23T11:42:09.000,47 STREET,2,LAWRENCE AVENUE,2
"{'type': 'Point', 'coordinates': [-73.957756, 40.668432]}",40.668432,-73.957756,2025-12-11T01:01:08.000,FRANKLIN AVENUE,2,PRESIDENT STREET,17
"{'type': 'Point', 'coordinates': [-74.028117, 40.617562]}",40.617562,-74.028117,2025-12-10T13:48:58.000,90 STREET,2,GELSTON AVENUE,10
"{'type': 'Point', 'coordinates': [-73.871966, 40.751412]}",40.751412,-73.871966,2025-12-20T20:12:45.000,35 AVENUE,3,95 STREET,65
"{'type': 'Point', 'coordinates': [-73.879506, 40.827166]}",40.827166,-73.879506,2025-12-20T14:30:31.000,WATSON AVENUE,5,WHEELER AVENUE,58
"{'type': 'Point', 'coordinates': [-73.831134, 40.741851]}",40.741851,-73.831134,2025-12-11T07:12:10.000,DEAD END,3,62 AVENUE,22
"{'type': 'Point', 'coordinates': [-73.795346, 40.682945]}",40.682945,-73.795346,2025-12-24T00:06:49.000,115 AVENUE,3,147 STREET,41
"{'type': 'Point', 'coordinates': [-73.838902, 40.679438]}",40.679438,-73.838902,2025-12-12T10:06:13.000,100 STREET,3,ROCKAWAY BOULEVARD,62
"{'type': 'Point', 'coordinates': [-73.990656, 40.617807]}",40.617807,-73.990656,2025-12-16T13:37:46.000,18 AVENUE,2,67 STREET,1
"{'type': 'Point', 'coordinates': [-73.920343, 40.644094]}",40.644094,-73.920343,2025-12-11T15:11:12.000,EAST 59 STREET,2,DITMAS AVENUE,61
"{'type': 'Point', 'coordinates': [-73.812824, 40.73122]}",40.73122,-73.812824,2025-12-20T20:37:28.000,JEWEL AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.832211, 40.692351]}",40.692351,-73.832211,2025-12-17T00:44:00.000,ATLANTIC AVENUE,3,114 STREET,46
"{'type': 'Point', 'coordinates': [-73.936455, 40.713997]}",40.713997,-73.936455,2025-12-11T03:45:34.000,CATHERINE STREET,2,DEVOE STREET,36
"{'type': 'Point', 'coordinates': [-73.979545, 40.757637]}",40.757637,-73.979545,2025-12-19T10:36:48.000,5 AVENUE,4,WEST 48 STREET,11
"{'type': 'Point', 'coordinates': [-73.930246, 40.680543]}",40.680543,-73.930246,2025-12-22T09:23:17.000,STUYVESANT AVENUE,2,CHAUNCEY STREET,69
"{'type': 'Point', 'coordinates': [-73.905022, 40.881022]}",40.881022,-73.905022,2025-12-18T16:57:27.000,WEST 232 STREET,5,KINGSBRIDGE AVENUE,48
"{'type': 'Point', 'coordinates': [-73.950183, 40.745423]}",40.745423,-73.950183,2025-12-15T11:41:20.000,11 STREET,3,46 ROAD,53
"{'type': 'Point', 'coordinates': [-73.910219, 40.773444]}",40.773444,-73.910219,2025-12-21T10:42:22.000,DITMARS BOULEVARD,3,35 STREET,39
"{'type': 'Point', 'coordinates': [-74.006973, 40.612073]}",40.612073,-74.006973,2025-12-13T19:31:50.000,15 AVENUE,2,84 STREET,1
"{'type': 'Point', 'coordinates': [-73.957232, 40.698685]}",40.698685,-73.957232,2025-12-23T08:38:24.000,SKILLMAN STREET,2,FLUSHING AVENUE,69
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-17T03:49:39.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.981002, 40.760542]}",40.760542,-73.981002,2025-12-13T16:57:06.000,AVENUE OF THE AMERICAS,4,WEST 50 STREET,11
"{'type': 'Point', 'coordinates': [-74.005851, 40.635387]}",40.635387,-74.005851,2025-12-20T22:31:17.000,9 AVENUE,2,58 STREET,2
"{'type': 'Point', 'coordinates': [-74.028289, 40.622398]}",40.622398,-74.028289,2025-12-23T14:42:58.000,4 AVENUE,2,86 STREET,10
"{'type': 'Point', 'coordinates': [-73.896188, 40.751013]}",40.751013,-73.896188,2025-12-20T22:58:59.000,34 AVENUE,3,70 STREET,65
"{'type': 'Point', 'coordinates': [-73.914933, 40.879476]}",40.879476,-73.914933,2025-12-11T01:32:56.000,BEND,5,NETHERLAND AVENUE,48
"{'type': 'Point', 'coordinates': [-73.871204, 40.74406]}",40.74406,-73.871204,2025-12-21T15:21:10.000,FORLEY STREET,3,43 AVENUE,66
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,2025-12-10T17:04:23.000,168 STREET,3,UNION TURNPIKE,25
"{'type': 'Point', 'coordinates': [-73.910716, 40.68068]}",40.68068,-73.910716,2025-12-14T09:06:25.000,ROCKAWAY AVENUE,2,MACDOUGAL STREET,55
"{'type': 'Point', 'coordinates': [-73.969021, 40.605687]}",40.605687,-73.969021,2025-12-11T13:16:17.000,QUENTIN ROAD,2,EAST FOURTH STREET,32
"{'type': 'Point', 'coordinates': [-73.892602, 40.736562]}",40.736562,-73.892602,2025-12-12T11:48:10.000,DEAD END,3,72 STREET,53
"{'type': 'Point', 'coordinates': [-73.938983, 40.592863]}",40.592863,-73.938983,2025-12-21T13:32:26.000,AVENUE X,2,HARING STREET,32
"{'type': 'Point', 'coordinates': [-73.890874, 40.745384]}",40.745384,-73.890874,2025-12-14T21:23:00.000,BROADWAY,3,74 STREET,66
"{'type': 'Point', 'coordinates': [-73.832172, 40.852479]}",40.852479,-73.832172,2025-12-13T02:55:23.000,MAYFLOWER AVENUE,5,EAST 194 STREET,43
"{'type': 'Point', 'coordinates': [-73.765047, 40.656016]}",40.656016,-73.765047,2025-12-18T17:22:45.000,182 STREET,3,150 DRIVE,63
"{'type': 'Point', 'coordinates': [-73.982625, 40.6562]}",40.6562,-73.982625,2025-12-16T18:11:57.000,PROSPECT PARK WEST,2,20 STREET,9
"{'type': 'Point', 'coordinates': [-73.940272, 40.84313]}",40.84313,-73.940272,2025-12-21T11:56:30.000,BROADWAY,4,WEST 170 STREET,47
"{'type': 'Point', 'coordinates': [-74.013749, 40.704036]}",40.704036,-74.013749,2025-12-18T14:33:57.000,STONE STREET,4,BOWLING GREEN,56
"{'type': 'Point', 'coordinates': [-73.798844, 40.693653]}",40.693653,-73.798844,2025-12-18T08:52:16.000,SUTPHIN BOULEVARD,3,YATES ROAD,41
"{'type': 'Point', 'coordinates': [-73.768524, 40.711149]}",40.711149,-73.768524,2025-12-14T23:19:27.000,BEND,3,191 STREET,41
"{'type': 'Point', 'coordinates': [-73.995114, 40.640759]}",40.640759,-73.995114,2025-12-22T16:12:34.000,10 AVENUE,2,45 STREET,2
"{'type': 'Point', 'coordinates': [-73.978259, 40.727538]}",40.727538,-73.978259,2025-12-17T09:47:51.000,AVENUE B,4,EAST 12 STREET,70
"{'type': 'Point', 'coordinates': [-74.001704, 40.751985]}",40.751985,-74.001704,2025-12-22T22:14:53.000,HIGH LINE,4,WEST 30 STREET,12
"{'type': 'Point', 'coordinates': [-73.959546, 40.611945]}",40.611945,-73.959546,2025-12-22T22:37:05.000,AVENUE O,2,EAST 14 STREET,60
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-10T13:46:20.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.939877, 40.68012]}",40.68012,-73.939877,2025-12-22T21:22:09.000,THROOP AVENUE,2,FULTON STREET,69
"{'type': 'Point', 'coordinates': [-73.808077, 40.695662]}",40.695662,-73.808077,2025-12-14T09:50:39.000,97 AVENUE,3,ALLENDALE STREET,41
"{'type': 'Point', 'coordinates': [-73.969823, 40.681169]}",40.681169,-73.969823,2025-12-11T17:40:04.000,CARLTON AVENUE,2,DEAN STREET,16
