final_address,pkc_indistrict_all,district_3,district_indistrict,programname1,nyceec_others_all,district_indistrict_1,nyceec_siblings_all,district_outdissibs_1,district_zonedsib_1,seats,iepnote,specialpriority,subway_stop,nyceec_others_none,diversity,district_outdissibs,pkc_indistrict_some
"460 West 34th Street, Manhattan NY 10001",,,,Full-Day Program,x,,x,,,8 Full-Day,,,1 2 3 A C E,,,,
"1711 Haight Avenue, Bronx NY 10461",,,,Full-Day Program,x,,x,,,136 Full-Day,,,,,,,
"383 3rd Avenue, Brooklyn NY 11215",,,,Full-Day Program,x,,x,,,45 Full-Day,,,F G R,,,,
"2962 Harding Avenue, Bronx NY 10465",,,,Full-Day Program,,,x,,,54 Full-Day,,,,,,,
"41 West 117th Street, Manhattan NY 10026",,,,Full-Day Program,x,,x,,,40 Full-Day,,,2 3 6 B C,,,,
"1723 8th Avenue, Brooklyn NY 11215",,,,Full-Day Program,x,,x,,,32 Full-Day,"If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.",,F G,,,,
"4550 Carpenter Avenue, Bronx NY 10470",,,,Full-Day Program,,x,,,,36 Full-Day,,,2 5,,,x,
"475 West 155th Street, Manhattan NY 10032",,,x,Full-Day Program,,,,,,36 Full-Day,,,1 A B C D,,,x,
"130 Brighton 11th Street, Brooklyn NY 11235",,,,Full-Day Program,x,,x,,,18 Full-Day,,,B Q,,,,
"1990 Amsterdam Avenue, Manhattan NY 10032",,,,Full-Day Program,x,,x,,,"20 Full-Day, 36 Half-Day",,,1 A C,,,,
"10 Reade Street, Manhattan NY 10007",x,,,Full-Day Program,,,,,,36 Full-Day,,,1 2 3 4 5 6 A C E J N Q R Z,,,,
"321 Roebling Street, Brooklyn NY 11211",,,,Full-Day Program,x,,x,,,35 Full-Day,,,J M Z,,,,
"1423 62nd Street, Brooklyn NY 11219",x,,,Full-Day Program,,,,,,324 Full-Day,,,D N,,,,
"180 Mott Street, Manhattan NY 10012",,,,Half-Day Program,,,,,,36 Half-Day,,,4 6 A B C D E F J M N Q R Z,,,,
"71 Lincoln Place, Brooklyn NY 11217",,,,Full-Day Program,,,x,,,80 Full-Day,,,2 3 4 5 B D N Q R,,,,
"17 Hinsdale Street, Brooklyn NY 11207",,,,Full-Day Program,x,,x,,,72 Full-Day,,,A C J L Z,,,,
"2090 First Avenue, Manhattan NY 10029",,,,Full-Day Program,x,,x,,,20 Full-Day,,,6,,,,
"1780 Dr. Martin Luther King Jr. Boulevard, Bronx NY 10453",,,,Full-Day Program,,x,,,,36 Full-Day,,,4 B D,,,x,
