printed_name,alphabetic_name_long,precinct,type,:@computed_region_92fq_4b7q,id,seventh_priority07,:@computed_region_efsh_h5xi,ell_data,council_district,zip,loc,:@computed_region_sbqj_enih,sixth_priority06,psal_sports_co_ed
Eagle Academy for Young Men,Eagle Academy for Young Men,48,School,22,http://nyc.pediacities.com/Resource/School/eagle_academy_for_young_men,,10935.0,ESL,15.0,10457,"[-73.897176,40.845264]",31,,
"The School for Classics: An Academy of Thinkers, Writers and Performers","School for Classics: An Academy of Thinkers, Writers and Performers, The",75,School,25,http://nyc.pediacities.com/Resource/School/the_school_for_classics_an_academy_of_thinkers_writers_and_performers,,17215.0,ESL,42.0,11208,"[-73.874515,40.670026]",47,,
Bronx School of Law and Finance,Bronx School of Law and Finance,50,School,39,http://nyc.pediacities.com/Resource/School/bronx_school_of_law_and_finance,,11272.0,ESL,10.0,10463,"[-73.9126169,40.8770697]",33,,
The High School for Global Citizenship,"High School for Global Citizenship, The",71,School,48,http://nyc.pediacities.com/Resource/School/the_high_school_for_global_citizenship,,13509.0,ESL,35.0,11225,"[-73.960668,40.669806]",44,,
Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School,81,School,49,http://nyc.pediacities.com/Resource/School/frederick_douglass_academy_iv_secondary_school,,18181.0,ESL,36.0,11221,"[-73.93148939999999,40.6921497]",52,,
Bronx Career and College Preparatory High School,Bronx Career and College Preparatory High School,42,School,42,http://nyc.pediacities.com/Resource/School/bronx_career_and_college_preparatory_high_school,,10934.0,ESL,16.0,10456,"[-73.90059699999999,40.826916]",25,,
University Neighborhood High School,University Neighborhood High School,7,School,32,http://nyc.pediacities.com/Resource/School/university_neighborhood_high_school,,11723.0,ESL; Transitional Bilingual Program: Chinese (Mandarin),1.0,10002,"[-73.983823,40.712235]",4,,
Frederick Douglass Academy VII High School,Frederick Douglass Academy VII High School,73,School,17,http://nyc.pediacities.com/Resource/School/frederick_douglass_academy_vii_high_school,,17614.0,ESL,41.0,11212,"[-73.9116714,40.6657215]",46,,Double Dutch
Fort Hamilton High School,Fort Hamilton High School,68,School,44,http://nyc.pediacities.com/Resource/School/fort_hamilton_high_school,,17216.0,"ESL; Transitional Bilingual Program: Arabic, Chinese (Mandarin), Spanish",43.0,11209,"[-74.03808699999999,40.626814]",41,,
Validus Preparatory Academy: An Expeditionary Learning School,Validus Preparatory Academy: An Expeditionary Learning School,42,School,42,http://nyc.pediacities.com/Resource/School/validus_preparatory_academy_an_expeditionary_learning_school,,10935.0,ESL,16.0,10457,"[-73.901765,40.839491]",25,,Cross Country
Stephen T. Mather Building Arts & Craftsmanship High School,Stephen T. Mather Building Arts & Craftsmanship High School,5,School,32,http://nyc.pediacities.com/Resource/School/stephen_t_mather_building_arts_craftsmanship_high_school,,13096.0,ESL,1.0,10038,"[-74.0013216,40.7110316]",2,,
Brooklyn Frontiers High School,Brooklyn Frontiers High School,84,School,38,http://nyc.pediacities.com/Resource/School/brooklyn_frontiers_high_school,,16865.0,ESL,33.0,11201,"[-73.98938099999999,40.689987]",54,,
Bronx Collegiate Academy,Bronx Collegiate Academy,44,School,42,http://nyc.pediacities.com/Resource/School/bronx_collegiate_academy,,10935.0,ESL,16.0,10457,"[-73.911384,40.839295]",27,,
August Martin High School,August Martin High School,113,School,46,http://nyc.pediacities.com/Resource/School/august_martin_high_school,,24669.0,ESL,28.0,11434,"[-73.782673,40.673947]",71,,
Energy Tech High School,Energy Tech High School,114,School,33,http://nyc.pediacities.com/Resource/School/energy_tech_high_school,,16863.0,ESL,26.0,11106,"[-73.9325837,40.7564951]",72,,
Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,120,School,13,http://nyc.pediacities.com/Resource/School/ralph_r_mckee_career_and_technical_education_high_school,,10369.0,ESL,49.0,10301,"[-74.0787503,40.6428034]",74,,Fencing
ACORN Community High School,ACORN Community High School,77,School,48,http://nyc.pediacities.com/Resource/School/acorn_community_high_school,,13829.0,ESL,35.0,11238,"[-73.961618,40.678569]",49,,
International Community High School,International Community High School,40,School,35,http://nyc.pediacities.com/Resource/School/international_community_high_school,,10932.0,ESL,8.0,10454,"[-73.9180559,40.8099078]",23,,
Harry S Truman High School,Harry S Truman High School,45,School,2,http://nyc.pediacities.com/Resource/School/harry_s_truman_high_school,,12344.0,ESL,12.0,10475,"[-73.831687,40.87404]",28,,
Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,113,School,47,http://nyc.pediacities.com/Resource/School/preparatory_academy_for_writers_a_college_board_school,,15313.0,ESL,31.0,11413,"[-73.75689609999999,40.6682589]",71,,
John Dewey High School,John Dewey High School,60,School,45,http://nyc.pediacities.com/Resource/School/john_dewey_high_school,,18183.0,ESL; Transitional Bilingual Program: Chinese (Mandarin),47.0,11223,"[-73.9818322,40.5892496]",35,,
Bronx Health Sciences High School,Bronx Health Sciences High School,45,School,2,http://nyc.pediacities.com/Resource/School/bronx_health_sciences_high_school,,12344.0,ESL,12.0,10475,"[-73.831687,40.87404]",28,,
"Mathematics, Science Research and Technology Magnet High School","Mathematics, Science Research and Technology Magnet High School",105,School,6,http://nyc.pediacities.com/Resource/School/mathematics_science_research_and_technology_magnet_high_school,,15311.0,ESL,27.0,11411,"[-73.7458189,40.6978018]",63,,
Academy of Innovative Technology,Academy of Innovative Technology,75,School,37,http://nyc.pediacities.com/Resource/School/academy_of_innovative_technology,,17215.0,ESL,37.0,11208,"[-73.868927,40.69228]",47,,
High School for Law Enforcement and Public Safety,High School for Law Enforcement and Public Safety,113,School,46,http://nyc.pediacities.com/Resource/School/high_school_for_law_enforcement_and_public_safety,,24669.0,ESL,28.0,11434,"[-73.7840523,40.6860804]",71,,Double Dutch
HSFEAT,High School for  Energy and Technology,48,School,22,http://nyc.pediacities.com/Resource/School/high_school_for_energy_and_technology,,10936.0,ESL,15.0,10458,"[-73.88248849999999,40.856088]",31,,
Victory Collegiate High School,Victory Collegiate High School,69,School,8,http://nyc.pediacities.com/Resource/School/victory_collegiate_high_school,,13827.0,ESL,46.0,11236,"[-73.91707199999999,40.633142]",42,,
Medgar Evers College Preparatory School,Medgar Evers College Preparatory School,71,School,48,http://nyc.pediacities.com/Resource/School/medgar_evers_college_preparatory_school,,13509.0,ESL,35.0,11225,"[-73.95079199999999,40.6671654]",44,,"Swimming, Volleyball"
The Felisa Rincon de Gautier Institute for Law and Public Policy,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",43,School,43,http://nyc.pediacities.com/Resource/School/felisa_rincon_de_gautier_institute_for_law_and_public_policy_the,,11611.0,ESL,17.0,10473,"[-73.88174529999999,40.8211251]",26,,
The Metropolitan Soundview High School,"Metropolitan Soundview High School, The",43,School,31,http://nyc.pediacities.com/Resource/School/the_metropolitan_soundview_high_school,,11610.0,ESL,18.0,10472,"[-73.87883280000001,40.831291]",26,,
Academy of Urban Planning,Academy of Urban Planning,83,School,37,http://nyc.pediacities.com/Resource/School/academy_of_urban_planning,,18181.0,ESL,37.0,11237,"[-73.91082249999999,40.6969825]",53,,
Vanguard High School,Vanguard High School,19,School,1,http://nyc.pediacities.com/Resource/School/vanguard_high_school,,10090.0,ESL,5.0,10065,"[-73.95993299999999,40.765295]",11,,
JMCSS,Juan Morel Campos Secondary School,90,School,38,http://nyc.pediacities.com/Resource/School/juan_morel_campos_secondary_school,,17213.0,ESL; Transitional Bilingual Program: Spanish,33.0,11206,"[-73.9532557,40.7035561]",56,,Handball
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,20,School,19,http://nyc.pediacities.com/Resource/School/fiorello_h_laguardia_high_school_of_music_art_and_performing_arts,,12420.0,ESL,6.0,10023,"[-73.985356,40.774139]",12,,
Women's Academy of Excellence,Women's Academy of Excellence,43,School,31,http://nyc.pediacities.com/Resource/School/women_s_academy_of_excellence,,11611.0,ESL,18.0,10473,"[-73.85631149999999,40.8150049]",26,,
Belmont Preparatory High School,Belmont Preparatory High School,48,School,22,http://nyc.pediacities.com/Resource/School/belmont_preparatory_high_school,,10936.0,ESL,15.0,10458,"[-73.8875889,40.8597019]",31,,"Fencing, Outdoor Track, Swimming"
The Bronx Compass High School,"Bronx Compass High School, The",43,School,31,http://nyc.pediacities.com/Resource/School/bronx_compass_high_school,,11611.0,ESL,18.0,10473,"[-73.8559569,40.8223255]",26,,
Manhattan Bridges High School,Manhattan Bridges High School,18,School,10,http://nyc.pediacities.com/Resource/School/manhattan_bridges_high_school,,12081.0,ESL; Transitional Bilingual Program: Spanish; Dual Language Program: Spanish,3.0,10019,"[-73.9931088,40.7653384]",10,,"Bowling, Tennis"
High School for Health Careers and Sciences,High School for Health Careers and Sciences,34,School,39,http://nyc.pediacities.com/Resource/School/high_school_for_health_careers_and_sciences,,13098.0,ESL; Transitional Bilingual Program: Spanish,10.0,10040,"[-73.92657899999999,40.85650830000001]",22,,
Long Island City High School,Long Island City High School,114,School,4,http://nyc.pediacities.com/Resource/School/long_island_city_high_school,,16863.0,ESL; Transitional Bilingual Program: Spanish,22.0,11106,"[-73.93296669999999,40.7656043]",72,,
Hillcrest High School,Hillcrest High School,107,School,24,http://nyc.pediacities.com/Resource/School/hillcrest_high_school,,24340.0,ESL; Transitional Bilingual Program: Spanish,24.0,11432,"[-73.8021751,40.7090353]",65,,
Landmark High School,Landmark High School,10,School,10,http://nyc.pediacities.com/Resource/School/landmark_high_school,,12074.0,ESL,3.0,10011,"[-74.00317339999999,40.743436]",6,,
High School for Media and Communications,High S chool for Media and Communications,34,School,39,http://nyc.pediacities.com/Resource/School/high_school_for_media_and_communications,,13098.0,ESL,10.0,10040,"[-73.92657899999999,40.85650830000001]",22,,"Swimming, Wrestling"
Khalil Gibran International Academy,Khalil Gibran International Academy,84,School,38,http://nyc.pediacities.com/Resource/School/khalil_gibran_international_academy,,17619.0,ESL,33.0,11217,"[-73.9797128,40.6864518]",54,,
Brooklyn Preparatory High School,Brooklyn Preparatory High School,94,School,38,http://nyc.pediacities.com/Resource/School/brooklyn_preparatory_high_school,,17613.0,ESL,33.0,11211,"[-73.9548008,40.7151945]",57,,Double Dutch
Bronxdale High School,Bronxdale High School,49,School,12,http://nyc.pediacities.com/Resource/School/bronxdale_high_school,,11607.0,ESL,13.0,10469,"[-73.8607428,40.85964]",32,,
Academy of Hospitality and Tourism,Academy of Hospitality and Tourism,70,School,11,http://nyc.pediacities.com/Resource/School/academy_of_hospitality_and_tourism,,13510.0,ESL,40.0,11226,"[-73.9585007,40.649541]",43,,
Staten Island Technical High School,Staten Island Technical High School,122,School,14,http://nyc.pediacities.com/Resource/School/staten_island_technical_high_school,,10693.0,ESL,50.0,10306,"[-74.11724699999999,40.568046]",76,,Fencing
Brooklyn Studio Secondary School,Brooklyn Studio Secondary School,62,School,45,http://nyc.pediacities.com/Resource/School/brooklyn_studio_secondary_school,,17616.0,ESL,47.0,11214,"[-73.9943444,40.6049722]",37,,"Bowling, Handball"
Brooklyn Generation School,Brooklyn Generation School,69,School,8,http://nyc.pediacities.com/Resource/School/brooklyn_generation_school,,13827.0,ESL,46.0,11236,"[-73.91707199999999,40.633142]",42,,
Boys and Girls High School,Boys and Girls High School,81,School,49,http://nyc.pediacities.com/Resource/School/boys_and_girls_high_school,,17615.0,ESL,36.0,11213,"[-73.9315979,40.678472]",52,,Bowling
Manhattan International High School,Manhattan International High School,19,School,1,http://nyc.pediacities.com/Resource/School/manhattan_international_high_school,,10090.0,ESL,5.0,10065,"[-73.95993299999999,40.765295]",11,,
Bronx High School of Business,Bronx High School of Business,44,School,42,http://nyc.pediacities.com/Resource/School/bronx_high_school_of_business,,10935.0,ESL,16.0,10457,"[-73.911384,40.839295]",27,,
Queens Preparatory Academy,Queens Preparatory Aca demy,113,School,47,http://nyc.pediacities.com/Resource/School/queens_preparatory_academy,,15313.0,ESL,31.0,11413,"[-73.75689609999999,40.6682589]",71,,
High School for Civil Rights,High School for Civil Rights,75,School,25,http://nyc.pediacities.com/Resource/School/high_school_for_civil_rights,,17214.0,ESL,42.0,11207,"[-73.8947915,40.6676012]",47,,
Bayside High School,Bayside High School,111,School,20,http://nyc.pediacities.com/Resource/School/bayside_high_school,,14196.0,ESL,19.0,11361,"[-73.78021,40.771101]",69,,
Brooklyn High School of the Arts,Brooklyn High School of the Arts,84,School,38,http://nyc.pediacities.com/Resource/School/brooklyn_high_school_of_the_arts,,17619.0,ESL,33.0,11217,"[-73.9804764,40.6837705]",54,,
Richmond Hill High School,Richmond Hill High School,102,School,46,http://nyc.pediacities.com/Resource/School/richmond_hill_high_school,,24014.0,ESL; Transitional Bilingual Program: Spanish,28.0,11418,"[-73.833439,40.6951872]",60,,Cricket
Robert F. Kennedy Community High School,Robert F. Kennedy Community High School,107,School,24,http://nyc.pediacities.com/Resource/School/robert_f_kennedy_community_high_school,,14508.0,ESL,24.0,11366,"[-73.81070609999999,40.7252971]",65,,"Bowling, Fencing"
Talent Unlimited High School,Talent Unlimited High School,19,School,1,http://nyc.pediacities.com/Resource/School/talent_unlimited_high_school,,10090.0,ESL,5.0,10065,"[-73.95993299999999,40.765295]",11,,
Queens Metropolitan High School,Queens Metropolitan High School,112,School,28,http://nyc.pediacities.com/Resource/School/queens_metropolitan_high_school,,14786.0,ESL,29.0,11375,"[-73.85579989999999,40.708753]",70,,
New Utrecht High School,New Utrecht High School,62,School,44,http://nyc.pediacities.com/Resource/School/new_utrecht_high_school,,17616.0,ESL; Transitional Bilingual Program: Chinese (Mandarin),43.0,11214,"[-74.00374189999999,40.6134712]",37,,
Repertory Company High School for Theatre Arts,Repertory Company High School for Theatre Arts,14,School,51,http://nyc.pediacities.com/Resource/School/repertory_company_high_school_for_theatre_arts,,13094.0,ESL,4.0,10036,"[-73.98456419999999,40.7560872]",8,,
Grover Cleveland High School,Grover Cleveland High School,104,School,34,http://nyc.pediacities.com/Resource/School/grover_cleveland_high_school,,15310.0,ESL; Transitional Bilingual Program: Spanish,30.0,11385,"[-73.90920700000001,40.711887]",62,,"Handball, Wrestling"
"The Young Women's Leadership School, Astoria","Young Women's Leadership School, Astoria, The",114,School,4,http://nyc.pediacities.com/Resource/School/young_women_s_leadership_school_astoria,,16859.0,ESL,22.0,11102,"[-73.92424099999999,40.7710421]",72,,
Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,94,School,38,http://nyc.pediacities.com/Resource/School/williamsburg_high_school_for_architecture_and_design,,17613.0,ESL,33.0,11211,"[-73.9548008,40.7151945]",57,,
Arts & Media Preparatory Academy,Arts & Media Preparatory Academy,67,School,17,http://nyc.pediacities.com/Resource/School/arts_media_preparatory_academy,,16866.0,ESL,41.0,11203,"[-73.9291101,40.6584338]",40,,
Marta Valle High School,Marta Valle High School,7,School,32,http://nyc.pediacities.com/Resource/School/marta_valle_high_school,,11723.0,ESL,1.0,10002,"[-73.9856836,40.7205546]",4,,Rugby
Academy for Software Engineering (AFSE),Academy for Software Engineering (AFSE),13,School,50,http://nyc.pediacities.com/Resource/School/academy_for_software_engineering,,11724.0,ESL,2.0,10003,"[-73.98786389999999,40.735387]",7,,
The Urban Assembly School for the Performing Arts,"Urban Assembly School for the Performing Arts, The",26,School,23,http://nyc.pediacities.com/Resource/School/urban_assembly_school_for_the_performing_arts,,12424.0,ESL,7.0,10027,"[-73.9549641,40.8150928]",17,,
Pan American International High School at Monroe,Pan American International High School at Monroe,43,School,31,http://nyc.pediacities.com/Resource/School/pan_american_international_high_school_at_monroe,,11610.0,ESL,18.0,10472,"[-73.87883280000001,40.831291]",26,,Swimming
The Bronxwood Preparatory Academy,"Bronxwood Preparatory Academy, The",47,School,2,http://nyc.pediacities.com/Resource/School/the_bronxwood_preparatory_academy,,11275.0,ESL,12.0,10466,"[-73.8524929,40.8877658]",30,,
World Journalism Preparatory: A College Board School,World Journalism Preparatory: A College Board School,111,School,20,http://nyc.pediacities.com/Resource/School/world_journalism_preparatory_a_college_board_school,,14193.0,ESL,19.0,11358,"[-73.78971249999999,40.7648343]",69,,
CSI High School for International Studies,CSI High School for International Studies,122,School,9,http://nyc.pediacities.com/Resource/School/csi_high_school_for_international_studies,,10700.0,ESL,51.0,10314,"[-74.15935999999999,40.581969]",75,,Wrestling
Fordham Leadership Academy for Business and Technology,Fordham Leadership Academy for Business and Technology,48,School,22,http://nyc.pediacities.com/Resource/School/fordham_leadership_academy_for_business_and_technology,,10936.0,ESL,15.0,10458,"[-73.8875889,40.8597019]",31,,"Softball, Volleyball"
High School of American Studies at Lehman College,High School of American Studies at Lehman College,50,School,40,http://nyc.pediacities.com/Resource/School/high_school_of_american_studies_at_lehman_college,,11272.0,ESL,11.0,10468,"[-73.895094,40.8746]",33,,Bowling
