boro_block_lot,address,building_classification,estimated_gross_income_2,gross_sqft_1,address_3,market_value_per_sqft_2,total_units_1,total_units_2,estimated_gross_income_3,market_value_per_sqft_3,market_value_per_sqft_1,boro_block_lot_1,full_market_value_3,year_built,gross_income_per_sqft,net_operating_income_1,estimated_gross_income
1-00589-0014,26 CORNELIA STREET,C6  -WALK-UP,508457,6740,26 LEROY STREET,317.72,16,20,626058.0,224.4,379.38,1-00590-0038,2678000.0,1920,53.62,273712,1400018
1-00740-0046,326 WEST 17 STREET,C6  -WALK-UP,936963,10230,208 WEST 17 STREET,213.12,12,36,406395.0,263.61,198.53,1-00738-0022,2866000.0,1910,34.05,250124,367740
1-00722-0018,433 WEST 24 STREET,D4  -ELEVATOR,663646,20496,,281.28,35,24,,,228.87,1-00745-0026,,1920,44.53,631892,832711
1-00569-0003,45 5 AVENUE,D4  -ELEVATOR,1245070,20797,136 WEST 4 STREET,269.96,27,35,933485.0,220.9,250.28,1-00573-0011,4611000.0,1925,45.93,644083,2078241
1-00348-0053,173 RIVINGTON STREET,C6  -WALK-UP,222480,22722,129 RIVINGTON STREET,187.42,40,19,257757.0,82.78,164.91,1-00298-0015,1200000.0,1920,18.54,203816,272557
1-00897-0069,210 EAST 17 STREET,C6  -WALK-UP,569127,6295,,275.66,11,24,,,254.17,1-00928-0023,,1903,47.56,235307,774182
1-01065-0023,415 WEST 55 STREET,D0  -ELEVATOR,1636625,21000,530 WEST 47 STREET,175.18,26,50,954000.0,253.16,260.14,1-01061-0060,5696000.0,1911,41.74,570570,1313474
1-00916-0009,211 EAST 35 STREET,D4  -ELEVATOR,2708915,62188,121 EAST 31 STREET,328.23,71,79,2625028.0,253.17,254.47,1-00888-0031,14765000.0,1929,45.01,1948350,2603108
1-00910-0041,240 EAST 30 STREET,D4  -ELEVATOR,1273906,47903,217 EAST 33 STREET,332.19,79,53,710298.0,357.2,328.23,1-00911-0008,5617000.0,1935,45.11,1306794,1086700
1-00896-0032,230 EAST 15 STREET,D4  -ELEVATOR,613357,24472,217 EAST 22 STREET,212.86,39,22,863857.0,372.53,219.43,1-00921-0043,6529000.0,1961,49.1,762303,5704978
1-00744-0001,363 WEST 20 STREET,D4  -ELEVATOR,2234353,46812,103 WEST 14 STREET,230.54,65,59,3098571.0,306.28,325.09,1-00767-0043,16917000.0,1928,49.11,1873416,3076152
1-00930-0001,422 2 AVENUE,D4  -ELEVATOR,15395177,829024,239 PARK AVENUE SOUTH,364.21,902,327,2469193.0,468.57,290.12,1-00934-0001,23954000.0,1964,45.2,23627184,17722920
1-00597-0045,547 GREENWICH STREET,D4  -ELEVATOR,1266355,21598,423 WEST BROADWAY,392.87,14,40,1217256.0,499.66,283.54,1-00488-0037,10328000.0,1920,58.25,757442,1168961
1-01117-0029,1 WEST 64 STREET,D4  -ELEVATOR,1872134,37716,9 WEST 64 STREET,333.75,49,53,1227527.0,191.19,219.03,1-01117-0047,4116000.0,1910,56.32,1584449,6750853
1-01120-0017,17 WEST 67 STREET,D4  -ELEVATOR,945990,37716,9 WEST 73 STREET,238.74,49,29,378036.0,279.54,219.03,1-01117-0047,2321000.0,1930,46.5,1372863,2862912
1-00904-0050,309 3 AVENUE,D4  -ELEVATOR,8072571,200299,500 2 AVENUE,237.35,169,177,38118524.0,290.12,201.25,1-00904-9024,240513000.0,1972,46.01,6842214,7285085
1-00722-0020,429 WEST 24 STREET,D4  -ELEVATOR,673182,20496,,281.28,35,24,,,228.87,1-00745-0026,,1920,45.17,610780,844679
1-00847-0050,40 EAST 19 STREET,D0  -ELEVATOR,1624398,29453,19 EAST 21 STREET,300.09,12,12,753301.0,319.22,283.74,1-00823-0047,4100000.0,1905,58.52,1268246,1983535
1-01049-0001,345 WEST 58 STREET,D4  -ELEVATOR,5042508,229973,,234.04,276,147,,,242.6,1-01046-0047,,1957,42.03,6869293,24735790
1-01064-0014,433 WEST 54 STREET,C6  -WALK-UP,352418,9920,441 WEST 56 STREET,367.12,20,20,391198.0,266.28,327.42,1-01064-0013,2495000.0,1920,41.83,274486,414954
1-01186-0033,375 WEST END AVENUE,D4  -ELEVATOR,1416134,134183,10 WEST 74 STREET,309.17,114,62,4158837.0,373.7,214.57,1-01186-0083,26865000.0,1912,51.1,3545115,3673068
1-00871-0044,160 3 AVENUE,D4  -ELEVATOR,10059016,158505,,201.25,221,169,,,253.49,1-00896-0048,,1963,51.25,5912236,5710685
1-00545-0007,710 BROADWAY,D0  -ELEVATOR,24015329,147773,70 EAST 12 STREET,370.06,180,486,2125200.0,438.43,420.42,1-00545-0059,18414000.0,1900,49.04,4625295,1439373
1-00740-0019,323 WEST 16 STREET,D0  -ELEVATOR,1192275,128350,312 WEST 20 STREET,230.29,119,13,836151.0,220.84,260.32,1-00765-0035,4158000.0,1902,44.41,3820979,1050297
1-00311-0013,357 GRAND STREET,D4  -ELEVATOR,528550,33860,,270.97,35,14,,,275.13,1-00309-0006,,1960,34.3,636907,35169196
1-00765-0070,248 WEST 16 STREET,D4  -ELEVATOR,496581,28321,208 WEST 16 STREET,360.0,28,12,1833679.0,362.69,250.59,1-00738-0015,12167000.0,1930,55.96,1027769,2787703
1-00918-0025,685 2 AVENUE,D4  -ELEVATOR,8714420,62188,249 EAST 30 STREET,324.8,71,259,544359.0,335.39,254.47,1-00888-0031,3704000.0,1942,48.76,2115014,2208828
1-00769-0050,220 WEST 20 STREET,C6  -WALK-UP,383226,8195,208 WEST 17 STREET,278.28,15,20,543491.0,263.61,306.16,1-00769-0065,2866000.0,1920,49.1,269943,393782
1-01046-0013,339 WEST 55 STREET,D4  -ELEVATOR,1164129,37030,306 WEST 51 STREET,274.55,48,40,1190264.0,286.28,306.1,1-01043-0005,7295000.0,1925,46.71,973889,2740102
1-01067-0026,413 WEST 57 STREET,D4  -ELEVATOR,947794,25202,435 WEST 57 STREET,315.37,40,34,9548459.0,212.88,250.77,1-01064-0002,44084000.0,1900,46.11,738671,576375
1-00816-0059,30 WEST 15 STREET,D0  -ELEVATOR,3260163,310000,96 5 AVENUE,376.78,245,74,8973000.0,271.81,176.11,1-00816-0007,48926000.0,1908,49.85,10409800,2667374
1-00397-0011,155 EAST 2 STREET,C6  -WALK-UP,318120,27000,129 RIVINGTON STREET,187.42,18,19,373298.0,82.78,203.33,1-00395-0001,1200000.0,1900,26.51,554310,326868
1-00906-0024,441 2 AVENUE,D4  -ELEVATOR,35440776,200299,145 EAST 27 STREET,290.12,169,902,7506966.0,237.35,201.25,1-00904-9024,41562000.0,1964,42.78,5560300,8128200
1-00574-0067,45 WEST 10 STREET,D4  -ELEVATOR,2894060,37824,24 WEST 9 STREET,286.0,47,88,2197505.0,359.17,247.7,1-00576-0076,16571000.0,1957,45.26,1195995,3522541
1-00143-0021,335 GREENWICH STREET,D4  -ELEVATOR,82339735,1970736,450 NORTH END AVENUE,226.72,1349,1722,10344853.0,264.81,190.5,1-00142-0025,64777000.0,1931,42.29,60383351,2359782
1-00011-0014,26 BEAVER STREET,D4  -ELEVATOR,22776389,303086,21 WEST STREET,315.42,245,498,15679338.0,212.15,285.41,1-00021-0006,71229000.0,1909,46.7,8459130,2399773
1-00740-0048,330 WEST 17 STREET,C6  -WALK-UP,512460,8590,354 WEST 18 STREET,345.37,15,25,407097.0,283.85,242.37,1-00740-0011,2505000.0,1900,47.45,266891,404511
1-00244-0019,605 WATER STREET,D4  -ELEVATOR,201218,83904,,131.96,109,24,,,165.93,1-00248-0070,,1964,22.29,926300,2777334
1-00641-0062,343 WEST 12 STREET,C6  -WALK-UP,386694,7167,,316.93,15,20,,,250.73,1-00624-0020,,1900,54.39,266111,335042
1-00717-0009,453 WEST 19 STREET,D4  -ELEVATOR,1034670,63956,209 WEST 20 STREET,347.0,69,40,429916.0,360.0,253.49,1-00719-0020,3069000.0,1983,49.27,2331196,583948
1-01066-0037,408 WEST 57 STREET,D4  -ELEVATOR,965370,39210,530 WEST 47 STREET,260.14,50,26,1058175.0,253.16,175.18,1-01067-0018,5696000.0,1957,46.38,1191984,4868323
1-00759-0068,348 WEST 36 STREET,D0  -ELEVATOR,1255357,15000,,246.86,12,33,,,146.07,1-01054-9060,,1936,43.78,429300,1063504
1-00832-0032,11 WEST 30 STREET,D0  -ELEVATOR,1243546,160126,354 WEST 34 STREET,104.12,173,12,11631089.0,270.49,236.65,1-00835-0015,75572000.0,1927,40.96,4968710,2543247
1-01142-0048,140 WEST 71 STREET,D4  -ELEVATOR,936675,8303,267 WEST 70 STREET,238.74,12,29,1161983.0,202.8,279.54,1-01126-0026,5124000.0,1920,45.25,290439,2583142
1-01058-0052,438 WEST 49 STREET,C6  -WALK-UP,415568,12315,414 WEST 49 STREET,313.83,22,20,390101.0,344.62,255.87,1-01058-0028,3317000.0,1910,41.31,380780,410002
1-00745-0017,333 WEST 21 STREET,C6  -WALK-UP,381883,4996,219 WEST 20 STREET,250.36,12,17,326249.0,278.28,467.17,1-00745-0042,2172000.0,1900,41.8,146283,428450
1-01083-0035,498 WEST 55 STREET,C6  -WALK-UP,1447715,10035,649 9 AVENUE,189.7,13,47,782173.0,328.12,243.75,1-01099-0031,4574000.0,1920,39.85,301151,1419656
1-01167-0061,336 WEST END AVENUE,D4  -ELEVATOR,1356768,40050,225 WEST 71 STREET,253.66,39,25,2025472.0,141.51,176.13,1-01165-0056,6955000.0,1931,41.21,1261175,5225881
1-00350-0057,309 EAST HOUSTON STREET,C6  -WALK-UP,1024762,12000,129 RIVINGTON STREET,164.91,19,40,608874.0,82.78,187.42,1-00413-0004,1200000.0,1920,42.76,374640,890990
1-00430-0001,40 1 AVENUE,D4  -ELEVATOR,5378451,38880,15 BIALYSTOKER PLACE,72.08,40,156,4479015.0,228.48,49.72,1-00421-0044,22403000.0,1964,39.0,933898,5761470
1-00386-0036,300 EAST 4 STREET,D0  -ELEVATOR,615179,16384,172 EAST 7 STREET,206.13,22,15,836067.0,248.68,371.15,1-00402-0045,5194000.0,1940,40.03,748748,662497
1-00746-0072,356 WEST 23 STREET,C6  -WALK-UP,423743,4996,317 WEST 22 STREET,218.92,12,16,309792.0,374.26,467.17,1-00745-0042,2515000.0,1910,46.1,197492,389315
1-01186-0084,302 WEST 79 STREET,D4  -ELEVATOR,514449,11542,120 WEST 79 STREET,215.38,12,14,4997305.0,231.0,210.71,1-01185-0047,26495000.0,1905,43.97,358956,1837946
1-00422-0060,237 ELDRIDGE STREET,C6  -WALK-UP,847303,12000,129 RIVINGTON STREET,164.91,19,40,495652.0,82.78,187.42,1-00413-0004,1200000.0,1900,34.95,315600,812937
1-00451-0021,220 EAST 10 STREET,C6  -WALK-UP,509859,27000,176 ELDRIDGE STREET,82.78,18,19,1146526.0,78.05,203.33,1-00395-0001,2559000.0,1900,35.17,755460,369707
1-00485-0014,122 SPRING STREET,D4  -ELEVATOR,6621174,21598,423 WEST BROADWAY,143.33,14,61,1160414.0,499.66,283.54,1-00488-0037,10328000.0,1910,53.17,795023,1071376
1-01035-0007,349 WEST 44 STREET,C6  -WALK-UP,658261,10110,328 WEST 44 STREET,549.21,20,20,999232.0,226.64,461.13,1-01037-0048,4211000.0,1920,53.78,357793,568455
1-00618-0060,241 WEST 13 STREET,C6  -WALK-UP,927557,13000,31 BANK STREET,388.21,24,29,583161.0,415.28,340.54,1-00618-0046,3941000.0,1904,61.45,563420,1134859
1-00924-0013,317 EAST 18 STREET,D4  -ELEVATOR,515561,29133,155 EAST 23 STREET,157.8,61,21,1875102.0,289.9,308.93,1-00897-0008,12142000.0,1920,45.5,831456,650286
1-00464-8048,19 ST MARKS PLACE,D4  -ELEVATOR,5973624,14022,223 EAST 6 STREET,175.88,13,89,5344944.0,238.46,320.64,1-00468-0013,21862000.0,1920,58.68,619072,1470990
1-01182-0012,345 WEST 70 STREET,D4  -ELEVATOR,964403,44838,306 WEST 76 STREET,202.8,43,30,449982.0,215.38,209.98,1-01182-0029,2520000.0,1910,38.26,1339760,1572716
1-00530-0044,48 BOND STREET,D4  -ELEVATOR,1756104,125235,33 WARREN STREET,427.42,61,12,1456333.0,276.82,143.33,1-00477-0001,8581000.0,2006,46.98,2210398,2114100
1-00446-0025,334 EAST 5 STREET,C6  -WALK-UP,565693,9320,319 EAST 5 STREET,337.32,20,24,431487.0,369.51,347.85,1-00446-0027,2993000.0,1900,52.63,327692,368463
1-00389-0017,198 EAST 7 STREET,C6  -WALK-UP,373086,8458,264 EAST 2 STREET,162.45,12,12,693752.0,196.47,405.65,1-00406-0060,3363000.0,1930,42.0,238262,449316
1-00390-0055,199 EAST 7 STREET,C6  -WALK-UP,343417,8458,529 EAST 13 STREET,162.45,12,12,391143.0,256.62,405.65,1-00406-0060,2587000.0,1935,38.8,179056,620257
1-00373-0049,311 EAST 3 STREET,C6  -WALK-UP,597816,27000,208 EAST 7 STREET,164.91,18,40,465838.0,292.25,203.33,1-00395-0001,5675000.0,1920,25.56,383130,513143
1-00475-0007,349 WEST BROADWAY,C6  -WALK-UP,937400,21190,195 SPRING STREET,246.0,42,27,903040.0,258.77,441.86,1-00502-0006,4527000.0,1900,52.02,752457,715691
1-01011-0038,112 CENTRAL PARK SOUTH,D4  -ELEVATOR,16995707,324212,985 5 AVENUE,219.41,167,181,5091424.0,536.97,236.52,1-01332-0029,54799000.0,1927,49.89,10883797,7098499
1-01057-0035,695 9 AVENUE,C6  -WALK-UP,431087,24571,,207.35,24,16,,,239.67,1-01056-0032,,1900,38.37,654080,814403
1-00615-0076,111 GREENWICH AVENUE,C6  -WALK-UP,920573,17733,65 BANK STREET,238.78,22,20,1433616.0,407.16,582.42,1-00614-0056,10429000.0,1910,57.23,808625,707534
1-00823-0065,40 WEST 22 STREET,D0  -ELEVATOR,5206013,29453,,305.89,12,77,,,283.74,1-00823-0047,,1909,48.09,1032327,2419552
1-00909-0001,407 3 AVENUE,D4  -ELEVATOR,16038167,137628,577 2 AVENUE,254.94,150,311,1410575.0,318.16,250.91,1-00884-0048,9754000.0,1964,45.62,3742105,11564168
1-01053-0007,455 WEST 43 STREET,D4  -ELEVATOR,660150,29308,653 10 AVENUE,146.07,62,12,1142006.0,267.17,249.86,1-01056-0019,6844000.0,1939,44.52,866344,775316
1-00348-0002,98 SUFFOLK STREET,C6  -WALK-UP,761308,6750,120 SUFFOLK STREET,425.57,18,35,246312.0,221.94,309.33,1-00350-0065,1598000.0,1920,34.09,130275,324503
1-00862-0024,153 MADISON AVENUE,D4  -ELEVATOR,1598815,71115,108 EAST 38 STREET,318.16,102,42,5764910.0,247.03,372.51,1-00890-0005,27408000.0,1912,52.41,2555873,5829407
1-00797-0076,162 WEST 22 STREET,D4  -ELEVATOR,2281213,41423,258 WEST 22 STREET,216.79,51,61,1347435.0,238.52,354.3,1-00797-0074,7245000.0,1950,44.65,1316423,1418039
1-00625-0026,622 HUDSON STREET,D4  -ELEVATOR,1235932,19260,12 CHARLES STREET,307.63,31,44,697138.0,490.36,309.81,1-00633-0013,7328000.0,1940,46.65,686427,703669
1-00776-0017,233 WEST 26 STREET,D4  -ELEVATOR,546780,50029,,144.15,69,26,,,201.52,1-00775-0017,,1926,42.41,1502871,2011634
1-00552-0068,79 WEST WASHINGTON PLACE,D0  -ELEVATOR,893616,27108,60 WEST 10 STREET,220.9,35,30,916732.0,250.28,269.96,1-00552-0010,5205000.0,1916,44.02,780439,975923
1-00537-0026,534 LA GUARDIA PLACE,D0  -ELEVATOR,1686704,489709,110 EAST 13 STREET,376.22,486,33,1141019.0,299.34,370.06,1-00548-0070,7738000.0,1912,44.14,13633498,1826690
1-01117-0016,29 WEST 64 STREET,D4  -ELEVATOR,1106001,37716,9 WEST 73 STREET,238.74,49,29,442218.0,279.54,219.03,1-01117-0047,2321000.0,1938,53.43,1485633,1832115
1-00348-0030,103 CLINTON STREET,C6  -WALK-UP,331440,22722,129 RIVINGTON STREET,187.42,40,19,389534.0,82.78,164.91,1-00298-0015,1200000.0,1920,27.62,434217,272057
1-00771-0020,233 WEST 21 STREET,D4  -ELEVATOR,865995,20496,,319.59,35,35,,,228.87,1-00745-0026,,1920,44.86,621234,930755
1-01124-0027,115 CENTRAL PARK WEST,D4  -ELEVATOR,8019849,217281,,261.98,71,72,,,377.56,1-01126-0029,,1931,51.8,6920400,31990074
1-00624-0052,306 WEST 4 STREET,C6  -WALK-UP,724164,9155,,365.26,20,49,,,362.86,1-00626-0052,,1910,48.73,318868,481696
1-00620-0053,88 CHARLES STREET,C6  -WALK-UP,467523,9545,54 BARROW STREET,542.98,17,17,472058.0,545.6,242.22,1-00620-0061,5085000.0,1900,50.65,300763,491305
1-00391-0014,614 EAST 9 STREET,C6  -WALK-UP,664964,27000,,162.26,18,29,,,203.33,1-00395-0001,,1910,24.76,422550,817080
1-00802-0031,109 WEST 26 STREET,D0  -ELEVATOR,1179002,26027,165 WEST 26 STREET,276.25,13,18,1137755.0,189.45,174.36,1-00801-0049,4595000.0,1910,46.91,868781,2502649
1-00752-0001,305 9 AVENUE,D4  -ELEVATOR,18535601,387468,334 WEST 39 STREET,374.99,374,406,9857936.0,240.9,288.28,1-00701-0062,52691000.0,1963,45.46,11135830,18134312
1-00773-0012,255 WEST 23 STREET,D4  -ELEVATOR,1185790,152342,229 7 AVENUE,174.36,266,13,9011452.0,396.33,307.64,1-00772-0056,84075000.0,1940,43.42,4059915,6907688
1-00891-0077,120 EAST 36 STREET,D4  -ELEVATOR,5134720,71115,41 PARK AVENUE,247.03,102,146,5386582.0,257.5,372.51,1-00890-0005,29669000.0,1957,46.75,1980553,3608773
1-00614-0032,227 WEST 11 STREET,C6  -WALK-UP,856378,11790,45 GREENWICH AVENUE,408.61,24,32,496555.0,426.72,306.62,1-00614-0042,3948000.0,1915,53.8,373625,849932
1-01166-0061,310 WEST END AVENUE,D4  -ELEVATOR,486720,134183,317 WEST 74 STREET,215.38,114,14,319070.0,265.66,214.57,1-01186-0083,2044000.0,1925,41.6,3649777,3570778
1-01186-0048,54 RIVERSIDE DRIVE,D4  -ELEVATOR,4633189,217281,,236.24,71,55,,,377.56,1-01126-0029,,1926,44.15,6585787,6490094
1-01183-0050,340 WEST 72 STREET,D4  -ELEVATOR,918263,110770,261 AMSTERDAM AVENUE,301.19,80,16,5105943.0,311.02,322.42,1-01144-0061,34833000.0,1920,47.26,4397569,1601783
1-00795-0014,139-143 WEST 19 STREET,D0  -ELEVATOR,1040299,34500,120 WEST 21 STREET,174.36,19,13,6997063.0,504.64,193.88,1-00792-0038,88120000.0,1909,39.97,833520,2744780
1-00372-0055,290 EAST 2 STREET,C6  -WALK-UP,1008156,20599,181 EAST 2 STREET,203.44,17,35,592563.0,75.28,227.97,1-00392-0022,1973000.0,1920,22.98,329172,413410
1-00816-0031,7 WEST 14 STREET,D4  -ELEVATOR,8231400,310000,552 AVENUE OF THE AMERICAS,271.81,245,230,4356982.0,257.68,176.11,1-00816-0007,26085000.0,1964,45.17,9619300,15845636
1-00759-0072,356 WEST 36 STREET,D0  -ELEVATOR,1708514,160126,,210.84,173,56,,,236.65,1-00835-0015,,1926,39.62,4666072,2946460
1-00609-0065,141 WEST 13 STREET,C6  -WALK-UP,252448,17166,153 WEST 10 STREET,378.13,24,13,457580.0,405.12,582.37,1-00611-0024,4795000.0,1910,38.66,482708,1090212
1-00927-0015,323 EAST 21 STREET,C6  -WALK-UP,414335,6295,238 EAST 25 STREET,388.07,11,16,783021.0,325.03,254.17,1-00928-0023,5127000.0,1910,49.79,217429,583439
1-00769-0066,252 WEST 20 STREET,D4  -ELEVATOR,739189,13000,,281.28,26,24,,,144.15,1-00776-0020,,1901,49.06,439530,539660
1-01029-0027,205 WEST 57 STREET,D4  -ELEVATOR,14368863,122813,139 WEST 55 STREET,297.23,111,406,4873796.0,165.35,219.6,1-01011-0013,17599000.0,1900,45.79,3717550,7650410
1-00895-0066,140 EAST 40 STREET,D4  -ELEVATOR,1033131,111570,535 3 AVENUE,122.48,175,34,648432.0,319.41,313.39,1-00919-0034,4259000.0,1931,48.63,3154084,2834156
1-01147-0056,166 WEST 76 STREET,D4  -ELEVATOR,730036,71890,8 WEST 76 STREET,291.55,86,24,484810.0,268.2,373.7,1-01126-0038,2631000.0,1900,49.73,3308378,1407359
1-01055-0038,406 WEST 46 STREET,C6  -WALK-UP,610756,8515,448 WEST 46 STREET,266.31,11,20,330959.0,195.14,199.53,1-01055-0022,1766000.0,1910,37.11,210065,406169
1-00817-0085,568 AVENUE OF THE AMERICAS,D4  -ELEVATOR,8546400,310000,75 5 AVENUE,271.81,245,230,3109616.0,376.78,176.11,1-00816-0007,23833000.0,1955,47.48,11122800,6170976
