address,net_operating_income_2,net_operating_income,estimated_expense_2,estimated_gross_income_1,full_market_value,distance_from_co_op_in_miles_2,net_operating_income_3,distance_from_co_op_in_miles_1,neighborhood_2,neighborhood_1,estimated_expense_3,expense_per_sqft,year_built_2,expense_per_sqft_2,distance_from_co_op_in_miles,gross_sqft_3,gross_income_per_sqft_2,building_classification_2,report_year,building_classification_3,address_2,neighborhood_3
64 WEST 11 STREET,1542379,567698,725021,503987,4611000,0.38,631602.0,0.0,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,218297.0,20.31,1900,19.08,0.1,13618.0,59.67,C1  -WALK-UP,2019,C7  -WALK-UP,59 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL
219 WEST 25 STREET,1178484,1865689,610575,2786563,15152000,0.33,712315.0,0.26,CHELSEA,CHELSEA,303831.0,13.76,2000,14.74,0.39,22506.0,43.19,D1  -ELEVATOR,2019,D1  -ELEVATOR,160 WEST 22 STREET,CHELSEA
465 WEST BROADWAY,778846,1600384,291240,1053982,12998000,0.16,781988.0,0.09,SOHO,SOHO,329578.0,11.25,1910,14.09,0.2,21740.0,51.77,D7  -ELEVATOR,2019,D9  -ELEVATOR,423 WEST BROADWAY,SOHO
359 WEST 29 STREET,139551,308195,97246,451341,2503000,0.0,175539.0,0.0,CHELSEA,CHELSEA,104114.0,14.53,1900,15.7,0.0,7030.0,38.23,C1  -WALK-UP,2019,C1  -WALK-UP,306 WEST 30 STREET,CHELSEA
270 WEST END AVENUE,2682973,2294805,1559370,9673350,18637000,1.19,4436115.0,1.09,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),2412487.0,15.51,1969,15.28,0.36,155544.0,41.57,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
39 WEST 67 STREET,366186,1367567,191240,3557836,11107000,0.26,1180739.0,0.19,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),622188.0,17.58,1926,16.9,0.3,36364.0,49.26,D1  -ELEVATOR,2019,D3  -ELEVATOR,27 WEST 71 STREET,UPPER WEST SIDE (59-79)
244 WEST 23 STREET,895388,792882,393750,1261008,6439000,0.26,846347.0,0.09,CHELSEA,CHELSEA,326872.0,15.25,1910,15.0,0.23,25144.0,49.11,D9  -ELEVATOR,2019,D5  -ELEVATOR,215 WEST 20 STREET,CHELSEA
206 EAST 7 STREET,550112,305532,310300,471174,2481000,0.14,185095.0,0.0,ALPHABET CITY,ALPHABET CITY,99362.0,15.63,1900,15.98,0.14,6490.0,44.31,C7  -WALK-UP,2019,C4  -WALK-UP,208 EAST 7 STREET,ALPHABET CITY
67 PARK AVENUE,3721773,2397134,1352440,4214330,19468000,0.22,630795.0,0.18,MURRAY HILL,MURRAY HILL,221765.0,10.67,1949,10.56,0.18,20784.0,39.62,D6  -ELEVATOR,2019,D1  -ELEVATOR,28 EAST 36 STREET,MURRAY HILL
185 PARK ROW,18324810,15534910,8825220,30611830,126158000,,,0.49,CIVIC CENTER,CIVIC CENTER,,20.09,2006,16.62,0.52,,51.13,D8  -ELEVATOR,2019,,10 BARCLAY STREET,
325 WEST END AVENUE,3496668,5373209,1354801,10535956,43638000,,,0.61,UPPER WEST SIDE (79-96),UPPER WEST SIDE (59-79),,12.69,1915,12.91,0.49,,46.23,D6  -ELEVATOR,2019,,575 WEST END AVENUE,
40 WEST 17 STREET,2310705,1661891,909607,15087700,13497000,0.05,3205986.0,0.16,FLATIRON,FLATIRON,1505305.0,15.11,1984,14.38,0.1,101231.0,50.91,D6  -ELEVATOR,2019,D9  -ELEVATOR,75 5 AVENUE,FLATIRON
433 WEST 34 STREET,4952830,3239723,3216764,3566273,26311000,0.14,2154071.0,0.1,JAVITS CENTER,JAVITS CENTER,1231316.0,13.78,2002,14.99,0.0,97646.0,38.07,D7  -ELEVATOR,2019,D6  -ELEVATOR,400 WEST 37 STREET,JAVITS CENTER
136 WEST 75 STREET,630892,738643,237753,807714,5999000,,,0.27,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),,9.52,1930,9.41,0.23,,34.38,D1  -ELEVATOR,2019,,267 WEST 70 STREET,
331 WEST 14 STREET,822150,485361,311010,408958,3942000,0.17,1198298.0,0.25,CHELSEA,CHELSEA,530043.0,16.53,1986,14.81,0.0,33547.0,53.96,D1  -ELEVATOR,2019,D3  -ELEVATOR,434 WEST 19 STREET,CHELSEA
60 WEST 68 STREET,323152,2306073,137000,2102290,18729000,0.19,771075.0,0.3,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),379638.0,18.34,1900,16.5,0.14,20700.0,55.42,D1  -ELEVATOR,2019,D1  -ELEVATOR,9 WEST 73 STREET,UPPER WEST SIDE (59-79)
55 AVENUE C,175704,282479,168310,704160,2252000,0.68,145924.0,0.42,LOWER EAST SIDE,ALPHABET CITY,131870.0,12.01,1930,11.61,0.38,10980.0,23.73,C7  -WALK-UP,2019,C7  -WALK-UP,129 RIVINGTON STREET,LOWER EAST SIDE
2 WEST 90 STREET,518368,490565,216996,355056,3984000,,,0.15,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),,13.14,1910,12.73,0.0,,43.14,D1  -ELEVATOR,2019,,20 WEST 87 STREET,
466 WASHINGTON STREET,605424,1526609,240392,819644,12398000,0.4,599589.0,0.51,SOHO,SOHO,276098.0,12.7,1910,11.63,0.41,21740.0,40.92,D7  -ELEVATOR,2019,D9  -ELEVATOR,423 WEST BROADWAY,SOHO
15 EAST 16 STREET,14997800,2395777,4721300,4165342,19457000,0.27,1385764.0,0.18,FLATIRON,FLATIRON,452987.0,15.23,1965,15.23,0.05,29453.0,63.61,D6  -ELEVATOR,2019,D6  -ELEVATOR,53 WEST 14 STREET,FLATIRON
71 BARROW STREET,345132,371183,139508,386128,3015000,0.15,229288.0,0.13,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,103474.0,12.83,1907,11.69,0.07,8065.0,40.61,C5  -WALK-UP,2019,C5  -WALK-UP,26 LEROY STREET,GREENWICH VILLAGE-WEST
55 HUDSON STREET,1283551,4350238,244403,7787878,35330000,,,0.21,CIVIC CENTER,TRIBECA,,11.2,1920,8.38,0.11,,52.39,D5  -ELEVATOR,2019,,122 DUANE STREET,
799 GREENWICH STREET,371977,583988,145325,719173,4743000,0.07,401367.0,0.1,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,135043.0,12.55,1901,13.92,0.06,11060.0,49.55,C4  -WALK-UP,2019,C1  -WALK-UP,63 BANK STREET,GREENWICH VILLAGE-WEST
682 BROADWAY,664700,1114298,396980,23099574,9050000,0.24,4405113.0,0.17,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,2518052.0,17.04,1920,17.26,0.22,147773.0,46.16,D5  -ELEVATOR,2019,D5  -ELEVATOR,312 BOWERY,GREENWICH VILLAGE-CENTRAL
111 WEST 16 STREET,907447,1071203,472677,1855848,8700000,0.35,212096.0,0.18,CHELSEA,CHELSEA,115774.0,14.82,1925,14.09,0.0,7812.0,41.14,D3  -ELEVATOR,2019,D1  -ELEVATOR,208 WEST 16 STREET,CHELSEA
35 WEST 92 STREET,207419,2623667,94909,1845265,21308000,0.34,2155449.0,0.15,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1123416.0,12.24,1930,12.24,0.05,83837.0,38.99,D3  -ELEVATOR,2019,D3  -ELEVATOR,4 WEST 90 STREET,UPPER WEST SIDE (79-96)
205 EAST 10 STREET,432797,954234,119083,681890,7750000,,,0.15,EAST VILLAGE,EAST VILLAGE,,9.86,1990,9.71,0.17,,45.0,D3  -ELEVATOR,2019,,254 EAST 10 STREET,
42 8 AVENUE,1400541,2960940,662617,6689276,24047000,0.26,1246043.0,0.09,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,580002.0,15.31,1930,15.31,0.09,37736.0,47.67,D6  -ELEVATOR,2019,D8  -ELEVATOR,221 WEST 12 STREET,GREENWICH VILLAGE-WEST
71 SULLIVAN STREET,659528,465003,144571,944326,3777000,0.11,878537.0,0.1,SOHO,SOHO,279920.0,13.99,1900,9.52,0.1,21190.0,52.95,C7  -WALK-UP,2019,C7  -WALK-UP,23 THOMPSON STREET,SOHO
155 WEST 15 STREET,589050,1606136,205800,1829240,13044000,,,0.22,CHELSEA,CHELSEA,,12.59,1920,11.76,0.27,,45.42,D9  -ELEVATOR,2019,,213 WEST 18 STREET,
5 CHARLES STREET,254574,408878,106056,644115,3321000,0.16,345052.0,0.12,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,130957.0,15.25,1900,15.46,0.05,9545.0,52.57,C5  -WALK-UP,2019,C4  -WALK-UP,244 WAVERLY PLACE,GREENWICH VILLAGE-WEST
335 WEST 21 STREET,217928,298890,146804,200539,2427000,0.17,227594.0,0.0,CHELSEA,CHELSEA,84840.0,10.87,1900,15.15,0.0,7805.0,37.64,C4  -WALK-UP,2019,C4  -WALK-UP,327 WEST 21 STREET,CHELSEA
131 EAST 15 STREET,191715,286071,68919,322800,2323000,0.26,496614.0,0.26,KIPS BAY,GRAMERCY,191433.0,12.69,1910,12.69,0.0,14658.0,47.99,C5  -WALK-UP,2019,C1  -WALK-UP,327 EAST 14 STREET,GRAMERCY
15 WEST 72 STREET,737048,25439073,243877,1710087,206603000,0.25,2445950.0,0.05,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),759850.0,12.61,1902,12.61,0.1,65000.0,50.72,D1  -ELEVATOR,2019,D6  -ELEVATOR,42 WEST 74 STREET,UPPER WEST SIDE (59-79)
150 CENTRAL PARK SOUTH,3493519,10115286,1459743,15095311,82151000,,,1.68,UPPER WEST SIDE (79-96),MIDTOWN EAST,,13.99,1915,13.91,0.73,,47.2,D6  -ELEVATOR,2019,,575 WEST END AVENUE,
88 EAST 3 STREET,324523,282509,186120,589507,2294000,,,0.1,EAST VILLAGE,EAST VILLAGE,,22.19,1900,19.97,0.05,,54.79,C4  -WALK-UP,2019,,338 EAST 5 STREET,
320 WEST 17 STREET,383512,421064,139477,465750,3420000,0.17,292708.0,0.04,CHELSEA,CHELSEA,120161.0,16.97,1910,14.14,0.0,7060.0,53.02,C1  -WALK-UP,2019,C4  -WALK-UP,350 WEST 18 STREET,CHELSEA
426 WEST 46 STREET,263446,230943,130682,419660,1876000,0.05,274470.0,0.0,CLINTON,CLINTON,149207.0,15.62,1901,14.44,0.0,9390.0,43.55,C4  -WALK-UP,2019,C4  -WALK-UP,448 WEST 46 STREET,CLINTON
409 WEST 48 STREET,294450,308040,131138,267302,2502000,0.05,611502.0,0.05,CLINTON,CLINTON,338734.0,13.45,1920,13.45,0.0,20235.0,43.65,C4  -WALK-UP,2019,C4  -WALK-UP,406 WEST 48 STREET,CLINTON
157 EAST 2 STREET,592531,405350,419515,3250424,3252000,0.38,2032778.0,0.31,LOWER EAST SIDE,LOWER EAST SIDE,1619052.0,11.74,1993,10.79,0.43,137909.0,26.03,D3  -ELEVATOR,2019,D1  -ELEVATOR,174 FORSYTH STREET,LOWER EAST SIDE
153 STANTON STREET,163822,120628,108702,336910,959000,0.44,354463.0,0.4,LOWER EAST SIDE,LOWER EAST SIDE,244034.0,9.9,1900,9.9,0.12,22722.0,24.82,C7  -WALK-UP,2019,C7  -WALK-UP,209 HENRY STREET,LOWER EAST SIDE
85 MERCER STREET,4395748,834648,1949909,1100850,6779000,0.14,749287.0,0.26,SOHO,SOHO,365446.0,17.45,1920,15.57,0.14,20670.0,50.67,D5  -ELEVATOR,2019,D7  -ELEVATOR,80 VARICK STREET,SOHO
405 WEST 45 STREET,488309,625741,185317,352095,5082000,0.05,339755.0,0.05,CLINTON,CLINTON,106532.0,11.26,1901,11.26,0.0,11455.0,40.93,C4  -WALK-UP,2019,C4  -WALK-UP,437 WEST 44 STREET,CLINTON
137 EAST 36 STREET,12557724,3787366,5146838,5879728,30759000,0.2,3569010.0,0.23,MURRAY HILL,MURRAY HILL,1596583.0,15.76,1972,14.64,0.09,101306.0,50.36,D6  -ELEVATOR,2019,D7  -ELEVATOR,471 3 AVENUE,MURRAY HILL
91 MERCER STREET,4780220,1006225,1566690,1101066,8172000,0.14,812952.0,0.26,SOHO,SOHO,302195.0,14.39,1920,12.51,0.14,20670.0,50.68,D5  -ELEVATOR,2019,D7  -ELEVATOR,80 VARICK STREET,SOHO
194 WEST 4 STREET,19819520,6033018,7354900,2377685,48997000,0.14,954505.0,0.28,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,338942.0,13.3,1892,13.3,0.09,25542.0,49.14,D6  -ELEVATOR,2019,D7  -ELEVATOR,154 CHRISTOPHER STREET,GREENWICH VILLAGE-WEST
120 WEST 78 STREET,382198,433205,74458,692896,3518000,0.13,1073702.0,0.2,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),203521.0,7.51,1900,7.59,0.05,27100.0,46.55,D1  -ELEVATOR,2019,D1  -ELEVATOR,8 WEST 76 STREET,UPPER WEST SIDE (59-79)
857 9 AVENUE,344289,511635,143667,472930,4155000,0.15,309140.0,0.1,CLINTON,CLINTON,122780.0,14.29,1910,14.63,0.0,8592.0,49.69,C7  -WALK-UP,2019,C7  -WALK-UP,886 10 AVENUE,CLINTON
604 WATER STREET,734160,1103813,1042088,2885056,8535000,0.36,76727.0,0.36,LOWER EAST SIDE,LOWER EAST SIDE,115136.0,12.42,1987,12.42,0.36,8995.0,21.17,D9  -ELEVATOR,2019,D1  -ELEVATOR,80 RUTGERS SLIP,LOWER EAST SIDE
240 EAST 35 STREET,2073002,2674367,1299271,5305630,21720000,0.15,902571.0,0.21,MURRAY HILL,MURRAY HILL,526398.0,18.27,1924,18.27,0.25,30658.0,47.42,D6  -ELEVATOR,2019,D5  -ELEVATOR,15 PARK AVENUE,MURRAY HILL
644 BROADWAY,9092414,2046766,4026396,6678783,16623000,1.1,1137973.0,1.53,TRIBECA,SOHO,566352.0,16.46,1998,16.46,0.58,30999.0,53.63,D8  -ELEVATOR,2019,D6  -ELEVATOR,450 NORTH END AVENUE,CIVIC CENTER
822 GREENWICH STREET,2322254,663646,1096053,4123955,5390000,0.17,1225192.0,0.12,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,479255.0,13.64,1950,15.58,0.08,35136.0,48.59,D1  -ELEVATOR,2019,D9  -ELEVATOR,772 GREENWICH STREET,GREENWICH VILLAGE-WEST
633 EAST 11 STREET,231505,247990,165407,399941,2014000,0.09,193842.0,0.05,ALPHABET CITY,ALPHABET CITY,139755.0,15.4,1900,15.29,0.05,9075.0,36.69,C1  -WALK-UP,2019,C4  -WALK-UP,622 EAST 11 STREET,ALPHABET CITY
250 9 AVENUE,12642356,5286805,2290459,14189078,42937000,0.64,5476874.0,0.68,MURRAY HILL,CHELSEA,2447533.0,10.46,1998,5.62,0.39,218725.0,36.64,D8  -ELEVATOR,2019,D8  -ELEVATOR,7 EAST 28 STREET,FASHION
507 EAST 12 STREET,369110,297325,108072,352430,2415000,0.17,367596.0,0.17,ALPHABET CITY,ALPHABET CITY,106557.0,9.85,1900,9.99,0.2,10818.0,44.11,C4  -WALK-UP,2019,C1  -WALK-UP,620 EAST 11 STREET,ALPHABET CITY
117 EAST 37 STREET,3395563,947460,1826253,972396,7695000,0.22,3152968.0,0.05,MURRAY HILL,MURRAY HILL,1733798.0,15.85,1950,15.85,0.36,111570.0,45.32,D6  -ELEVATOR,2019,D6  -ELEVATOR,41 PARK AVENUE,MURRAY HILL
771 GREENWICH STREET,1825983,3955378,429338,21670372,32124000,0.29,6218581.0,0.27,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,1102081.0,7.75,1930,9.92,0.21,142204.0,52.11,D6  -ELEVATOR,2019,D6  -ELEVATOR,221 WEST 12 STREET,GREENWICH VILLAGE-WEST
39 5 AVENUE,8748451,2493240,2612491,7015612,20249000,0.14,1633822.0,0.17,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,600153.0,11.93,1930,11.93,0.18,43395.0,51.88,D6  -ELEVATOR,2019,D8  -ELEVATOR,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL
10 WEST 86 STREET,2528053,1690775,1519560,5170064,13732000,0.31,2689341.0,0.51,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1779355.0,14.8,1915,14.48,0.0,109769.0,38.57,D6  -ELEVATOR,2019,D6  -ELEVATOR,575 WEST END AVENUE,UPPER WEST SIDE (79-96)
111 4 AVENUE,1424657,5478051,802374,1324296,44490000,0.05,1216320.0,0.19,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,678096.0,16.26,1940,18.49,0.05,37299.0,51.32,D8  -ELEVATOR,2019,D5  -ELEVATOR,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL
130 WEST 24 STREET,9068728,1427362,2607127,1512689,11592000,0.14,1070883.0,0.0,CHELSEA,CHELSEA,345479.0,13.74,1987,12.29,0.1,25144.0,55.04,D9  -ELEVATOR,2019,D5  -ELEVATOR,229 7 AVENUE,CHELSEA
323 2 AVENUE,6227368,4163793,4107514,2308670,33816000,0.21,745898.0,0.15,GRAMERCY,GRAMERCY,502047.0,15.09,1963,17.4,0.22,27585.0,43.78,D6  -ELEVATOR,2019,D7  -ELEVATOR,166 3 AVENUE,GRAMERCY
223 WEST 21 STREET,843325,1346852,452620,7301690,10940000,0.35,2081930.0,0.37,CHELSEA,CHELSEA,725604.0,13.6,1929,14.84,0.13,68260.0,42.49,D6  -ELEVATOR,2019,D7  -ELEVATOR,241 9 AVENUE,CHELSEA
34 NORTH MOORE STREET,1067069,574560,969148,4160667,4666000,0.21,622859.0,0.08,TRIBECA,TRIBECA,404859.0,18.31,2008,18.31,0.27,25738.0,38.47,D6  -ELEVATOR,2019,D7  -ELEVATOR,176 WEST BROADWAY,CIVIC CENTER
2162 BROADWAY,3133027,6435564,1610396,10738027,52266000,1.07,5120508.0,0.97,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),2491815.0,16.02,1969,15.78,0.33,155544.0,46.48,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
175 WEST 73 STREET,3026236,3149219,1211824,5415169,25576000,0.05,2971281.0,0.05,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),1225247.0,11.5,1906,10.94,0.2,111997.0,38.26,D6  -ELEVATOR,2019,D6  -ELEVATOR,269 AMSTERDAM AVENUE,UPPER WEST SIDE (59-79)
126 WEST 73 STREET,329027,824950,112325,500394,6700000,0.3,475779.0,0.22,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),194216.0,11.45,1900,11.45,0.18,14680.0,44.99,D1  -ELEVATOR,2019,D1  -ELEVATOR,8 WEST 76 STREET,UPPER WEST SIDE (59-79)
10 LEONARD STREET,55846512,906362,47699092,105079644,7362000,0.66,6912877.0,0.66,TRIBECA,TRIBECA,6188810.0,22.95,1983,25.35,0.2,244617.0,55.03,D6  -ELEVATOR,2019,D8  -ELEVATOR,345 SOUTH END AVENUE,TRIBECA
59 WEST 71 STREET,1159062,1403537,524605,1433585,11398000,,,0.49,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),,12.25,1910,11.7,0.34,,37.55,D1  -ELEVATOR,2019,,225 WEST END AVENUE,
686 2 AVENUE,219136,2240000,155707,2321661,18192000,0.2,206685.0,0.2,KIPS BAY,KIPS BAY,145882.0,20.55,1910,19.81,0.4,7247.0,47.69,D3  -ELEVATOR,2019,D1  -ELEVATOR,333 EAST 33 STREET,KIPS BAY
571 HUDSON STREET,1621370,864899,700004,2420241,7024000,0.33,3778910.0,0.38,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,1377685.0,11.72,1920,14.42,0.34,102354.0,47.82,D1  -ELEVATOR,2019,D6  -ELEVATOR,12 JONES STREET,GREENWICH VILLAGE-WEST
23 WEST 73 STREET,664329,10108827,272887,1635936,82099000,0.17,1868208.0,0.0,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),753664.0,14.11,1902,14.11,0.05,55012.0,48.46,D1  -ELEVATOR,2019,D6  -ELEVATOR,42 WEST 74 STREET,UPPER WEST SIDE (59-79)
288 WEST STREET,1052870,1035916,428458,1628621,8413000,0.4,922388.0,0.4,SOHO,SOHO,335475.0,9.94,1920,11.02,0.35,33750.0,38.1,D1  -ELEVATOR,2019,D1  -ELEVATOR,110 SULLIVAN STREET,SOHO
84 CHARLES STREET,285799,495671,178557,449474,4025000,0.15,303180.0,0.09,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,165616.0,14.08,1901,19.73,0.0,9320.0,51.31,C4  -WALK-UP,2019,C5  -WALK-UP,81 PERRY STREET,GREENWICH VILLAGE-WEST
323 WEST 11 STREET,823552,975812,397371,895512,7925000,0.17,353070.0,0.25,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,132390.0,19.99,1910,15.31,0.07,9000.0,47.04,C4  -WALK-UP,2019,C7  -WALK-UP,192 WEST 10 STREET,GREENWICH VILLAGE-WEST
354 WEST 23 STREET,171463,243825,68545,420690,1980000,0.22,266419.0,0.05,CHELSEA,CHELSEA,121696.0,14.85,1920,13.72,0.05,8195.0,48.04,C1  -WALK-UP,2019,C4  -WALK-UP,306 WEST 22 STREET,CHELSEA
31 EAST 37 STREET,2948005,3698289,1947101,5572088,30036000,0.1,3783246.0,0.1,MURRAY HILL,MURRAY HILL,2151610.0,19.22,1939,19.22,0.11,128072.0,48.32,D7  -ELEVATOR,2019,D6  -ELEVATOR,20 PARK AVENUE,MURRAY HILL
180 THOMPSON STREET,1657475,919620,885935,1218092,7469000,0.66,348775.0,0.66,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,195195.0,19.09,1900,21.22,0.54,10225.0,60.92,D5  -ELEVATOR,2019,D3  -ELEVATOR,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL
33 RIVERSIDE DRIVE,1206912,6613994,291648,1833089,53716000,0.25,1746791.0,0.25,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),486094.0,9.89,1920,8.68,0.15,49150.0,44.6,D7  -ELEVATOR,2019,D7  -ELEVATOR,251 WEST 71 STREET,UPPER WEST SIDE (59-79)
168 NORFOLK STREET,122960,91907,47640,153313,687000,0.31,112941.0,0.1,LOWER EAST SIDE,LOWER EAST SIDE,81771.0,5.53,1900,5.06,0.0,10675.0,18.12,C4  -WALK-UP,2019,C4  -WALK-UP,163 STANTON STREET,LOWER EAST SIDE
305 MADISON STREET,3982500,2151267,1887750,6738249,17151000,0.46,4123600.0,0.2,LOWER EAST SIDE,LOWER EAST SIDE,2438800.0,9.6,1972,8.39,0.2,260000.0,26.09,D6  -ELEVATOR,2019,D9  -ELEVATOR,410 GRAND STREET,LOWER EAST SIDE
344 WEST 48 STREET,248815,263294,152538,425410,2138000,,,0.0,MIDTOWN WEST,MIDTOWN WEST,,12.11,1920,14.37,0.0,,37.81,C4  -WALK-UP,2019,,355 WEST 47 STREET,
32 WEST 74 STREET,319300,574524,114346,2982716,4666000,0.1,300676.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),111736.0,11.08,1910,11.08,0.0,9810.0,42.02,D1  -ELEVATOR,2019,D1  -ELEVATOR,12 WEST 76 STREET,UPPER WEST SIDE (59-79)
32 WEST 82 STREET,2290071,1364771,1419226,4243085,11084000,0.31,1926574.0,0.26,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1312049.0,13.85,1929,14.7,0.0,83837.0,38.42,D3  -ELEVATOR,2019,D3  -ELEVATOR,144 WEST 86 STREET,UPPER WEST SIDE (79-96)
352 WEST 48 STREET,528925,468717,310554,401353,3807000,,,0.05,MIDTOWN WEST,MIDTOWN WEST,,14.45,1920,14.52,0.0,,39.25,C4  -WALK-UP,2019,,338 WEST 47 STREET,
245 WEST 74 STREET,382008,1958865,151377,5337800,15909000,0.15,300207.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),137119.0,11.88,1920,10.62,0.23,11542.0,37.42,D1  -ELEVATOR,2019,D3  -ELEVATOR,316 WEST 75 STREET,UPPER WEST SIDE (59-79)
