location_name,_11_expulsions,_13_expulsions,_9_expulsions,_13_superintendent,_16_principal,_5_principal,location_category,_14_principal,_17_principal,_19_principal,_7_removals,_14_superintendent,_20_superintendent,_10_removals,_14_removals,_17_removals,_22_expulsions,_9_removals,_22_principal,_5_removals,_15_expulsions,_6_superintendent,_6_principal,_19_removals
New York City Lab Middle School for Collaborative,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 346 Abe Stark,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 093 Albert G. Oliver,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Gregorio Luperon High School for Science and Mathe,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cornerstone Academy for Social Action,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Irving Yabc,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for College Preparation and Career Explora,R,R,R,R,17,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 136 Charles O. Dewey,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Leadership and Public Service High School,R,R,R,R,17,R,High school,6,17,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 270 Johann DeKalb,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"P.S./M.S. 20 P.O.George J. Werdann, III",R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Dr. Susan S. McKinney Secondary School of the Arts,R,R,R,R,R,R,Secondary School,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Benjamin Banneker Academy,R,R,R,R,24,R,High school,11,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School of Science,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 135 Sheldon A. Brookner,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
P.S. 398 Walter Weaver,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lower Manhattan Community Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Marble Hill High School for International Studies,R,R,R,R,R,R,High school,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 036 Margaret Douglas,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Lab School,R,R,R,R,35,R,High school,22,17,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Conselyea Preparatory School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 038 The Pacific,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Walton Avenue School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 001 Alfred E. Smith,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Spruce Street School,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 230 Doris L. Cohen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly School for Wildlife Conservation,R,R,R,R,7,R,Secondary School,7,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 243K- The Weeksville School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 132 Juan Pablo Duarte,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vista Academy,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 178 - Dr. Selman Waksman,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn High School for Leadership and Community,R,R,R,R,R,R,High school,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Eagle Academy for Young Men,R,R,R,R,R,R,Secondary School,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 199X - The Shakespeare School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 102 Jacques Cartier,R,R,R,R,R,R,Elementary,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 116 Mary Lindley Murray,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
N.Y.C. Lab School for Collaborative Studies,R,R,R,R,6,R,High school,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 020 Anna Silver,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Arbor Elementary School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 375 Jackie Robinson School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
A. Philip Randolph Campus High School,R,R,R,R,R,R,High school,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 161 Pedro Albizu Campos,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Liberty High School Academy for Newcomers,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx School of Law and Finance,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 078 Anne Hutchinson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 147 Isaac Remsen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 081 Robert J. Christen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
City College Academy of the Arts,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Arts & Media Preparatory Academy,R,R,R,R,R,R,High school,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 085 Great Expectations,R,R,R,R,R,R,Elementary,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R
New Directions Secondary School,R,R,R,R,8,R,Secondary School,14,7,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 297 Abraham Stockton,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Secondary School for Collaborative Studie,R,R,R,R,6,R,Secondary School,6,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R
P.S. 042 Benjamin Altman,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Baruch College Campus High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Discovery High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Wings Academy,R,R,R,R,13,R,High school,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Van Siclen Community Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
"Archimedes Academy for Math, Science and Technolog",R,R,R,R,13,R,Secondary School,13,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lower Manhattan Arts Academy,R,R,R,R,R,R,High school,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kennedy Yabc,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Guild,R,R,R,R,7,R,High school,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pelham Gardens Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R
The STAR Academy - P.S.63,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,9,R,R,R,7,R,R,R,R,R,R
P.S. 105 Sen Abraham Bernstein,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 035 Stephen Decatur,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The East Village Community School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 092 Adrian Hegeman,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. X088 - S. Silverstein Little Sparrow School,R,R,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 064 Robert Simon,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 315 Lab School,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Baychester Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Energy and Technology,R,R,R,R,11,R,High school,8,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 155 William Paca,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 291,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 028 Wright Brothers,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
Bronx Collegiate Academy,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 094 Kings College School,R,R,R,R,R,R,Elementary,R,R,R,20,R,R,20,R,R,R,10,R,R,R,R,R,R
Frederick Douglass Academy V. Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Millennium Art Academy,R,R,R,R,35,R,High school,R,24,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Lab School,R,R,R,R,6,R,High school,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Career and College Preparatory High School,R,R,R,R,19,R,High school,R,32,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 333 Manhattan School for Children,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 584,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Highland Park Community School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 018 Edward Bush,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Angelo Patri Middle School,R,R,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 019 Judith K. Weiss,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New World High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Claremont International HS,R,R,R,R,9,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
DreamYard Preparatory School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Business for Young Women,",R,R,R,R,14,R,High school,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 043 Jonas Bronck,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Richard R. Green High School of Teaching,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Comprehensive Model School Project M.S. 327,R,R,R,R,25,R,Secondary School,10,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
District 2 Pre-K Center,R,R,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School for Tourism and Hospitality,R,R,R,R,30,R,High school,11,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 140 Nathan Straus,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Facing History School, The",R,R,R,R,9,R,High school,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Dock Street School for STEAM Studies,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 125 Henry Hudson,R,R,R,8,R,R,Junior High-Intermediate-Middle,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 022 Jordan L. Mott,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 001 The Bergen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Explorers High School,R,R,R,R,12,R,High school,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 018 John Peter Zenger,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. X037 - Multiple Intelligence School,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
John Ericsson Middle School 126,R,R,R,10,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Dr. Emmett W. Bassett School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Applied Mathematics and Technology,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R
J.H.S. 143 Eleanor Roosevelt,R,R,R,R,R,R,Junior High-Intermediate-Middle,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Metropolitan Soundview High School,R,R,R,R,10,R,High school,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 075 Emily Dickinson,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 172 Beacon School of Excellence,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan International High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 004 Crotona Park West,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jonas Bronck Academy,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Entrada Academy,R,R,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 108 Assemblyman Angelo Del Toro Educational C,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R
Sixth Avenue Elementary School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Brooklyn Academy of Global Finance,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 152 Evergreen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Landmark High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 340,R,R,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 009 Teunis G. Bergen,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Tompkins Square Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 206 Ann Mersereau,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 115 Alexander Humboldt,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School for Media Studies, The",R,R,R,R,6,R,High school,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Fordham High School for the Arts,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"I.S. X318 Math, Science & Technology Through Arts",R,R,R,9,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The School for Inquiry and Social Justice,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Flatbush Community Research School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 029 John M. Harrigan,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School for Writing and Communication Ar,R,R,R,R,18,R,High school,9,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 133 Fred R Moore,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 018 Park Terrace,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 059 The Community School of Technology,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
