address,:@computed_region_sbqj_enih,longitude,sidewalk_condition,latitude,cb_original,segmentid,wires,:@computed_region_yeji_bk3q,spc_latin,diameter,censustract_2010,site
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
67 SULLIVAN ST,1.0,-74.004007,Good,40.724499,102,32120,,4.0,TILIA CORDATA,5,47,Across
59 SULLIVAN ST,1.0,-74.004211,Good,40.724255,102,32120,,4.0,GINKGO BILOBA,3,47,Across
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,103,31813,,4.0,TILIA CORDATA,5,33,Across
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
508 CANAL ST,1.0,-74.009585,Good,40.72487,101,31636,,4.0,PYRUS CALLERYANA,3,39,Front
200 SPRING ST,1.0,-74.003366,Good,40.725245,102,32132,,4.0,SOPHORA JAPONICA,8,47,Side
80 N MOORE ST,1.0,-74.010532,Good,40.720159,103,31567,,4.0,GLEDITSIA TRIACANTHOS,5,39,Across
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
349 W BROADWAY,1.0,-74.00342,Good,40.722791,102,32103,,4.0,QUERCUS RUBRA,6,47,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
529 BROOME ST,1.0,-74.004188,Good,40.723958,102,32104,,4.0,QUERCUS RUBRA,4,47,Median/Side
500 GREENWICH ST,1.0,-74.009159,Good,40.725902,102,31637,,4.0,PYRUS CALLERYANA,5,37,Front
21 SPRING ST,2.0,-73.995137,Good,40.721486,103,32528,,4.0,SOPHORA JAPONICA,10,43,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,5,39,Front
33 E 9 ST,3.0,-73.993934,Good,40.732011,101,32624,,4.0,PYRUS CALLERYANA,5,59,Front
74 Avenue of the Amer,1.0,-74.005204,Good,40.722502,102,110915,,4.0,PLATANUS ACERIFOLIA,18,47,Adjacent
160 Avenue of the Amer,1.0,-74.004066,Good,40.725374,102,32124,,4.0,ULMUS AMERICANA,8,47,Front
28 KING ST,1.0,-74.003734,Good,40.727713,102,32148,,4.0,GINKGO BILOBA,6,37,Front
345 HUDSON ST,1.0,-74.007296,Good,40.727479,102,31914,,4.0,PYRUS CALLERYANA,7,37,Front
101 BARCLAY ST,1.0,-74.011889,Good,40.71374,101,23238,,4.0,GINKGO BILOBA,5,21,Front
105 E 9 ST,5.0,-73.990002,Good,40.730406,102,32776,,4.0,GLEDITSIA TRIACANTHOS,3,42,Across
560 WASHINGTON ST,1.0,-74.009435,Good,40.728679,102,31655,,4.0,AILANTHUS ALTISSIMA,22,37,Adjacent
344 E 9 ST,5.0,-73.986174,Good,40.728743,101,32914,,4.0,AILANTHUS ALTISSIMA,8,38,Front
105 DUANE ST,1.0,-74.006097,Good,40.715544,101,23406,,4.0,OSTRYA VIRGINIANA,4,33,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
114 E 10 ST,5.0,-73.988446,Good,40.730413,103,32924,,4.0,QUERCUS PALUSTRIS,17,40,Front
174 ELIZABETH ST,2.0,-73.994802,Good,40.721058,101,32505,,4.0,UNKNOWN LIVE TREES ,13,41,Front
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,CRATAEGUS SPECIES,3,47,Across
106 E 14 ST,7.0,-73.989091,Good,40.734111,103,32943,,4.0,PLATANUS ACERIFOLIA,3,42,Front
67 MURRAY ST,1.0,-74.010255,Good,40.714438,101,23249,,4.0,GLEDITSIA TRIACANTHOS,6,21,Across
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,103,31813,,4.0,PLANTING SITE,0,33,Across
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,102,31813,,4.0,TILIA CORDATA,11,33,Across
572 BROOME ST,1.0,-74.006694,Good,40.724464,102,31901,,4.0,CORNUS MAS,8,37,Front
227 E 14 ST,7.0,-73.98657,Good,40.733035,103,32953,,4.0,PLATANUS ACERIFOLIA,11,48,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
165 1 AV,5.0,-73.984382,Good,40.728872,103,33110,,4.0,GLEDITSIA TRIACANTHOS,3,40,Front
70 VAN DAM ST,1.0,-74.007103,Good,40.72657,102,31908,,4.0,UNKNOWN DEAD TREES ,0,37,Front
106 E 10 ST,5.0,-73.988779,Good,40.730583,103,32924,,4.0,GINKGO BILOBA,10,40,Front
317 E 14 ST,7.0,-73.984528,Good,40.732177,103,33129,,4.0,PYRUS CALLERYANA,4,48,Front
342 BOWERY,5.0,-73.991862,Good,40.726199,101,32728,,4.0,PLATANUS ACERIFOLIA,14,5502,Front
105 DUANE ST,1.0,-74.006097,Good,40.715544,101,23406,,4.0,OSTRYA VIRGINIANA,4,33,Front
560 WASHINGTON ST,1.0,-74.009435,Good,40.728679,102,31655,Yes,4.0,AILANTHUS ALTISSIMA,16,37,Adjacent
295 GREENWICH ST,1.0,-74.01102,Good,40.716033,101,23244,,4.0,QUERCUS PALUSTRIS,6,21,Across
333 E 14 ST,7.0,-73.98415,Good,40.73202,103,33129,,4.0,TILIA CORDATA,7,48,Front
304 HUDSON ST,1.0,-74.007544,Good,40.725926,102,31888,,4.0,PYRUS CALLERYANA,4,37,Front
77 SULLIVAN ST,1.0,-74.00375,Good,40.724806,102,32120,,4.0,TILIA CORDATA,6,47,Across
175 2 AV,5.0,-73.986369,Good,40.73039,103,33113,,4.0,GINKGO BILOBA,7,40,Front
229 W HOUSTON ST,3.0,-74.004963,Good,40.728571,102,32151,,4.0,PYRUS CALLERYANA,5,37,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,7,39,Front
92 WARREN ST,1.0,-74.010902,Good,40.715499,101,23251,,4.0,GLEDITSIA TRIACANTHOS,6,21,Across
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,GINKGO BILOBA,7,21,Across
100 VARICK ST,1.0,-74.00609,Good,40.723968,102,31862,,4.0,TILIA CORDATA,9,37,Front
468 GREENWICH ST,1.0,-74.009423,Good,40.724097,101,31633,,4.0,PLANTING SITE,0,39,Front
325 HUDSON ST,1.0,-74.007417,Good,40.7267,102,31890,,4.0,PLATANUS ACERIFOLIA,10,37,Front
46-050 W 111 ST,,1.0,Good,1.0,0,166139,,,ACER SPECIES,2,186,Front
40 STUYVESANT ST,5.0,-73.988014,Good,40.729923,101,164376,,4.0,GLEDITSIA TRIACANTHOS,3,40,Front
106 KENMARE ST,2.0,-73.997202,Good,40.721383,102,32368,,4.0,GINKGO BILOBA,11,45,Across
121 E 10 ST,5.0,-73.988723,Good,40.730555,102,32924,,4.0,GINKGO BILOBA,9,40,Front
17 THOMPSON ST,1.0,-74.004543,Good,40.722606,102,110917,,4.0,PLATANUS ACERIFOLIA,16,47,Adjacent
342 E 13 ST,5.0,-73.984424,Good,40.731228,103,33117,,4.0,AILANTHUS ALTISSIMA,4,40,Front
304 HUDSON ST,1.0,-74.007544,Good,40.725926,102,31888,,4.0,PYRUS CALLERYANA,4,37,Front
3781/2 GREENWICH ST,,1.0,Good,1.0,0,31566,,,GLEDITSIA TRIACANTHOS,7,39,Front
2 LAFAYETTE ST,2.0,-74.003618,Good,40.71364,101,23561,,4.0,PLATANUS ACERIFOLIA,4,31,Median
101 BARCLAY ST,1.0,-74.011889,Good,40.71374,101,23238,,4.0,GINKGO BILOBA,6,21,Front
39 HARRISON ST,1.0,-74.010791,Good,40.718848,101,164122,,4.0,TILIA CORDATA,11,39,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
83 MURRAY ST,1.0,-74.011115,Good,40.714808,101,23249,,4.0,GLEDITSIA TRIACANTHOS,7,21,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,102,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
361 W BROADWAY,1.0,-74.003134,Good,40.723126,102,32103,,4.0,SOPHORA JAPONICA,7,47,Front
190 2 AV,5.0,-73.985917,Good,40.73101,103,33113,,4.0,GLEDITSIA TRIACANTHOS,4,40,Front
666 5 AV,10.0,-73.976003,Good,40.760179,105,271349,,4.0,PYRUS CALLERYANA,6,104,Side
21 STUYVESANT ST,5.0,-73.988464,Good,40.729914,101,164376,,4.0,PLATANUS ACERIFOLIA,16,40,Front
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,GINKGO BILOBA,5,21,Across
312-014 BOWERY,,1.0,Good,1.0,101,32722,,,PLATANUS ACERIFOLIA,10,5502,Front
529 BROOME ST,1.0,-74.004188,Good,40.723958,102,32104,,4.0,ULMUS AMERICANA,7,47,Side
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,103,31813,,4.0,TILIA CORDATA,11,33,Across
199 CHAMBERS ST,1.0,-74.012281,Good,40.71692,101,31478,,4.0,QUERCUS PALUSTRIS,3,39,Adjacent
10 SPRING ST,2.0,-73.994514,Good,40.721231,103,275212,,4.0,ACER PLATANOIDES,3,41,Front
229 W HOUSTON ST,3.0,-74.004963,Good,40.728571,102,32151,,4.0,PYRUS CALLERYANA,5,37,Front
145 E 14 ST,7.0,-73.988277,Good,40.733754,103,32947,,4.0,QUERCUS PALUSTRIS,8,50,Front
27 VAN DAM ST,1.0,-74.004902,Good,40.72637,102,32127,,4.0,GLEDITSIA TRIACANTHOS,5,37,Front
190 SPRING ST,1.0,-74.002957,Good,40.725045,102,32132,,4.0,GLEDITSIA TRIACANTHOS,10,47,Front
38 WEST ST,1.0,-74.015628,Good,40.707402,103,105786,,4.0,GLEDITSIA TRIACANTHOS,5,13,Adjacent
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
162 2 AV,5.0,-73.9867,Good,40.730032,103,110579,,4.0,QUERCUS PALUSTRIS,13,40,Across
17 CLEVELAND PL,2.0,-73.997323,Good,40.721678,102,32369,,4.0,QUERCUS PALUSTRIS,5,41,Across
352 E 9 ST,5.0,-73.985986,Good,40.728663,101,32914,,4.0,PLANTING SITE,0,38,Front
129 MULBERRY ST,2.0,-73.99792,Good,40.718176,103,32324,,4.0,GINKGO BILOBA,4,41,Front
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,102,31813,,4.0,TILIA CORDATA,6,33,Across
222 E 10 ST,5.0,-73.985454,Good,40.729205,102,32937,,4.0,GLEDITSIA TRIACANTHOS,4,40,Front
62 SPRING ST,2.0,-73.997091,Good,40.72233,103,32514,,4.0,CORNUS MAS,5,45,Side
83 SULLIVAN ST,1.0,-74.003597,Good,40.724988,102,32120,,4.0,ZELKOVA SERRATA,5,47,Across
38 WEST ST,1.0,-74.015628,Good,40.707402,103,105786,,4.0,GLEDITSIA TRIACANTHOS,8,13,Adjacent
210 SPRING ST,1.0,-74.003668,Good,40.725367,102,110924,,4.0,SOPHORA JAPONICA,3,47,Front
196 SPRING ST,1.0,-74.003202,Good,40.725165,102,32132,,4.0,GLEDITSIA TRIACANTHOS,4,47,Front
50 WATTS ST,1.0,-74.005262,Good,40.723669,102,31877,,4.0,PYRUS CALLERYANA,24,37,Front
710L E 13 ST,,1.0,Good,1.0,103,34618,,,ACER SPECIES,5,28,Across
323A GREENWICH ST,1.0,-74.010694,Good,40.717461,101,31538,,4.0,GLEDITSIA TRIACANTHOS,14,39,Across
16 SPRING ST,2.0,-73.994821,Good,40.721357,103,32528,,4.0,PYRUS CALLERYANA,5,41,Front
39 CHARLTON ST,1.0,-74.004836,Good,40.727089,102,32142,,4.0,PLATANUS ACERIFOLIA,10,37,Front
60 WATTS ST,1.0,-74.005641,Good,40.723703,102,31877,,4.0,ZELKOVA SERRATA,4,37,Front
71 MURRAY ST,1.0,-74.01047,Good,40.714531,101,23249,,4.0,GLEDITSIA TRIACANTHOS,5,21,Across
92 WARREN ST,1.0,-74.010902,Good,40.715499,101,23251,,4.0,GLEDITSIA TRIACANTHOS,5,21,Across
46 STUYVESANT ST,5.0,-73.987722,Good,40.729929,101,164376,,4.0,ACER PLATANOIDES,10,40,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,103,31567,,4.0,GLEDITSIA TRIACANTHOS,5,39,Across
11 CHARLTON ST,1.0,-74.003646,Good,40.726977,102,32142,,4.0,GINKGO BILOBA,4,37,Front
62 SPRING ST,2.0,-73.997091,Good,40.72233,103,32514,,4.0,CORNUS MAS,5,45,Side
121 Avenue of the Amer,1.0,-74.004681,Good,40.723899,102,31878,,4.0,PYRUS CALLERYANA,4,37,Adjacent
345 HUDSON ST,1.0,-74.007296,Good,40.727479,102,31914,,4.0,PYRUS CALLERYANA,8,37,Front
46 STUYVESANT ST,5.0,-73.987722,Good,40.729929,102,164376,,4.0,QUERCUS PALUSTRIS,12,40,Across
13 HUDSON ST,1.0,-74.009198,Good,40.716249,101,31544,,4.0,GLEDITSIA TRIACANTHOS,4,39,Front
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,CRATAEGUS SPECIES,2,47,Across
66 WATTS ST,1.0,-74.005869,Good,40.723724,102,31877,,4.0,ZELKOVA SERRATA,4,37,Front
145 E 14 ST,7.0,-73.988277,Good,40.733754,103,32947,,4.0,QUERCUS PALUSTRIS,5,50,Front
51 ASTOR PL,5.0,-73.990676,Good,40.7299,101,32773,,4.0,PLATANUS ACERIFOLIA,11,42,Front
228 E 14 ST,7.0,-73.986525,Good,40.733016,103,32953,,4.0,GLEDITSIA TRIACANTHOS,13,40,Front
122 E 10 ST,5.0,-73.988112,Good,40.730243,103,32924,,4.0,GINKGO BILOBA,11,40,Front
260 W BROADWAY,1.0,-74.005466,Good,40.720303,103,31812,,4.0,SOPHORA JAPONICA,9,33,Across/Side
275 GREENWICH ST,1.0,-74.011244,Good,40.715203,101,23242,,4.0,GLEDITSIA TRIACANTHOS,3,21,Front
30 W BROADWAY,1.0,-74.010674,Good,40.713713,101,23246,,4.0,GINKGO BILOBA,6,21,Front
15 KING ST,1.0,-74.003226,Good,40.727663,102,32148,,4.0,ULMUS AMERICANA,11,37,Side
72-074 THOMPSON ST,,1.0,Good,1.0,0,32105,,,PYRUS CALLERYANA,3,47,Front
75 PARK PL,1.0,-74.011514,Good,40.714287,101,23247,,4.0,GLEDITSIA TRIACANTHOS,4,21,Side
194 GRAND ST,2.0,-73.99699,Good,40.71922,102,32349,,4.0,GLEDITSIA TRIACANTHOS,4,41,Front
388 GREENWICH ST,1.0,-74.010132,Good,40.720544,101,31568,,4.0,GLEDITSIA TRIACANTHOS,5,39,Side
33 HARRISON ST,1.0,-74.010636,Good,40.71883,101,164122,,4.0,GLEDITSIA TRIACANTHOS,7,39,Across
304 HUDSON ST,1.0,-74.007544,Good,40.725926,102,31888,,4.0,PYRUS CALLERYANA,4,37,Front
38 WEST ST,1.0,-74.015628,Good,40.707402,103,105786,,4.0,GLEDITSIA TRIACANTHOS,4,13,Adjacent
100 VARICK ST,1.0,-74.00609,Good,40.723968,102,31862,,4.0,TILIA CORDATA,9,37,Front
159 2 AV,5.0,-73.986871,Good,40.729699,102,32913,,4.0,PYRUS CALLERYANA,3,40,Side
19 CLEVELAND PL,2.0,-73.997287,Good,40.721785,102,32369,,4.0,PLANTING SITE,0,41,Across
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
178 1 AV,5.0,-73.984069,Good,40.729299,103,33110,,4.0,GLEDITSIA TRIACANTHOS,11,34,Front
900 WEST END AVE,15.0,-73.969498,Good,40.800339,107,9003003,,4.0,GINKGO BILOBA,7,191,Side
110 E 10 ST,5.0,-73.988612,Good,40.730498,103,32924,,4.0,GINKGO BILOBA,10,40,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
101 W BROADWAY,1.0,-74.009031,Good,40.715767,101,23257,,4.0,GINKGO BILOBA,6,21,Front
142 1 AV,5.0,-73.985062,Good,40.727938,103,33106,,4.0,GLEDITSIA TRIACANTHOS,7,32,Front
308 BOWERY,5.0,-73.992336,Good,40.724981,102,164321,,4.0,PLATANUS ACERIFOLIA,16,5502,Front
55 Avenue of the Amer,1.0,-74.005274,Good,40.721231,102,31813,,4.0,TILIA CORDATA,6,33,Across
72-074 THOMPSON ST,,1.0,Good,1.0,0,32105,,,PYRUS CALLERYANA,3,47,Front
260 W BROADWAY,1.0,-74.005466,Good,40.720303,103,31812,,4.0,PLATANUS ACERIFOLIA,12,33,Across/Side
83 MURRAY ST,1.0,-74.011115,Good,40.714808,101,23249,,4.0,GLEDITSIA TRIACANTHOS,6,21,Across
197 1 AV,5.0,-73.983537,Good,40.73003,103,33121,,4.0,FRAXINUS PENNSYLVANICA,3,40,Front
690 GREENWICH ST,3.0,-74.007459,Good,40.733294,101,31954,,4.0,GLEDITSIA TRIACANTHOS,6,75,Side
202 SPRING ST,1.0,-74.003387,Good,40.725255,102,110924,,4.0,PYRUS CALLERYANA,2,47,Side
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,7,39,Front
5 SPRING ST,2.0,-73.994161,Good,40.721086,103,275212,,4.0,TILIA CORDATA,10,43,Front
3701/2 GREENWICH ST,,1.0,Good,1.0,0,31566,,,GLEDITSIA TRIACANTHOS,5,39,Front
207 2 AV,5.0,-73.985508,Good,40.731572,103,33115,,4.0,GLEDITSIA TRIACANTHOS,5,40,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,6,39,Side
488 GREENWICH ST,1.0,-74.009264,Good,40.725113,102,31637,,4.0,GLEDITSIA TRIACANTHOS,14,37,Front
76 Avenue of the Amer,1.0,-74.005173,Good,40.72257,102,110915,,4.0,ULMUS AMERICANA,10,47,Across
154 2 AV,5.0,-73.986902,Good,40.729656,103,32913,,4.0,CORNUS MAS,13,40,Front
315 HUDSON ST,1.0,-74.007475,Good,40.726344,102,31888,,4.0,QUERCUS PHELLOS,10,37,Front
439 CANAL ST,1.0,-74.006703,Good,40.722841,102,106025,,4.0,PYRUS CALLERYANA,10,37,Front
21 SPRING ST,2.0,-73.995137,Good,40.721486,103,32528,,4.0,SOPHORA JAPONICA,9,43,Front
40 CHARLTON ST,1.0,-74.004911,Good,40.727096,102,32142,,4.0,GLEDITSIA TRIACANTHOS,7,37,Front
57 BEACH ST,1.0,-74.009416,Good,40.720696,101,31572,,4.0,AILANTHUS ALTISSIMA,16,39,Front
