estimated_gross_income_3,building_classification_2,market_value_per_sqft_1,gross_sqft,full_market_value_3,address,estimated_gross_income,estimated_gross_income_2,market_value_per_sqft_2,boro_block_lot_2,year_built
1144290.0,D1  -ELEVATOR,253.49,45853,7287000.0,422 WEST 20 STREET,2447175,1510925.0,250.59,1-00738-0015,1920
337645.0,D1  -ELEVATOR,380.88,45116,1817000.0,150 EAST 37 STREET,2239107,782319.0,357.2,1-00914-0010,1963
11482546.0,D6  -ELEVATOR,324.8,235948,61591000.0,250 EAST 40 STREET,12097054,14259536.0,296.36,1-00885-0042,1988
490545.0,C4  -WALK-UP,484.4,19979,2866000.0,221 WEST 14 STREET,901452,434330.0,320.55,1-00765-0057,1930
429965.0,C4  -WALK-UP,90.67,263706,1943000.0,15 PARK ROW,9749211,361120.0,193.44,1-00274-0003,1896
5068070.0,D1  -ELEVATOR,175.88,102146,21862000.0,216 EAST 14 STREET,5679318,556445.0,287.07,1-00468-0035,2012
,D1  -ELEVATOR,131.92,27073,,3 WEST 122 STREET,702274,604688.0,84.73,1-01725-0033,1900
948306.0,D3  -ELEVATOR,250.28,94250,4611000.0,69 WEST 9 STREET,4395820,1264317.0,269.96,1-00552-0010,1959
506958.0,C1  -WALK-UP,156.37,14440,1631000.0,207 EAST 120 STREET,422948,252502.0,118.58,1-01796-0028,1900
16882607.0,D6  -ELEVATOR,262.3,305093,86876000.0,225 EAST 57 STREET,15474317,15400722.0,269.21,1-01272-0001,1964
,D3  -ELEVATOR,354.3,130245,,527 WEST 27 STREET,7055372,7046586.0,318.1,1-00641-0017,2015
1054733.0,D1  -ELEVATOR,179.06,24090,2805000.0,118 WEST 112 STREET,925056,887270.0,205.83,1-01828-0042,1915
983010.0,D3  -ELEVATOR,165.34,59228,6713000.0,225 EAST 86 STREET,2786085,1811040.0,164.29,1-01519-0022,1981
957844.0,D1  -ELEVATOR,142.7,33892,3862000.0,333 EAST 109 STREET,1402451,1975418.0,79.02,1-01644-0008,2007
902402.0,D3  -ELEVATOR,361.04,60653,3310000.0,186 WEST 80 STREET,3465712,390838.0,234.21,1-01196-0024,1920
471490.0,C1  -WALK-UP,74.12,15934,2079000.0,4961 HENRY HUDSON PARKWAY W,313740,306280.0,45.53,2-05825-1501,1940
948551.0,D1  -ELEVATOR,75.43,97370,2441000.0,508 EAST 163 STREET,1804266,1132200.0,49.8,2-02707-0068,2008
876643.0,D1  -ELEVATOR,97.44,11624,1417000.0,461 WEST 150 STREET,425438,1515839.0,91.23,1-02098-0019,2011
4480402.0,D1  -ELEVATOR,320.64,10461,21862000.0,107 AVENUE A,515100,5012632.0,175.88,1-00453-0011,1920
2942640.0,D1  -ELEVATOR,108.03,30743,11816000.0,3220 FAIRFIELD AVENUE,679728,3041594.0,55.7,2-05780-0940,1989
3958248.0,D3  -ELEVATOR,304.38,53435,19584000.0,975 1 AVENUE,2182285,761829.0,216.74,1-01369-0037,1941
1186548.0,D1  -ELEVATOR,253.49,110686,5930000.0,540 WEST 28 STREET,6250438,1011339.0,367.0,1-00720-0055,2009
1122511.0,D1  -ELEVATOR,563.55,11852,7002000.0,3 WEEHAWKEN STREET,610615,1620819.0,565.51,1-00588-0071,1900
16290224.0,D6  -ELEVATOR,285.41,648926,99221000.0,15 BROAD STREET,31511847,23824308.0,315.42,1-00031-0001,1914
2204400.0,D3  -ELEVATOR,297.01,6670,13459000.0,496 LA GUARDIA PLACE,348774,534665.0,277.07,1-00558-0018,1910
500623.0,C5  -WALK-UP,235.0,48846,2438000.0,107 WEST 82 STREET,2143362,394758.0,313.28,1-01200-0152,1880
465138.0,D5  -ELEVATOR,183.35,38960,2657000.0,143 EAST 34 STREET,1945273,3179672.0,254.47,1-00888-0031,2002
5676943.0,D3  -ELEVATOR,323.27,43723,13759000.0,173 EAST BROADWAY,2633436,1603511.0,394.79,1-00309-0022,1912
625249.0,D1  -ELEVATOR,115.39,48500,4445000.0,425 CENTRAL PARK WEST,1859490,1273820.0,167.53,1-01843-0055,1941
1342922.0,D1  -ELEVATOR,321.98,25646,7997000.0,226 EAST 52 STREET,1491058,965938.0,279.04,1-01350-0019,1984
397105.0,C1  -WALK-UP,21.68,14384,1036000.0,717 KELLY STREET,265672,386845.0,31.32,2-02614-0011,1909
1298420.0,D3  -ELEVATOR,244.78,218992,5124000.0,2025 BROADWAY,10829154,1798200.0,223.33,1-01143-0027,1977
2119648.0,D1  -ELEVATOR,325.21,34168,8084000.0,502 9 AVENUE,1889832,1361566.0,307.15,1-00754-0019,2005
658983.0,D1  -ELEVATOR,74.31,49200,4756000.0,247 WEST 115 STREET,1400232,782935.0,101.96,1-01828-0030,2007
1154580.0,D1  -ELEVATOR,253.49,66668,7287000.0,225 8 AVENUE,3665407,1247733.0,325.07,1-00768-0077,1998
701110.0,D1  -ELEVATOR,335.01,945,3433000.0,2 AMSTERDAM AVENUE,48119,2256246.0,287.33,1-01154-0202,1991
7444032.0,D3  -ELEVATOR,109.77,63300,34788000.0,600 WEST 115 STREET,1809114,1219968.0,103.59,1-01885-0024,1911
1550580.0,D3  -ELEVATOR,177.58,125813,7295000.0,306 WEST 48 STREET,7566394,2549695.0,341.16,1-01036-0010,2007
2381881.0,D3  -ELEVATOR,253.49,53449,10082000.0,308 WEST 30 STREET,2566086,715349.0,281.28,1-00753-0024,1925
612471.0,D1  -ELEVATOR,355.47,20525,2663000.0,73 MERCER STREET,1033639,2207489.0,310.01,1-00506-0016,1900
3646950.0,D1  -ELEVATOR,29.93,8384,5211000.0,367 EAST 154 STREET,248586,2043878.0,37.05,2-02458-0025,2008
2558118.0,D1  -ELEVATOR,219.03,202235,12097000.0,30 WEST 61 STREET,12202860,9673031.0,335.01,1-01062-0019,1982
,D6  -ELEVATOR,239.26,147022,,255 WEST 84 STREET,4929648,3655308.0,131.16,1-01205-0029,1915
652920.0,D1  -ELEVATOR,355.47,73057,2663000.0,210 LAFAYETTE STREET,3926814,2357517.0,310.01,1-00506-0016,2005
2101893.0,D9  -ELEVATOR,274.24,82637,9068000.0,150 EAST 85 STREET,4274812,603106.0,343.64,1-01494-0045,1986
1237280.0,C1  -WALK-UP,227.97,15957,1973000.0,613 EAST 11 STREET,759234,2087382.0,203.44,1-00392-0048,2001
1030052.0,D3  -ELEVATOR,213.8,60767,3996000.0,110 WEST 90 STREET,2540668,4155340.0,164.74,1-01216-0051,1990
431377.0,D3  -ELEVATOR,319.67,25593,2800000.0,1730 2 AVENUE,1303451,1423539.0,225.48,1-01567-0031,1987
1808663.0,D1  -ELEVATOR,310.01,94226,11997000.0,255 HUDSON STREET,5049571,2115850.0,273.28,1-00504-0031,2005
1558703.0,D3  -ELEVATOR,198.2,197233,5913000.0,250 EAST 53 STREET,10273867,986237.0,216.74,1-01369-0037,2006
811545.0,D1  -ELEVATOR,160.57,68815,2805000.0,191 ST. NICHOLAS AVENUE,2028666,1888430.0,74.31,1-01925-0050,2003
1245304.0,D1  -ELEVATOR,115.38,109752,2571000.0,4260 BROADWAY,2783311,1253075.0,108.9,1-02180-0199,1920
2735390.0,D3  -ELEVATOR,306.1,56935,14464000.0,350 WEST 53 STREET,2964036,1293587.0,274.55,1-01042-0007,2005
1895545.0,D1  -ELEVATOR,83.59,38481,6921000.0,342 EAST 110 STREET,1548475,941575.0,170.92,1-01680-0019,2007
,D1  -ELEVATOR,340.73,408657,,200 EAST 69 STREET,25393946,2629518.0,321.28,1-01424-0029,1991
,D3  -ELEVATOR,302.1,60117,,385 3 AVENUE,2936715,800415.0,55.03,1-00879-0026,2006
1843930.0,D3  -ELEVATOR,284.41,91112,10386000.0,325 LEXINGTON AVENUE,4731446,1874121.0,308.52,1-00918-0007,2013
1623078.0,D5  -ELEVATOR,323.27,28144,12083000.0,115 NORFOLK STREET,1452230,543640.0,383.63,1-00348-0069,2008
26261328.0,D5  -ELEVATOR,293.15,548976,153736000.0,18 PINE STREET,29408644,16236317.0,285.41,1-00021-0006,1928
2692181.0,D8  -ELEVATOR,192.34,321079,14297000.0,381 2 AVENUE,15318679,5207372.0,252.63,1-00934-0020,1931
402127.0,C5  -WALK-UP,272.25,7637,1887000.0,53 WEST 76 STREET,372609,441466.0,292.66,1-01129-0018,1890
2439375.0,D1  -ELEVATOR,325.21,75799,8084000.0,125 WEST 31 STREET,4798077,1558256.0,307.15,1-00754-0019,2005
2626948.0,D3  -ELEVATOR,239.35,62196,19499000.0,44 EAST 67 STREET,2698684,6777518.0,340.73,1-01426-9035,1941
431507.0,D1  -ELEVATOR,231.0,32962,2321000.0,386 COLUMBUS AVENUE,1715342,763947.0,291.55,1-01150-0051,1988
,D3    -ELEVATOR,252.95,6130,,27-17 CRESCENT STREET,250288,3224472.0,225.98,4-00413-0032,2009
262351.0,C1  -WALK-UP,184.33,35977,1926000.0,273 WEST 136 STREET,1003039,427564.0,152.76,1-02025-0043,1994
,D1  -ELEVATOR,298.26,60830,,260 WEST 153 STREET,2086469,605522.0,138.95,1-02074-0023,2015
689021.0,D1  -ELEVATOR,160.57,19500,4756000.0,276 WEST 119 STREET,579735,1904444.0,74.31,1-01925-0050,2004
1077441.0,D3  -ELEVATOR,220.9,18064,10484000.0,5420 WEST BROADWAY,737734,1107362.0,269.96,1-00552-0010,1928
580599.0,C5  -WALK-UP,235.0,8563,3140000.0,164 WEST 83 STREET,379341,325879.0,432.58,1-01213-0107,1955
543002.0,D1  -ELEVATOR,53.35,9741,1801000.0,239 WEST 135 STREET,350871,755630.0,150.39,1-02051-0031,2008
4394078.0,D5  -ELEVATOR,264.03,185351,23542000.0,510 WEST 45 STREET,9821749,9025500.0,291.17,1-01041-0011,2011
1827143.0,D3  -ELEVATOR,119.32,65822,5409000.0,527 CATHEDRAL PARKWAY,2492021,2065907.0,99.91,1-01884-0015,1920
1827393.0,D3  -ELEVATOR,142.7,21472,3773000.0,416 EAST 117 STREET,821733,1127490.0,140.34,1-01645-0012,2007
825623.0,D1  -ELEVATOR,394.79,60962,4829000.0,158 HESTER STREET,3414482,1824075.0,384.14,1-00350-0069,2004
1401737.0,D1  -ELEVATOR,259.62,24451,7245000.0,97 AVENUE B,1008115,752860.0,206.13,1-00391-0050,1900
709123.0,D1  -ELEVATOR,160.57,45436,4756000.0,352 WEST 117 STREET,1390796,1960815.0,74.31,1-01925-0050,1900
1950408.0,D1  -ELEVATOR,54.06,17408,3020000.0,2373 ADAM C. POWELL BOULEVARD,615721,1846883.0,72.65,1-02010-0018,2009
979110.0,D5  -ELEVATOR,149.15,13820,1565000.0,23 EAST 128 STREET,352410,584715.0,131.92,1-01771-0014,2005
594440.0,D5  -ELEVATOR,264.03,80136,2400000.0,601 WEST 41 STREET,3402575,7380000.0,291.17,1-01041-0011,2005
1724039.0,D1  -ELEVATOR,224.1,48439,9381000.0,308 WEST 133 STREET,2443263,1652580.0,298.26,1-02026-0033,2016
2963206.0,D1  -ELEVATOR,332.26,142140,17593000.0,404 EAST 66 STREET,5932924,1752174.0,321.28,1-01424-0029,1959
,D3  -ELEVATOR,247.82,95347,,351 EAST 57 STREET,4102781,2828407.0,209.89,1-01343-0005,1958
640243.0,D1  -ELEVATOR,294.93,3800,4829000.0,112 RIVINGTON STREET,168492,1592320.0,216.74,1-00411-0045,1900
3957394.0,D3  -ELEVATOR,139.61,221974,20007000.0,2681 BROADWAY,6672538,3242542.0,156.73,1-01871-0061,1927
627146.0,D5  -ELEVATOR,149.15,24797,1611000.0,2056 5 AVENUE,649433,594346.0,131.92,1-01771-0014,1920
960636.0,D6  -ELEVATOR,259.3,158571,3423000.0,77 PARK AVENUE,7329152,5741468.0,193.66,1-00865-0042,1924
,,67.57,7120,,132 MAPLE AVENUE,160200,,,,2008
743016.0,D1  -ELEVATOR,394.79,21746,4829000.0,136 EAST BROADWAY,1097738,1650129.0,384.14,1-00350-0069,2008
3058891.0,D1  -ELEVATOR,271.59,82112,14931000.0,317 EAST 48 STREET,3530816,1034261.0,258.34,1-01342-0045,1962
713320.0,C1  -WALK-UP,39.9,19603,2463000.0,189A WEST KINGSBRIDGE ROAD,375986,287700.0,46.73,2-03266-0129,2008
525390.0,D1  -ELEVATOR,238.46,36693,3349000.0,24 EAST 7 STREET,1588807,4445606.0,175.88,1-00453-0011,1991
1012044.0,D9  -ELEVATOR,423.38,101634,3960000.0,222 WEST 14 STREET,6416154,2218838.0,227.97,1-00624-0031,1987
1685141.0,D1  -ELEVATOR,219.06,81223,4886000.0,510 EAST 80 STREET,3901953,406899.0,330.58,1-01564-0012,1986
1756159.0,D1  -ELEVATOR,99.15,72717,5737000.0,871 WESTCHESTER AVENUE,967863,1057196.0,62.12,2-02618-0047,2005
1361925.0,D3  -ELEVATOR,256.67,89512,5696000.0,511 9 AVENUE,5418161,1582908.0,289.09,1-01053-0018,2008
7101582.0,D3  -ELEVATOR,302.1,92176,51779000.0,1 EAST 35 STREET,4426292,784575.0,55.03,1-00879-0026,2005
8336554.0,D7  -ELEVATOR,202.76,191740,47515000.0,111 FULTON STREET,9167089,1238422.0,338.96,1-00107-0042,1940
1944000.0,D1  -ELEVATOR,225.48,106578,12093000.0,500A EAST 87 STREET,4355843,346169.0,330.58,1-01564-0012,1963
827354.0,D1  -ELEVATOR,175.88,51644,4756000.0,55 3 AVENUE,3067137,5410954.0,238.46,1-00462-0035,1986
1158384.0,D1  -ELEVATOR,319.59,69026,7316000.0,550 WEST 29 STREET,3835775,507579.0,360.0,1-00770-0033,2016
519503.0,D5  -ELEVATOR,330.92,64600,3919000.0,108 5 AVENUE,3262300,2085650.0,311.91,1-00818-0019,1986
1892221.0,D5  -ELEVATOR,324.8,55715,10386000.0,159 EAST 30 STREET,2977410,590191.0,335.39,1-00911-0028,1987
1351022.0,D3  -ELEVATOR,253.09,33324,4929000.0,209 WEST 104 STREET,1081697,971852.0,281.43,1-01876-0060,1935
226160.0,C1  -WALK-UP,202.37,11250,2409000.0,173 EAST 102 STREET,285075,218306.0,270.03,1-01627-0025,1920
1229861.0,D1  -ELEVATOR,54.77,120394,3799000.0,34 WEST 139 STREET,2837687,1291040.0,54.06,1-02010-0011,2007
1421465.0,D1  -ELEVATOR,244.78,223560,5124000.0,200 WEST END AVENUE,12577486,2527070.0,209.98,1-01182-0029,2006
12779600.0,D8  -ELEVATOR,313.98,165323,55791000.0,1600 BROADWAY,9310991,15888407.0,473.62,1-01041-0029,2005
592842.0,D1  -ELEVATOR,320.64,93382,3349000.0,421 EAST 13 STREET,4591593,5005506.0,175.88,1-00453-0011,2006
,D1  -ELEVATOR,329.44,377444,,1 CENTRAL PARK,23326039,2576642.0,287.33,1-01154-0202,1955
1693387.0,D1  -ELEVATOR,108.03,14969,5924000.0,3614 JOHNSON AVENUE,349376,3174950.0,55.7,2-05780-0940,2002
,D1  -ELEVATOR,310.01,224061,,70 VESTRY STREET,11868511,1815750.0,355.47,1-00504-0036,2016
786344.0,D1  -ELEVATOR,75.43,579071,5038000.0,601 EAST 156 STREET,8981391,1227958.0,76.9,2-02684-0079,2009
1822503.0,D3  -ELEVATOR,383.63,84089,12083000.0,242 BROOME STREET,4872117,1471748.0,394.79,1-00309-0022,2016
1869205.0,D1  -ELEVATOR,175.18,92422,8261000.0,2 AMSTERDAM AVENUE,4490785,1011780.0,260.14,1-01061-0060,1991
1098186.0,D1  -ELEVATOR,320.64,44160,6122000.0,11 2 AVENUE,2363002,5447318.0,175.88,1-00453-0011,2012
1273860.0,D1  -ELEVATOR,175.37,113479,5463000.0,540 WEST 49 STREET,6848458,9956111.0,335.01,1-01062-0019,2013
1859745.0,D3  -ELEVATOR,83.59,36849,6921000.0,325 EAST 101 STREET,1454799,1515959.0,120.49,1-01624-0021,2009
1282509.0,D3  -ELEVATOR,306.1,15764,7295000.0,301 WEST 57 STREET,793402,1254327.0,274.55,1-01042-0007,1987
301117.0,C4  -WALK-UP,161.39,23765,1462000.0,368 ST. NICHOLAS AVENUE,683481,421513.0,183.43,1-01958-0049,1910
19217406.0,D6  -ELEVATOR,305.86,294885,127978000.0,100 EAST 53 STREET,16575486,16584972.0,297.23,1-01028-0017,2014
228888.0,C1  -WALK-UP,52.2,43316,685000.0,228 NEPTUNE COURT,747634,234736.0,41.99,2-03774-0010,1989
778241.0,D3  -ELEVATOR,91.84,32868,6066000.0,251 WEST 98 STREET,1067224,4298241.0,131.64,1-01868-0001,1912
1598575.0,D3  -ELEVATOR,165.34,104951,9674000.0,108 EAST 96 STREET,4988321,3122341.0,246.07,1-01521-0007,1985
4930519.0,D5  -ELEVATOR,216.74,54638,19584000.0,231 EAST 55 STREET,2769600,661180.0,304.38,1-01347-0034,2000
1563401.0,D9  -ELEVATOR,354.3,31312,7245000.0,159 WEST 24 STREET,1621022,781316.0,244.94,1-00772-0016,1900
732336.0,D3  -ELEVATOR,220.21,127545,4278000.0,115 NASSAU STREET,7881006,1625077.0,394.79,1-00309-0022,2016
1033090.0,D1  -ELEVATOR,256.24,13796,4708000.0,1724 2 AVENUE,691869,1175647.0,248.82,1-01551-0040,1910
765585.0,D9  -ELEVATOR,307.63,32863,5967000.0,350 WEST 14 STREET,1274099,1350244.0,278.62,1-00624-0041,1962
3026497.0,D3  -ELEVATOR,91.84,45120,11778000.0,314 WEST 100 STREET,1275994,2534987.0,173.33,1-01888-0015,1940
1973742.0,D1  -ELEVATOR,219.03,125900,12097000.0,43 WEST 61 STREET,5849314,1544011.0,333.75,1-01117-0055,1930
480860.0,C1  -WALK-UP,39.72,19225,1864000.0,720 EAST 217 STREET,392382,257463.0,52.73,2-04650-0025,2006
2848320.0,D1  -ELEVATOR,115.39,390628,14568000.0,372 CENTRAL PARK WEST,10480549,682877.0,155.27,1-01842-0039,1961
604125.0,D5  -ELEVATOR,330.92,29062,3919000.0,8 WEST 19 STREET,1701580,2418115.0,311.91,1-00818-0019,1900
995070.0,D1  -ELEVATOR,52.57,61084,2522000.0,1314 SENECA AVENUE,938861,706164.0,36.31,2-02763-0233,1928
1220564.0,C4  -WALK-UP,175.83,26720,4259000.0,1231 3 AVENUE,1874942,632406.0,290.69,1-01432-0035,1930
5708138.0,D1  -ELEVATOR,244.96,26026,19584000.0,5 EAST 44 STREET,1503522,1900144.0,177.58,1-01036-0054,2007
773447.0,D3  -ELEVATOR,131.64,78776,6066000.0,229 WEST 97 STREET,2519256,3070080.0,151.75,1-01851-0005,1901
9812906.0,D1  -ELEVATOR,270.43,246663,55785000.0,161 WEST 61 STREET,14535851,2576642.0,287.33,1-01154-0202,1988
1234800.0,D3  -ELEVATOR,175.37,54027,5696000.0,464 WEST 44 STREET,2965002,1435957.0,289.09,1-01053-0018,2007
2626162.0,D1  -ELEVATOR,244.78,512280,9415000.0,200 RIVERSIDE BOULEVARD,29871047,2454968.0,287.33,1-01154-0202,1997
527972.0,D1  -ELEVATOR,160.57,66936,4756000.0,364      368 WEST 117 STREET,1524133,1458601.0,74.31,1-01925-0050,1901
1493500.0,D3  -ELEVATOR,306.1,340000,7295000.0,106 CENTRAL PARK SOUTH,19927400,1460068.0,274.55,1-01042-0007,1930
