total_units_2,estimated_expense,gross_income_per_sqft,gross_income_per_sqft_1,net_operating_income,estimated_gross_income_1,total_units_1,full_market_value_1
52.0,1470229,44.17,43.18,2621768,708152,20,3960000
86.0,493657,45.97,45.97,1233390,1551488,70,11997000
14.0,875892,33.83,33.83,2031999,889729,35,10383000
71.0,728594,50.47,50.47,2358908,941467,24,4043000
33.0,2751408,53.98,53.67,8508712,3521557,60,11507000
128.0,1322493,37.79,19.38,2685288,2672676,156,9941000
148.0,2878617,50.84,50.84,6094338,1135969,20,5348000
11.0,118971,51.43,48.7,473348,727481,14,4829000
78.0,901290,20.1,20.08,1100469,1863063,78,5799000
89.0,103174,59.61,62.41,358207,875113,13,4496000
16.0,78360,44.77,45.03,295246,393562,20,2576000
37.0,3077640,63.91,65.01,18777024,1667962,37,8344000
20.0,135890,54.71,54.22,485725,599673,16,2782000
24.0,352903,52.22,52.1,882257,1056015,34,7720000
227.0,4324498,52.34,46.28,9188591,15004531,167,76684000
71.0,973457,31.0,30.67,1828509,4154650,107,17832000
24.0,158164,26.14,25.97,230407,650549,30,3575000
20.0,1525746,42.22,42.22,2465395,10327730,152,64777000
16.0,139848,55.48,55.36,372621,465301,16,1972000
14.0,205978,57.66,57.92,781277,634224,18,3949000
13.0,184498,43.08,43.08,430211,811110,26,7331000
30.0,907401,49.42,49.31,1284376,1101783,20,5348000
28.0,1900326,43.8,46.06,6188527,392662,12,3069000
24.0,2041508,45.31,46.2,4835870,689396,19,3655000
14.0,304440,36.7,36.7,994740,625588,24,4210000
90.0,174814,23.22,23.22,296088,3127804,127,7503000
15.0,144094,35.48,37.42,261655,352122,11,1926000
37.0,2213952,28.48,28.66,3278501,519319,18,1989000
63.0,321745,41.69,41.69,1069700,4119306,79,19584000
16.0,36414,39.24,37.79,62745,1867128,54,14467000
51.0,3706577,65.28,65.28,8062167,2137006,41,6255000
71.0,400244,53.7,53.85,1100671,594719,12,3704000
16.0,119819,40.51,39.89,485400,407835,18,3299000
26.0,251151,42.76,42.69,391147,461820,26,3542000
39.0,447140,30.84,41.28,1184789,1824287,22,9922000
30.0,1379103,40.95,41.32,2779533,2194009,58,6368000
48.0,2504586,17.19,14.84,2507502,759660,48,2441000
44.0,473492,14.23,14.25,433343,741000,54,2294000
94.0,408084,31.96,30.46,855710,639477,29,3413000
20.0,302970,52.57,53.07,1250894,3095308,71,19379000
13.0,1761620,55.69,55.69,5316635,2663096,70,16003000
55.0,755476,52.15,52.54,2042684,5767263,44,14397000
27.0,119032,29.39,29.63,214780,279707,18,1001000
71.0,1129946,55.49,55.49,2338013,1239869,20,5348000
24.0,1874724,45.69,45.69,6768682,4514538,79,19584000
34.0,423947,51.76,50.39,923935,3306340,60,11507000
12.0,534853,52.81,52.49,2335635,948967,24,6635000
120.0,30183831,16.55,16.55,32730829,1055063,60,4155000
71.0,2288988,38.5,38.92,4010228,932835,35,6066000
28.0,665190,52.73,52.73,1461885,2184235,51,14676000
24.0,75764,52.05,52.05,237213,975417,36,6246000
273.0,2286333,21.68,21.68,4052249,3512160,132,15030000
42.0,464683,47.22,47.28,1195100,983282,27,5205000
86.0,528266,47.48,47.48,1200338,1602450,70,11997000
49.0,698615,34.84,34.51,1237723,1502565,37,5195000
82.0,173880,37.85,37.73,280320,652201,24,4774000
26.0,540346,32.25,32.25,1028165,887198,28,2805000
179.0,1195502,30.97,31.8,1826922,1290349,42,6289000
86.0,166408,90.18,90.18,648729,3043575,70,11997000
54.0,1304313,49.66,49.66,2264404,2467109,56,8214000
89.0,313223,51.63,51.63,953158,4733438,86,21862000
86.0,904097,48.09,48.09,6131181,1623038,70,11997000
11.0,380619,46.84,46.84,1140557,1473352,37,12083000
36.0,1615335,55.57,55.57,4325376,1083615,35,6232000
19.0,8284877,61.82,61.89,24865356,613949,20,3042000
42.0,266716,30.6,30.05,402261,1857451,39,3223000
295.0,4645586,56.03,56.03,13219355,10661893,217,59747000
53.0,4081104,58.83,57.56,5635259,3079460,62,16016000
35.0,271179,26.1,26.1,534946,1479557,54,8050000
39.0,543546,47.16,47.16,1895428,1953509,51,14676000
16.0,903177,38.88,39.39,2327323,1644533,69,13459000
29.0,644763,23.03,23.27,1364558,1515575,57,3633000
34.0,8964032,57.96,56.59,26916859,3713153,60,11507000
20.0,171828,55.51,51.45,585772,482344,20,3134000
21.0,2862586,50.75,49.57,9123904,23462671,391,86624000
62.0,782200,20.47,20.46,849975,2343509,91,11932000
53.0,326116,30.57,30.55,526695,1145808,39,2458000
61.0,1191731,18.56,19.97,1296293,2247344,109,8489000
37.0,611715,40.23,41.33,1504303,1060404,37,8344000
79.0,2622299,54.27,54.44,9227176,707720,26,3957000
34.0,137232,47.76,47.88,306220,485024,20,3352000
21.0,507362,36.02,36.01,917049,2306729,42,4760000
48.0,693570,54.99,54.79,1521262,1632523,44,7687000
18.0,334212,42.28,41.87,697209,1972328,43,6921000
26.0,5935577,56.11,55.55,16891374,9250075,220,55785000
11.0,448420,53.31,51.33,1632109,1349979,35,10383000
90.0,1393954,53.97,53.97,4125612,3147800,71,19379000
40.0,1599504,56.97,56.97,5071341,445050,19,3283000
24.0,553585,36.43,36.46,781101,1312086,30,6444000
43.0,222578,41.87,41.61,348110,2043259,64,3053000
56.0,3703915,51.35,51.35,7603817,1078350,25,6713000
86.0,290043,39.39,39.39,520800,1329413,70,11997000
24.0,600086,30.75,30.75,738031,522750,24,3788000
69.0,2230109,45.71,45.46,5093044,1061627,42,6936000
