acquisition,material,secondary_artist_first,location_name,subject_keyword,secondary_architect_first
"Gift of Lt. F.J. McConnell Post No. 229, Gift of Veterans of Foreign Wars (plaque)","Bronze, Deer Island granite",,Lieutenant Frank McConnell Memorial Park,"World War I, Spanish-American War, World War II, Korean War, Vietnam War, War",
Gift of Merchants of New York,"Bronze, granite",John Quincy,Union Square Park,"President of the United States, American Revolutionary War, War, Colonial, equestrian",
Gift of Kew Gardens Zionist District,"Bronze, Stony Creek granite",,Freedom Square,"Jewish, Journalist, Playwright, Activist",
Gift of the Staten Island Chapter of the Daughters of the American Revolution,Tablet: Bronze (missing as of 2020); Natural Boulder,,Faber Park,"Colonial, President of the United States",
"Gift of 7th Regiment National Guard, State of New York","Bronze, Barre granite",,Central Park,"American Civil War, Soldier, Veterans, War",
Gift of Flushing Memorial Association,Georgia pink marble,,Flushing Greens,"World War I, War",
Gift of Veteran Wireless Operators Association,Granite,,Battery Park,"Maritime, War",Will
Gift of the Samuel J. and Ethel LeFrak Charitable Trust,Diabase,Ulla,Museum of Arts and Design,Abstract,
Gift of Mrs. George F.Shrady,"Bronze, granite",Frederick,Battery Park,"Irish, Maritime, Bust, Engineer,",
Gift of American Legion Post 1404 & Auxiliary,"Bronze, granite (?)",,Broad Channel Park,"War, Veterans",
Gift of Italian Americans,"Bronze, granite",,Washington Square Park,"Italian, Italy, General, Revolutionary, Soldier, Republican",
Gift of American Legion & Community Citizens,"Bronze, natural stone",,Sergeant Colyer Square,"World War I, War",
Gifted through Public Subscription,"Bronze, granite",,Public Place,"World War II, War, Armed Forces, eagle",
Gift of the Bronx County Historical Society,"Bronze, natural boulder",,Pelham Bay Park,"American Revolutionary War, Colonial, War",
Commissioned for the New York World's Fair,"Sheet metal, tube metal",,Flushing Meadows Corona Park,"1964-65 World's Fair, Flight, Transit",
Purchased with Works Progress Administration Funds,Marble,,Bronx County Courthouse,"Allegorical, History, Law, Government",
Purchase,"Bronze, brass, concrete",,Flushing Meadows Corona Park,"Sports, African American, Black American, Black History, Athlete, athletics, tennis",
Gift of the Revlon Foundation,Black Granite,,Lincoln Center,"Fountain, philanthropist, businessman, Revlon",
Gift of the Gravesend Chamber of Commerce Inc.,Granite,,Lady Moody Triangle,"Veterans, World War I, World War II, War",
Gift of The New York Community Trust,Bronze,,Bowling Green,"Colonial, American Revolutionary War",
Commissioned by The City of Brooklyn,Granite,,Grand Army Plaza,"American Civil War, War",
Gift of Father Duffy D.S.C. Post 54,"Granite, bronze",,Father Duffy Square,"Religious Leader, Veteran, Chaplain",
Gift of The Union League Club of Brooklyn,"Bronze, dark Barre granite",,Grant Square Gore,"Ukrainian, World War II, War, Equestrian",
Gifted by American Legion Post # 95,"Fieldstone, bronze",,Egbert Triangle,"World War I, War",
Gift of Trustees of Snug Harbor,"Bronze, granite",,Snug Harbor Cultural Center,"Maritime, Philanthropist",
"Gift of Friends of Lt. George W. Lener, Inc.","bronze, granite",,Clove Lakes Park,"Firefighter, First Responder",
,Bronze,,,"Korean War, War",
Purchased with T.E.R.A. Funds,Indiana limestone,,Central Park Zoo,"Animals, WPA",
Gift of Richmond County D.A.R.,"Bronze, natural boulder",,,"American Revolutionary War, Colonial, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Steel, stone, concrete, wood, trees, and plants.",,Newtown Creek Water Treatment Plant,Maritime,
Gift of Brazil,"Bronze, granite",,Bryant Park,"Abolitionist, Brazilian, Politician, Scientist, South American",
Gift of American Legion Washington Square Post No. 1212,Granite,,Father Demo Square,"Religious Leader, Italian",
Gift of Neighborhood,"Bronze, granite",,,"Vietnam War, War",
Gifted by Algernon Miller,Cor-ten steel,,Adam Clayton Powell Jr. Malls,"Abstract, African American, Black American, Black History",
"Gift of S. Holladay Philbin, Joan Kettering Martin, Patricia Martin Martin, and Nancy Walker",Marble,,Central Park,"Abstract, Birdbath, Woman",
Gift of The Brooklyn Benevolent Society,"Bronze, granite",,Columbus Park,"Irish, Immigrant, Immigration, Philanthropist, Religious leader",
Gift of Arthur Ross,"Bronze, boulder",,Central Park,"Philanthropist, Environmentalist",
Gifted by the Daughters of the American Revolution,"Bronze, Barre granite",,City Hall Park,"American Revolutionary War, Colonial, Prison",
Commissioned through Department of Cultural Affairs Percent for Art Program,Bronze,,Fulton Street Traffic Triangle,Abstract,
Commissioned by the Department of Parks and Recreation,Steel,Stuart,Van Cortlandt Park,"Animals, Literary Characters",
Gift of people of Westchester,Milford pink granite,,Owen F. Dolen Park,"World War I, War",
Gift of Bayside Historical Society,"Granite, bronze",,Captain William C. Dermody Square,"American Civil War, War",
Gift of August Heckscher,Swensons pink granite,,Central Park,"Women, Reformer, WPA, Fountain, Literary Character, woman, Journalist, Child Welfare",
Gift of Daughters of the Defenders of the Republic,"Bronze, granite",,Riverside Park,"World War II, War, Religious leader",
"Gift of the Men of The U.S.S. ""New Hampshire""",Bronze,,Riverside Park,"World War I, War",
Gift of The Government of the Dominican Republic,"Bronze, granite",,Duarte Square,"Dominican, Dominican Republic, Caribbean, Latinx, South American, Politician, Reformer , Writer, Activist",
Gift of the Governor Alfred E. Smith Memorial Committee,"Bronze, granite",,Alfred E. Smith Playground,"Politician, public servant, Governor, Irish, Catholic",
"Gift of Daughters of the American Revolution, Matinecock Chapter","Bronze, granite",,Alley Pond Park,"President of the United States, American Revolutionary War, War, Colonial",
Commissioned by The Department of Parks & Recreation,"Bronze, granite",,John Vincent Daniels Jr. Square,"World War I, War",
Gift of Yaffe and Gedalio Grinberg,"Bronze, granite",,Dante Park,Clock,
Commissioned by the New York City Economic Development Corporation,"Glass fiber, White granite, Stainless steel uplights, metal panels",,North Shore Esplanade Park,"9/11, September 11 attacks, First Responders",
Commissioned by The City of New York,Stainless Steel,,New York City Police Department 83rd Precinct,Abstract,
"Gift of The Citizens' Memorial Committee of The American Legion, Veterans of Foreign Wars, and Jewish Veterans of the Wars of the Republic, from Local Boards 82 and 88","Bronze, limestone",,Zion Park,"World War I, War",
Gift of Society of Old Brooklynites,"Bronze, granite",,Columbus Park,Architect,
"Gift of Daughters of the American Revolution, Staten Island Chapter","Bronze, natural boulder",,Veterans Park,"American Revolutionary War, War, Colonial",
