dbn,school_name,fax_number,program2,directions4,seats108,grade9geapplicantsperseat10,girls,grade9swdapplicantsperseat3,nta,school_10th_seats,seats9swd6,seats3specialized,seats9ge2,seats9swd9,graduation_rate,council_district,requirement3_7,seats9ge4,auditioninformation1,grade9swdapplicants4,requirement3_3,latitude,requirement4_2,appperseat2specialized,grade9swdfilledflag4,seats9ge10,program5,appperseat5specialized,admissionspriority15,admissionspriority36,diplomaendorsements,grade9gefilledflag8,grade9swdfilledflag1,admissionspriority13,admissionspriority54,applicants1specialized,program1,program9,grade9swdapplicantsperseat2,seats9swd4,offer_rate1,admissionspriority52,common_audition1,admissionspriority19,requirement5_1,applicants3specialized,admissionspriority61,admissionspriority25,seats2specialized,longitude,offer_rate6,applicants5specialized,seats9swd8
24Q520,Middle College High School at LaGuardia Community College,718-392-3315,,,,,,,Hunters Point-Sunnyside-West Maspeth                                       ,1.0,,,,,0.663999975,26.0,,,,,,40.74325,,,,,,,,,,,Y,,,,Middle College High School at LaGuardia Community College,,,,Â—98% of offers went to this group,,,,,,,,,-73.9333,,,
10X565,High School for Energy and Technology,718-733-3085,,,,,,,Belmont                                                                    ,,,,,,,15.0,,,,,,40.85539,,,,,,,,,,,N,,,,Building Operations and Technology,,,,Â—43% of offers went to this group,,,,,,,,,-73.8825,,,
10X353,World View High School,718-601-0821,Spanish Transitional Bilingual,,,,,,Van Cortlandt Village                                                      ,1.0,,,20.0,,,11.0,,,,,,40.87996,,,,,,,,,,,N,,,,World View High School,,2.0,,Â—89% of offers went to this group,,,,,,,,,-73.889,,,
02M308,Lower Manhattan Arts Academy,212-674-8021,,,,,,,Chinatown                                                                  ,1.0,,,,,0.674000025,1.0,,,,,,40.71733,,,,,,,,,,,Y,,,,Lower Manhattan Arts Academy,,,,Â—7% of offers went to this group,,,,,,Then to New York City residents,,,-73.9893,,,
02M605,Humanities Preparatory Academy,212-929-4445,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,,,,,3.0,,,,,,40.74341,,,,,,,,,,,N,,,,Humanities Preparatory Academy,,,,Â—64% of offers went to this group,,,,,,,,,-74.0025,,,
31R047,CSI High School for International Studies,718-370-6915,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,1.0,,,,,0.949999988,51.0,,,,,,40.58196,,,,,,,,,"Math, Science",,Y,,,,CSI High School for International Studies,,,,Â—89% of offers went to this group,,,,,,,,,-74.1593,,,
02M260,"Clinton School Writers & Artists, M.S. 260",212-524-4365,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,1.0,,,,,,2.0,,,,,,40.73653,,,,,,,,,,,Y,,,,M.S. 260 Clinton School Writers & Artists,,,,Â—57% of offers went to this group,,,,Group Interview (On-Site),,,,,-73.9927,,,
28Q505,Hillcrest High School,718-739-5137,Teachers of Tomorrow,,Yes,,,6.0,Briarwood-Jamaica Hills                                                    ,1.0,10.0,,51.0,,0.755999982,24.0,,86.0,,43.0,Attendance and Punctuality,40.70946,,,N,,Theatre Arts,,Open to New York City residents,,"Arts, CTE",,Y,Open to New York City residents,,,Health Sciences Institute,,6.0,16.0,,,,,,,,,,-73.803,,,
12X248,"Metropolitan High School, The",718-542-7294,,,,,,,Longwood                                                                   ,,,,,,0.648000002,17.0,,,,,,40.82754,,,,,,,,,,,Y,,,,The Metropolitan High School,,,,Â—41% of offers went to this group,,,,,,,,,-73.8969,,,
10X546,Bronx Theatre High School,718-329-0433,Performance and Production,,,,,,Marble Hill-Inwood                                                         ,1.0,,,49.0,,0.637000024,10.0,,,,,,40.87738,,,,,,,,,Arts,,Y,,,,Theater Design and Technology,,6.0,,Â—21% of offers went to this group,,,,,,,,,-73.9127,,,
07X221,South Bronx Preparatory: A College Board School,718-292-2172,,,,,,,Mott Haven-Port Morris                                                     ,,,,,,0.922999978,8.0,,,,,,40.81361,,,,,,,,,,,Y,,,,South Bronx Preparatory: A College Board School,,,,Â—60% of offers went to this group,,,,,,,,,-73.9209,,,
09X276,Leadership Institute,718-299-7496,,,,,,,Claremont-Bathgate                                                         ,1.0,,,,,0.275000006,15.0,,,,,,40.84176,,,,,,,,,,,N,,,,Leadership Institute,,,,Â—59% of offers went to this group,,,,,,,,,-73.8979,,,
19K764,The Urban Assembly School for Collaborative Healthcare,718-277-6041,,,,,,,park-cemetery-etc-Brooklyn                                                 ,1.0,,,,,,37.0,,,,,,40.693,,,,,,,,,,,N,,,,The Urban Assembly School for Collaborative Healthcare,,,,Â—16% of offers went to this group,,,,,,,,,-73.8693,,,
14K477,School for Legal Studies,718-387-3281,Computer Forensics Program,,,,,,Bushwick South                                                             ,1.0,,,57.0,,0.404000014,34.0,,,,,,40.71113,,,,,,,,,Science,,N,,,,Legal Studies,,3.0,,,,,,,,,,,-73.9389,,,
02M432,Murray Hill Academy,212-696-2498,,,,,,,Murray Hill-Kips Bay                                                       ,1.0,,,,,,2.0,,,,,,40.74651,,,,,,,,,Science,,N,,,,Murray Hill Academy,,,,Â—28% of offers went to this group,,,,,,,,,-73.9811,,,
22K535,Leon M. Goldstein High School for the Sciences,718-368-8555,,,,,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,1.0,,,,,0.987999976,48.0,,,,,,40.57836,,,,,,,,,,,Y,,,,Leon M. Goldstein High School for the Sciences,,,,,,,,,,,,,-73.9344,,,
29Q248,Queens Preparatory Academy,718-712-3273,,,,,,,Springfield Gardens North                                                  ,,,,,,0.755999982,31.0,,,,,,40.66903,,,,,,,,,,,N,,,,Queens Preparatory Academy,,,,Â—91% of offers went to this group,,,,,,,,,-73.7577,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),718-796-8657,,,,,,,North Riverdale-Fieldston-Riverdale                                        ,,,,,,0.79400003,11.0,,,,,,40.88741,,,,,,,,,"Math, Science",,N,,,,RKA Humanities,,,,Â—94% of offers went to this group,,,,,,,,,-73.9141,,,
20K505,Franklin Delano Roosevelt High School,718-232-9513,STEAMÂ—Environmental Studies,,,,,7.0,Borough Park                                                               ,1.0,,,57.0,,0.629000008,44.0,,,,,,40.6213,,,,,STEAMÂ—Science Research,,,,"Math, Science",,Y,Priority to students who live in the zoned area,,,STEAM -Robotics/Programming,,12.0,,,,,,,,,,,-73.9826,,,
09X250,Eximius College Preparatory Academy: A College Board School,718-590-1081,,,,,,,Claremont-Bathgate                                                         ,,,,,,0.850000024,16.0,,,,,,40.83388,,,,,,,,,Math,,Y,,,,Eximius College Preparatory Academy: A College Board School,,,,Â—22% of offers went to this group,,,,,,,,,-73.9028,,,
03M494,High School of Arts and Technology,917-441-3693,Digital Media,,,,,,Lincoln Square                                                             ,1.0,,,57.0,,0.635999978,6.0,,,,,,40.77489,,,,,,,,,,,Y,,,,Arts & Technology,,11.0,,,,,,,,,,,-73.9856,,,
05M148,Eagle Academy for Young Men of Harlem,212-925-4317,,,,,,,Central Harlem North-Polo Grounds                                          ,,,,,,,9.0,,,,,,40.81723,,,,,,,,,,,Y,,,,Eagle Academy for Young Men of Harlem,,,,Â—54% of offers went to this group,,,,,,,,,-73.9472,,,
02M303,"Facing History School, The",212-757-2156,,,,,,,Clinton                                                                    ,1.0,,,,,0.666999996,3.0,,,,,,40.76547,,,,,,,,,,,Y,,,,The Facing History School,,,,Â—7% of offers went to this group,,,,,,Then to New York City residents,,,-73.9927,,,
17K537,High School for Youth and Community Development at Erasmus,718-564-2471,Media,,,,,,Erasmus                                                                    ,1.0,,,45.0,,0.800000012,40.0,,,,,,40.6496,,,,,,,,,,,N,,,,Arts,,5.0,,Â—85% of offers went to this group,,,,,,,,,-73.9572,,,
03M479,Beacon High School,212-465-4235,,,,,,,Clinton                                                                    ,1.0,,,,,0.996999979,3.0,,,,,,40.76086,,,,,,,,,,,N,,,,The Beacon School,,,,,,,,,,,,,-73.9963,,,
24Q610,Aviation Career & Technical Education High School,718-784-8654,Aviation Maintenance Technology,,,,,,Hunters Point-Sunnyside-West Maspeth                                       ,,,,249.0,,0.912999988,26.0,,,,,,40.74331,,,,,,,,,CTE,,Y,,,,Aerospace Engineering Technology,,6.0,,,,,,,,,,,-73.9296,,,
11X542,Pelham Preparatory Academy,718-944-3479,,,,,,,Bronxdale                                                                  ,1.0,,,,,0.85799998,13.0,,,,,,40.86044,,,,,,,,,,,Y,,,,Pelham Preparatory Academy,,,,Â—93% of offers went to this group,,,,,,,,,-73.8607,,,
02M407,Institute for Collaborative Education (ICE),212-475-0459,,,,,,,Gramercy                                                                   ,,,,,,0.92900002,2.0,,,,,,40.73267,,,,,,,,,,,Y,,,,Institute for Collaborative Education,,,,Â—87% of offers went to this group,,,,,,,,,-73.9826,,,
02M413,School of the Future High School,212-475-9273,,,,,,,Gramercy                                                                   ,1.0,,,,,0.966000021,2.0,,,,,,40.73912,,,,,,,,,Science,,Y,,,,School of the Future,,,,Â—51% of offers went to this group,,,,,,,,,-73.9853,,,
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",718-875-1947,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,,,,0.887000024,33.0,,,,,,40.69544,,,,,,,,,"CTE, Science",,Y,,,,"City Polytechnic High School of Engineering, Architecture and Technology",,,,Â—95% of offers went to this group,,,,,,,,,-73.9861,,,
08X561,Bronx Compass High School,718-828-3732,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park                            ,1.0,,,,,,18.0,,,,,,40.82122,,,,,,,,,,,Y,,,,The Bronx Compass High School,,,,Â—26% of offers went to this group,,,,,,,,,-73.8559,,,
02M400,High School for Environmental Studies,212-262-0702,Honors Academy,,,,,,Clinton                                                                    ,1.0,,,25.0,,0.816999972,3.0,,,,,,40.76785,,,,,,,,,,,Y,,,,Environmental Studies,,8.0,,,,,,,,,,,-73.9886,,,
08X312,Millennium Art Academy,718-824-0963,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park                            ,1.0,,,,,0.60799998,18.0,,,,,,40.82122,,,,,,,,,,,Y,,,,Millennium Art Academy,,,,Â—12% of offers went to this group,,,,,,,,,-73.8559,,,
29Q326,Cambria Heights Academy,718-776-2818,,,,,,,Jamaica                                                                    ,1.0,,,,,0.731999993,23.0,,,,,,40.71186,,,,,,,,,,,Y,,,,Cambria Heights Academy,,,,Â—27% of offers went to this group,,,,,,,,,-73.7712,,,
31R460,Susan E. Wagner High School,718-698-5213,Air Force Junior Reserve Officers' Training Corps,,Yes,,,9.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,1.0,3.0,,24.0,,0.790000021,50.0,Attendance,82.0,,26.0,Attendance,40.58899,,,N,,Music,,Priority to Staten Island students or residents,,"Math, Science",,Y,Priority to Staten Island students or residents,,,Academy of Finance,,15.0,20.0,Â—100% of offers went to this group,,,,,,,Then to New York City residents,,-74.1308,Â—100% of offers went to this group,,
08X349,Bronx River High School,718-904-4209,,,,,,,Schuylerville-Throgs Neck-Edgewater Park                                   ,1.0,,,,,,13.0,,,,,,40.83978,,,,,,,,,,,Y,,,,Bronx River High School,,,,Â—38% of offers went to this group,,,,,,,,,-73.8396,,,
06M468,High School for Health Careers and Sciences,212-927-6129,,,,,,,Washington Heights North                                                   ,1.0,,,,,0.699999988,10.0,,,,,,40.85653,,,,,,,,,,,N,,,,Health Careers & Sciences,,,,Â—46% of offers went to this group,,,,,,,,,-73.9261,,,
04M680,"Heritage School, The",212-828-2861,,,,,,,East Harlem South                                                          ,1.0,,,,,0.605000019,8.0,,,,,,40.79197,,,,,,,,,,,Y,,,,The Heritage School,,,,Â—65% of offers went to this group,,,,,,,,,-73.9469,,,
21K525,Edward R. Murrow High School,718-252-2611,Bilingual Chinese (Mandarin) Communication Arts,,,,,5.0,Midwood                                                                    ,1.0,10.0,,23.0,,0.816999972,44.0,Attendance and Punctuality,42.0,,45.0,,40.61967,,,Y,,Fine and Visual Arts,,,,"Arts, CTE, Math, Science",,Y,,,,Communication Arts,,2.0,8.0,Â—8% of offers went to this group,,,,,,,,,-73.9591,,,
21K728,Liberation Diploma Plus High School,718-946-6825,,,,,,,Seagate-Coney Island                                                       ,1.0,,,,,,47.0,,,,,,40.57698,,,,,,,,,,,,,,,Liberation Diploma Plus High School,,,,,,,,,,,,,-73.9854,,,
02M376,NYC iSchool,212-219-0743,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,1.0,,,,,0.99000001,3.0,,,,,,40.72463,,,,,,,,,,,Y,,,,NYC iSchool,,,,,,,,,,,,,-74.0051,,,
09X525,Bronx Leadership Academy High School,718-299-4707,,,,,,,Claremont-Bathgate                                                         ,1.0,,,,,0.56099999,15.0,,,,,,40.84325,,,,,,,,,,,Y,,,,Bronx Leadership Academy,,,,Â—99% of offers went to this group,,,,,,,,,-73.903,,,
27Q351,Rockaway Collegiate High School,718-734-3276,,,,,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,,,,,,0.524999976,32.0,,,,,,40.58601,,,,,,,,,,,N,,,,Rockaway Collegiate High School,,,,Â—program did not indicate attendance at information sessions for any students,,,,,,,,,-73.8253,,,
10X243,West Bronx Academy for the Future,718-563-7362,,,,,,,Belmont                                                                    ,,,,,,0.816999972,15.0,,,,,,40.85947,,,,,,,,,,,Y,,,,West Bronx Academy for the Future,,,,Â—56% of offers went to this group,,,,,,,,,-73.8886,,,
27Q650,"High School for Construction Trades, Engineering and Architecture",718-846-6283,Architectural Design,,,,,9.0,Richmond Hill                                                              ,1.0,,,71.0,,0.948000014,28.0,,,,,Demonstrated Interest: School Visit,40.68918,,,,,,,,,"CTE, Math, Science",,Y,Open to New York City residents,,,Construction Trades & Management,,9.0,,,,,,,,,,,-73.8415,,,
09X324,Bronx Early College Academy for Teaching & Learning,718-681-8650,,,,,,,East Concourse-Concourse Village                                           ,1.0,,,,,0.967000008,16.0,,,,,,40.82801,,,,,,,,,,,Y,,,,Bronx Early College Academy,,,,Â—24% of offers went to this group,,,,Interview,,,,,-73.9177,,,
17K533,School for Democracy and Leadership,718-771-5847,Humanities Institute,,,,,,Prospect Lefferts Gardens-Wingate                                          ,1.0,,,45.0,,0.535000026,40.0,,,,,,40.65867,,,,,,,,,,,N,,,,Math/Science Leadership,,1.0,,Â—25% of offers went to this group,Then to New York City residents,,,,,,,,-73.9438,,,
30Q580,Baccalaureate School for Global Education,718-361-5395,,,,,,,Queensbridge-Ravenswood-Long Island City                                   ,1.0,,,,,1.0,26.0,,,,,,40.75498,,,,,,,,,"Math, Science",,N,,,,International Baccalaureate Program,,,,Â—43% of offers went to this group,,,,,,,,,-73.927,,,
02M533,Union Square Academy for Health Sciences,212-253-3108,Dental Assistant,,,,,,Gramercy                                                                   ,,,,45.0,,,2.0,,,,,,40.73536,,,,,,,,,,,N,,,,Pharmacy Technician,,4.0,,Â—6% of offers went to this group,,,,,,,,,-73.9871,,,
08X376,Antonia Pantoja Preparatory Academy: A College Board School,718-824-3543,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,,,,0.609000027,18.0,,,,,,40.82122,,,,,,,,,,,N,,,,Antonia Pantoja Preparatory Academy: A College Board School,,,,Â—27% of offers went to this group,,,,,,,,,-73.8559,,,
18K629,Cultural Academy for the Arts and Sciences,718-968-6635,Cultural Academy College Prep,,,,,,Rugby-Remsen Village                                                       ,,,,45.0,,0.612999976,45.0,,,,,,40.64773,,,,,,,,,,,N,,,,Culinary Arts,,2.0,,Â—90% of offers went to this group,,,,,,,,,-73.9222,,,
08X282,Women's Academy of Excellence,718-542-0841,,,,,1.0,,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,,,,0.612999976,18.0,,,,,,40.81504,,,,,,,,,Science,,N,,,,WomenÂ’s Academy of Excellence,,,,Â—89% of offers went to this group,,,,,,,,,-73.8561,,,
06M540,A. Philip Randolph Campus High School,212-690-6805,The Academy of the Humanities,,,,,4.0,Manhattanville                                                             ,,,,34.0,,0.829999983,9.0,,133.0,,41.0,Attendance and Punctuality,40.8185,,,N,,Dual Language Spanish Program,,Priority to students who have been in a Dual Language Spanish middle school program,,,,N,Open to New York City residents,,,Academic Professions,,5.0,27.0,,,,,,,,Then to students who have been in a Transitional Bilingual Education Spanish middle school program,,-73.9499,,,
10X696,High School of American Studies at Lehman College,718-329-0792,,,,,,,Van Cortlandt Village                                                      ,1.0,,,,,0.99000001,11.0,,,,,,40.87473,,,,,,,,,"Math, Science",,,,,17061.0,High School of American Studies at Lehman College,,,,,,,,,,,,,-73.8955,,,
32K403,Academy for Environmental Leadership,718-381-0223,,,,,,,Bushwick North                                                             ,,,,,,0.699999988,37.0,,,,,,40.69646,,,,,,,,,Science,,N,,,,Academy for Environmental Leadership,,,,Â—98% of offers went to this group,,,,,,,,,-73.9118,,,
06M293,City College Academy of the Arts,212-567-3958,,,,,,,Washington Heights North                                                   ,1.0,,,,,0.953000009,10.0,,,,,,40.86095,,,,,,,,,,,Y,,,,City College Academy of the Arts,,,,Â—81% of offers went to this group,,,,,,,,,-73.9301,,,
10X368,In-Tech Academy (M.S. / High School 368),718-432-4310,,,,,,,Spuyten Duyvil-Kingsbridge                                                 ,,,,,,0.843999982,11.0,,,,,,40.87794,,,,,,,,,,,N,,,,Information and Network Technology Academy,,,,Â—76% of offers went to this group,,,,,,,,,-73.9137,,,
21K410,Abraham Lincoln High School,718-946-5035,Virtual Enterprise,,,,,2.0,West Brighton                                                              ,1.0,,,42.0,,0.657999992,47.0,,33.0,,40.0,Attendance and Punctuality,40.58263,,,N,,Honors Institute for American Studies Â– Gilder Lehrman,,,,Science,,Y,,,,Veterinary Sciences And Animal Care,,12.0,7.0,,,,,,,,,,-73.9687,,,
03M307,"Urban Assembly School for Media Studies, The",212-580-0156,,,,,,,Lincoln Square                                                             ,1.0,,,,,0.717000008,6.0,,,,,,40.77489,,,,,,,,,,,N,,,,The Urban Assembly School for Media Studies,,,,Â—100% of offers went to this group,,,,,,,,,-73.9856,,,
17K524,International High School at Prospect Heights,718-230-6322,,,,,,,Crown Heights South                                                        ,1.0,,,,,0.702000022,35.0,,,,,,40.66981,,,,,,,,,,,N,,,,International High School at Prospect Heights,,,,,,,,,,,,,-73.9607,,,
16K688,The Brooklyn Academy of Global Finance,718-574-3681,,,,,,,Stuyvesant Heights                                                         ,,,,,,0.621999979,36.0,,,,,,40.69147,,,,,,,,,,,N,,,,Brooklyn Academy of Global Finance,,,,Â—90% of offers went to this group,,,,,,,,,-73.9323,,,
25Q240,Veritas Academy,718-888-7524,,,,,,,Flushing                                                                   ,1.0,,,,,,20.0,,,,,,40.76489,,,,,,,,,,,Y,,,,Veritas Academy,,,,Â—74% of offers went to this group,,,,,,,,,-73.8268,,,
05M367,Academy for Social Action,212-234-8597,,,,,,,Manhattanville                                                             ,,,,,,0.579999983,7.0,,,,,,40.81575,,,,,,,,,,,N,,,,Academy for Social Action: A College Board School,,,,Â—100% of offers went to this group,,,,,,,,,-73.9555,,,
17K751,Academy for Health Careers,718-773-0648,,,,,,,Crown Heights North                                                        ,1.0,,,,,0.727999985,36.0,,,,,,40.67591,,,,,,,,,,,N,,,,Academy for Health Careers,,,,Â—56% of offers went to this group,,,,,,,,,-73.9393,,,
13K439,Brooklyn International High School,718-643-9516,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,,,,0.90200001,33.0,,,,,,40.69733,,,,,,,,,,,N,,,,Brooklyn International High School,,,,,,,,,,,,,-73.9845,,,
10X549,Discovery High School,718-733-3621,,,,,,,Van Cortlandt Village                                                      ,1.0,,,,,0.595000029,11.0,,,,,,40.86906,,,,,,,,,,,N,,,,Discovery High School,,,,Â—program did not indicate attendance at information sessions for any students,,,,,,,,,-73.8971,,,
22K425,James Madison High School,718-758-7341,Law Institute,,,,,,Madison                                                                    ,1.0,,,133.0,,0.810000002,48.0,,,,,,40.6105,,,,,,,,,"Math, Science",,Y,Guaranteed offer to students who apply and live in the zoned area,,,Information Technology,,5.0,,,,,,,,,,,-73.9477,,,
02M300,"Urban Assembly School of Design and Construction, The",212-586-1731,,,,,,,Clinton                                                                    ,,,,,,0.61500001,3.0,,,,,,40.76547,,,,,,,,,,,N,,,,Urban Assembly School of Design and Construction,,,,Â—16% of offers went to this group,,,,,,,,,-73.9927,,,
14K071,Juan Morel Campos Secondary School,718-302-7979,Instrumental Music,,,,,1.0,Williamsburg                                                               ,1.0,,,10.0,,0.48300001,33.0,,57.0,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. See school website for examples which may include: the human figure, and drawing from observation or imagination.",34.0,Attendance and Punctuality,40.704,Audition,,N,,,,,,,,Y,Priority to continuing 8th graders,Then to District 14 students or residents,,Visual Art and Design,,1.0,11.0,Â—83% of offers went to this group,,1.0,,Writing Exercise,,,,,-73.9533,,,
02M135,The Urban Assembly School for Emergency Management,212-225-0996,,,,,,,Chinatown                                                                  ,,,,,,,1.0,,,,,,40.71144,,,,,,,,,,,N,,,,The Urban Assembly School for Emergency Management,,,,Â—39% of offers went to this group,,,,,,,,,-74.0009,,,
14K632,Greenpoint Art and Technical High School (Frances Perkins Academy),718-388-7793,Academy of Arts and Media,,,,,,North Side-South Side                                                      ,1.0,,,25.0,,0.731999993,33.0,,,,,,40.72145,,,,,,,,,,,N,,,,Academy of Software Engineering,,4.0,,Â—100% of offers went to this group,,,,,,,,,-73.9533,,,
25Q252,"Queens School of Inquiry, The",718-380-6809,,,,,,,Kew Gardens Hills                                                          ,,,,,,0.925999999,24.0,,,,,,40.7242,,,,,,,,,,,Y,,,,Queens School of Inquiry,,,,Â—46% of offers went to this group,,,,,,,,,-73.8094,,,
30Q555,Newcomers High School,718-937-6316,,,,,,,Queensbridge-Ravenswood-Long Island City                                   ,,,,,,0.714999974,26.0,,,,,,40.75184,,,,,,,,,,,N,,,,Newcomers High School,,,,,,,,,,,,,-73.9366,,,
02M288,Food and Finance High School,212-586-4205,,,,,,,Clinton                                                                    ,1.0,,,,,0.805999994,3.0,,,,,,40.76547,,,,,,,,,CTE,,Y,,,,Food and Finance High School,,,,Â—100% of offers went to this group,,,,,,,,,-73.9927,,,
02M459,Manhattan International High School,212-517-7147,,,,,,,Lenox Hill-Roosevelt Island                                                ,,,,,,0.728999972,5.0,,,,,,40.76564,,,,,,,,,,,N,,,,Humanities and Interdisciplinary,,,,,,,,,,,,,-73.9598,,,
14K454,Green School: An Academy for Environmental Careers,718-387-7945,Early College Initiative,,,,,1.0,East Williamsburg                                                          ,1.0,,,25.0,,0.652999997,34.0,,,,,,40.70977,,,,,,,,,,,N,Open to New York City residents,,,Green School: An Academy for Environmental Careers,,3.0,,Â—96% of offers went to this group,,,,,,,,,-73.9445,,,
17K489,W.E.B. DuBois Academic High School,718-773-7849,,,,,,,Crown Heights South                                                        ,1.0,,,,,,35.0,,,,,,40.66956,,,,,,,,,,,,,,,W.E.B. DuBois Academic High School,,,,,,,,,,,,,-73.9552,,,
17K122,Pathways in Technology Early College High School (P-TECH),718-221-1781,,,,,,,Crown Heights North                                                        ,,,,,,0.723999977,36.0,,,,,,40.67591,,,,,,,,,Math,,Y,,,,Pathways in Technology Early College High School,,,,Â—95% of offers went to this group,,,,,,,,,-73.9393,,,
27Q309,Academy of Medical Technology: A College Board School,718-471-0314,Medical Scholars,,,,,,Far Rockaway-Bayswater                                                     ,1.0,,,,,0.638000011,31.0,,,,,,40.60154,,,,,,,,,,,Y,,,,Academy of Medical Technology: A College Board School,,,,Â—41% of offers went to this group,,,,,,,,,-73.764,,,
12X388,Pan American International High School at Monroe,718-991-7872,,,,,,,West Farms-Bronx River                                                     ,,,,,,0.878000021,18.0,,,,,,40.83251,,,,,,,,,,,N,,,,Pan American International High School at Monroe,,,,,,,,,,,,,-73.8782,,,
12X372,Urban Assembly School for Wildlife Conservation,718-823-4135,,,,,,,East Tremont                                                               ,,,,,,0.771000028,17.0,,,,,,40.84378,,,,,,,,,Arts,,Y,,,,Urban Assembly School for Wildlife Conservation,,,,Â—18% of offers went to this group,,,,,,,,,-73.8842,,,
