location_name,community_district,location_category_description,x_coordinate,field_support_center_name,geographical_district_code,grades_final_text,borough_block_lot,primary_building_code
P.S. 276 Louis Marshall,318,Elementary,1009664.0,Field Support Center - Brooklyn South,18,"PK,0K,01,02,03,04,05",3080340001,K276
Tompkins Square Middle School,103,Junior High-Intermediate-Middle,989351.0,Field Support Center - Manhattan,1,"06,07,08",1003870001,M064
P.S. 025 Eubie Blake School,303,Elementary,1000681.0,Field Support Center - Brooklyn North,16,"PK,0K,01,02,03,04,05",3017870014,K025
P.S. 019 Judith K. Weiss,212,K-8,1021032.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05,06,07,08",2033860001,X019
Professor Juan Bosch Public School,112,Elementary,1004083.0,Field Support Center - Manhattan,6,"0K,01,02,03,04,05",1021710036,M178
Bronx Center for Science and Mathematics,203,High school,1011149.0,Affinity Group,9,"09,10,11,12",2029250056,X002
Eleanor Roosevelt High School,108,High school,997192.0,Field Support Center - Manhattan,2,"09,10,11,12",1014710005,M855
P.S. 140 Nathan Straus,103,K-8,988749.0,Field Support Center - Manhattan,1,"PK,0K,01,02,03,04,05,06,07,08",1003440001,M140
High School for Health Professions and Human Servi,106,High school,989075.0,Field Support Center - Manhattan,2,"09,10,11,12",1009220008,M475
DeWitt Clinton High School,207,High school,1014942.0,Field Support Center - Bronx,10,"09,10,11,12",2032510201,X440
P.S. 123 Mahalia Jackson,110,K-8,999597.0,Field Support Center - Manhattan,5,"PK,0K,01,02,03,04,05,06,07,08",1020420035,M123
P.S. 128 Audubon,112,Elementary,1001211.0,Field Support Center - Manhattan,6,"PK,0K,01,02,03,04,05",1021250001,M128
J.H.S. 080 The Mosholu Parkway,207,Junior High-Intermediate-Middle,1017091.0,Field Support Center - Bronx,10,"06,07,08",2033360035,X080
Brooklyn Prospect Charter School,307,K-12 all grades,990155.0,,15,"0K,01,02,03,04,05,06,07,08,09,10,11,12",3053160001,KAGI
The Laboratory School of Finance and Technology: X,201,Secondary School,1006159.0,Field Support Center - Bronx,7,"06,07,08,09,10,11,12",2023060054,X149
P.S. 138,111,K-12 all grades,1002117.0,D75 CITYWIDE FSC,5,"01,02,03,04,05,06,07,08,09,10,11,12,SE",1017760020,M030
The Science And Medicine Middle School,318,Junior High-Intermediate-Middle,1014291.0,Field Support Center - Brooklyn South,18,"06,07,08",3082150012,K366
University Neighborhood High School,103,High school,988650.0,Field Support Center - Manhattan,1,"09,10,11,12",1002590044,M446
DREAM Charter School,111,K-12 all grades,999452.0,,4,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1016520001,MBMF
Success Academy Charter School - Flatbush,314,Elementary,996043.0,,17,"0K,01,02,03,04,05",3051030101,K884
South Bronx Charter School for International Cultu,201,Elementary,1006942.0,,7,"0K,01,02,03,04,05",0,XAXD
Bronx Charter School for Excellence 3,212,Elementary,1022151.0,,11,"0K,01,02,03,04,05",2048260043,XAEF
Mott Hall High School,110,High school,998878.0,Field Support Center - Manhattan,5,"09,10,11,12",1019600001,M136
New Directions Secondary School,204,Secondary School,1008775.0,Field Support Center - Bronx,9,"06,07,08,09,10,11,12",2028170002,X410
P.S. 306,205,Elementary,1008920.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2028620014,X306
Renaissance School of the Arts,111,Junior High-Intermediate-Middle,1001999.0,Field Support Center - Manhattan,4,"06,07,08",1016890005,M155
Landmark High School,104,High school,983546.0,Affinity Group,2,"09,10,11,12",1007420007,M440
Brooklyn International High School,302,High school,988540.0,Affinity Group,13,"09,10,11,12",3001200020,K805
The Global Learning Collaborative,107,High school,991316.0,Field Support Center - Manhattan,3,"09,10,11,12",1012150001,M470
New Design High School,103,High school,987208.0,Affinity Group,2,"09,10,11,12",1004080030,M445
New Heights Academy Charter School,109,Secondary School,999369.0,,6,"05,06,07,08,09,10,11,12",1020820028,MANN
Mott Hall V,209,Secondary School,1017958.0,Field Support Center - Bronx,12,"06,07,08,09,10,11,12",2038640001,X423
Frederick Douglass Academy V. Middle School,206,Junior High-Intermediate-Middle,1014963.0,Field Support Center - Bronx,12,"06,07,08",2030810026,X057
P.S. 085 Great Expectations,205,Elementary,1013383.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2030240021,X085
Bronx Lab School,212,High school,1022511.0,Affinity Group,11,"09,10,11,12",2046330040,X425
P.S. 196,209,Elementary,1018204.0,Field Support Center - Bronx,12,"02,03,04,05",2037750025,X077
District 12 Superintendent Office,206,Community School District,1017473.0,,12,,2030210038,X167
KIPP Infinity Charter School,109,K-12 all grades,996203.0,,5,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1020010005,M195
District 3 Superintendent Office,107,Community School District,992277.0,,3,,1012230005,M118
P.S. 034 Franklin D. Roosevelt,103,K-8,991163.0,Field Support Center - Manhattan,1,"PK,0K,01,02,03,04,05,06,07,08",1003810038,M034
District 6 Superintendent Office,112,Community School District,1002611.0,,6,,1021670029,M048
P.S./I.S. 157 The Benjamin Franklin Health & Scien,303,K-8,995342.0,Field Support Center - Brooklyn North,14,"PK,0K,01,02,03,04,05",3018970013,K157
South Bronx Classical Charter School  IV,203,Elementary,101015.0,,9,"0K,01,02,03,04,05",2026090002,XBBZ
Family Life Academy Charter School,204,Elementary,1006755.0,,9,"0K,01,02,03,04,05",2028560029,XABC
P.S. 011 William T. Harris,104,Elementary,984044.0,Field Support Center - Manhattan,2,"PK,0K,01,02,03,04,05",1007440024,M011
South Bronx Community Charter School,204,High school,1005737.0,,7,"09,10,11,12",2024430078,X790
P.S. 035,104,K-12 all grades,988156.0,D75 CITYWIDE FSC,2,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",1010430022,M058
Excellence Boys Charter School,303,K-8,1004815.0,,16,"0K,01,02,03,04,05,06,07,08",3016730001,K783
Bedford Academy High School,303,High school,997093.0,Field Support Center - Brooklyn North,13,"09,10,11,12",3018120001,K994
Success Academy Charter School - Upper West,107,K-8,991316.0,,3,"0K,01,02,03,04,05,06,07,08",1012150001,M470
P.S. 138 Brooklyn,308,K-8,997687.0,Field Support Center - Brooklyn South,17,"PK,0K,01,02,03,04,05,06,07,08",3012330026,K138
Frederick Douglass Academy III Secondary School,203,High school,1010829.0,Field Support Center - Bronx,9,"09,10,11,12",2029250001,X148
Harlem Prep Charter School,111,K-12 all grades,1002153.0,,4,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1017870080,MADR
P.S. 052 Sheepshead Bay,315,Elementary,1000877.0,Field Support Center - Brooklyn South,22,"PK,0K,01,02,03,04,05",3074740001,K052
P.S. 051 Elias Howe,104,Elementary,985501.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05",1010730014,M338
"Ballet Tech, NYC Public School for Dance",105,K-8,987165.0,Field Support Center - Manhattan,2,"04,05,06,07,08",1008487502,M905
Icahn Charter School 3,211,K-8,1027677.0,,11,"0K,01,02,03,04,05,06,07,08",2042220005,XAGA
P.S. 166 The Richard Rodgers School of The Arts an,107,Elementary,991849.0,Field Support Center - Manhattan,3,"PK,0K,01,02,03,04,05",1012190047,M166
Kappa III,206,Junior High-Intermediate-Middle,1015591.0,Field Support Center - Bronx,12,"06,07,08",2031090001,X129
Neighborhood Charter School of Harlem,110,K-8,998904.0,,5,"0K,01,02,03,04,05,06,07,08",0,MAKA
The Dr. Emmett W. Bassett School,209,Elementary,1023716.0,Field Support Center - Bronx,8,"PK,0K,01,02,03,04,05",2037890021,X119
West Prep Academy,107,Junior High-Intermediate-Middle,993771.0,Field Support Center - Manhattan,3,"06,07,08",1018590001,M145
Legacy College Preparatory,201,Secondary School,1006401.0,,7,"06,07,08,09,10",0,XATI
P.S. 396,205,Elementary,1008313.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04",2032160002,X026
High School of Hospitality Management,104,High school,986272.0,Field Support Center - Manhattan,2,"09,10,11,12",1010790029,M535
International High School at Union Square,106,High school,987835.0,Affinity Group,2,"09,10,11,12",1008720057,M460
"Archimedes Academy for Math, Science and Technolog",209,Secondary School,1024090.0,Field Support Center - Bronx,8,"06,07,08,09,10,11,12",2034780018,X174
P.S. 235 Janice Marie Knight School,317,K-8,1000642.0,Field Support Center - Brooklyn South,18,"PK,0K,01,02,03,04,05,06,07,08",3048440001,K235
P.S. 152 Evergreen,209,Elementary,1017329.0,Field Support Center - Bronx,8,"PK,0K,01,02,03,04,05,SE",2037110001,X152
P.S. 065,305,Elementary,1017987.0,Field Support Center - Brooklyn North,19,"0K,01,02,03,04,05",3041020019,K798
P.S. 125 Ralph Bunche,109,Elementary,996507.0,Field Support Center - Manhattan,5,"0K,01,02,03,04,05",1019640012,M125
Zeta Charter Schools - New York City 1,112,Elementary,1002821.0,,6,,1021670056,MAXH
Harvey Milk High School,102,High school,986372.0,Field Support Center - Manhattan,2,"09,10,11,12",1005450026,M807
P.S. 257 John F. Hylan,301,Elementary,1000513.0,Field Support Center - Brooklyn North,14,"PK,0K,01,02,03,04,05",3031140011,K257
Ampark Neighborhood,208,Elementary,1014207.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2032520182,X095
J. M. Rapport School Career Development,201,High school,1009340.0,D75 CITYWIDE FSC,7,"09,10,11,12,SE",2025780027,X155
P.S. 032 Samuel Mills Sprole,306,Elementary,986707.0,Field Support Center - Brooklyn North,15,"PK,0K,01,02,03,04,05",3004370001,K032
P.S. 046 Edward C. Blum,302,Elementary,992113.0,Field Support Center - Brooklyn North,13,"PK,0K,01,02,03,04,05",3020450011,K046
Mott Haven Community High School,201,High school,1009848.0,Field Support Center - Bronx,7,"09,10,11,12",2025760026,X655
New Millennium Business Academy Middle School,204,Junior High-Intermediate-Middle,1008032.0,Field Support Center - Bronx,9,"06,07,08",2024240001,X145
District 27 Superintendent Office,409,Community School District,1023579.0,,27,,4090110014,Q823
P.S. 3 Raul Julia Micro Society,206,K-8,1014231.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04,05,06,07,08",2030620043,X003
Urban Assembly School for Applied Math and Science,203,Secondary School,1011429.0,Affinity Group,9,"06,07,08,09,10,11,12",2029130001,X970
P.S. 279 Herman Schreiber,318,Elementary,1014000.0,Field Support Center - Brooklyn South,18,"PK,0K,01,02,03,04,05",3082300001,K279
Food and Finance High School,104,High school,986272.0,Field Support Center - Manhattan,2,"09,10,11,12",1010790029,M535
P.S. 212 Midtown West,104,Elementary,987390.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05",1010380014,M017
P.S. 185 Walter Kassenbrock,310,Elementary,974970.0,Field Support Center - Brooklyn South,20,"0K,01,02,03,04,05",3060430001,K185
P.S. 005 Ellen Lurie,112,Elementary,1005750.0,Field Support Center - Manhattan,6,"0K,01,02,03,04,05",1021500030,M005
Bronx Dance Academy School,207,Junior High-Intermediate-Middle,1017970.0,Field Support Center - Bronx,10,"06,07,08",2033290124,X852
P.S. 180 Hugo Newman,110,K-8,996469.0,Field Support Center - Manhattan,3,"PK,0K,01,02,03,04,05,06,07,08",1019460001,M180
P.S. 328 Phyllis Wheatley,305,Elementary,1012477.0,Field Support Center - Brooklyn North,19,"PK,0K,01,02,03,04,05",3037680001,K328
P.S. 026 Jesse Owens,303,Elementary,1003152.0,Field Support Center - Brooklyn North,16,"PK,0K,01,02,03,04,05",3016160001,K026
P.S. K721 - Brooklyn Occupational Training Center,313,High school,989270.0,D75 CITYWIDE FSC,21,"10,11,12,SE",3071850020,K722
P.S. 040 Augustus Saint-Gaudens,106,Elementary,989367.0,Field Support Center - Manhattan,2,"PK,0K,01,02,03,04,05",1009250012,M040
P.S. 059 The Community School of Technology,206,Elementary,1013674.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04,05",2030490037,X059
P.S. 031 Samuel F. Dupont,301,Elementary,996961.0,Field Support Center - Brooklyn North,14,"PK,0K,01,02,03,04,05",3025950001,K031
P.S. 138 Samuel Randall,209,Elementary,1024892.0,Field Support Center - Bronx,8,"PK,0K,01,02,03,04,05",2036090016,X138
Success Academy Crown Heights (Brooklyn 7),309,Elementary,998331.0,,17,"0K,01,02,03,04,05,06,07,08",3012970026,K161
School of Performing Arts,202,Junior High-Intermediate-Middle,1013486.0,Field Support Center - Bronx,12,"06,07,08",2027140004,X116
P.S. 081 Robert J. Christen,208,Elementary,1010606.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2058501550,X081
Linden Tree Elementary School,209,Elementary,1024869.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05",2039480055,X127
Student Enrollment - Central,101,Central-HQ-Citywide,982563.0,,2,,1001220001,M860
The Vida Bogart School for All Children,206,K-8,1016753.0,D75 CITYWIDE FSC,12,"01,02,03,04,05,06,07,08,09",2030050010,X006
Morris Academy for Collaborative Studies,203,High school,1010840.0,Affinity Group,9,"09,10,11,12",2026340001,X400
Washington Heights Academy,112,K-8,1005926.0,Field Support Center - Manhattan,6,"0K,01,02,03,04,05,06,07,08",1022260041,M263
P.S. 234 Independence School,101,Elementary,981234.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05",1001420025,M234
Bronx Collaborative High School,207,High school,1014942.0,Affinity Group,10,"09,10,11,12",2032510201,X440
Bronx High School of Business,204,High school,1008775.0,Field Support Center - Bronx,9,"09,10,11,12",2028170002,X410
District 16 Superintendent Office,303,Community School District,1003152.0,,16,,3016160001,K026
P.S. 116 Mary Lindley Murray,106,Elementary,990372.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05",1009130007,M116
P.S. 109 Sedgwick,205,Elementary,1006661.0,Field Support Center - Bronx,9,"PK,0K,01,02,03,04,05",2028770393,X109
The Equity Project Charter School (TEP),112,K-8,1004704.0,,6,"0K,01,02,03,04,05,06,07,08",1021600018,M965
P.S. 094 Kings College School,207,Elementary,1018742.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2033560036,X094
P.S./I.S. 187 Hudson Cliffs,112,K-8,1001722.0,Field Support Center - Manhattan,6,"PK,0K,01,02,03,04,05,06,07,08",1021790365,M187
Fannie Lou Hamer Freedom High School,203,High school,1015852.0,Affinity Group,12,"09,10,11,12",2030130001,X878
Academy of Public Relations,201,Junior High-Intermediate-Middle,1010437.0,Field Support Center - Bronx,7,"06,07,08",2026550030,X184
Children's Aid College Prep Charter School,206,K-8,1014645.0,,12,"0K,01,02,03,04,05,06,07,08",2029510032,X193
M.S. 297,102,Junior High-Intermediate-Middle,982162.0,Field Support Center - Manhattan,2,"06,07,08",1006030049,M323
P.S. X188,206,K-12 all grades,1016376.0,D75 CITYWIDE FSC,10,"PK,01,02,03,04,05,06,07,08,09,10,11,12,SE",2031000014,X034
Thomas C. Giordano Middle School 45,206,Junior High-Intermediate-Middle,1015501.0,Field Support Center - Bronx,10,"06,07,08",2030670001,X045
Urban Assembly Maker Academy,101,High school,983793.0,Affinity Group,2,"09,10,11,12",1001130100,M520
P.S. 108 Philip J. Abinanti,211,Elementary,1024957.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05",2042750001,X108
P.S. 153 Helen Keller,210,Elementary,1030803.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05",2051410150,X153
KIPP STAR College Prep Charter School,109,K-12 all grades,996507.0,,5,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1019640012,M125
Academy for Language and Technology,205,High school,1007706.0,Field Support Center - Bronx,9,"09,10,11,12",2028660070,X082
P.S. 189 The Bilingual Center,317,K-8,1004936.0,Field Support Center - Brooklyn South,17,"0K,01,02,03,04,05,06,07,08",3045990001,K189
P.S. 199 Frederick Wachtel,314,Elementary,994515.0,Field Support Center - Brooklyn South,21,"PK,0K,01,02,03,04,05",3067400025,K199
P.S. 004 Duke Ellington,112,Elementary,1000412.0,Field Support Center - Manhattan,6,"PK,0K,01,02,03,04,05",1021180022,M004
Gregorio Luperon High School for Science and Mathe,112,High school,1001244.0,Field Support Center - Manhattan,6,"09,10,11,12",1021230045,M876
P.S. 028 Wright Brothers,112,Elementary,1000294.0,Field Support Center - Manhattan,6,"PK,0K,01,02,03,04,05",1021070026,M028
P.S. 134 Henrietta Szold,103,Elementary,988726.0,Field Support Center - Manhattan,1,"PK,0K,01,02,03,04,05",1002880001,M134
School for Environmental Citizenship,205,Elementary,1011045.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04,05",2031700001,X079
Great Oaks Charter School,103,Secondary School,986507.0,,1,"06,07,08,09,10,11,12",0,MAUD
South Bronx Classical Charter School III,203,Elementary,101015.0,,9,"0K,01,02,03,04,05",2026090002,XBBZ
Liberation Diploma Plus,313,High school,988302.0,Field Support Center - Brooklyn South,21,"09,10,11,12",3070200039,K728
M.S. 131,103,Junior High-Intermediate-Middle,986022.0,Field Support Center - Manhattan,2,"06,07,08",1003010003,M131
Wadleigh Secondary School for the Performing & Vis,110,Secondary School,996943.0,Field Support Center - Manhattan,3,"06,07,08,09,10,11,12",1018300019,M088
P.S. 114 Ryder Elementary,318,Elementary,1009815.0,Field Support Center - Brooklyn South,18,"PK,0K,01,02,03,04,05",3081600022,K114
P.S. 146 Edward Collins,203,Elementary,1010339.0,Field Support Center - Bronx,8,"PK,0K,01,02,03,04,05",2026320027,X146
Battery Park City School,101,K-8,979410.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05,06,07,08",1000160040,M276
Vanguard High School,108,High school,995392.0,Affinity Group,2,"09,10,11,12",1014420001,M480
The Maurice Sendak Community School,306,Elementary,987689.0,Field Support Center - Brooklyn North,15,"PK,0K,01,02,03,04,05",3009980001,K763
P.S. 124 Yung Wing,103,Elementary,985354.0,Field Support Center - Manhattan,2,"PK,0K,01,02,03,04,05",1002890001,M124
La Cima Charter School,303,Elementary,1003090.0,,16,"0K,01,02,03,04,05",3016360001,K324
The Bronx Mathematics Preparatory School,209,Junior High-Intermediate-Middle,1024090.0,Field Support Center - Bronx,8,"06,07,08",2034780018,X174
South Brooklyn Community High School,306,High school,980298.0,Field Support Center - Brooklyn North,15,"09,10,11,12",3005750003,K825
P.S. 021 Philip H. Sheridan,212,Elementary,1023120.0,Field Support Center - Bronx,11,"0K,01,02,03,04,05",2048390039,X021
Bronx International High School,203,High school,1010840.0,Affinity Group,9,"09,10,11,12",2026340001,X400
Collegiate Institute for Math and Science,211,High school,1022774.0,Field Support Center - Bronx,11,"09,10,11,12",2043580001,X415
P.S. X010,210,K-12 all grades,1031516.0,D75 CITYWIDE FSC,8,"PK,0K,01,02,SE",2055470001,X101
District 10 Superintendent Office,206,Community School District,1014672.0,,10,,2030330053,X815
P.S. 108 Assemblyman Angelo Del Toro Educational C,111,K-8,998688.0,Field Support Center - Manhattan,4,"PK,0K,01,02,03,04,05,06,07,08",1016140021,M108
Bronx Charter School for Excellence,209,K-8,1023397.0,,11,"0K,01,02,03,04,05,06,07,08",2039300038,XAJK
Hudson High School of Learning Technologies,104,High school,983546.0,Field Support Center - Manhattan,2,"09,10,11,12",1007420007,M440
Leadership Prep Bedford Stuyvesant Uncommon Prep C,303,K-12 all grades,999338.0,,13,"0K,01,02,03,04,05,06,07,08,09,10,11,12",3018450001,K258
District 1 Superintendent Office,103,Community School District,988044.0,,1,,1003550001,M020
P.S. 056 Norwood Heights,207,Elementary,1018843.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2033510001,X056
Harlem Children's Zone Promise Academy II Charter,111,K-12 all grades,1001216.0,,5,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1017520022,M501
Ralph A. Fabrizio School,310,Elementary,979054.0,Field Support Center - Brooklyn South,20,"0K,01,02,03,04,05",3058990001,K170
P.S. 075 Emily Dickinson,107,Elementary,991450.0,Field Support Center - Manhattan,3,"0K,01,02,03,04,05",1012530065,M075
Harvest Collegiate High School,102,High school,985433.0,Affinity Group,2,"09,10,11,12",1005770019,M883
P.S. 033 Timothy Dwight,205,Elementary,1011560.0,Field Support Center - Bronx,10,"PK,0K,01,02,03,04,05",2031880020,X033
Middle School for Art and Philosophy,317,Junior High-Intermediate-Middle,1006497.0,Field Support Center - Brooklyn South,18,"06,07,08",3046690037,K252
Bronx Charter School for Children,201,Elementary,1006419.0,,7,"0K,01,02,03,04,05",2022880007,XAFR
Gramercy Arts High School,106,High school,987835.0,Field Support Center - Manhattan,2,"09,10,11,12",1008720057,M460
P.S. 205 Fiorello LaGuardia,206,Elementary,1016961.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2031150021,X205
The Urban Assembly School for Emergency Management,101,High school,983793.0,Affinity Group,2,"09,10,11,12",1001130100,M520
P.S. 154 Harriet Tubman,110,Elementary,998395.0,Field Support Center - Manhattan,5,"PK,0K,01,02,03,04,05",1019320010,M154
P.S. 083 Luis Munoz Rivera,111,Elementary,1000322.0,Field Support Center - Manhattan,4,"PK,0K,01,02,03,04,05",1016590012,M083
Harlem Renaissance High School,111,High school,1000867.0,Field Support Center - Manhattan,5,"09,10,11,12",1017520059,M911
Harbor Science and Arts Charter School,111,K-8,999631.0,,4,"01,02,03,04,05,06,07,08",1016380057,MAIV
New Visions Charter High School for Advanced Math,203,High school,1011127.0,,8,"09,10,11,12",2026680001,X650
I.S. 229 Roland Patterson,205,Junior High-Intermediate-Middle,1005976.0,Field Support Center - Bronx,9,"05,06,07,08",2028820130,X229
Riverdale / Kingsbridge Academy (Middle School / H,208,Secondary School,1007990.0,Field Support Center - Bronx,10,"06,07,08,09,10,11,12",2059180376,X141
P.S. 90 Edna Cohen School,313,Elementary,989698.0,Field Support Center - Brooklyn South,21,"PK,0K,01,02,03,04,05",3072660040,K090
Leadership Prep Canarsie Charter School (Leadershi,318,K-8,1014000.0,,18,"0K,01,02,03,04,05",3082300001,K279
Chief Of Staff,101,Central-HQ-Citywide,982563.0,,2,,1001220001,M860
Leadership and Public Service High School,101,High school,980794.0,Field Support Center - Manhattan,2,"09,10,11,12",1000510015,M894
The Christa McAuliffe School\I.S. 187,310,Junior High-Intermediate-Middle,983172.0,Field Support Center - Brooklyn South,20,"06,07,08",3057450029,K486
District 8 Superintendent Office,209,Community School District,1023837.0,,8,,2035640001,X182
P.S./M.S. 004 Crotona Park West,203,K-8,1012488.0,Field Support Center - Bronx,9,"0K,01,02,03,04,05,06,07,08",2029300075,X004
P.S. X721 - Stephen McSweeney School,211,High school,1028765.0,D75 CITYWIDE FSC,11,"07,08,09,10,11,12,SE",2041330200,X722
The Highbridge Green School,204,Junior High-Intermediate-Middle,1004055.0,Field Support Center - Bronx,9,"06,07,08",2025270032,X285
P.S. 159 Isaac Pitkin,305,Elementary,1020391.0,Field Support Center - Brooklyn North,19,"0K,01,02,03,04,05",3042160001,K159
The School of Creativity and Innovation,307,Elementary,983055.0,Field Support Center - Brooklyn North,15,,3007770001,K682
The Opportunity Charter School,110,Secondary School,996547.0,,3,"06,07,08,09,10,11,12",1018280015,M113
Metropolitan Lighthouse Charter School,204,K-12 all grades,1003677.0,,9,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0,XAWW
P.S. 130 Abram Stevens Hewitt,202,Elementary,1011456.0,Field Support Center - Bronx,8,"PK,0K,01,02,03,04,05",2026880001,X130
KIPP Academy Charter School,204,K-12 all grades,1006076.0,,7,"0K,01,02,03,04,05,06,07,08,09,10,11,12",2024430190,X151
Office Of The Chancellor,101,Central-HQ-Citywide,982563.0,,2,,1001220001,M860
East Harlem Scholars Academy Charter School,111,K-8,1000177.0,,4,"0K,01,02,03,04,05,06,07,08",1016770001,MBMC
M.S. 246 Walt Whitman,317,Junior High-Intermediate-Middle,997159.0,Field Support Center - Brooklyn South,17,"06,07,08",3051100025,K246
School in the Square Public Charter School,112,Junior High-Intermediate-Middle,1001936.0,,6,"06,07,08",1021630041,MAHR
P.S. 264 Bay Ridge Elementary School For The Arts,310,Elementary,976076.0,Field Support Center - Brooklyn South,20,"0K,01,02,03,04,05",3060620141,K264
Renaissance Charter High School for Innovation,111,High school,1000269.0,,4,"09,10,11,12",1016930001,M099
Region 3,407,Region-Division,1030462.0,,25,,4043700050,Q859
New Voices School of Academic & Creative Arts,307,Junior High-Intermediate-Middle,987373.0,Field Support Center - Brooklyn North,15,"06,07,08",3008800001,K845
Innovation Diploma Plus,107,High school,991316.0,Affinity Group,3,"09,10,11,12",1012150001,M470
P.S. 204 Morris Heights,205,Elementary,1007706.0,Field Support Center - Bronx,9,"0K,01,02,03,04,05",2028660070,X338
I.S. 364 Gateway,305,Junior High-Intermediate-Middle,1017241.0,Field Support Center - Brooklyn North,19,"06,07,08",3044520040,K364
Schuylerville Preparatory High School,210,High school,1028637.0,Field Support Center - Bronx,11,"09,10,11,12",2053680001,X405
P.S. 158 Bayard Taylor,108,Elementary,997893.0,Field Support Center - Manhattan,2,"PK,0K,01,02,03,04,05",1014890001,M158
