bin,comparable_rental_1_total_units,comparable_rental_1_gross_sqft,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,community_council
,61,66399,C7-WALK-UP,HIGHBRIDGE/MORRIS HEIGHTS,
2049998.0,122,127629,D1-ELEVATOR,BRONXDALE,15.0
2004849.0,21,20855,C7-WALK-UP,MORRISANIA/LONGWOOD,17.0
2083481.0,77,106934,D1-ELEVATOR,RIVERDALE,11.0
,86,105000,D7-ELEVATOR,BEDFORD PARK/NORWOOD,
2049372.0,67,70704,D1-ELEVATOR,PELHAM PARKWAY SOUTH,13.0
,86,72000,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,
,32,26490,C1-WALK-UP,FORDHAM,
2084097.0,78,92782,D1-ELEVATOR,RIVERDALE,11.0
2015454.0,32,31300,C1-WALK-UP,SOUNDVIEW,11.0
2056198.0,42,31320,D1-ELEVATOR,BRONXDALE,15.0
,19,19200,C1-WALK-UP,SOUNDVIEW,
,28,22000,C1-WALK-UP,BELMONT,
2016875.0,60,64824,D1-ELEVATOR,BEDFORD PARK/NORWOOD,15.0
2023511.0,142,125075,D3-ELEVATOR,BELMONT,18.0
2007706.0,45,40000,D7-ELEVATOR,MOUNT HOPE/MOUNT EDEN,15.0
,70,78755,D1-ELEVATOR,BEDFORD PARK/NORWOOD,
,111,130000,D1-ELEVATOR,KINGSBRIDGE HTS/UNIV HTS,11.0
2009735.0,48,52000,D1-ELEVATOR,BEDFORD PARK/NORWOOD,16.0
2086309.0,121,158408,D1-ELEVATOR,RIVERDALE,11.0
2002155.0,12,11500,C1-WALK-UP,MELROSE/CONCOURSE,16.0
2004468.0,16,11055,,MELROSE/CONCOURSE,17.0
2016582.0,60,64824,C1-WALK-UP,BEDFORD PARK/NORWOOD,11.0
2013793.0,28,22000,C1-WALK-UP,BELMONT,14.0
,20,14325,C1-WALK-UP,MORRISANIA/LONGWOOD,17.0
2084745.0,78,92782,D1-ELEVATOR,RIVERDALE,11.0
2016367.0,23,22000,C1-WALK-UP,BEDFORD PARK/NORWOOD,15.0
2002902.0,73,101178,,MELROSE/CONCOURSE,8.0
2086321.0,176,237000,D3-ELEVATOR,RIVERDALE,11.0
2069660.0,21,16450,C1-WALK-UP,BEDFORD PARK/NORWOOD,11.0
,50,44000,D1-ELEVATOR,MOUNT HOPE/MOUNT EDEN,
2010202.0,11,13275,C4-WALK-UP,MORRISANIA/LONGWOOD,16.0
,176,237000,,RIVERDALE,
2092447.0,48,34620,C9-WALK-UP,BEDFORD PARK/NORWOOD,11.0
2056265.0,72,69120,D1-ELEVATOR,BRONXDALE,15.0
2005740.0,56,38920,C1-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,17.0
2007550.0,48,28000,C1-WALK-UP,MOUNT HOPE/MOUNT EDEN,15.0
2008213.0,49,37500,C1-WALK-UP,MOUNT HOPE/MOUNT EDEN,14.0
2010964.0,17,13600,C1-WALK-UP,BELMONT,17.0
2084177.0,57,72553,D1-ELEVATOR,RIVERDALE,11.0
,101,94600,D1-ELEVATOR,BEDFORD PARK/NORWOOD,
2013199.0,52,40600,C1-WALK-UP,FORDHAM,17.0
2011441.0,17,15175,C1-WALK-UP,BATHGATE,15.0
,22,14400,C1-WALK-UP,CROTONA PARK,
2098785.0,129,137282,D1-ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,16.0
2014819.0,27,22000,C1-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,14.0
,56,69000,C1-WALK-UP,FORDHAM,11.0
,17,16560,C1-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,
2086329.0,86,103392,D1-ELEVATOR,RIVERDALE,11.0
2012356.0,61,67700,C1-WALK-UP,SOUNDVIEW,15.0
2091169.0,13,8958,C1-WALK-UP,MELROSE/CONCOURSE,16.0
,25,22000,C1-WALK-UP,EAST TREMONT,
2048821.0,157,168990,D7-ELEVATOR,PELHAM PARKWAY SOUTH,13.0
,31,24080,C1-WALK-UP,BEDFORD PARK/NORWOOD,
,23,18936,C7-WALK-UP,MELROSE/CONCOURSE,
2093291.0,157,168990,,PELHAM PARKWAY SOUTH,13.0
2010933.0,60,60360,D1-ELEVATOR,MELROSE/CONCOURSE,17.0
,23,18936,C7-WALK-UP,MELROSE/CONCOURSE,
