bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,postcode,comparable_rental_1_boro_block_lot,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_address,comparable_rental_2_year_built,comparable_rental_2_total_units,bronx_cooperatives_comparable_properties_full_market_value,nta,bronx_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_2_gross_sqft
2-05919-0448,"{'latitude': '40.888557878984', 'longitude': '-73.915598599857', 'human_address': '{""address"": ""3750 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888713,-73.915597,10463.0,2-05909-0163,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,6410000,North Riverdale-Fieldston-Riverdale                                        ,39.1,100498.0
2-05758-0442,"{'latitude': '40.882067054382', 'longitude': '-73.907373929873', 'human_address': '{""address"": ""315 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-05761-0444,11.08,2,"{'latitude': '40.882995283021', 'longitude': '-73.903440283547', 'human_address': '{""address"": ""3424 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962.0,138.0,2940000,,38.8,128500.0
2-02511-0027,"{'latitude': '40.828982618893', 'longitude': '-73.924794421228', 'human_address': '{""address"": ""100 162 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02435-0015,14.0,2,"{'latitude': '40.834705595111', 'longitude': '-73.925225767862', 'human_address': '{""address"": ""1098 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924.0,24.0,314000,,23.39,12340.0
2-03252-0052,"{'latitude': '40.8827465541', 'longitude': '-73.889400427016', 'human_address': '{""address"": ""3975 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.882649,-73.889491,10463.0,2-02944-0001,7.85,2,"{'latitude': '40.8599324848', 'longitude': '-73.867191510629', 'human_address': '{""address"": ""2324 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963.0,322.0,10300000,Van Cortlandt Village                                                      ,26.1,337570.0
2-05714-0164,"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.881195,-73.908042,10463.0,2-03136-0001,9.45,2,"{'latitude': '40.822360690355', 'longitude': '-73.879594415772', 'human_address': '{""address"": ""950 EVERGREEN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,213.0,6770000,Spuyten Duyvil-Kingsbridge                                                 ,28.9,174671.0
2-05799-0073,"{'latitude': '40.886696758224', 'longitude': '-73.909690411599', 'human_address': '{""address"": ""3601 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.886839,-73.909625,10463.0,2-05760-0112,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,4690000,Spuyten Duyvil-Kingsbridge                                                 ,40.6,100498.0
2-05259-0016,"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879631,-73.836703,10475.0,2-02441-0001,8.43,2,"{'latitude': '40.836597959481', 'longitude': '-73.871325612634', 'human_address': '{""address"": ""1500 NOBLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965.0,238.0,9260000,Co-op City                                                                 ,36.2,265625.0
2-02711-0021,"{'latitude': '40.820144051176', 'longitude': '-73.894949653186', 'human_address': '{""address"": ""921 TIFFANY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.820212,-73.894924,10459.0,2-02700-0001,8.78,2,"{'latitude': '40.854853609905', 'longitude': '-73.856587287864', 'human_address': '{""address"": ""1110 LYDIG AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1952.0,15.0,484000,Longwood                                                                   ,34.6,14400.0
2-05759-0364,"{'latitude': '40.883444836663', 'longitude': '-73.907775609496', 'human_address': '{""address"": ""3240 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.883355,-73.90793,10463.0,2-05761-0444,11.24,2,"{'latitude': '40.88556828581', 'longitude': '-73.901694586434', 'human_address': '{""address"": ""275 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1937.0,72.0,2640000,Spuyten Duyvil-Kingsbridge                                                 ,38.8,71091.0
2-04230-0015,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1950 HUTCH RIVER PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.851353,-73.835612,10461.0,2-04178-0010,,2,,,,5260000,Pelham Bay-Country Club-City Island                                        ,29.2,
2-05803-0960,"{'latitude': '40.89149480591', 'longitude': '-73.899186749286', 'human_address': '{""address"": ""4410 CAYUGA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.891743,-73.899177,10471.0,2-05706-0001,9.77,2,"{'latitude': '40.840783040315', 'longitude': '-73.786457638424', 'human_address': '{""address"": ""30 PILOT STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,79.0,2310000,North Riverdale-Fieldston-Riverdale                                        ,39.2,63000.0
2-03353-0033,"{'latitude': '40.873158293429', 'longitude': '-73.876088342626', 'human_address': '{""address"": ""3176 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.873032,-73.876259,10467.0,2-03285-0019,7.94,2,"{'latitude': '40.881414680237', 'longitude': '-73.878343229116', 'human_address': '{""address"": ""3530 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959.0,62.0,2350000,Norwood                                                                    ,39.8,61000.0
2-02691-0117,"{'latitude': '40.823874993351', 'longitude': '-73.898223278622', 'human_address': '{""address"": ""883 165 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03249-0108,10.53,2,"{'latitude': '40.885599245092', 'longitude': '-73.8639911686', 'human_address': '{""address"": ""630 221 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,38.0,882000,,29.7,32780.0
2-02765-0140,"{'latitude': '40.813938764635', 'longitude': '-73.889686867827', 'human_address': '{""address"": ""1230 SPOFFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.814007,-73.88971,10474.0,2-02532-0033,,2,,,,1210000,Hunts Point                                                                ,21.45,
2-02744-0060,"{'latitude': '40.826113736019', 'longitude': '-73.890875930931', 'human_address': '{""address"": ""1116 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.826121,-73.89089,10459.0,2-02439-0022,10.77,2,"{'latitude': '40.82329417536', 'longitude': '-73.917997001021', 'human_address': '{""address"": ""299 158 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,15.0,534000,Hunts Point                                                                ,25.4,11815.0
2-02534-0038,"{'latitude': '40.839043614113', 'longitude': '-73.914222802191', 'human_address': '{""address"": ""185 170 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02504-0094,,2,,,,464000,,24.75,
2-02443-9080,"{'latitude': '40.823141442756', 'longitude': '-73.919767525003', 'human_address': '{""address"": ""780 CONCOURSE VILLAGE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02314-0001,,2,,,,28500000,,33.0,
2-04337-0001,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""601 PELHAM PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.857365,-73.870656,10467.0,2-04426-0017,10.94,2,"{'latitude': '40.859362051632', 'longitude': '-73.868536757872', 'human_address': '{""address"": ""2280 OLINVILLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965.0,256.0,4180000,Bronxdale                                                                  ,38.4,255000.0
2-03255-0065,"{'latitude': '40.880464017369', 'longitude': '-73.896718715689', 'human_address': '{""address"": ""3355 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879654,-73.896953,10463.0,2-03262-0077,11.65,2,"{'latitude': '40.855584960591', 'longitude': '-73.862859391516', 'human_address': '{""address"": ""2160 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1964.0,133.0,3610000,Van Cortlandt Village                                                      ,30.8,136122.0
2-02998-0145,"{'latitude': '40.836161091368', 'longitude': '-73.884118597986', 'human_address': '{""address"": ""1003 174 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02609-0046,10.25,2,"{'latitude': '40.827222851273', 'longitude': '-73.88954638153', 'human_address': '{""address"": ""1134 FARMS ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926.0,43.0,851000,,30.2,30540.0
2-02508-0043,"{'latitude': '40.832177322949', 'longitude': '-73.927261057486', 'human_address': '{""address"": ""1001 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.832284,-73.927189,10452.0,2-02532-0033,12.16,2,"{'latitude': '40.819406203839', 'longitude': '-73.90659464196', 'human_address': '{""address"": ""771 JACKSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1916.0,30.0,449000,Highbridge                                                                 ,22.39,24120.0
2-03343-0076,"{'latitude': '40.875813496168', 'longitude': '-73.87630549726', 'human_address': '{""address"": ""3245 PERRY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.875766,-73.876304,10467.0,2-03324-0025,13.94,2,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1968.0,42.0,1150000,Norwood                                                                    ,28.0,41803.0
2-05770-0069,"{'latitude': '40.886128954199', 'longitude': '-73.905812094271', 'human_address': '{""address"": ""3636 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.886605,-73.905622,10463.0,2-05769-0132,11.24,2,"{'latitude': '40.88556828581', 'longitude': '-73.901694586434', 'human_address': '{""address"": ""275 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1937.0,72.0,4880000,Spuyten Duyvil-Kingsbridge                                                 ,41.3,71091.0
2-05743-0203,"{'latitude': '40.880352956203', 'longitude': '-73.920833635135', 'human_address': '{""address"": ""2550 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.880369,-73.919741,10463.0,2-05732-0941,12.84,2,"{'latitude': '40.886395819768', 'longitude': '-73.908274631718', 'human_address': '{""address"": ""530 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,86.0,8470000,Spuyten Duyvil-Kingsbridge                                                 ,42.3,103392.0
2-03111-0004,"{'latitude': '40.847241299303', 'longitude': '-73.884964707681', 'human_address': '{""address"": ""2120 MAPES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.847123,-73.885094,10460.0,2-03091-0003,9.8,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""814 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,35.0,738000,East Tremont                                                               ,26.8,33250.0
2-02421-0013,"{'latitude': '40.82645700183', 'longitude': '-73.91782103863', 'human_address': '{""address"": ""270 162 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02282-0005,,2,,,,332000,,31.1,
2-05785-0268,"{'latitude': '40.883831709832', 'longitude': '-73.908685062721', 'human_address': '{""address"": ""3299 CAMBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.884793,-73.908308,10463.0,2-05746-0567,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,4330000,Spuyten Duyvil-Kingsbridge                                                 ,38.8,100498.0
2-03117-0023,"{'latitude': '40.843972015318', 'longitude': '-73.885788968341', 'human_address': '{""address"": ""855 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03737-0018,9.8,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""814 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,35.0,2280000,,25.2,33250.0
2-02477-0015,"{'latitude': '40.831424033944', 'longitude': '-73.922607171975', 'human_address': '{""address"": ""1040 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.83132,-73.922691,10452.0,2-02504-0075,9.34,2,"{'latitude': '40.833092031413', 'longitude': '-73.930037658318', 'human_address': '{""address"": ""186 164 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1949.0,75.0,1280000,West Concourse                                                             ,28.0,66600.0
2-05920-0510,"{'latitude': '40.88988744006', 'longitude': '-73.914311278005', 'human_address': '{""address"": ""679 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-05792-0430,13.02,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3611 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951.0,123.0,6040000,,48.1,134000.0
2-03080-0082,"{'latitude': '40.848149767129', 'longitude': '-73.890113706979', 'human_address': '{""address"": ""2076 BELMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.848179,-73.890123,10457.0,2-03080-0038,9.31,2,"{'latitude': '40.84920347243', 'longitude': '-73.889371930938', 'human_address': '{""address"": ""2120 BELMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1914.0,25.0,398000,East Tremont                                                               ,26.8,18113.0
2-05723-0084,"{'latitude': '40.878969684134', 'longitude': '-73.917118786568', 'human_address': '{""address"": ""25 KNOLLS CRESCENT"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.878548,-73.918127,10463.0,2-05787-0137,11.37,2,"{'latitude': '40.890261642548', 'longitude': '-73.911362719053', 'human_address': '{""address"": ""3950 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959.0,176.0,10000000,Spuyten Duyvil-Kingsbridge                                                 ,40.4,237000.0
2-05726-0673,"{'latitude': '40.879603218091', 'longitude': '-73.912411560798', 'human_address': '{""address"": ""2750 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879943,-73.912213,10463.0,2-05904-0267,11.88,2,"{'latitude': '40.889028698943', 'longitude': '-73.912978481492', 'human_address': '{""address"": ""3800 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1970.0,72.0,3820000,Spuyten Duyvil-Kingsbridge                                                 ,41.0,84925.0
2-04287-0001,"{'latitude': '40.852735322643', 'longitude': '-73.866782298936', 'human_address': '{""address"": ""2081 CRUGER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.85281,-73.866757,10462.0,2-04321-0038,9.82,2,"{'latitude': '40.85598045822', 'longitude': '-73.864795426939', 'human_address': '{""address"": ""2181 WALLACE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,72.0,2850000,Pelham Parkway                                                             ,32.4,84588.0
2-03180-0013,"{'latitude': '40.85540682531', 'longitude': '-73.903699565426', 'human_address': '{""address"": ""2163 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.855369,-73.903696,10453.0,2-03081-0045,10.27,2,"{'latitude': '40.864155040619', 'longitude': '-73.897130544342', 'human_address': '{""address"": ""2554 CRESTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1919.0,52.0,586000,Fordham South                                                              ,31.3,40600.0
2-05887-1348,"{'latitude': '40.911302839693', 'longitude': '-73.902869332338', 'human_address': '{""address"": ""6200 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.911588,-73.902815,10471.0,2-05793-0467,15.51,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1974.0,55.0,2920000,North Riverdale-Fieldston-Riverdale                                        ,46.6,48100.0
2-04322-0051,"{'latitude': '40.8557379344', 'longitude': '-73.862926381466', 'human_address': '{""address"": ""2165 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.85569,-73.862905,10462.0,2-04319-0025,9.78,2,"{'latitude': '40.85510987047', 'longitude': '-73.865776406203', 'human_address': '{""address"": ""2157 HOLLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930.0,73.0,2330000,Pelham Parkway                                                             ,39.8,73842.0
2-02518-0028,"{'latitude': '40.836905947199', 'longitude': '-73.917269605815', 'human_address': '{""address"": ""132 169 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02477-0001,9.75,2,"{'latitude': '40.837154198837', 'longitude': '-73.923463845008', 'human_address': '{""address"": ""1197 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929.0,129.0,606000,,22.43,137282.0
2-05802-1294,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6035 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.891859,-73.897216,10471.0,2-05760-0112,11.5,2,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954.0,85.0,4360000,North Riverdale-Fieldston-Riverdale                                        ,40.5,100498.0
2-02763-0227,"{'latitude': '40.81564596217', 'longitude': '-73.88689759368', 'human_address': '{""address"": ""750 FAILE STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02398-0027,8.25,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1188 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938.0,107.0,4020000,,37.1,117080.0
2-05783-0300,"{'latitude': '40.883274372741', 'longitude': '-73.909297551151', 'human_address': '{""address"": ""511 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-05754-0072,9.62,2,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929.0,96.0,2320000,,33.4,87510.0
