bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.884529944742', 'longitude': '-73.8987407006', 'human_address': '{""address"": ""201 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938,,2.75,,2-04426-0005,483465,1590000.0,,1630000,2.55,47679,34.1
"{'latitude': '40.864814857741', 'longitude': '-73.892478126009', 'human_address': '{""address"": ""274 194 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1915,,0.3,,2-03287-0001,178525,421000.0,,839000,0.05,18500,34.8
"{'latitude': '40.874151360829', 'longitude': '-73.902725942062', 'human_address': '{""address"": ""2865 KINGSBRIDGE TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938,273.0,3.5,8.0,2-04222-0093,1222074,4350000.0,2032560156.0,2970000,3.45,111300,27.7
"{'latitude': '40.856189894292', 'longitude': '-73.86574579824', 'human_address': '{""address"": ""2187 HOLLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,22403.0,0.0,11.0,2-04319-0045,826956,2440000.0,2043190040.0,3510000,0.0,73182,39.7
"{'latitude': '40.848100214769', 'longitude': '-73.885874056305', 'human_address': '{""address"": ""2141 PROSPECT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1909,371.0,0.25,6.0,2-03081-0045,105072,476000.0,2030970053.0,354000,0.15,10560,30.4
"{'latitude': '40.876735383106', 'longitude': '-73.918928536251', 'human_address': '{""address"": ""2400 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1960,29302.0,0.9,8.0,2-05920-0687,1881500,8100000.0,2057160362.0,7460000,0.9,142000,49.0
"{'latitude': '40.867254818075', 'longitude': '-73.907569907509', 'human_address': '{""address"": ""2545 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1998,269.0,1.7,7.0,2-03215-0014,637596,1160000.0,2032370145.0,1700000,0.35,71640,28.2
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3001 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,301.0,0.75,8.0,2-05845-1799,1456000,5080000.0,2057480500.0,4720000,1.55,140000,35.0
"{'latitude': '40.889606376858', 'longitude': '-73.911526714719', 'human_address': '{""address"": ""620 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,,0.3,,2-05903-0283,1554800,6560000.0,,4990000,0.1,119600,48.3
"{'latitude': '40.825435094622', 'longitude': '-73.92526536183', 'human_address': '{""address"": ""811 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,63.0,1.15,4.0,2-02623-0180,1046948,2110000.0,2024740001.0,1170000,1.15,150640,19.98
