property_id,property_name,address_1,difference_from_national_2,strip_mall_gross_floor_area,estimated_data_flag_1,difference_from_national_1,hospital_general_medical_8,alert_meter_has_overlaps,office_gross_floor_area_ft,estimated_values,data_center_pdu_output_meter,electricity_use_grid_purchase,office_number_of_workers,medical_office_mri_machine,municipally_supplied_potable,primary_property_type_self,data_quality_checker_date,hospital_general_medical_15,financial_office_number_of,electricity_use_grid_purchase_1,estimated_data_flag_fuel_1,fuel_oil_5_6_use_kbtu,hospital_general_medical_14,metered_areas_energy,energy_cost,performing_arts_gross_floor,convention_center_gross_floor,costar_property_id,fitness_center_health_club,direct_ghg_emissions_metric,hotel_worker_density_number,energy_star_certification_3,college_university_gross,multifamily_housing_number_6,weather_normalized_site_energy,medical_office_number_of_1,data_center_it_equipment,natural_gas_cost,data_quality_checker_run,multifamily_housing_total_1,restaurant_gross_floor_area,multifamily_housing_total,other_number_of_workers_on,weather_normalized_site_1,energy_star_certification_1,medical_office_number_of,hospital_general_medical_2,nyc_building_identification,k_12_school_gross_floor_area,release_date,ambulatory_surgical_center,office_percent_that_can_be,energy_star_certification_2,community_board,fuel_oil_4_use_kbtu,office_worker_density_number,national_median_energy_cost,retail_store_open_or_closed,national_median_site_eui,electricity_use_generated_2,estimated_savings_from_energy,default_values,district_steam_use_kbtu,hospital_general_medical_11,bank_branch_number_of,difference_from_national,county,multifamily_housing_number,data_center_ups_system
2364064,1230 Avenue of the Americas (Blds 8 + 14),1230 6th Avenue,Not Available,Not Available,Not Available,-10,Not Available,Ok,617181,No,Not Available,39434531.4,1721,Not Available,Not Available,Office,Not Available,Not Available,Not Available,39434531.2,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,Not Available,81989101.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1077287,Not Available,2015-04-30T10:33:52.000,Not Available,100,Not Available,105.0,Not Available,2.78848,Not Available,0.13224,125.8,Not Available,0,No,14575020.7,Not Available,Not Available,-10,Not Available,Not Available,Not Available
2638779,3 Sheridan Square,3 Sheridan Square,Not Available,Not Available,Not Available,11.1,Not Available,Ok,Not Available,No,Not Available,5651687.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,5651688,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,564.5,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,0,No,1.04775,Not Available,154,Not Available,0.6,Not Available,Not Available,Not Available,1010188,Not Available,2015-04-30T14:18:35.000,Not Available,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,92.5,Not Available,0,No,Not Available,Not Available,Not Available,11.1,Not Available,191,Not Available
2639029,1921-1965 Lafayette Park Lane,1921-1965 Lafayette Ave,Not Available,Not Available,Not Available,-12.4,Not Available,Ok,Not Available,No,Not Available,6215072.9,Not Available,Not Available,Not Available,Multifamily Housing,2015-05-01,Not Available,Not Available,6215074,Not Available,Not Available,Not Available,Whole Building,0,Not Available,Not Available,Not Available,Not Available,1407.3,Not Available,No,Not Available,0,Not Available,Not Available,Not Available,0,Yes,0.88045,Not Available,353,Not Available,0.6,Not Available,Not Available,Not Available,2022645,Not Available,2015-05-01T21:11:13.000,Not Available,Not Available,Not Available,209.0,Not Available,Not Available,0,Not Available,93.1,Not Available,0,No,Not Available,Not Available,Not Available,-12.4,Not Available,605,Not Available
2640581,188-01 71 Circle,188-01 71 Circle,Not Available,Not Available,Not Available,85,Not Available,Ok,Not Available,No,Not Available,747596.2,Not Available,Not Available,Not Available,Multifamily Housing,2015-04-23,Not Available,Not Available,747596.2,Not Available,Not Available,Not Available,Whole Building,49145.37,Not Available,Not Available,Not Available,Not Available,218.7,Not Available,No,Not Available,0,4866037.8,Not Available,Not Available,0,Yes,3.62319,Not Available,50,Not Available,3,Not Available,Not Available,Not Available,4444005,Not Available,2015-04-24T12:18:05.000,Not Available,Not Available,Not Available,408.0,Not Available,Not Available,26559.31,Not Available,190.5,Not Available,0,No,Not Available,Not Available,Not Available,85,Not Available,94,Not Available
1261456,245 Park Avenue,245 Park Avenue,Not Available,Not Available,Not Available,-24.7,Not Available,Ok,1563231,No,Not Available,108997880.4,5000,Not Available,Not Available,Office,Not Available,Not Available,Not Available,108997875.4,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,59.9,Not Available,Yes,Not Available,Not Available,183450376.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,0,02/18/2014,Not Available,Not Available,1036205,Not Available,2015-04-20T11:23:55.000,Not Available,100,09/30/2014,105.0,Not Available,3.1985,Not Available,Not Available,156.1,Not Available,0,No,76981588,Not Available,Not Available,-24.7,Not Available,Not Available,"N+1, N"
2614534,Woodbridge,431 Riverside Drive,Not Available,Not Available,Not Available,-33.3,Not Available,Ok,Not Available,No,Not Available,759374.7,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,Not Available,Not Available,759374.7,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,288.1,Not Available,No,Not Available,Not Available,6172278.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,0.8,Not Available,Not Available,Not Available,1057373,Not Available,2015-07-22T11:12:30.000,Not Available,Not Available,Not Available,109.0,Not Available,Not Available,Not Available,Not Available,136.2,Not Available,0,No,Not Available,Not Available,Not Available,-33.3,New York,Not Available,Not Available
2596991,Sibling: Rose Realty Associates LP 402 Ocean,402 Ocean Pkwy,Not Available,Not Available,Not Available,0.6,Not Available,Ok,Not Available,No,Not Available,662528.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,662528.5,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,248.4,Not Available,No,Not Available,53,5180817.1,Not Available,Not Available,Not Available,No,0.96364,Not Available,53,0,0.8,Not Available,Not Available,Not Available,3126163,Not Available,2015-05-01T16:50:43.000,Not Available,Not Available,Not Available,312.0,Not Available,Not Available,Not Available,Not Available,96.4,Not Available,0,No,Not Available,Not Available,Not Available,0.6,Not Available,60,Not Available
13286,201/205,201/205  East  42nd  st.,Not Available,Not Available,Not Available,-16.7,Not Available,Ok,752426,No,Not Available,33708175.4,1229,Not Available,Not Available,Office,Not Available,Not Available,Not Available,33708175,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,Not Available,71645649.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,11/20/2008,Not Available,Not Available,1037549; 1037550,Not Available,2015-04-30T10:30:36.000,Not Available,100,08/31/2009,,Not Available,1.63338,Not Available,Not Available,117.2,Not Available,0,No,39766626.6,Not Available,Not Available,-16.7,Not Available,Not Available,Not Available
2606050,1647-55 Macombs,1647-55 Macombs Road,Not Available,Not Available,Not Available,-8.3,Not Available,Ok,1974,No,Not Available,943218,8,Not Available,Not Available,Multifamily Housing,2015-04-21,Not Available,Not Available,943218.1,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,245.5,Not Available,No,Not Available,48,5311348.7,Not Available,Not Available,54005.63,Yes,0.74269,Not Available,48,Not Available,0.7,Not Available,Not Available,Not Available,2008858,Not Available,2015-04-27T14:28:25.000,Not Available,100,Not Available,205.0,Not Available,4.05268,Not Available,Not Available,91.1,Not Available,0,No,Not Available,Not Available,Not Available,-8.3,Bronx,98,Not Available
2563563,TEN WEST THIRTH THIRD ASSOCIATES,10 WEST 33RD STREET,Not Available,Not Available,Not Available,-30.1,Not Available,Ok,357630,No,Not Available,17905374.9,540,Not Available,Not Available,Office,Not Available,Not Available,Not Available,17905374.2,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,349.8,Not Available,Yes,Not Available,Not Available,24189586.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,0.2,11/29/2013,Not Available,Not Available,1083631,Not Available,2015-04-27T20:39:59.000,Not Available,100,07/31/2014,105.0,Not Available,1.50994,Not Available,Not Available,91.7,Not Available,0,No,Not Available,Not Available,Not Available,-30.1,Not Available,Not Available,Not Available
28400,Columbia Presbyterian Medical Center,622 168th Street,Not Available,Not Available,Not Available,2.1,9,Ok,Not Available,No,Not Available,321094317.2,Not Available,Not Available,Not Available,Hospital (General Medical & Surgical),Not Available,100% Yes,Not Available,321094312.3,Not Available,0,0.25635,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,54402,Not Available,No,Not Available,Not Available,950047571.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,3889181,1084386,Not Available,2015-07-01T16:02:25.000,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,239,Not Available,0,No,-358336001.5,Non Profit,Not Available,2.1,Not Available,Not Available,Not Available
2638944,1646 1 Ave,1646 1 Ave,Not Available,Not Available,Not Available,32.1,Not Available,Ok,Not Available,No,Not Available,3814016.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,8,3814015.5,Not Available,Not Available,Not Available,Whole Building,0,Not Available,Not Available,Not Available,Not Available,30.9,Not Available,No,Not Available,0,15910997.3,Not Available,Not Available,0,No,0.82777,Not Available,147,Not Available,0,Not Available,Not Available,Not Available,1050529,Not Available,2015-04-30T14:18:35.000,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,0,Not Available,69.3,Not Available,0,Yes,12257580.7,Not Available,Not Available,32.1,Not Available,103,Not Available
