property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
565 5th Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,46,Not Available,Not Available,Not Available,Not Available,85158115,Not Available,Possible Issue,Not Available,Ok,Not Available,33680672.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,32546445.2,Not Available,6713058.7,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,256.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
29 West 57th,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,57,Not Available,Not Available,Not Available,Not Available,11435698.6,Not Available,Ok,Not Available,Ok,Not Available,5729563.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,6250727.9,Not Available,748251.2,3136425.6,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,186.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
85-14 Broadway Owners Corp,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,19,1.22447,Not Available,Not Available,40,13437077.7,Not Available,Ok,Not Available,Ok,Not Available,9229951.9,Not Available,Not Available,Ok,119338.26,25.0,Not Available,0,Not Available,7465037.6,Not Available,529950.1,7156502.9,Elmhurst-Maspeth,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
520 E 81 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,46,0,Not Available,Not Available,100,16680134.2,Not Available,Ok,Not Available,Ok,No,11339293.8,Not Available,Not Available,Ok,0,5.0,Not Available,0,Not Available,11086656.8,Not Available,678648.5,7930013.5,Yorkville,Not Available,No specific resident population,Not Applicable: Standalone Property,165,0,Not Available,Fannie Mae Industry Survey - Multifamily,159.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1025 Fifth Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,19,0,Not Available,Not Available,80,48007068.6,Not Available,Possible Issue,466727.21,Ok,No,29078338.4,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,23479005,Not Available,1982429.8,488220.6,Upper East Side-Carnegie Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,154,0,Not Available,Fannie Mae Industry Survey - Multifamily,158.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
67-05 224 STREET,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,1282350.3,Not Available,Possible Issue,Not Available,Ok,Not Available,1221286,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,1324991.3,Not Available,Not Available,1221286,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,115.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
995 Fifth Avenue Owners Corp,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,9,0,Not Available,Not Available,100,24152846.1,Not Available,Possible Issue,Not Available,Ok,No,10377504.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,7496410.4,Not Available,1790039.4,763379.4,Upper East Side-Carnegie Hill,Not Available,No specific resident population,Not Applicable: Standalone Property,35,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,157.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
320 W 87 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,73,0.62591,Not Available,Not Available,100,6404522,Not Available,Possible Issue,Not Available,Ok,No,4482252,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,5253822.7,Not Available,249927.6,1475453.4,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,108.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Morris Heights, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,97,1.2,Not Available,Not Available,90,16450177.9,Not Available,Possible Issue,Not Available,Ok,No,14374967.4,Not Available,Not Available,Ok,Not Available,14.0,Not Available,0,Not Available,23275113.6,Not Available,203192.6,11368648.4,University Heights-Morris Heights,Not Available,Not Available,Not Applicable: Standalone Property,0,0,Not Available,Fannie Mae Industry Survey - Multifamily,86.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Grand Slam Corp,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,9,0.45891,Not Available,Not Available,0,11202930.3,Not Available,Ok,Not Available,Ok,No,6987681.7,Not Available,Not Available,Ok,Not Available,17.0,Not Available,0,Not Available,5089717.1,Not Available,568996.9,253800,East Tremont,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,143,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
251 West 81st Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,83,0.55392,Not Available,Not Available,0,11910615.3,Not Available,Ok,Not Available,Ok,No,6302054.8,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,8770229,Not Available,726372.2,3769299.9,Upper West Side,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,120.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,1,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
82 Wall Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,4772207.2,Not Available,Ok,Not Available,Possible Issue,Not Available,2829663.8,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,12355467.8,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Citi Field,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,204357887.9,Not Available,Possible Issue,Not Available,Ok,Not Available,65082129.9,Not Available,Not Available,Ok,3175790.92,21.0,Not Available,0,Not Available,33689858.7,Not Available,19171455.2,Not Available,park-cemetery-etc-Queens,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Public Assembly,165.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
780 Third Avenue,Not Available,Not Available,0,No,3.10398,Not Available,Ok,Ok,No,Not Available,79,Not Available,Not Available,Not Available,Not Available,102620415.2,Not Available,Ok,354965.13,Ok,Not Available,39271641.6,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,56575008.9,Not Available,8374190.3,1959623.4,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,207.5,1020,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2012, 2011, 2009, 2008",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: COD, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,6167,52,0,Not Available,Not Available,100,7968499.8,Not Available,Ok,Not Available,Ok,No,4832916.1,Not Available,Not Available,Ok,Not Available,5.0,Not Available,0,Not Available,4905571.3,Not Available,407458.3,3150668.3,Upper East Side-Carnegie Hill,Not Available,Not Available,Not Applicable: Standalone Property,44,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,134.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Brush Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,11,Not Available,Not Available,Not Available,Not Available,52663132,Not Available,Ok,Not Available,Ok,Not Available,29779653.3,Not Available,Not Available,Ok,Not Available,13.0,Not Available,0,100,16191547.8,Not Available,3000175.8,19543052.3,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,217.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,207000,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
9 NIXON COURT PLPM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,100,1.23165,Not Available,Not Available,Not Available,4674132.8,Not Available,Possible Issue,Not Available,Ok,Not Available,4113912.7,Not Available,Not Available,Ok,0,47.0,Not Available,0,Not Available,12496851.5,Not Available,49715.4,3944283.8,Gravesend,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,46.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
8 West 40th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,67,Not Available,Not Available,Not Available,Not Available,26725062.8,Not Available,Ok,Not Available,Ok,Not Available,13261462.7,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,16295449.9,Not Available,1793225.2,933849.7,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,208.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Walter & Samuels 1355 E 18th,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,30,1.00343,Not Available,Not Available,90,11773927.7,Not Available,Ok,Not Available,Ok,Not Available,8842507.3,Not Available,Not Available,Ok,Not Available,,Not Available,0,Not Available,7813800,Not Available,346818.9,7651457,,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,136.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
2 United Nations Plaza,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,113308767.5,Not Available,Ok,Not Available,Ok,Not Available,52769876.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,63681970.3,Not Available,7564044.9,Not Available,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,197.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,100,Not Available,0.81771,Not Available,Not Available
400 Fifth Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,100,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,35051055.6,Not Available,8059150.8,4853166.6,Midtown-Midtown South,Not Available,No specific resident population,Not Applicable: Standalone Property,190,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,100,Not Available,1.43171,Not Available,Not Available
"DIAMOND: 1522 University Realty, L.L.C.",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,91,1.03896,Not Available,Not Available,0,7667360,Not Available,Possible Issue,Not Available,Ok,No,5699555.7,Not Available,Not Available,Ok,0,13.0,Not Available,0,Not Available,8102462.9,Not Available,238755.6,4683399.7,Pelham Parkway,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,130.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Advanced: Bay Parkway Coop Corp,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0.91895,Not Available,Not Available,20,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,47.0,Not Available,0,Not Available,3892601,Not Available,Not Available,Not Available,Bensonhurst West,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
2765 Ocean Avenue Realty LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,2,6.94118,Not Available,Not Available,0,5992410,Not Available,Ok,Not Available,Ok,No,4620442,Not Available,Not Available,Ok,Not Available,,Not Available,0,Not Available,2806136.9,Not Available,159417.8,4074534.9,,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,694,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Leo Engineering Building,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20346549.6,Not Available,Ok,Not Available,Ok,Not Available,12168321.3,Not Available,Not Available,Ok,109123.41,11.0,Not Available,0,Not Available,13693353.1,Not Available,1062273.1,8546401.6,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,South Campus,Not Available,Not Available,Not Available,CBECS - Education,122.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,3618422,Not Available,Not Available,Not Available,Not Available,Not Available
1 Main St,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,11,0,Not Available,Not Available,100,39438505.5,Not Available,Possible Issue,Not Available,Ok,No,26080796.2,Not Available,Not Available,Ok,0,33.0,Not Available,0,Not Available,19506387.1,Not Available,1707404.2,18822553.5,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Not Available,Not Available,Not Applicable: Standalone Property,126,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
