latitude,longitude,parcel_name,coordinates,overlay_1,bsmt_code,census_tract,community_district,lot_type_code,residential_floor_area,police_prct,total_area,retail_floor_area,open_petroleum_spill,potential_urban_ag,health_ctr,lot,lot_front,exempt_land,proximity_code
40.757542,-73.9890053,42ND ST DEV/TIMES SQUARE,987296/215270,,2,119.0,105,3,0,14.0,17574,1590,,,15.0,58,175.0,0,3
40.728441,-73.9811842,TOMPKIM PARK OUTREACH CENTER,989465/204668,C2-5,2,34.0,103,5,6483,9.0,2581,0,,,14.0,58,25.0,2217780,3
40.755807,-73.9551847,FUTURE CORNELL TECH CAMPUS,996666/214641,,0,238.009,108,0,0,114.0,11327,0,,,13.0,65,204.65,5698710,1
40.74219,-73.9865647,NYS APPELLATE DIV COURTHOUSE,987973/209677,,2,56.0,105,3,0,13.0,14812,0,,,15.0,1,98.75,12909600,3
40.71435,-73.9830352,PS 134,988953/199534,,2,2.02,103,3,0,7.0,29915,0,,,14.0,15,143.92,10735650,2
40.712778,-73.9930635,BWSO WATER SEWER & REPAIR FAC,986173/198961,,2,8.0,103,3,0,5.0,37625,0,,,14.0,28,188.58,4445100,1
40.800741,-73.9417181,25 PCT PERSONNEL PARKING,1000386/231014,C2-5,5,182.0,111,5,0,25.0,2250,0,,,12.0,4,25.0,487350,0
40.749574,-73.999852,LOWER WEST SIDE HEALTH CENTER,984291/212367,,2,97.0,104,6,0,10.0,7950,0,,,15.0,82,75.0,6857550,1
40.793455,-73.9386655,ALT LEARNING CENTER (M-934),1001233/228360,,2,180.0,111,5,0,23.0,12615,0,,,12.0,13,125.0,1647000,3
40.71221,-74.0017962,NYPD HEADQUARTERS/POLICE PLAZA,983752/198754,,2,29.0,101,5,0,5.0,152553,0,,,15.0,1,382.0,98099550,1
40.778647,-73.9440158,ASPHALT GREEN,999755/222964,,0,152.0,108,3,0,19.0,375950,0,,,12.0,1,653.08,69338700,1
40.762966,-73.9925853,HELLS KITCHEN PARK,986304/217246,,0,127.0,104,3,0,18.0,25103,0,,,15.0,1,200.83,2856150,0
40.739121,-73.9853238,MABEL DEAN BACON VOC HS,988317/208559,,2,68.0,105,3,0,13.0,7582,79727,,,14.0,16,99.33,3727800,0
40.788574,-73.9480486,JENNIE A CLARKE RESISIDENCE,998636/226580,,0,166.0,111,5,0,23.0,2523,0,,,12.0,46,25.0,68400,0
40.730328,-73.9735491,JOHN J MURPHY PARK,991581/205356,,0,44.0,106,3,0,13.0,44000,0,,,14.0,70,171.5,3573000,0
40.793098,-73.9513711,ARSENAL NORTH/HECKSCHER BLDG,997715/228228,,2,168.0,111,3,0,23.0,40366,0,,,12.0,1,201.83,14816250,2
40.711227,-73.9928833,MANH BR ANCHOR/COLEMAN SQ PLGD,986223/198396,,0,8.0,103,3,0,5.0,57500,0,,,14.0,20,299.33,1932750,0
40.762873,-74.0028121,PIER 83/ L.U.W,983471/217212,,5,129.0,104,9,0,,155975,0,,,,11,200.0,3955950,0
40.802635,-73.9379275,MCNAIR PARK,1001435/231705,,5,196.0,111,5,0,25.0,2523,0,,,11.0,47,25.0,249750,0
40.716045,-73.9798351,WILLIAMSBURG BRIDGE,989840/200152,,5,12.0,103,1,0,7.0,44197,0,,,14.0,52,105.25,2700000,0
40.728581,-73.9795354,EL SOL BRILLIANTE JR.GARDEN,989922/204719,,5,34.0,103,5,0,9.0,2581,0,,,14.0,46,25.0,852300,0
40.756716,-73.989276,42ND ST DEV/TIMES SQUARE,987221/214969,,0,113.0,105,5,0,14.0,6863,0,,,15.0,57,69.5,7206300,0
40.769238,-73.9494861,JOHN JAY PARK.& POOL,998242/219535,,1,132.0,108,3,0,19.0,143000,0,,,13.0,17,470.08,26639550,1
40.788642,-73.9718936,PS 166 PLAYGROUND,992033/226602,,0,173.0,107,5,0,24.0,17640,0,,,16.0,41,175.0,2498850,0
40.756884,-73.9996679,,984342/215030,,5,99.0,104,0,0,10.0,9938,0,,Not Suitable,15.0,50,144.75,1355850,0
40.738968,-73.9727445,WATERSIDE PLAZA,991803/208504,,0,62.0,106,2,378356,13.0,36897,0,,,14.0,61,546.06,28987200,1
40.725611,-73.9774077,9TH STREET COMMUNITY GARDEN,990512/203637,C1-5,5,28.0,103,5,0,9.0,1743,0,,,14.0,7,20.83,252900,0
40.729096,-74.0066568,,982405/204906,,5,67.0,102,3,0,6.0,25000,0,,Not Suitable,15.0,45,200.0,8634150,0
40.78567,-73.9433671,MANHATTAN 11 GARAGE,999933/225523,C2-5,5,164.0,111,5,0,23.0,8000,0,,,12.0,27,80.0,754650,0
40.76978,-73.9829199,ARSENAL WEST/MAN BORO OFFICE,988981/219729,,2,145.0,107,4,0,20.0,11850,17500,Yes,,15.0,51,100.0,0,3
40.76764,-73.9988014,PIER 90- PASSENGER SHIP TERM,984582/218949,,0,129.0,104,9,0,18.0,533000,0,,,15.0,21,475.0,35469450,0
40.797834,-73.9362959,DIAMANTE GARDEN,1001888/229956,,5,188.0,111,5,0,25.0,4129,0,,,12.0,46,40.92,362250,0
40.710547,-73.9973236,PS 126 & ALFRED E. SMITH PARK,984992/198148,,0,25.0,103,5,0,5.0,117191,0,,,14.0,160,425.0,19763100,0
40.802547,-73.9420092,PS 79 & PLAYGROUND (JOP),1000305/231672,C1-4,2,198.0,111,1,0,25.0,81741,0,,,11.0,1,201.83,5630850,1
40.72774,-73.9922753,MERCHANT'S HOUSE MUSEUM,986391/204412,,5,57.0,102,5,0,9.0,3072,0,,,15.0,71,24.25,522900,0
40.796534,-73.933982,,1002529/229483,,5,178.0,111,5,0,25.0,1892,0,,,12.0,9,18.75,131400,0
40.738061,-73.9820548,EPIPHANY BRANCH LIBRARY,989223/208173,,2,64.0,106,5,0,13.0,6584,0,,,14.0,46,66.67,2060550,0
40.764078,-74.0016209,PIER 84-C/L/FLOATING THE APPLE,983801/217651,,0,129.0,104,9,0,18.0,398000,0,,,15.0,21,435.58,12118950,0
40.719571,-74.0065981,LAD 8,982421/201436,,2,33.0,101,3,0,1.0,2863,0,,,15.0,35,39.58,620100,0
40.710179,-73.9933089,BERGTRAUM AF,986105/198014,,0,8.0,103,4,0,5.0,35018,0,,,14.0,999,50.17,0,0
40.758298,-73.9587602,,995675/215548,,0,106.02,108,2,0,19.0,900,0,,,13.0,1,30.0,57150,0
40.773594,-73.9564112,YORKVILLE BRANCH LIBRARY,996323/221121,,2,134.0,108,5,0,19.0,4087,0,,,13.0,37,40.0,3175650,3
40.722961,-73.9965329,"LAD 20,DIV 1, BFI SPEC INV",985211/202671,,2,43.0,102,5,0,5.0,12633,0,,,15.0,7,128.0,4119750,0
40.729867,-74.0018364,MINETTA TRIANGLE SITTING AREA,983741/205187,,0,65.0,102,3,0,6.0,3277,0,,,15.0,26,112.83,403650,0
40.777232,-73.9475374,MANHATTAN BORO OFFICE,998780/222448,,0,144.02,108,5,0,19.0,5089,0,,,13.0,13,50.5,1053450,3
40.764878,-73.9854555,MIDTOWN COMMUNITY COURT,988279/217943,C1-5,2,133.0,104,4,0,18.0,10000,0,,,15.0,22,50.0,6066900,2
40.765638,-73.9597772,JULIA RICHMAN CAMPUS,995392/218222,,2,118.0,108,3,0,19.0,70291,0,,,13.0,1,200.83,31008600,1
40.712904,-73.9915232,PS 2,986600/199007,,2,6.0,103,3,0,7.0,77175,0,,,14.0,1,200.0,10837350,1
40.741707,-73.9720288,,992001/209502,,0,62.0,106,5,0,13.0,63350,16000,,,14.0,50,1104.83,5180400,0
40.814605,-73.937425,,1001571/236066,,0,212.0,110,5,14514,32.0,3622,0,,,11.0,28,36.25,565650,3
40.717457,-73.9849535,WILLIAMSBURG BRIDGE ANCHORAGE,988421/200666,C2-5,0,14.02,103,5,0,7.0,54900,0,,,14.0,46,450.0,2246850,0
40.771589,-73.9875009,PS 191,987712/220388,,2,147.0,107,3,0,20.0,52725,0,,,15.0,29,201.0,20988900,2
40.771833,-73.9457546,,999275/220481,,0,136.0,108,5,0,19.0,16448,0,,,13.0,1,822.42,8986950,0
40.757166,-73.9881173,42ND ST DEV/TIMES SQUARE,987542/215133,,0,119.0,105,5,0,14.0,9708,0,,,15.0,41,96.67,6670350,0
,,100 CHURCH STREET,0/0,,5,,0,0,0,,53354,0,,,,20,335.04,0,0
40.721953,-73.9826833,"ENG 28, LAD 11 PARKING",989050/202304,,5,22.02,103,5,0,9.0,6570,0,,,14.0,60,60.0,2337750,0
40.800801,-73.9416712,25 PCT PERSONNEL PARKING,1000399/231036,C2-5,5,182.0,111,5,0,25.0,2250,0,,,12.0,72,25.0,487350,0
40.742034,-73.9919524,,986480/209620,,2,58.0,105,4,0,13.0,19751,22332,,,15.0,15,172.0,0,2
