property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
263 Eastern Parkway,Not Available,734593.3,1,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,74990,Not Available,0.8,Not Available,62.1,Not Available,Not Available,Not Available,5329.8,Ok,Not Available,Not Available,No,,Not Available,Not Available,3011810018,Whole Property,Not Available,Not Available,5329.8,Multifamily Housing,5.8,62,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM 996 Aldus Street,Not Available,819852.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,46068,Not Available,1.5,Not Available,69.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-04-18T00:00:00.000,Not Available,Not Available,2027470028,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,7.1,51,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
23 East 39 St,Not Available,1744238.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39964,Not Available,3.7,Not Available,147.5,Not Available,Not Available,Not Available,1924,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1008690025,Whole Property,Not Available,Not Available,1924,Hotel,5.1,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 195 Bowery St,Not Available,1107398.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,44203,Not Available,2.1,Not Available,93.6,Not Available,Not Available,Not Available,619,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1004257501,Whole Property,Not Available,Not Available,619,Multifamily Housing,5.3,23,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
FAMILY SUPPORT FAMILY SUPPORT SYSTEMS UNL. HDFC,Not Available,435009.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37960,Not Available,1,Not Available,36.8,Not Available,Not Available,Not Available,4690.3,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,2028070027,Whole Property,Not Available,Not Available,4690.3,Multifamily Housing,6.1,39,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1150 Metropolitan Ave,Not Available,15343.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,83600,Not Available,0,Not Available,1.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3029430002,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,0,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 43 Bleecker Street,Not Available,226133.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37993,Not Available,0.5,Not Available,19.1,Not Available,Not Available,Not Available,70,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1005290062,Whole Property,Not Available,Not Available,70,Multifamily Housing,0.5,18,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - 33-01 Vernon Blvd,Not Available,1456872.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27400,Not Available,4.5,Not Available,123.2,Not Available,Not Available,Not Available,215.4,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4003210011,Whole Property,Not Available,Not Available,215.4,Office,6.9,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
2821 Briggs Realty LLC,Not Available,500117.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,30780,Not Available,1.4,Not Available,42.3,Not Available,Not Available,Not Available,7845.6,Ok,Not Available,Not Available,No,,Not Available,Not Available,2033010066,Whole Property,Not Available,Not Available,7845.6,Multifamily Housing,7.6,31,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Morton Barrow Condo - 456 Hudson St,Not Available,573615.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,14130,Not Available,3.4,Not Available,48.5,Not Available,Not Available,Not Available,3217.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1005847501,Whole Property,Not Available,Not Available,3217.5,Retail Store,5.1,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
55 East 196 Street,Not Available,593162,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,35532,Not Available,1.4,Not Available,50.1,Not Available,Not Available,Not Available,2472.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2033180069,Whole Property,Not Available,Not Available,2472.9,Multifamily Housing,4.4,35,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ADI: 43-07 39th Place,Not Available,715916.2,0,3235,Not Available,Not Available,Ok,Not Available,Not Available,70475,Not Available,0.9,Not Available,60.5,Not Available,Not Available,Not Available,2422.2,Ok,Not Available,Not Available,No,2022-07-13T00:00:00.000,Not Available,Not Available,4-00190-0020,Whole Property,Not Available,Not Available,2422.2,Multifamily Housing,3.4,70,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 809 Madison Ave/30 E 68th St,Not Available,684464.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,41371,Not Available,7.1,Not Available,293,Not Available,Not Available,Not Available,2822.5,Ok,Not Available,Not Available,Not Available,2023-03-01T00:00:00.000,Not Available,Not Available,1013820049,Whole Property,Not Available,Not Available,2822.5,Multifamily Housing,7.1,36,9,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maxwell: 14 E 75th St.,Not Available,2642518.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,145136,Not Available,1.5,Not Available,223.4,Not Available,4.77,Not Available,2106.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1013890056,Whole Property,Not Available,Not Available,2106.5,Multifamily Housing,3.5,49,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 2280 Andrews Ave,Not Available,800980.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,81144,Not Available,0.8,Not Available,67.7,Not Available,Not Available,Not Available,4835.9,Ok,Not Available,Not Available,No,2023-04-18T00:00:00.000,Not Available,Not Available,2-03218-0011,Whole Property,Not Available,Not Available,4835.9,Multifamily Housing,3.7,53,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Northern Star - 147-25 Northern Blvd,Not Available,1660664.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,140000,Not Available,1,Not Available,140.4,Not Available,Not Available,Not Available,11231.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4050050059,Whole Property,Not Available,Not Available,11231.3,Multifamily Housing,5.5,146,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1952 Benedict Avenue,Not Available,2337011.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,35298,Not Available,5.6,Not Available,197.6,Not Available,Not Available,Not Available,439.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2039300033,Whole Property,Not Available,Not Available,439.2,K-12 School,7.3,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
802 Avenue U,Not Available,305769.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,41000,Not Available,0.6,Not Available,25.9,Not Available,Not Available,Not Available,1056.2,Ok,Not Available,Not Available,No,,Not Available,Not Available,3071357501,Whole Property,Not Available,Not Available,1056.2,Multifamily Housing,2.1,20,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM 409 Hewes Street,Not Available,513843.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27774,Not Available,1.6,Not Available,43.4,Not Available,Not Available,Not Available,2783.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3024250026,Whole Property,Not Available,Not Available,2783.2,Multifamily Housing,6.3,35,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Tim Hoffman:383 West Broadway,Not Available,1368515.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,74536,Not Available,1.6,Not Available,115.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-03-29T00:00:00.000,Not Available,Not Available,1-00487-0012,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.6,8,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
22 W 32ND STREET,Not Available,2858686.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113000,Not Available,2.1,Not Available,241.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-04-04T00:00:00.000,Not Available,Not Available,1008330057,Whole Property,Not Available,Not Available,Not Available,Office,4.1,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
286-Aliz Times Square,Not Available,5929963.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,114917,Not Available,4.4,Not Available,501.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00763-0047,Whole Property,Not Available,Not Available,Not Available,Hotel,6.2,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Witnick - 145 Henry Street,Not Available,594633.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,40410,Not Available,1.2,Not Available,50.3,Not Available,Not Available,Not Available,967.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3002370020,Whole Property,Not Available,Not Available,967.2,Multifamily Housing,2.3,42,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Storage Garage,Not Available,2265158.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,2000,Not Available,95.7,Not Available,191.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4018330215,Not Available,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,95.7,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
23-23 Borden Avenue,Not Available,1746476.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,51000,Not Available,2.9,Not Available,147.6,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4001050012,Not Available,Not Available,Not Available,Not Available,Mixed Use Property,3.6,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20399,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Christopher Lee: 279 East 44th Street,Not Available,6514047.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,225567,Not Available,2.4,Not Available,550.7,Not Available,Not Available,Not Available,5005.4,Ok,Not Available,Not Available,Not Available,2023-04-03T00:00:00.000,Not Available,Not Available,1-01318-0022,Whole Property,Not Available,Not Available,5005.4,Multifamily Housing,8.5,249,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maxwell: 1601 AVENUE I,Not Available,1453945.3,0,17500,Not Available,Not Available,Ok,Not Available,Not Available,159088,Not Available,0.8,Not Available,122.9,Not Available,Not Available,Not Available,3904.8,Ok,Not Available,Not Available,Not Available,2023-05-25T00:00:00.000,Not Available,Not Available,3067000038,Whole Property,Not Available,Not Available,3904.8,Multifamily Housing,3.8,130,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maverick: 1000 Pennsylvania Ave,Not Available,10401427.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,428000,Not Available,2.1,Not Available,879.3,Not Available,Not Available,Not Available,3500.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3-04389-0001,Whole Property,Not Available,Not Available,3500.1,Non-Refrigerated Warehouse,3.1,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
