property_id,property_name,nyc_building_identification,address_1,year_built,office_percent_that_can_be,largest_property_use_type_1,retail_store_number_of_open,multifamily_housing_percent_1,municipally_supplied_potable_3,parent_property_id,non_refrigerated_warehouse,convention_center_gross_floor,hospital_general_medical_8,medical_office_gross_floor,district_steam_use_kbtu,fuel_oil_2_use_kbtu,net_emissions_metric_tons,year_ending,estimated_values_water,site_eui_kbtu_ft,report_submission_date,report_generation_date,temporary_values,worship_facility_gross_floor,multifamily_housing_number_7,property_gfa_calculated,direct_ghg_emissions_metric,electricity_use_generated_2,leed_us_project_id,diesel_2_use_kbtu,list_of_all_property_use,estimated_data_flag_fuel_2,alert_energy_meter_has_single,direct_ghg_emissions_intensity,weather_normalized_site_eui,total_location_based_ghg,postal_code,electricity_use_grid_purchase_2,reason_s_for_no_score,third_party_certification_1,multifamily_housing_number_5,courthouse_gross_floor_area,last_modified_date_property,energy_star_certification_1,last_modified_date_water,national_median_site_eui,number_of_active_it_meters,hotel_gym_fitness_center,multifamily_housing_total_1,site_energy_use_kbtu,office_gross_floor_area_ft,movie_theater_gross_floor,alert_energy_no_meters,default_values,natural_gas_use_kbtu,social_meeting_hall_gross,medical_office_percent_that,third_party_certification,estimated_data_flag_fuel,fuel_oil_4_use_kbtu
11715416,1430 43rd Street,3136247,1430 43rd Street,1950,Not Available,35600,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,132.2,2022-12-31T00:00:00.000,No,67.2,2023-04-20T19:38:00.000,2023-04-20T19:37:00.000,False,Not Available,0,35600,118.5,Not Available,Not Available,Not Available,Multifamily Housing (35600.0),Not Available,Possible Issue,3.3,Not Available,132.2,11219,47573,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2020-07-10T00:00:00.000,92.6,0,Not Available,0.67416,2393419.1,Not Available,Not Available,Ok,True,2231100.1,Not Available,Not Available,Not Available,Not Available,Not Available
2771469,CQ- 841 7 Avenue,1023382,"841 7 Avenue,",1923,Not Available,79309,0,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,411,2022-12-31T00:00:00.000,Unable to Check (not enough data),75.3,2023-03-16T06:17:00.000,2023-03-16T06:17:00.000,False,Not Available,0.22696,85309,223.8,Not Available,Not Available,Not Available,"Multifamily Housing (79309.0), Retail Store (6000.0)",Not Available,Ok,2.6,76.3,411,10019,649102,Not Available,Not Available,0.17652,Not Available,2023-03-09T00:00:00.000,Not Available,,68.1,0,Not Available,0.51697,6427836.4,Not Available,Not Available,Ok,True,4213100.3,Not Available,Not Available,Not Available,Not Available,Not Available
15746284,KM - 2070 Adam Clayton Powell Jr. Blvd,1800435 ; 1800434 ; 1800433 ; 1800432 ; 1800431 ; 1800429 ; 1088475,2070 Adam Clayton Powell Jr. Blvd,1910,Not Available,146780,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,735.9,2022-12-31T00:00:00.000,No,82,2023-05-08T10:55:00.000,2023-05-08T10:55:00.000,False,Not Available,0,146780,475,Not Available,Not Available,Not Available,Multifamily Housing (146780.0),Not Available,Ok,3.2,82.9,735.9,10027,904502,Not Available,Not Available,1.27402,Not Available,2023-04-19T00:00:00.000,Not Available,2023-04-19T00:00:00.000,89.7,0,Not Available,1.27402,12029260.7,Not Available,Not Available,Ok,False,8943099.9,Not Available,Not Available,Not Available,Not Available,Not Available
2876343,Tim Hoffman:383 West Broadway,1007310,383 West Broadway,1900,Not Available,60036,0,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2960031,344.7,2022-12-31T00:00:00.000,No,60.4,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0,74536,229,Not Available,Not Available,Not Available,"Multifamily Housing (60036.0), Retail Store (14500.0)",Not Available,Ok,3.1,60.2,344.7,10012,401089,{1} is marked as No. {1} is too small.,Not Available,0.13325,Not Available,2023-03-29T00:00:00.000,Not Available,2021-02-24T00:00:00.000,75.9,0,Not Available,0.13325,4503946.7,Not Available,Not Available,Ok,False,175400,Not Available,Not Available,Not Available,Not Available,Not Available
20805120,Barclay - Campus - 37 Greenpoint Ave/102 West StC,3064673 ; 3064672,37 Greenpoint Ave/102 West St,1931,Not Available,76846,Not Available,Not Available,Not Available,20805120,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267,2022-12-31T00:00:00.000,Unable to Check (not enough data),44.7,2023-03-16T11:48:00.000,2023-03-16T11:47:00.000,False,Not Available,Not Available,76846,188.5,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant (76846.0),No,Ok,2.5,46.5,267,11222,272350,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,,Not Available,0,Not Available,Not Available,3432952.2,Not Available,Not Available,Ok,False,1400,Not Available,Not Available,Not Available,Not Available,2502294
24889847,Indus - 88-35 Elmhurst Avenue,4037328,88-35 Elmhurst Avenue,1938,Not Available,99383,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,1122202.2,505.1,2022-12-31T00:00:00.000,Unable to Check (not enough data),84.1,2023-03-21T13:26:00.000,2023-03-21T13:25:00.000,False,Not Available,0.84522,99383,404.3,Not Available,Not Available,Not Available,Multifamily Housing (99383.0),Not Available,Ok,4.1,85.6,505.1,11373,349696,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,,84.4,0,Not Available,0.84522,8358864.4,Not Available,Not Available,Ok,False,6043499.5,Not Available,Not Available,Not Available,Not Available,Not Available
24214989,Northern Star - 147-25 Northern Blvd,4113237,147-25 Northern Blvd,1960,Not Available,140000,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,771.2,2022-12-31T00:00:00.000,No,96.7,2023-03-29T15:31:00.000,2023-03-29T15:31:00.000,False,Not Available,1.04286,140000,630.8,Not Available,Not Available,Not Available,Multifamily Housing (140000.0),Not Available,Ok,4.5,98.9,771.2,11354,486713,Not Available,Not Available,0,Not Available,2023-03-17T00:00:00.000,Not Available,2023-02-24T00:00:00.000,95.2,0,Not Available,1.04286,13536765.1,Not Available,Not Available,Ok,False,11876100.3,Not Available,Not Available,Not Available,Not Available,Not Available
14942534,Belnord Hotel,1033207,207 West 87th Street,1962,Not Available,27674,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,365.9,2022-12-31T00:00:00.000,No,217.9,2023-03-13T10:26:00.000,2023-03-13T10:25:00.000,False,Not Available,Not Available,27674,243.1,Not Available,Not Available,Not Available,Hotel (27674.0),Not Available,Ok,8.8,217.1,365.9,10024,425442,Not Available,Not Available,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,2023-02-24T00:00:00.000,201.1,0,Not Available,Not Available,6029108,Not Available,Not Available,Ok,False,4577499.9,Not Available,Not Available,Not Available,Not Available,Not Available
16852095,218-01 Merrick Blvd,4279235,218-01 Merrick Blvd,1951,100,31400,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,166.3,2022-12-31T00:00:00.000,No,73.3,2023-03-08T12:38:00.000,2023-03-08T12:37:00.000,False,Not Available,Not Available,35900,94.9,Not Available,Not Available,Not Available,"Office (4500.0), Retail Store (31400.0)",Not Available,Ok,2.6,73.8,166.3,11413,247377,Not Available,Not Available,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,2023-02-24T00:00:00.000,69.6,0,Not Available,Not Available,2631050.4,4500,Not Available,Ok,False,1787000.1,Not Available,Not Available,Not Available,Not Available,Not Available
9637020,2995 Marion Avenue,2016458,2995 Marion Avenue,1955,Not Available,46162,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.3,2022-12-31T00:00:00.000,No,15.8,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,0.30328,46162,8.8,Not Available,Not Available,Not Available,Multifamily Housing (46162.0),Not Available,Ok,0.2,15.4,56.3,10458,164500,Not Available,Not Available,0,Not Available,2023-03-10T00:00:00.000,Not Available,2023-02-24T00:00:00.000,43.4,0,Not Available,0.97483,727474,Not Available,Not Available,Ok,False,166200,Not Available,Not Available,Not Available,Not Available,Not Available
6800133,Kai Development Corp,2113361,2403 Third Ave,1931,Not Available,38850,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,38850,Not Available,Not Available,Not Available,Not Available,Not Available,1289.9,2022-12-31T00:00:00.000,No,421.5,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,Not Available,38850,159.7,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse (38850.0),Not Available,Ok,4.1,421.5,1289.9,10451,3918004,Not Available,Not Available,Not Available,Not Available,2023-04-17T00:00:00.000,Not Available,2023-02-24T00:00:00.000,24.7,0,Not Available,Not Available,16375029.8,Not Available,Not Available,Ok,False,3006799.9,Not Available,Not Available,Not Available,Not Available,Not Available
2715809,Maxwell: 1601 AVENUE I,3179391,1615 Avenue I,1948,Not Available,159088,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,112939.2,610.7,2022-12-31T00:00:00.000,No,66.6,2023-06-14T11:00:00.000,2023-06-14T10:56:00.000,False,Not Available,0.81716,176588,487.8,Not Available,Not Available,Not Available,"Multifamily Housing (159088.0), Parking (17500.0)",Not Available,Ok,3.1,67.5,610.7,11230,426127,Not Available,Not Available,0,Not Available,2023-05-25T00:00:00.000,Not Available,2023-02-24T00:00:00.000,95.5,0,Not Available,0.81716,10592884.2,Not Available,Not Available,Ok,False,9025999.7,Not Available,Not Available,Not Available,Not Available,Not Available
8490981,1150 Metropolitan Ave,3070523,1150 Metropolitan Ave,1971,Not Available,83600,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,83600,Not Available,Not Available,Not Available,Not Available,Not Available,2.8,2022-12-31T00:00:00.000,Unable to Check (not enough data),0.5,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,Not Available,83600,1.5,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse (83600.0),Not Available,Ok,0,0.5,2.8,11237,4497,Not Available,Not Available,Not Available,Not Available,2023-04-22T00:00:00.000,Not Available,,38.6,0,Not Available,Not Available,44043.8,Not Available,Not Available,Ok,False,28700,Not Available,Not Available,Not Available,Not Available,Not Available
2799549,Tenere: 9040 Fort Hamilton Parkway,3154819,9040 Fort Hamilton Parkway,1955,Not Available,78633,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,367,2022-12-31T00:00:00.000,No,81.2,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,True,Not Available,1.06825,79533,292.4,Not Available,Not Available,Not Available,"Multifamily Housing (78633.0), Parking (900.0)",Not Available,Ok,3.7,84.6,367,11209,258769,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2023-02-25T00:00:00.000,94.3,0,Not Available,1.06825,6387719.8,Not Available,Not Available,Ok,False,5504800,Not Available,Not Available,Not Available,Not Available,Not Available
27938283,140 Meisner Avenue,5151007 ; 5037085,140 Meisner Avenue,1973,Not Available,185000,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1779.1,2022-12-31T00:00:00.000,Unable to Check (not enough data),148.2,2023-06-26T11:39:00.000,2023-06-26T11:39:00.000,False,Not Available,Not Available,185000,911,Not Available,Not Available,Not Available,Outpatient Rehabilitation/Physical Therapy (185000.0),Not Available,Ok,4.9,150.3,1779.1,10306,3009697,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country).,Not Available,Not Available,Not Available,2023-06-22T00:00:00.000,Not Available,,81.1,0,Not Available,Not Available,27420384.6,Not Available,Not Available,Ok,False,17151298.5,Not Available,Not Available,Not Available,Not Available,Not Available
6292631,204-HGICPS,1089437;1024846,237 West 54th Street,2010,Not Available,167888,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1076.4,2022-12-31T00:00:00.000,No,96.2,2023-04-04T09:20:00.000,2023-04-04T09:19:00.000,False,Not Available,Not Available,167888,488.3,Not Available,Not Available,Not Available,Hotel (167888.0),Not Available,Ok,2.9,97.4,1076.4,10019,2038764,Not Available,Not Available,Not Available,Not Available,2023-03-24T00:00:00.000,Not Available,2023-02-15T00:00:00.000,78.8,0,Not Available,Not Available,16150462.9,Not Available,Not Available,Ok,False,9194200,Not Available,Not Available,Not Available,Not Available,Not Available
2638326,Marben Realty,1057200,308 West104,1920,Not Available,56555,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,150.7,2022-12-31T00:00:00.000,No,45.5,2023-04-25T10:40:00.000,2023-04-25T10:39:00.000,False,Not Available,0,56555,113,Not Available,Not Available,Not Available,Multifamily Housing (56555.0),Not Available,Possible Issue,2,Not Available,150.7,10025,130788.4,Not Available,Not Available,0,Not Available,2023-04-20T00:00:00.000,Not Available,2023-02-27T00:00:00.000,77.4,0,Not Available,0.67191,2573578.3,Not Available,Not Available,Ok,True,2127328.2,Not Available,Not Available,Not Available,Not Available,Not Available
2661781,MACT Realty LLC,3177462,1755 Ocean Parkway,1926,Not Available,101034,Not Available,0,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,574.4,2022-12-31T00:00:00.000,No,97.2,2023-03-28T11:53:00.000,2023-03-28T11:53:00.000,False,Not Available,1.03925,101034,432,Not Available,Not Available,Not Available,Multifamily Housing (101034.0),Not Available,Ok,4.3,98.2,574.4,11223,493694,Not Available,Not Available,0,Not Available,2023-03-14T00:00:00.000,Not Available,2023-02-27T00:00:00.000,96.4,0,Not Available,1.03925,9818083.5,Not Available,Not Available,Ok,False,8133599.6,Not Available,Not Available,Not Available,Not Available,Not Available
15310834,KM 1025 Aldus Street,2006246,1025 Aldus Street,1924,Not Available,45786,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3889406,367.4,2022-12-31T00:00:00.000,No,107.3,2023-04-27T13:29:00.000,2023-04-27T13:27:00.000,False,Not Available,1.09204,45786,301.9,Not Available,Not Available,Not Available,Multifamily Housing (45786.0),Not Available,Ok,6.6,107.2,367.4,10459,227081,Not Available,Not Available,0,Not Available,2023-04-18T00:00:00.000,Not Available,2023-02-24T00:00:00.000,103.6,0,Not Available,1.09204,4914506.4,Not Available,Not Available,Ok,False,250300,Not Available,Not Available,Not Available,Not Available,Not Available
24125272,144-69 Barclay Ave,4114728 ; 4114727,144-69 Barclay Ave,2014,Not Available,25063,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67.5,2022-12-31T00:00:00.000,No,42.8,2023-04-28T14:23:00.000,2023-04-28T14:22:00.000,False,Not Available,0.91769,25063,39.3,Not Available,Not Available,Not Available,Multifamily Housing (25063.0),Not Available,Ok,1.6,44.3,67.5,11355,97755,Not Available,Not Available,0,Not Available,2023-04-27T00:00:00.000,Not Available,2022-12-14T00:00:00.000,81,0,Not Available,0.91769,1072840,Not Available,Not Available,Ok,False,739300,Not Available,Not Available,Not Available,Not Available,Not Available
2815247,Julius Mazurek: 1347 48th Street,3137255,1347 48th Street,1938,Not Available,64713,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,281.9,2022-12-31T00:00:00.000,No,75.3,2023-05-01T23:51:00.000,2023-05-01T23:49:00.000,False,Not Available,0.74174,64713,220.2,Not Available,Not Available,Not Available,Multifamily Housing (64713.0),Not Available,Ok,3.4,77.8,281.9,11219,213726,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2023-02-27T00:00:00.000,87.6,0,Not Available,0.74174,4875533.1,Not Available,Not Available,Ok,False,4146300,Not Available,Not Available,Not Available,Not Available,Not Available
2750238,Hudsoncrest: 4320 Van Cortlandt Park East,2018858,4320 Van Cortlandt Park E,1958,Not Available,151932,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,6673735.2,604.5,2022-12-31T00:00:00.000,No,53.1,2023-05-01T23:51:00.000,2023-05-01T23:48:00.000,False,Not Available,0.72401,151932,510.1,Not Available,Not Available,Not Available,Multifamily Housing (151932.0),Not Available,Ok,3.4,54.9,604.5,10470,327200,Not Available,Not Available,0,Not Available,2023-04-07T00:00:00.000,Not Available,2023-04-07T00:00:00.000,80.8,0,Not Available,0.72401,8069141.6,Not Available,Not Available,Ok,False,279000,Not Available,Not Available,Not Available,Not Available,Not Available
8460926,133-20 Avery Avenue,4115179,133-20 Avery Avenue,2008,Not Available,38652,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,155.5,2022-12-31T00:00:00.000,Unable to Check (not enough data),65.9,2023-05-01T22:43:00.000,2023-05-01T22:42:00.000,False,Not Available,0.28459,40335,101,Not Available,Not Available,Not Available,"Multifamily Housing (38652.0), Parking (1683.0)",Not Available,Ok,2.6,66.6,155.5,11355,188901,Not Available,Not Available,0,Not Available,2023-03-24T00:00:00.000,Not Available,,71.4,0,Not Available,0.59505,2546130.2,Not Available,Not Available,Ok,False,1901600,Not Available,Not Available,Not Available,Not Available,Not Available
14009907,23-25 31 Street,4017180,23-25 31 Street,1911,100,71431,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,71431,Not Available,16560,320.9,2022-12-31T00:00:00.000,No,51.1,2023-04-28T14:23:00.000,2023-04-28T14:22:00.000,False,Not Available,Not Available,75191,7.1,Not Available,Not Available,Not Available,"Office (3760.0), Medical Office (71431.0)",Not Available,Ok,0.1,50.9,320.9,11105,1087688,Not Available,Not Available,Not Available,Not Available,2023-03-15T00:00:00.000,Not Available,2023-02-24T00:00:00.000,106,0,Not Available,Not Available,3838751.8,3760,Not Available,Ok,False,111000,Not Available,100,Not Available,Not Available,Not Available
2734760,ADI: 36-35 167th Street,4119726,36-35 167th Street,1942,Not Available,71471,Not Available,100,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,271.4,2022-12-31T00:00:00.000,No,65.7,2023-05-01T23:51:00.000,2023-05-01T23:48:00.000,False,Not Available,1.02139,71471,212.2,Not Available,Not Available,Not Available,Multifamily Housing (71471.0),Not Available,Ok,3,67.2,271.4,11358,205158,Not Available,Not Available,0,Not Available,2023-04-08T00:00:00.000,Not Available,2023-02-24T00:00:00.000,88.3,0,Not Available,1.02139,4695299.3,Not Available,Not Available,Ok,False,3995300.1,Not Available,Not Available,Not Available,Not Available,Not Available
