nyc_building_identification,fuel_oil_1_use_kbtu,national_median_energy_star,district_chilled_water_use,restaurant_worker_density,refrigerated_warehouse_gross,annual_maximum_demand_mm,data_center_pue,green_power_offsite_kwh,_2nd_largest_property_use_1,electricity_use_generated_3,parent_property_name,parking_open_parking_lot,latitude,restaurant_weekly_operating,fuel_oil_5_6_use_kbtu,property_gfa_self_reported,office_number_of_workers,barracks_gross_floor_area,retail_store_number_of_walk,avoided_emissions_onsite_1,hotel_gross_floor_area_ft,hospital_general_medical_9,restaurant_gross_floor_area,alert_gross_floor_area_is,electricity_use_grid_purchase_1,wastewater_treatment_plant,weather_normalized_source_1,_3rd_largest_property_use,ct2020,office_percent_that_can_be_1,electricity_use_generated_1,weather_normalized_site_energy,energy_star_score,property_notes,estimated_data_flag,construction_status,office_weekly_operating_hours,medical_office_number_of_2,longitude,source_eui_kbtu_ft,hospital_general_medical_6,ambulatory_surgical_center
3053214,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.680916,Not Available,Not Available,29300,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,195160,Not Available,4082032.2,Not Available,245.0,Not Available,Not Available,2802435.4,33,Not Available,No,Existing,Not Available,Not Available,-73.950952,137.7,Not Available,Not Available
1087498,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.755877,Not Available,Not Available,83823,Not Available,Not Available,Not Available,0,83823,Not Available,Not Available,Ok,1200621,Not Available,13848902,Not Available,115.0,Not Available,Not Available,6431281,63,Not Available,No,Existing,Not Available,Not Available,-73.992453,167.7,Not Available,Not Available
2004058,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.804734,Not Available,Not Available,52600,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,86080,Not Available,1077444.7,Not Available,1903.0,Not Available,Not Available,527739.2,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.90654,20.2,Not Available,Not Available
1062372,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.826794,Not Available,Not Available,102068,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,292851,Not Available,8991834.2,Not Available,229.0,Not Available,Not Available,6949070.3,85,Not Available,No,Existing,Not Available,Not Available,-73.952217,86.8,Not Available,Not Available
4002926,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.738834,Not Available,Not Available,126834,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,461933.9,Not Available,13310298,Not Available,189.0,Not Available,Not Available,10128095.5,70,Not Available,No,Existing,Not Available,Not Available,-73.926674,104,Not Available,Not Available
2017519,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.868618,Not Available,Not Available,35532,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,173845.8,Not Available,Not Available,Not Available,40303.0,Not Available,Not Available,Not Available,57,Not Available,No,Existing,Not Available,Not Available,-73.894649,105.1,Not Available,Not Available
3175370,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.607672,Not Available,Not Available,92400,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,265014,Not Available,8638183.8,Not Available,428.0,Not Available,Not Available,6803334.5,83,Not Available,No,Existing,Not Available,Not Available,-73.983336,91.6,Not Available,Not Available
3012370,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.652939,Not Available,Not Available,32004,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,155300,Not Available,Not Available,Not Available,1803.0,Not Available,Not Available,Not Available,1,Not Available,No,Existing,Not Available,Not Available,-74.018322,223.7,Not Available,Not Available
3108638,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.650971,Not Available,Not Available,25300,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,162586,Not Available,3197245.6,Not Available,818.0,Not Available,Not Available,2137425.5,11,Not Available,Yes,Existing,Not Available,Not Available,-73.946448,126.3,Not Available,Not Available
2016181,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.884076,Not Available,Not Available,42525,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,166607,Not Available,4684204.7,Not Available,279.0,Not Available,Not Available,3544929.4,65,Not Available,No,Existing,Not Available,Not Available,-73.898053,109.2,Not Available,Not Available
1064984,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.867498,Not Available,Not Available,48217,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,412740.9,Not Available,10716100.6,Not Available,295.0,Not Available,Not Available,7912855.8,1,Not Available,No,Existing,Not Available,Not Available,-73.921785,220.6,Not Available,Not Available
4584150,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.759123,Not Available,Not Available,31783,Not Available,Not Available,Not Available,0,31783,Not Available,Not Available,Ok,148914,Not Available,2221819.8,Not Available,871.0,Not Available,Not Available,1269194.5,97,Not Available,No,Existing,Not Available,Not Available,-73.83414,69.9,Not Available,Not Available
2002824,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.829817,Not Available,Not Available,68240,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,324532,Not Available,Not Available,Not Available,18301.0,Not Available,Not Available,Not Available,100,Not Available,No,Existing,Not Available,Not Available,-73.919387,114.2,Not Available,Not Available
3124300,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.647459,Not Available,Not Available,80250,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,214869,Not Available,6194022.4,Not Available,50002.0,Not Available,Not Available,4745819.3,89,Not Available,No,Existing,Not Available,Not Available,-73.9752,76.2,Not Available,Not Available
1086215,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.800833,Not Available,Not Available,120456,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,736880.9,Not Available,14613738.4,Not Available,184.0,Not Available,Not Available,9841093.4,46,"Block and Lot Number
1-01623-7501",No,Existing,Not Available,Not Available,-73.944218,120.7,Not Available,Not Available
3397665 ; 3193141,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.59811,Not Available,Not Available,41000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,89616,Not Available,2062784.1,Not Available,392.0,Not Available,Not Available,1448516.7,100,BIN#  3193141 is an obsolete BIN that was linked to the BBL.,No,Existing,Not Available,Not Available,-73.962878,49.5,Not Available,Not Available
3197060,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.603458,Not Available,Not Available,81032,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,236883,Not Available,7789130.2,Not Available,560.0,Not Available,Not Available,6121720.3,67,Not Available,No,Existing,Not Available,Not Available,-73.952172,95.9,Not Available,Not Available
1017600,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,7000,Not Available,Not Applicable: Standalone Property,Not Available,40.751723,Not Available,Not Available,95683,206.71,Not Available,0,0,Not Available,Not Available,Not Available,Ok,610429.9,Not Available,8597027,Not Available,82.0,100,Not Available,4820610.2,91,Not Available,No,Existing,65,Not Available,-73.980716,87.2,Not Available,Not Available
3216521,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.627538,Not Available,Not Available,29152,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,173967,Not Available,2429222.5,Not Available,730.0,Not Available,Not Available,1338957.5,82,Not Available,No,Existing,Not Available,Not Available,-73.925622,83.5,Not Available,Not Available
201,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.87033,Not Available,Not Available,28555,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,103070,Not Available,2081960,Not Available,415.0,Not Available,Not Available,1450595.1,98,Not Available,No,Existing,Not Available,Not Available,-73.883108,73.9,Not Available,Not Available
3037309,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.669081,Not Available,Not Available,89562,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,268223,Not Available,10211979.2,Not Available,35301.0,Not Available,Not Available,8200399.7,56,3-01389-0072,No,Existing,Not Available,Not Available,-73.936145,111.6,Not Available,Not Available
4301173,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,1750,Not Available,Not Applicable: Standalone Property,2625,40.598986,Not Available,Not Available,85814,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,431238,Not Available,12369100.6,Not Available,99801.0,Not Available,Not Available,9327789,29,4-15771-0064,No,Existing,Not Available,Not Available,-73.756702,142.4,Not Available,Not Available
1006999,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Trenkmann,Not Available,40.720549,Not Available,Not Available,30718,54,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,184452,Not Available,1743867.4,Not Available,45.0,100,Not Available,629809.8,93,Oil is consumed and entered at the parent level.,No,Existing,50,Not Available,-73.998618,57.7,Not Available,Not Available
1015142,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,5600,Not Available,Not Applicable: Standalone Property,Not Available,40.747138,Not Available,Not Available,75822,163.68,Not Available,0,0,Not Available,Not Available,Not Available,Ok,511098.9,Not Available,4882835.4,Not Available,95.0,100,Not Available,1743869.8,96,Not Available,Yes,Existing,65,Not Available,-73.99118,64.4,Not Available,Not Available
5001173,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.644895,Not Available,Not Available,38915,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,0,Not Available,0,Not Available,7.0,Not Available,Not Available,0,Not Available,This building is vacant with no energy consumption.,No,Existing,Not Available,Not Available,-74.087341,0,Not Available,Not Available
3031004,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.675079,Not Available,Not Available,70097,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,217909,Not Available,6841827.9,Not Available,31701.0,Not Available,Not Available,5307606.5,82,Gas Cooking meter excluded from Metrics,No,Existing,Not Available,Not Available,-73.947859,95.7,Not Available,Not Available
1015828,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.747634,Not Available,Not Available,113000,60,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,837832.9,Not Available,Not Available,Not Available,76.0,100,Not Available,Not Available,73,Not Available,No,Existing,45,Not Available,-73.986654,104.7,Not Available,Not Available
4029564,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.751113,Not Available,Not Available,94990,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,200273,Not Available,7247912.5,Not Available,287.0,Not Available,Not Available,5804830.7,94,Not Available,No,Existing,Not Available,Not Available,-73.890994,75.3,Not Available,Not Available
1064338,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,66732,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,206710,Not Available,5803277,Not Available,,Not Available,Not Available,4384161.2,78,Not Available,No,Existing,Not Available,Not Available,,87.8,Not Available,Not Available
4113237,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.765183,Not Available,Not Available,140000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,486712.9,Not Available,17344624.4,Not Available,116301.0,Not Available,Not Available,13846609.4,47,Not Available,No,Existing,Not Available,Not Available,-73.819089,122.3,Not Available,Not Available
3029717,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.66758,Not Available,Not Available,54570,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,178408,Not Available,6329914.1,Not Available,213.0,Not Available,Not Available,5043237,66,3-01189-0068,No,Existing,Not Available,Not Available,-73.961293,114.4,Not Available,Not Available
1037840,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.753686,Not Available,Not Available,84744,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,532651.9,Not Available,7150629.8,Not Available,90.0,Not Available,Not Available,3555363.4,81,"Block and Lot Number
1-01320-7502",No,Existing,Not Available,Not Available,-73.971547,83.5,Not Available,Not Available
2014757,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Applicable: Standalone Property,5500,40.863664,Not Available,Not Available,87954,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,393340,Not Available,8120783.1,Not Available,263.0,Not Available,Not Available,5575016.7,81,Not Available,Yes,Existing,Not Available,Not Available,-73.907437,92,Not Available,Not Available
3070523,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.71443,Not Available,Not Available,83600,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,4497,Not Available,74264.6,Not Available,44902.0,Not Available,Not Available,45155.3,100,Not Available,No,Existing,Not Available,Not Available,-73.930474,0.9,Not Available,Not Available
2017059,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.868591,Not Available,Not Available,30780,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,146576,Not Available,5227329.2,Not Available,40501.0,Not Available,Not Available,4166689.4,17,Not Available,No,Existing,Not Available,Not Available,-73.889601,167.6,Not Available,Not Available
1081151;1081152,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.759432,Not Available,Not Available,230654,Not Available,Not Available,Not Available,0,230654,Not Available,Not Available,Ok,3233333.8,Not Available,32013901.3,Not Available,102.0,Not Available,Not Available,12102536.2,86,Not Available,No,Existing,Not Available,Not Available,-73.975415,138.8,Not Available,Not Available
1017221,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,6025,Not Available,Not Applicable: Standalone Property,Not Available,40.750131,Not Available,Not Available,155588,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,972794.9,Not Available,17111461.5,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",82.0,Not Available,Not Available,10927106.5,Not Available,"Block and Lot Number
1-00867-0057",No,Existing,Not Available,Not Available,-73.981247,109.7,Not Available,Not Available
2002904,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.826118,Not Available,Not Available,92400,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,316729.9,Not Available,8031223.6,Not Available,6301.0,Not Available,Not Available,5888179.9,86,2-02474-0028,No,Existing,Not Available,Not Available,-73.924757,86.3,Not Available,Not Available
2090377,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.860342,Not Available,Not Available,70400,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,258314,Not Available,7496094.6,Not Available,257.0,Not Available,Not Available,5726196.5,61,Not Available,No,Existing,Not Available,Not Available,-73.913674,105.6,Not Available,Not Available
4031219,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.745222,Not Available,Not Available,46765,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,260821,Not Available,5522596.7,Not Available,249.0,Not Available,Not Available,3944947.1,34,Not Available,No,Existing,Not Available,Not Available,-73.905634,122,Not Available,Not Available
1084394,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Morton Barrow Condo,Not Available,40.730894,Not Available,Not Available,40215,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,281108,Not Available,6427237.8,Not Available,67.0,Not Available,Not Available,4570304.6,17,Not Available,No,Existing,Not Available,Not Available,-74.006166,157.7,Not Available,Not Available
1057087,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.797382,Not Available,Not Available,47851,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,163904.1,Not Available,Not Available,Not Available,187.0,Not Available,Not Available,Not Available,76,Not Available,No,Existing,Not Available,Not Available,-73.972233,93.3,Not Available,Not Available
3063218,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.708901,Not Available,Not Available,27774,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,150599,Not Available,4101340.8,Not Available,527.0,Not Available,Not Available,3071841.9,51,Excluded Gas Cooking Meter,No,Existing,Not Available,Not Available,-73.951036,146,Not Available,Not Available
1079085 ; 1079084,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.721041,Not Available,Not Available,44203,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,324560,Not Available,5914849.1,Not Available,18.0,Not Available,Not Available,3787525.1,35,Not Available,No,Existing,Not Available,Not Available,-73.993744,132.4,Not Available,Not Available
2017620,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.87185,Not Available,Not Available,75121,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,250318,Not Available,8094478.3,Not Available,40702.0,Not Available,Not Available,6325421.9,57,Not Available,No,Existing,Not Available,Not Available,-73.888146,106.6,Not Available,Not Available
