violationid,censustract,lowhousenumber,originalcorrectbydate,zip,inspectiondate,violationstatus,block,streetname,housenumber,novissueddate,currentstatus,communityboard,rentimpairing,newcorrectbydate
10305393,359.0,1351,2014-08-18T00:00:00.000,11233,2014-07-10T00:00:00.000,Close,1393,EASTERN PARKWAY,1351,2014-07-14T00:00:00.000,VIOLATION CLOSED,8.0,N,
10617862,273.0,2840,2015-04-13T00:00:00.000,10463,2015-03-06T00:00:00.000,Close,3259,BAILEY AVENUE,2840,2015-03-09T00:00:00.000,VIOLATION CLOSED,8.0,N,
11674091,,22 FRON,2017-06-05T00:00:00.000,11206,2017-03-01T00:00:00.000,Close,3031,STAGG STREET,22 FRONT,2017-03-02T00:00:00.000,VIOLATION CLOSED,,N,
10360443,1126.0,565,2014-12-02T00:00:00.000,11207,2014-08-26T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-08-29T00:00:00.000,VIOLATION CLOSED,5.0,N,
10513909,255.0,273,2015-02-27T00:00:00.000,10032,2015-01-21T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-01-23T00:00:00.000,VIOLATION CLOSED,12.0,N,
11273028,396.0,740,2016-09-19T00:00:00.000,10467,2016-06-13T00:00:00.000,Close,4669,EAST 222 STREET,740,2016-06-16T00:00:00.000,VIOLATION DISMISSED,12.0,N,
10510861,51602.0,2201,2015-01-18T00:00:00.000,11226,2015-01-17T00:00:00.000,Close,5186,DITMAS AVENUE,2211,2015-01-20T00:00:00.000,VIOLATION DISMISSED,14.0,Y,
10467902,21.0,101,2014-12-17T00:00:00.000,10304,2014-12-05T00:00:00.000,Close,521,WRIGHT STREET,101,2014-12-09T00:00:00.000,VIOLATION CLOSED,1.0,N,
10630503,20502.0,226,2015-04-22T00:00:00.000,10453,2015-03-13T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2015-03-18T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10026635,239.0,2208,2014-02-10T00:00:00.000,10453,2013-11-04T00:00:00.000,Close,3181,WALTON AVENUE,2208,2013-11-07T00:00:00.000,VIOLATION CLOSED,5.0,N,
10256130,22302.0,3333C,2014-07-02T00:00:00.000,10031,2014-05-23T00:00:00.000,Close,2001,BROADWAY,3333C,2014-05-28T00:00:00.000,VIOLATION CLOSED,9.0,N,
10061456,325.0,1700,2013-12-21T00:00:00.000,11225,2013-12-10T00:00:00.000,Close,1302,BEDFORD AVENUE,1700,2013-12-13T00:00:00.000,VIOLATION CLOSED,9.0,N,
10299683,,22 FRON,2014-10-11T00:00:00.000,11206,2014-07-02T00:00:00.000,Close,3031,STAGG STREET,22 FRONT,2014-07-08T00:00:00.000,VIOLATION CLOSED,,N,
10335966,22302.0,3333D,2014-11-11T00:00:00.000,10031,2014-08-04T00:00:00.000,Close,2001,BROADWAY,3333D,2014-08-08T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10482245,231.0,1812,2015-01-03T00:00:00.000,10457,2014-12-19T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-12-26T00:00:00.000,VIOLATION CLOSED,5.0,N,
10589629,20502.0,226,2015-04-03T00:00:00.000,10453,2015-02-25T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2015-02-27T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10154301,175.0,1076,2014-02-28T00:00:00.000,10456,2014-02-27T00:00:00.000,Close,2433,FINDLAY AVENUE,1076,2014-02-28T00:00:00.000,VIOLATION CLOSED,4.0,Y,
10293813,233.0,718,2014-07-29T00:00:00.000,10031,2014-06-27T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-07-01T00:00:00.000,VIOLATION CLOSED,9.0,N,2014-08-12T00:00:00.000
10347755,39901.0,2567,2014-09-15T00:00:00.000,10458,2014-08-16T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10071087,108.0,111-20,2014-01-24T00:00:00.000,11419,2013-12-18T00:00:00.000,Close,9429,101 AVENUE,111-20,2013-12-20T00:00:00.000,VIOLATION CLOSED,9.0,N,
10121551,231.0,1812,2014-03-04T00:00:00.000,10457,2014-01-31T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-02-04T00:00:00.000,VIOLATION CLOSED,5.0,N,2014-03-18T00:00:00.000
10090161,216.0,40,2014-04-19T00:00:00.000,10026,2014-01-08T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-01-14T00:00:00.000,VIOLATION CLOSED,10.0,N,
10007776,22902.0,1661,2013-11-22T00:00:00.000,10457,2013-10-16T00:00:00.000,Close,2794,EASTBURN AVENUE,1663,2013-10-18T00:00:00.000,VIOLATION DISMISSED,4.0,N,
10179610,255.0,273,2014-04-25T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,N,
11674049,,22 FRON,2017-06-05T00:00:00.000,11206,2017-03-01T00:00:00.000,Open,3031,STAGG STREET,22 FRONT,2017-03-02T00:00:00.000,NOV CERTIFIED LATE,,N,
10626782,231.0,1812,2015-04-20T00:00:00.000,10457,2015-03-11T00:00:00.000,Close,2891,CLAY AVENUE,1812,2015-03-16T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10302885,406.0,873,2014-08-15T00:00:00.000,10466,2014-07-09T00:00:00.000,Close,4853,EAST 228 STREET,873,2014-07-11T00:00:00.000,VIOLATION CLOSED,12.0,N,
10096720,100.0,5203,2014-02-20T00:00:00.000,11220,2014-01-14T00:00:00.000,Close,808,5 AVENUE,5203,2014-01-16T00:00:00.000,VIOLATION CLOSED,7.0,N,2014-03-22T00:00:00.000
14439432,321.0,377,2021-08-20T00:00:00.000,11225,2021-07-14T00:00:00.000,Close,1296,MONTGOMERY STREET,377,2021-07-16T00:00:00.000,VIOLATION CLOSED,9.0,N,
10292044,233.0,718,2014-10-04T00:00:00.000,10031,2014-06-27T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-07-01T00:00:00.000,VIOLATION CLOSED,9.0,N,
10630448,20502.0,226,2015-04-21T00:00:00.000,10453,2015-03-13T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2015-03-17T00:00:00.000,VIOLATION CLOSED,5.0,N,
10783845,271.0,600,2015-08-24T00:00:00.000,10033,2015-07-15T00:00:00.000,Close,2166,WEST 187 STREET,600,2015-07-20T00:00:00.000,VIOLATION CLOSED,12.0,N,
10096707,100.0,5203,2014-02-20T00:00:00.000,11220,2014-01-14T00:00:00.000,Close,808,5 AVENUE,5203,2014-01-16T00:00:00.000,VIOLATION CLOSED,7.0,N,2014-03-22T00:00:00.000
10104964,71.0,57,2014-01-31T00:00:00.000,10014,2014-01-22T00:00:00.000,Close,613,GREENWICH AVENUE,57,2014-01-23T00:00:00.000,VIOLATION CLOSED,2.0,N,
12200015,101004.0,120,2018-02-26T00:00:00.000,11691,2018-01-18T00:00:00.000,Close,15638,BEACH 19 STREET,120,2018-01-22T00:00:00.000,VIOLATION CLOSED,14.0,N,
10139040,204.0,105-17,2014-02-17T00:00:00.000,11435,2014-02-16T00:00:00.000,Close,10044,PINEGROVE STREET,105-17,2014-02-18T00:00:00.000,VIOLATION CLOSED,12.0,N,
10600720,,144rear,,10002,2015-03-02T00:00:00.000,Close,411,LUDLOW STREET,144REAR,,VIOLATION DISMISSED,,N,
10121330,20502.0,226,2014-05-11T00:00:00.000,10453,2014-02-03T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-02-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10204245,22302.0,3333A,2014-05-19T00:00:00.000,10031,2014-04-09T00:00:00.000,Close,2001,BROADWAY,3333A,2014-04-14T00:00:00.000,VIOLATION CLOSED,9.0,N,
10269876,233.0,718,2014-07-14T00:00:00.000,10031,2014-06-07T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-06-09T00:00:00.000,VIOLATION CLOSED,9.0,N,
10015073,325.0,1700,2013-11-29T00:00:00.000,11225,2013-10-23T00:00:00.000,Close,1302,BEDFORD AVENUE,1700,2013-10-25T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10286401,39901.0,2567,2014-07-31T00:00:00.000,10458,2014-06-23T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-06-26T00:00:00.000,VIOLATION CLOSED,7.0,N,
10048026,22302.0,3333D,2014-01-07T00:00:00.000,10031,2013-11-25T00:00:00.000,Close,2001,BROADWAY,3333D,2013-12-03T00:00:00.000,VIOLATION CLOSED,9.0,N,
10420340,216.0,40,2014-10-29T00:00:00.000,10026,2014-10-16T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-10-21T00:00:00.000,VIOLATION CLOSED,10.0,N,
10054288,1126.0,565,2014-03-10T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10513872,255.0,273,2015-04-28T00:00:00.000,10032,2015-01-21T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-01-23T00:00:00.000,VIOLATION CLOSED,12.0,N,
10335957,22302.0,3333D,2014-11-11T00:00:00.000,10031,2014-08-04T00:00:00.000,Close,2001,BROADWAY,3333D,2014-08-08T00:00:00.000,VIOLATION CLOSED,9.0,N,
10375128,868.0,397,2014-12-14T00:00:00.000,11203,2014-09-07T00:00:00.000,Open,4675,EAST 49 STREET,397,2014-09-10T00:00:00.000,NOT COMPLIED WITH,17.0,N,
10346397,39901.0,2567,2014-09-22T00:00:00.000,10458,2014-08-10T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10050703,1126.0,565,2014-01-09T00:00:00.000,11207,2013-11-29T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2013-12-05T00:00:00.000,VIOLATION CLOSED,5.0,N,
10035589,23301.0,16,2013-12-23T00:00:00.000,10453,2013-11-13T00:00:00.000,Close,2852,EAST 177 STREET,16,2013-11-18T00:00:00.000,VIOLATION CLOSED,5.0,N,
13057392,231.0,454,2019-06-13T00:00:00.000,10031,2019-05-07T00:00:00.000,Open,2060,WEST 146 STREET,454,2019-05-09T00:00:00.000,NOT COMPLIED WITH,9.0,N,
10014966,391.0,2236,2013-12-04T00:00:00.000,10457,2013-10-10T00:00:00.000,Close,3071,ADAMS PLACE,2238,2013-10-30T00:00:00.000,VIOLATION CLOSED,6.0,N,
10223787,233.0,718,2014-05-28T00:00:00.000,10031,2014-04-17T00:00:00.000,Close,2096,RIVERSIDE DRIVE,720,2014-04-30T00:00:00.000,VIOLATION CLOSED,9.0,N,
10520503,216.0,40,2015-03-06T00:00:00.000,10026,2015-01-28T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2015-01-30T00:00:00.000,VIOLATION DISMISSED,10.0,N,
10520505,216.0,40,2015-05-05T00:00:00.000,10026,2015-01-28T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2015-01-30T00:00:00.000,VIOLATION DISMISSED,10.0,N,
10067030,251.0,41-28,2014-01-21T00:00:00.000,11377,2013-12-13T00:00:00.000,Close,1323,55 STREET,41-28,2013-12-17T00:00:00.000,VIOLATION CLOSED,2.0,N,
10548696,231.0,1812,2015-03-16T00:00:00.000,10457,2015-02-07T00:00:00.000,Close,2891,CLAY AVENUE,1812,2015-02-09T00:00:00.000,VIOLATION CLOSED,5.0,N,
10010132,374.0,3230,2013-11-25T00:00:00.000,10467,2013-10-17T00:00:00.000,Close,4597,CRUGER AVENUE,3230,2013-10-21T00:00:00.000,VIOLATION DISMISSED,12.0,N,
10027252,22302.0,3333A,2013-12-12T00:00:00.000,10031,2013-11-01T00:00:00.000,Close,2001,BROADWAY,3333A,2013-11-07T00:00:00.000,VIOLATION CLOSED,9.0,N,
10111920,391.0,2350,2014-03-05T00:00:00.000,10458,2014-01-27T00:00:00.000,Close,3103,BEAUMONT AVENUE,2350,2014-01-29T00:00:00.000,VIOLATION CLOSED,6.0,N,
12216419,101004.0,120,2018-03-06T00:00:00.000,11691,2018-01-29T00:00:00.000,Close,15638,BEACH 19 STREET,120,2018-01-30T00:00:00.000,VIOLATION CLOSED,14.0,N,
10200183,7.0,28,2014-05-14T00:00:00.000,11201,2014-04-07T00:00:00.000,Close,258,COLUMBIA PLACE,28,2014-04-09T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10053376,423.0,3400,2014-01-01T00:00:00.000,10467,2013-11-27T00:00:00.000,Close,3343,TRYON AVENUE,3400,2013-12-04T00:00:00.000,VIOLATION CLOSED,7.0,N,
10040164,325.0,1700,2014-02-24T00:00:00.000,11225,2013-11-19T00:00:00.000,Close,1302,BEDFORD AVENUE,1700,2013-11-21T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10774332,1522.0,697,2015-10-12T00:00:00.000,11218,2015-07-07T00:00:00.000,Close,5141,CONEY ISLAND AVENUE,697,2015-07-09T00:00:00.000,VIOLATION CLOSED,14.0,N,
10001778,460.0,90-19,2013-11-15T00:00:00.000,11432,2013-10-10T00:00:00.000,Close,9802,169 STREET,90-19,2013-10-11T00:00:00.000,VIOLATION DISMISSED,12.0,N,
10179538,255.0,273,2014-04-25T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,N,
10345447,39901.0,2567,2014-09-22T00:00:00.000,10458,2014-08-10T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10414705,216.0,40,2015-01-17T00:00:00.000,10026,2014-10-08T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-10-14T00:00:00.000,VIOLATION CLOSED,10.0,N,
10254763,1126.0,565,2014-06-24T00:00:00.000,11207,2014-05-21T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-05-27T00:00:00.000,VIOLATION CLOSED,5.0,N,
10386320,51602.0,2201,2014-12-23T00:00:00.000,11226,2014-09-17T00:00:00.000,Close,5186,DITMAS AVENUE,2211,2014-09-19T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10179605,255.0,273,2014-03-29T00:00:00.000,10032,2014-03-19T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-21T00:00:00.000,VIOLATION CLOSED,12.0,Y,
10193909,419.0,324,2014-05-09T00:00:00.000,11221,2014-04-01T00:00:00.000,Close,3305,CENTRAL AVENUE,324,2014-04-04T00:00:00.000,VIOLATION CLOSED,4.0,N,
10251091,269.0,2545,2014-06-26T00:00:00.000,10468,2014-05-21T00:00:00.000,Close,3237,SEDGWICK AVENUE,2545,2014-05-22T00:00:00.000,VIOLATION CLOSED,7.0,N,
10200186,7.0,28,2014-05-14T00:00:00.000,11201,2014-04-07T00:00:00.000,Close,258,COLUMBIA PLACE,28,2014-04-09T00:00:00.000,VIOLATION DISMISSED,2.0,N,
10573400,1122.0,770,,11207,2015-02-20T00:00:00.000,Close,4305,HENDRIX STREET,770,,VIOLATION DISMISSED,5.0,N,
10084905,387.0,2366,2014-02-10T00:00:00.000,10458,2014-01-04T00:00:00.000,Open,3054,LORILLARD PLACE,2366,2014-01-06T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,6.0,N,
10128083,269.0,2545,2014-03-10T00:00:00.000,10468,2014-01-29T00:00:00.000,Close,3237,SEDGWICK AVENUE,2545,2014-02-10T00:00:00.000,VIOLATION CLOSED,7.0,N,
10413182,216.0,40,,10026,2014-10-09T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,,VIOLATION CLOSED,10.0,N,
10400667,216.0,40,2014-10-10T00:00:00.000,10026,2014-09-26T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-10-02T00:00:00.000,VIOLATION CLOSED,10.0,N,
10541400,14901.0,388,,11215,2015-02-05T00:00:00.000,Close,1036,13 STREET,388,,VIOLATION DISMISSED,6.0,N,
10026229,223.0,1423,2013-12-17T00:00:00.000,10452,2013-11-03T00:00:00.000,Close,2843,WYTHE PLACE,1425,2013-11-12T00:00:00.000,VIOLATION CLOSED,4.0,N,
10042122,1150.0,2349,2013-11-30T00:00:00.000,11207,2013-11-20T00:00:00.000,Close,3999,PITKIN AVENUE,2349,2013-11-22T00:00:00.000,VIOLATION CLOSED,5.0,N,
10133504,1126.0,565,2014-02-22T00:00:00.000,11207,2014-02-07T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-02-14T00:00:00.000,VIOLATION CLOSED,5.0,N,
10187466,229.0,520,2014-04-08T00:00:00.000,10031,2014-03-26T00:00:00.000,Close,2076,WEST 145 STREET,520,2014-03-31T00:00:00.000,VIOLATION CLOSED,9.0,Y,
10205786,916.0,518,2014-07-19T00:00:00.000,11212,2014-04-11T00:00:00.000,Close,3612,BRISTOL STREET,518,2014-04-15T00:00:00.000,VIOLATION CLOSED,16.0,N,
10171031,216.0,40,2014-04-21T00:00:00.000,10026,2014-03-12T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-03-17T00:00:00.000,VIOLATION CLOSED,10.0,N,
10051387,145.0,225,2014-01-10T00:00:00.000,11232,2013-11-21T00:00:00.000,Close,646,23 STREET,225,2013-12-06T00:00:00.000,VIOLATION CLOSED,7.0,N,
10094474,54.0,1251,2014-01-22T00:00:00.000,10472,2014-01-12T00:00:00.000,Close,3771,WHEELER AVENUE,1251,2014-01-14T00:00:00.000,VIOLATION CLOSED,9.0,N,
10113250,28501.0,308,2014-01-29T00:00:00.000,11206,2014-01-28T00:00:00.000,Close,1579,ELLERY STREET,308,2014-01-30T00:00:00.000,VIOLATION CLOSED,3.0,Y,
10387317,20502.0,226,2014-10-27T00:00:00.000,10453,2014-09-18T00:00:00.000,Close,2877,WEST TREMONT AVENUE,226,2014-09-22T00:00:00.000,VIOLATION CLOSED,5.0,N,
10113270,28501.0,308,2014-02-08T00:00:00.000,11206,2014-01-28T00:00:00.000,Close,1579,ELLERY STREET,308,2014-01-31T00:00:00.000,VIOLATION CLOSED,3.0,N,
10308537,39901.0,2567,2014-10-19T00:00:00.000,10458,2014-07-14T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-07-16T00:00:00.000,VIOLATION DISMISSED,7.0,N,
10467912,21.0,101,2014-12-17T00:00:00.000,10304,2014-12-05T00:00:00.000,Close,521,WRIGHT STREET,101,2014-12-09T00:00:00.000,VIOLATION CLOSED,1.0,N,
10221132,28501.0,308,2014-06-02T00:00:00.000,11206,2014-04-25T00:00:00.000,Close,1579,ELLERY STREET,308,2014-04-28T00:00:00.000,VIOLATION CLOSED,3.0,N,
10011317,420.0,633,2013-11-29T00:00:00.000,10466,2013-10-19T00:00:00.000,Close,4994,EAST 233 STREET,633,2013-10-25T00:00:00.000,VIOLATION CLOSED,12.0,N,
10121550,231.0,1812,2014-03-04T00:00:00.000,10457,2014-01-31T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-02-04T00:00:00.000,VIOLATION CLOSED,5.0,N,2014-03-18T00:00:00.000
10347770,39901.0,2567,2014-09-15T00:00:00.000,10458,2014-08-16T00:00:00.000,Close,3275,DECATUR AVENUE,2567,2014-08-18T00:00:00.000,VIOLATION CLOSED,7.0,N,
10200203,7.0,28,2014-07-13T00:00:00.000,11201,2014-04-07T00:00:00.000,Close,258,COLUMBIA PLACE,28,2014-04-09T00:00:00.000,VIOLATION CLOSED,2.0,N,
10096719,100.0,5203,2014-02-20T00:00:00.000,11220,2014-01-14T00:00:00.000,Close,808,5 AVENUE,5203,2014-01-16T00:00:00.000,VIOLATION CLOSED,7.0,N,2014-03-22T00:00:00.000
12434698,514.0,287,2018-07-24T00:00:00.000,11226,2018-06-15T00:00:00.000,Close,5149,EAST 18 STREET,287,2018-06-19T00:00:00.000,VIOLATION CLOSED,14.0,N,
10241462,7.0,8,2014-06-19T00:00:00.000,11201,2014-05-12T00:00:00.000,Close,258,COLUMBIA PLACE,8,2014-05-15T00:00:00.000,VIOLATION CLOSED,2.0,N,
10149675,36501.0,2016,2014-04-02T00:00:00.000,10460,2014-02-24T00:00:00.000,Close,3117,MARMION AVENUE,2016,2014-02-26T00:00:00.000,VIOLATION CLOSED,6.0,Y,
10045424,286.0,2076,2014-01-03T00:00:00.000,11214,2013-11-24T00:00:00.000,Close,6489,20 LANE,2076,2013-11-29T00:00:00.000,VIOLATION DISMISSED,11.0,N,
10062337,40304.0,2721,2014-01-20T00:00:00.000,10468,2013-12-11T00:00:00.000,Close,3317,MORRIS AVENUE,2721,2013-12-16T00:00:00.000,VIOLATION CLOSED,7.0,N,
10262010,1126.0,565,2014-07-07T00:00:00.000,11207,2014-05-31T00:00:00.000,Close,3821,RIVERDALE AVENUE,575,2014-06-02T00:00:00.000,VIOLATION CLOSED,5.0,N,
10023966,22302.0,3333D,2014-02-07T00:00:00.000,10031,2013-10-31T00:00:00.000,Close,2001,BROADWAY,3333D,2013-11-04T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10774324,1522.0,697,2015-10-12T00:00:00.000,11218,2015-07-07T00:00:00.000,Close,5141,CONEY ISLAND AVENUE,697,2015-07-09T00:00:00.000,VIOLATION CLOSED,14.0,N,
10220669,28501.0,308,2014-06-03T00:00:00.000,11206,2014-04-25T00:00:00.000,Close,1579,ELLERY STREET,308,2014-04-29T00:00:00.000,VIOLATION CLOSED,3.0,N,
10066973,251.0,41-28,2013-12-25T00:00:00.000,11377,2013-12-13T00:00:00.000,Close,1323,55 STREET,41-28,2013-12-17T00:00:00.000,VIOLATION CLOSED,2.0,N,
10263731,39.0,513,2014-07-09T00:00:00.000,10454,2014-06-02T00:00:00.000,Open,2266,EAST 138 STREET,513,2014-06-04T00:00:00.000,FIRST NO ACCESS TO RE- INSPECT VIOLATION,1.0,N,
10026235,223.0,1423,2013-11-20T00:00:00.000,10452,2013-11-03T00:00:00.000,Close,2843,WYTHE PLACE,1425,2013-11-12T00:00:00.000,VIOLATION CLOSED,4.0,Y,
10201128,91.0,25-37,2014-05-19T00:00:00.000,11102,2014-04-07T00:00:00.000,Open,899,14 STREET,25-37,2014-04-14T00:00:00.000,NOV SENT OUT,1.0,N,
10054881,255.0,273,2013-12-14T00:00:00.000,10032,2013-12-04T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2013-12-06T00:00:00.000,VIOLATION CLOSED,12.0,N,
10118584,231.0,1812,2014-03-11T00:00:00.000,10457,2014-01-31T00:00:00.000,Close,2891,CLAY AVENUE,1812,2014-02-04T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10375187,868.0,397,2014-10-15T00:00:00.000,11203,2014-09-07T00:00:00.000,Close,4675,EAST 49 STREET,397,2014-09-10T00:00:00.000,VIOLATION CLOSED,17.0,N,
10091752,79602.0,49,2014-04-19T00:00:00.000,11226,2014-01-09T00:00:00.000,Close,5064,LENOX ROAD,55,2014-01-14T00:00:00.000,VIOLATION DISMISSED,14.0,N,
10010972,309.0,110,2014-01-24T00:00:00.000,10463,2013-10-19T00:00:00.000,Close,2215,TERRACE VIEW AVENUE,110,2013-10-21T00:00:00.000,VIOLATION CLOSED,8.0,N,
10038627,232.0,112,2014-02-24T00:00:00.000,10030,2013-11-16T00:00:00.000,Close,2012,WEST 144 STREET,112,2013-11-21T00:00:00.000,VIOLATION DISMISSED,10.0,N,
10289786,396.0,864,2014-08-04T00:00:00.000,10467,2014-06-25T00:00:00.000,Close,4679,EAST 221 STREET,864,2014-06-30T00:00:00.000,VIOLATION CLOSED,12.0,N,
13100756,376.0,3331,2019-09-08T00:00:00.000,10467,2019-05-31T00:00:00.000,Close,4623,OLINVILLE AVENUE,3331,2019-06-05T00:00:00.000,VIOLATION CLOSED,12.0,N,
10626784,231.0,1812,2015-04-20T00:00:00.000,10457,2015-03-11T00:00:00.000,Close,2891,CLAY AVENUE,1812,2015-03-16T00:00:00.000,VIOLATION DISMISSED,5.0,N,
10171811,255.0,273,2014-04-21T00:00:00.000,10032,2014-03-12T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2014-03-17T00:00:00.000,VIOLATION CLOSED,12.0,N,
11273010,396.0,740,2016-07-21T00:00:00.000,10467,2016-06-13T00:00:00.000,Close,4669,EAST 222 STREET,740,2016-06-16T00:00:00.000,VIOLATION CLOSED,12.0,N,
10617654,255.0,273,2015-04-13T00:00:00.000,10032,2015-03-06T00:00:00.000,Close,2139,FT WASHINGTON AVENUE,273,2015-03-09T00:00:00.000,VIOLATION CLOSED,12.0,N,
10023965,22302.0,3333D,2014-02-07T00:00:00.000,10031,2013-10-31T00:00:00.000,Close,2001,BROADWAY,3333D,2013-11-04T00:00:00.000,VIOLATION DISMISSED,9.0,N,
10092632,387.0,2366,2014-02-10T00:00:00.000,10458,2014-01-09T00:00:00.000,Open,3054,LORILLARD PLACE,2366,2014-01-13T00:00:00.000,DEFECT LETTER ISSUED,6.0,N,
10056163,231.0,1812,2014-01-03T00:00:00.000,10457,2013-11-29T00:00:00.000,Close,2891,CLAY AVENUE,1812,2013-12-06T00:00:00.000,VIOLATION CLOSED,5.0,N,
10420337,216.0,40,2014-10-29T00:00:00.000,10026,2014-10-16T00:00:00.000,Close,1822,ST NICHOLAS AVENUE,40,2014-10-21T00:00:00.000,VIOLATION CLOSED,10.0,N,
