dbn,school_name,phone_number,website,partner_hospital,priority01,partner_cbo,school_sports,priority04,addtl_info2,ell_programs,online_language_courses,priority05,partner_cultural,school_accessibility_description,partner_highered
08X320,Pelham Lab High School,718-904-5090,http://schools.nyc.gov/schoolportals/08/X320,,Priority to Bronx students or residents who attend an information session,"Huntington Free Library, Albert Einstein Medical College",,Then to New York City residents,Community Service Requirement,ESL,"French, Spanish",,,Functionally Accessible,
09X543,High School for Violin and Dance,718-842-0687,www.hsvd.org,,Priority to Bronx students or residents who attend an information session,McGraw Hill - Big Brother Big Sister,Morris Educational Campus Basketball and Volleyball,Then to New York City residents,"Student Summer Orientation, Summer Internship Program offered",ESL,,,Bronx Arts Ensemble,Functionally Accessible,"Hostos Community College, Monroe College, Teachers College"
29Q243,Institute for Health Professions at Cambria Heights,718-723-7301,www.ihpch.org,North Shore-LIJ Health System and Center for Learning and Innovation provide students with opportunities to participate in simulations and complete rotations in NSLIJ ambulances and long-term facilities.,Priority to Queens students or residents who attend an information session,,,Then to New York City residents,,ESL,,,,Functionally Accessible,Hofstra University and Hofstra North Shore-LIJ School of Medicine will help ensure that students are prepared for college and expose students to the opportunities that a college education presents.
26Q435,Martin Van Buren High School,718-776-4728,www.mvbhigh.com,"Long Island Jewish Medical Center, Cornell Medical Center, and LIJ North Shore University Hospital",Priority to Queens students or residents,"Queens Public Library, Police Athletic League (PAL), 105th Precinct Explorer Program, Young Men’s Hebrew Association (YMHA), Young Men’s Christian Association (YMCA), Outreach Project, Anti- Defamation League (ADL), Central Y-ACE Program, SNAP (Supplemental Nutrition Assistance Program)Senior Center, North Shore Animal Shelter, College Now, High School/ College Credited Programs, Summer Search",,,Student Summer Orientation,ESL,,,,Not Functionally Accessible,"St. John's University, John Jay College of Criminal Justice, Hunter College, Hofstra University, York College, Queensborough Community College, and Monroe College"
07X473,Mott Haven Village Preparatory High School,718-402-0571,http://schools.nyc.gov/schoolportals/07/X473,"Lincoln Hospital, Montefiore Medical Center (Clinic), Bronx-Lebanon Hospital",Priority to Bronx students or residents who attend an information sesssion,East Side House Settlement,"Intramural Sports, Physical Fitness Team",Then to New York City residents,Extended Day Program,ESL,,,"The Metropolitan Museum of Art, Community Works, Alvin Ailey American Dance Theater, Urban Word Company, Urban Arts Partnership",Not Functionally Accessible,"Hunter College, Teachers College/Columbia University, Hostos Community College, Lehman College, The New School/Eugene Lang College"
02M580,Richard R. Green High School of Teaching,646-826-8174,http://schools.nyc.gov/schoolportals/02/M580,,Open to New York City residents,"The Future Project, New York City Writing Project at Lehman College, Trinity Church, Sponsors for Educational Opportunity (SEO), ScriptEd.",,,,ESL,,,,Functionally Accessible,"City College of New York, Hunter College College Now Program, New York University, Williams College Urban Scholars, Roger Williams University, Skidmore College, Paul Smith's College"
12X511,Bronx Envision Academy,718-589-1590,www.BronxEnvision.org,,Priority to Bronx students or residents who attend an information session,"The Institute for Student Achievement, Children's Aid Society","Baseball, Basketball, Soccer, Softball, Volleyball, Flag Football",Then to New York City residents,,ESL,,,"BRIC Contemporary Art, Community Word Project, Visual Thinking Strategies, the Moth (Storytelling), Classic Stage Company, the Park Avenue Armory",Not Functionally Accessible,"Parsons the New School for Design, New York University, Mercy College, Lehman College"
03M479,Beacon High School,212-245-2807,www.beaconschool.org,,Open to New York City residents,,"Club Sports: Boys Ultimate & JV Ultimate Frisbee, Girls Ultimate & JV Ultimate Frisbee",,"Community Service Requirement, Our school requires an Academic Portfolio for graduation, Student Summer Orientation",ESL,,,"American Museum of Natural History, Joyce Theater, Theatre Development Fund, Kaufman Foundation, New Museum, Lincoln Center for the Performing Arts, New York City Center, Museum of Modern Art",Functionally Accessible,"New York University, John Jay College, Hunter College, Fordham University, Teachers College/Columbia University, The City College of New York (CCNY)"
17K543,"Science, Technology and Research Early College High School at Erasmus",718-564-2540,www.starec.org,Lutheran Medical Center,Priority to continuing 8th graders,Gateway Institute for Pre-College Education,,,"Community Service Requirement, Student Summer Orientation, Weekend Program offered",ESL,,,American Museum of Natural History,Functionally Accessible,"Brooklyn College, New York University"
09X263,Validus Preparatory Academy: An Expeditionary Learning School,718-466-4000,www.validusprep.org,Bronx-Lebanon Hospital Center,Priority to Bronx students or residents who attend an information session,"Citizens' Advice Bureau, Booklyn Artist's Alliance, Play 4 Life, Wingspan Arts, Anti-Defamation League, Rock the Boat","Intramural Basketball, Dance, Double Dutch, Soccer, Step, Track, Volleyball, Weight Training",Then to New York City residents,,ESL,,,"El Museo del Barrio, Harbor Conservatory",Functionally Accessible,New York University (NYU)
19K639,Brooklyn Lab School,718-235-3592,www.brooklynlabschool.org,Long Island Jewish Medical Center,Priority to New York City residents who attend an information session,"Institute for Student Achievement, Health Corps, Cypress Hills Local Development Corp, Opening Act, Student Success Center",,,,ESL,"French, Italian",,,Functionally Accessible,Medgar Evers College
27Q480,John Adams High School,718-322-0500,www.johnadamsnyc.org,Brookdale University Hospital and Medical Center,Open to New York City residents,"ASPIRA, Global Kids, Hospital Audiences, Inc.,(HAI), South East Queens Boys and Girls Club, South Asian Youth Action (SAYA!), Justice Resource Center","Cheerleading, Intramural Sports",,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered","ESL; Transitional Bilingual Program: Bengali, Spanish","French, Spanish",,"Periwinkle Theater for Youth, Working Playground, Artsonia, Urban Arts, Roundabout Theater Company, and TDF.",Not Functionally Accessible,"York College, St. John’s University, DeVry University, New York City College of Technology (City Tech), New York Institute of Technology (NYIT)"
18K637,Academy for Conservation and the Environment,718-968-4101,www.acebrooklyn.org,,Priority to New York City residents who attend an information session,"Institute for Student Achievement, Trees New York, CAMBA, The Nature Conservacy, Environmental Science Center",ACE Hornets Basketball Team,,"Extended Day Program, Internship Requirement, Our school requires an Academic Portfolio for graduation, Student Summer Orientation, Weekend Program offered",ESL,"French, Spanish",,,Functionally Accessible,"Cornell University, Brooklyn College Talent Search Program, Kingsborough Community College"
04M495,Park East High School,212-831-1517,www.parkeasths.org,"Metropolitan Hospital Center, Mount Sinai Medical Center",Priority to Manhattan students or residents,"East Harlem Tutorial Program, Boys and Girls Harbor, East Harlem Pride Sports Collaborative, Stanley Issacs Center, Say YES to Education","Basketball, Cheerleading, Running, Swimming, Volleyball, Weightlifting",,,ESL,,,"Society of the Educational Arts, Dance Theatre Etc.",Not Functionally Accessible,"Columbia University Neuroscience Outreach, City University of New York (CUNY): Bronx Community College, Baruch College, Hunter College"
10X477,Marble Hill High School for International Studies,718-561-0973,www.Marblehillschool.org,New York-Presbyterian Hospital (school-based clinic),Priority to Bronx students or residents,"buildOn, Riverdale Neighborhood House, Inwood Park, Van Cortlandt Park Rangers, Citizen Schools","Basketball, Calisthenics, Cardio, Track and Field, Training, Volleyball, Weight",,,ESL,,,"DreamYard Project, Lincoln Center for the Performing Arts, Theatre Development Fund, Carnegie Hall (Global Encounters)",Functionally Accessible,"Teachers College/Columbia University, Lehman College (College Now), Barnard College"
04M610,Young Women's Leadership School,212-289-7593,www.tywls.org,"Mount Sinai Medical Center, Weil-Cornell New York Presbyterian",Open only to female students,East Harlem Tutorial,"Intramural Volleyball, Road Runners",Then to New York City residents,,ESL,,,"Museum of the City of New York, Armstrong Music Foundation, Step-Up Drama, Theatre Development Fund (TDF), Manhattan Theatre Club, Hudson Review, Studio Museum of Harlem",Functionally Accessible,"Smith College, Skidmore College, Stony Brook University, Columbia University, Lamont Doherty Earth Observatory, Marymount College, Polytechnic University, The City University of New York, New York University, Barnard College, Loyola University – New Orleans"
02M529,Jacqueline Kennedy Onassis High School,212-391-0041,http://schools.nyc.gov/schoolportals/02/M529,,Open to New York City residents,"Intrepid Museum – “Leadership Institute for Today and Tomorrow Inwood House El Museo Del Barrio, Encore West, New York Blood Center, Coney Island Lighthouse Mission, New York Breast Cancer Society, CLAASP, Volunteer Referral Center, Met Council, 92nd Street YMCA, Henry Street Settlement, Kateri Residence, Goddard Riverside Community Center, Youth for Philanthropy Initiative",Basketball,,"Community Service Requirement, Internship Requirement, Student Summer Orientation",ESL,,,"Roundabout Theatre Company (Management Training Program), Martha Graham Dance Company, Repertorio Espanol, Joyce Theater, Jazzreach, Nicholas Birmelin, Quenia Ribeiro, Second Stage Theater, Atlantic Theater Company",Functionally Accessible,"Monroe College, Borough of Manhattan Community College, Johnson and Wales University, Niagara University, The New School, The College of Saint Rose, University of Albany, Stony Brook University, Lehman College, Hunter College, Fordham University, University of Bridgeport, Temple University, Art Institute of Atlanta, Quinnipiac University, Pace University, The College of Westchester, St. John's University, St. Francis College, Long Island University, Hofstra University, Boston College, Boston University, Macaulay Honors College at The City University of New York (CUNY), Columbia University"
15K423,Brooklyn Frontiers High School,718-722-4727,www.brooklynfrontiers.org,,Open only to 15-16-year-old New York City students entering high school for the first time; students must have a record of being held back two times in elementary and/or middle school,Integrated partnership with Good Shepherd Services.,Basketball,,,ESL,"French, Spanish",,,Not Functionally Accessible,
02M459,Manhattan International High School,212-517-6728,http://mihs.nycdoe.org,Mount Sinai Adolescent Health Center,Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,"Big Brothers Big Sisters Mentoring Program, New York Cares, Vanderbilt YMCA, Script Ed, City Tutors, NYC French Embassy",Intramural Sports,,,ESL,,,"Manhattan Class Company, Art Resources for Teachers and Students (ARTS), American Folk Art Museum, The Jewish Museum, New Victory Theater, Early Stages Theater Company, Reel Lives",Functionally Accessible,"Borough of Manhattan Community College, LaGuardia Community College, Hunter College, John Jay College, The City College of New York, New York City College of Technology"
08X282,Women's Academy of Excellence,718-542-0740,www.thewae.org,,Open only to female students,"The Leadership Program, The Coalition of 100 Black Women",,,,ESL,,,Jazz Foundation,Functionally Accessible,"Lehman College, Monroe College, CW Post - Long Island University, Mercy College"
28Q690,High School for Law Enforcement and Public Safety,718-977-4800,http://schools.nyc.gov/schoolportals/28/Q690,,Priority to Queens students or residents,Police Athletic League (PAL),,,,ESL,,,Project Arts,Functionally Accessible,Syracuse University Monroe College York College
01M448,University Neighborhood High School,212-962-4341,www.universityneighborhoodhs.com,"Gouverneur Hospital, The Door, The Mount Sinai Adolescent Clinic",Open to New York City residents,"Grand Street Settlement, Henry Street Settlement, Educational Alliance",,,"Community Service Requirement, Dress Code Required, Extended Day Program Requirement, Weekend Program offered",ESL,"Chinese (Cantonese), Chinese (Mandarin), Spanish",,"Dance Film Association, Dance Makers Film Workshop, Theatre Development Fund",Not Functionally Accessible,"New York University, CUNY Baruch College, Parsons School of Design, St. John's University"
02M419,Landmark High School,212-647-7410,www.landmarkhs.org,Mount Sinai Medical Clinic in the building,Priority to Manhattan students or residents,"We have partnerships with City Kids, Art for Progress, Midori Music Foundation, Chinese American Planning Council, College Now, Baruch, John Jay, NYU, Media Impact, and Upward Bound.","Co-ed Intramural Softball, Flag Football, Cheerleading",,,ESL,,,"Midori Foundation, Lincoln Center Institute, Intrepid Museum, Theatre Development Fund, Art For Progress",Functionally Accessible,"New York University, John Jay College, Stanford University, Columbia University, Fordham University, Baruch College"
07X223,M.S. 223 The Laboratory School of Finance and Technology,718-585-8202,www.ms223.org,Bronx-Lebanon Hospital,1. For Y72A only:,"Arete Education Inc., Young Athletes, Inc.","Flag football, Golf, Lacrosse, Swimming",c) Then to Bronx students or residents,"Community Service Requirement, Extended Day Program, Internship Requirement, Student Summer Orientation, Weekend Program offered",ESL; Dual Language: Spanish,,d) Then to New York City residents,"Bronx Council on the Arts, Bronx Museum of the Arts, Center for Arts Education, Multicultural Music Group, The National Urban Technology Center (Urban Tech)",Not Functionally Accessible,"Cornell University, Lehman College, New York University, Teachers College Columbia University, Yale University"
09X241,"Urban Assembly School for Applied Math and Science, The",718-466-7800,www.AMSbronx.org,,Priority to continuing 8th graders,"The Christodora Foundation, The Siemens Foundation, Bronx Teens Connection (NYC Department of Mental Health & Hygiene), Love Heals-The Alison Gertz Foundation for AIDS Education, Junior Achievement","Boys: Basketball (JV); Girls: Basketball (JV and Varsity), Double Dutch, Volleyball; Co-ed Tennis, Track",Then to Bronx students or residents,,ESL,,Then to New York City residents,"Aaron Davis Hall, American Museum of Natural History, The Metropolitan Museum of Art",Functionally Accessible,"The City College of New York, Lehman College, Rockefeller University"
21K348,High School of Sports Management,718-333-7650,thehssm.com,,Priority to Brooklyn students or residents who attend an information session,"PowerPlay, Police Athletic League (PAL)Hip-Hop4 Life, Leadership Program","Flag Football, Intramural Basketball",Then to New York City residents,,ESL,,,Brooklyn Arts Council,Functionally Accessible,"New York University (NYU), Kingsborough Community College"
17K524,International High School at Prospect Heights,718-230-6333,www.ihsph.org,New York University Health Partners,Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,"Chinese-American Planning Council, iMentor, Flambawayan Haitian Literacy Project, Sauti Yetu Center for African Women, Global Potential","Strength Training, Swimming",,,ESL,,,Center for Arts Education; Theatre Development Fund (TDF),Functionally Accessible,"Brooklyn College, Medgar Evers College"
02M411,Baruch College Campus High School,212-683-7440,www.bcchsnyc.net,,Priority to District 2 students or residents,"Revolution Prep, Peer Health Exchange, New York Times Neediest Cases Fund & Community Service Society, Solar One, Pride Not Prejudice, MOUSE Squad","Cheerleading, Running Club",,"Community Service Requirement, Extended Day Program",ESL,"Chinese, Spanish",,"Manhattan Class Company Theatre Group, American Composers Orchestra, Contemporary A Capella Society, Theatre for a New Audience",Functionally Accessible,"Baruch College, Harvard University"
24Q610,Aviation Career & Technical Education High School,718-361-2032,www.aviationhs.net,,Open to New York City residents,"Kiwanis Club of LaGuardia Airport, NYPD Aviation Unit",,,"Extended Day Program, Internship Requirement",ESL,Spanish,,,Functionally Accessible,"City University of New York (CUNY), Embry-Riddle Aeronautic University, Pennsylvania College of Technology, Polytechnic Institute of New York University (NYU Poly), Stony Brook University, Vaughn College"
02M542,Manhattan Bridges High School,212-757-5274,manhattanbridges.org,"St. Vincent's Hospital, New York-Presbyterian Hospital","Open only to New York City residents whose home language is Spanish, are of limited English proficiency and have lived in the United States fewer than three years","The Young Men and Women Hebrew Association (YM & YWHA), The Door, Alianza Dominicana, Planned Parenthood, Young Men's Christian Association (YMCA) at Inwood, Virginia House of Hope, Police Athletic League","Running Club, Workout Club",,"Community Service Requirement, Extended Day Program Requirement, Internship Requirement, Student Summer Orientation, Summer Internship Program offered, Weekend Program offered",ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,,,"El Museo del Barrio, Carnegie Hall, Metropolitan Museum of Art, Museum of Modern Art, Repertorio Español, American Museum of Natural History, Community Works, Roundabout Theatre, The Jewish Museum, New-York Historical Society, The International Center of Photography",Functionally Accessible,"Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College"
25Q281,East-West School of International Studies,718-353-0009,www.ewsis.org,Holiday Toys for Tots- New York Hospital,Priority to continuing 8th graders,New Visions for Public Schools; College Bound Initiative; NAACP; NYPD Youth Explorers Program; Queens College; LaGuardia CC; Hanban Asia Society; Japan Society; Korea Society; Key Club; Model UN; Museum of Natural History.,"Judo, Martial Arts, Morning Sports Program, Team Basketball, Team Soccer",,"Community Service Requirement, Extended Day Program",ESL,,,Japan Society; Korea Society; HanBan Asia Society; American Museum of Natural History,Functionally Accessible,The City University of New York (CUNY)
10X440,DeWitt Clinton High School,718-543-1000,www.dwclintonhs.org,"Montefiore Medical Center-School Based Health and Dental Clinic, Jewish Home and Hospital Lifecare",Priority to Bronx students or residents,"Peer Health Exchange, Good Shepherd, Sports and Arts Foundation, The Sports Foundation, LYFE Program","Cheerleading, Dance Team, Step Team, Kung Fu, Soccer and Swimming Clubs",,"Extended Day Program, Weekend Program offered",ESL,,,"Theatre Development Fund (TDF), Lehman College Art Center",Functionally Accessible,"Albert Einstein School of Medicine, Fordham University, Manhattan College, Lehman College, Connecticut College, Borough of Manhattan Community College, Bronx Community College, City University of New York Graduate Center"
11X299,Astor Collegiate Academy,718-944-3418,www.astorcollegiate.com,,Priority to Bronx students or residents who attend an information session,South Bronx Overall Economic Development Corp. (SoBRO)and Talent Search (TRiO),,Then to New York City residents,Community Service Requirement,ESL,,,,Functionally Accessible,CUNY-Lehman College and University of Vermont
27Q302,"Queens High School for Information, Research, and Technology",718-868-2978,www.queensirt.org,,Priority to New York City residents who attend an information session,"Community Learning School with services including Adult Learning in Literacy and Financial Literacy, Medical services and Mental health and wellness counseling offered through a partnership with North Shore LIJ. Urban Word, Queens Public Library, Queens District Attorney office Star Track program",Campus-wide sports,,,ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,,,,Not Functionally Accessible,"New York City College of Technology, Queens College, NYU Polytechnic University, York College"
14K478,"The High School for Enterprise, Business and Technology",718-387-2800,http://www.ebtbrooklyn.com,Woodhull Medical Center,Open to New York City residents,"The Leadership Program, St. Nicholas Preservation Corp., BuildOn",,,,ESL; Transitional Bilingual Program: Spanish,,,"Learning Through an Expanded Arts Program (LEAP), The Metropolitan Opera, Museum of Modern Art (MoMA), The Metropolitan Museum of Art, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Brooklyn Wind Symphony, Metropolitan Music Community, All-City Marching Band",Functionally Accessible,"Columbia University, New York University, New York City College of Technology, Long Island University, The City College of New York, Crane School of Music (SUNY Potsdam), Brooklyn College Conservatory of Music, University of Illinois School of Music, Kingsborough Community College"
12X267,Bronx Latin,718-991-6349,www.bronxlatin.com,,Priority to continuing 8th graders,,"Athletic League: Basketball, Volleyball, Softball",,,ESL,,,,Functionally Accessible,"Lehman College, Fordham University"
02M308,Lower Manhattan Arts Academy,212-505-0143,www.lomanyc.net,Harlem Hospital (Internships),Priority to Districts 1 and 2 students or residents who attend an information session,"Educational Alliance and Grand Street Settlement (comprehensive after-school programs and college advising); The Door and Henry Street Settlement (college advising, college trips and SAT preparation classes); Peer Health Exchange (weekly workshops on teen health issues led by NYU students).","Intramural Sports: Basketball, Soccer, Swimming",Then to Districts 1 and 2 students or residents,"Internship Requirement, Our school requires an Artistic Portfolio for graduation, Student Summer Orientation",ESL,,Then to Manhattan students or residents,"Henry Street Settlement/Abrons Arts Center, New York Theatre Workshop, St. Luke's Orchestra, The Grammy Award Foundation, Early Stages",Not Functionally Accessible,New York University and John Jay College (college classes for juniors and seniors)
15K429,Brooklyn School for Global Studies,718-694-9741,www.mybsgs.com,SUNY Downstate School-Based Health Clinic,Priority to continuing 8th graders,Catholic Charities Out of School Time (OST) High School Transition,"Rugby, Cheerleading",Then to New York City residents,"Extended Day Program, Uniform Required",ESL,"Arabic, Bengali, Chinese, Chinese (Cantonese), Chinese (Mandarin), English, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Urdu",,"Palazzo Strozzi Renaissance Award Essay Competition, NYC Office of Arts and Special Projects",Not Functionally Accessible,"Young Women’s Leadership Network: College Bound Initiative, NYC Advanced Placement (AP) Initiative, National and Junior National Honor Societies"
27Q650,"High School for Construction Trades, Engineering and Architecture",718-846-6280,http://schools.nyc.gov/schoolportals/27/Q650,,Open to New York City residents,,Intramural Basketball,,,ESL,,,"Cooper-Hewitt National Design Museum, Matisse Foundation, Dance and Education, CUNY Creative Arts Team, Impact Broadway",Functionally Accessible,"New York City College of Technology (City Tech), York College, Polytechnic Institute of New York University (NYU-Poly), Pratt Institute"
03M307,"Urban Assembly School for Media Studies, The",212-501-1110,www.uamhighschool.org,St. Luke's/Roosevelt Hospital Clinic,Priority to New York City residents who attend an information session,The Door,"After-school Basketball, Weightlifting and Conditioning",,,ESL,,,"Carnegie Hall, Manhattan Neighborhood Network, Museum of Modern Art, Human Rights Watch, The Art Students League, Studio in a School, Materials for the Arts",Functionally Accessible,"New York University, Peer Health Exchange at Columbia University, College Now at John Jay College, Fordham University STEP Program"
15K592,Khalil Gibran International Academy,718-237-2502,www.teachingandlearning.net,,Priority to Brooklyn students or residents who attend an information session,"International Baccalaureate World Schools, Arab-American Family Support Center, New York Theater Workshop, Lutheran Medical Center, ENACT, Studio in a School, Brooklyn Academy of Music (BAM); Education4Dance, Veteran's Hospital, Move this World.","Basketball, Soccer, Fitness",Then to New York City residents,"Extended Day Program, Student Summer Orientation, Weekend Program offered",ESL,,,,Not Functionally Accessible,
02M630,Art and Design High School,212-752-4340,www.artanddesignhs.org,,Open to New York City residents,Friends of Art and Design,"Aerobic Training, Basketball, Intramural Sports, Nautilus Training, Spinning, Volleyball, Weight Training; student-faculty games",,"Extended Day Program, Our school requires an Artistic Portfolio for graduation, Summer Internship Program offered",ESL,,,"Museum of Modern Art, Cooper-Hewitt National Design Museum, American Institute of Architects (AIA), Center for Architecture Foundation, The Art Directors Club, Museum of Arts and Design, Center for Arts Education, Studio in a School, The Metropolitan Museum of Art, Frick Museum, Tribeca Film Society, International Travel Program.",Functionally Accessible,"Articulation Agreement with with New York City College of Technology,City Tech CUNY; College Now, Hunter College; EOP program Fashion Institute of Technology; EOP Program PRATT Institute; SATURDAY PROGRAM: The Cooper Union for the Advancement of Science and Art; New York Institute of Technology,Polytechnic Institute of New York University; St. Johns University; Baruch College,CUNY"
15K656,Brooklyn High School of the Arts,718-855-2412,www.brooklynartshs.org,,Priority to Brooklyn students or residents,"New Tech (iZone 360 School), Exploring The Arts - Tony Bennett Partner School, New York Cares","Social Dance, Weight Training, Yoga",,,ESL,Spanish,,"Orchestra of St. Luke's, Groundswell, Brooklyn Academy of Music, Jazz at Lincoln Center, New York State School Music Association (NYSSMA), The National Association for Music Education (MENC), Carnegie Hall Foundation, Mark Morris Dance Center, Balance Dance Theater, St. Anne's Warehouse, Jazz'd 4 Life",Functionally Accessible,"Columbia University, New York University, West Point Military Academy, Pratt Institute, Parsons College, The New School, The Cooper Union for the Advancement of Science and Art, Long Island University, Brooklyn College, Hofstra University, Alfred University, Hunter College"
28Q687,Queens High School for the Sciences at York College,718-657-3181,www.qhss.org,Mount Sinai School of Medicine,Open to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),,"Bowling, Dance, Handball, Swimming, Tennis",,,ESL,,,"92nd Street Y, Brooklyn Academy of Music (BAM), Jamaica Center for Arts & Learning",Functionally Accessible,York College
18K617,High School for Innovation in Advertising and Media,718-290-8760,www.iam-hs.org,,Priority to New York City residents who attend an information session,Interborough Developmental and Consultation Center,,,,ESL,,,,Not Functionally Accessible,"City University of New York (CUNY): New York City College of Technology, Baruch College, Brooklyn College; Virginia Commonwealth University Adcenter"
