website,bbl,location_1,primary_address_line_1,partner_corporate,grade_span_max,bus,online_ap_courses,building_code,census_tract,se_services
http://schools.nyc.gov/schoolportals/08/X320,2053680001.0,"{'latitude': '40.840513977', 'longitude': '-73.83812096', 'human_address': '{""address"": ""3000 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",3000 East Tremont Avenue,,11,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,X405,194.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.hsvd.org,2026340001.0,"{'latitude': '40.827602669001', 'longitude': '-73.904475257', 'human_address': '{""address"": ""1110 Boston Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",1110 Boston Road,Print International,12,"Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx4A, Bx6",,X400,135.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.ihpch.org,4110490001.0,"{'latitude': '40.695536336', 'longitude': '-73.734918342', 'human_address': '{""address"": ""207 01 116Th Avenue Cambria Heights"", ""city"": ""NY"", ""state"": """", ""zip"": ""11411""}'}",207- 01 116Th Avenue,,11,"Q27, Q4, Q77, Q83, Q84",,Q490,53401.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.mvbhigh.com,4079300002.0,"{'latitude': '40.732817109', 'longitude': '-73.739650413', 'human_address': '{""address"": ""230 17 Hillside Avenue Queens Village"", ""city"": ""NY"", ""state"": """", ""zip"": ""11427""}'}",230-17 Hillside Avenue,,12,"Q1, Q27, Q43, Q46",,Q435,1301.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/07/X473,2023590240.0,"{'latitude': '40.818173536', 'longitude': '-73.911092663', 'human_address': '{""address"": ""701 St Anns Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10455""}'}",701 St. Anns Avenue,,12,"Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6",,X470,71.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/02/M580,1000220013.0,"{'latitude': '40.705234939', 'longitude': '-74.01331504', 'human_address': '{""address"": ""26 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10004""}'}",26 Broadway,,12,"M15, M15-SBS, M20, M5, M9, S1115",,M282,9.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.BronxEnvision.org,2029390093.0,"{'latitude': '40.835937328', 'longitude': '-73.890467693', 'human_address': '{""address"": ""1619 Boston Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",1619 Boston Road,PENCIL Partnership,12,"Bx11, Bx17, Bx19, Bx21, Bx36",,X098,155.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.beaconschool.org,1011540108.0,"{'latitude': '40.772158119', 'longitude': '-73.987796535', 'human_address': '{""address"": ""227 243 West 61St Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10023""}'}",227-243 West 61St Street,,12,"M10, M104, M11, M20, M31, M57, M66, M7, M72",,M837,151.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.starec.org,3051030010.0,"{'latitude': '40.649439675', 'longitude': '-73.958431198', 'human_address': '{""address"": ""911 Flatbush Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",911 Flatbush Avenue,Bank of America,12,"B12, B16, B35, B41, B44, B49",,K465,794.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.validusprep.org,2029130001.0,"{'latitude': '40.839327126', 'longitude': '-73.90130979', 'human_address': '{""address"": ""1595 Bathgate Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",1595 Bathgate Avenue,,12,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41",,X970,167.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.brooklynlabschool.org,3040940001.0,"{'latitude': '40.691143962', 'longitude': '-73.868426057', 'human_address': '{""address"": ""999 Jamaica Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",999 Jamaica Avenue,Bialosky and Partners,12,"B13, Q56","Biology, Calculus AB, English Literature and Composition, United States History",K420,1180.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.aupnyc.org,3033650098.0,"{'latitude': '40.696961848', 'longitude': '-73.910815939', 'human_address': '{""address"": ""400 Irving Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",400 Irving Avenue,"Environmental Systems Research Institute (ESRI), Pencil",12,"B13, B20, B26, B38, B52, B54, B60, Q55, Q58",,K480,435.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/08/X348,2053680001.0,"{'latitude': '40.840513977', 'longitude': '-73.83812096', 'human_address': '{""address"": ""3000 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",3000 East Tremont Avenue,,11,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,X405,194.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/11/X514,2048640035.0,"{'latitude': '40.887919214', 'longitude': '-73.852871614', 'human_address': '{""address"": ""921 East 228Th Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",921 East 228Th Street,,12,"Bx31, Bx39, Bx8",,X362,404.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.gradyhs.com,3072610201.0,"{'latitude': '40.582548038', 'longitude': '-73.963716221', 'human_address': '{""address"": ""25 Brighton 4Th Road"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",25 Brighton 4Th Road,"Greater New York Automobile Dealers Association (GNYADA), National Automotive Technician Education Foundation, Bay Ridge Subaru, Plaza Toyota, Plaza Hyundai, Bay Ridge Honda, New York Oil Heat Association, National Oil Heat Research Alliance, Operating Engineers of America/Local 30, Careers through Culinary Arts Program (C-CAP), Building Trades Council, Carrier Corporation, Construction Skills, Smalls Electric, Division of School Facilities",12,"B1, B36, B4, B49, B68",,K620,366.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/09/X327,2028590077.0,"{'latitude': '40.842414068', 'longitude': '-73.916161586', 'human_address': '{""address"": ""1501 Jerome Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",1501 Jerome Avenue,,12,"Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx32, Bx35, Bx36",,X240,209.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.sthnewyork.com,2026680001.0,"{'latitude': '40.821887341', 'longitude': '-73.903438055', 'human_address': '{""address"": ""900 Tinton Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",900 Tinton Avenue,,12,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx46, Bx4A, Bx6",,X650,133.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/16/K393,3016160001.0,"{'latitude': '40.692133704', 'longitude': '-73.931503172', 'human_address': '{""address"": ""1014 Lafayette Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",1014 Lafayette Avenue,,12,"B15, B38, B46, B47, B52, B54, Q24",French Language and Culture,K026,291.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.hopschool.com,2023440096.0,"{'latitude': '40.816084481', 'longitude': '-73.930323839', 'human_address': '{""address"": ""350 Gerard Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",350 Gerard Avenue,Deloitte LLC,12,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx32, Bx33, M1, M102, M7",,X884,63.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.academyofamericanstudies.com,4004170016.0,"{'latitude': '40.751300578', 'longitude': '-73.937423877', 'human_address': '{""address"": ""28 04 41 Avenue"", ""city"": ""Long Island City"", ""state"": ""NY"", ""zip"": ""11101""}'}",28-04 41 Avenue,,12,"B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69",,Q451,33.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.worldviewhs.org,2032510201.0,"{'latitude': '40.88008184', 'longitude': '-73.885901533', 'human_address': '{""address"": ""100 West Mosholu Parkway South"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10468""}'}",100 West Mosholu Parkway South,,11,"Bx1, Bx10, Bx2, Bx26, Bx28, Bx30",,X440,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.tapconyc.org,2031430043.0,"{'latitude': '40.854646599', 'longitude': '-73.896645553', 'human_address': '{""address"": ""2225 Webster Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",2225 Webster Avenue,,12,"Bx1, Bx15, Bx17, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42","Calculus AB, English Language and Composition, Environmental Science, Music Theory, United States History, World History",X137,379.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.ywlnetwork.org,4097070048.0,"{'latitude': '40.708207826', 'longitude': '-73.804077946', 'human_address': '{""address"": ""150 91 87 Road"", ""city"": ""Jamaica"", ""state"": ""NY"", ""zip"": ""11432""}'}",150-91 87 Road,,12,"Q1, Q110, Q111, Q112, Q113, Q17, Q2, Q20A, Q20B, Q25, Q3, Q31, Q36, Q4, Q40, Q41, Q42, Q43, Q5, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q85, Q9",,Q680,236.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/06/M293,1021720016.0,"{'latitude': '40.861113319', 'longitude': '-73.930452149', 'human_address': '{""address"": ""4600 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10040""}'}",4600 Broadway,,12,"Bx7, M101, M3, M4, M98",,M218,285.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.panamericanihs.org,4016000061.0,"{'latitude': '40.743302873', 'longitude': '-73.870574977', 'human_address': '{""address"": ""45 10 94Th Street"", ""city"": ""Elmhurst"", ""state"": ""NY"", ""zip"": ""11373""}'}",45-10 94Th Street,,12,"Q29, Q38, Q53, Q58, Q72",,Q744,463.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.dyprep.org,2028170002.0,"{'latitude': '40.840373398', 'longitude': '-73.910838008', 'human_address': '{""address"": ""240 East 172 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",240 East 172 Street,,12,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41",,X410,225.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.uasem.org,1010590015.0,"{'latitude': '40.763361732', 'longitude': '-73.990509091', 'human_address': '{""address"": ""439 West 49Th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",439 West 49Th Street,,11,"M10, M104, M11, M20, M31, M34A-SBS, M42, M50, M57, M7",,M625,127.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.bushwickleaders.org,3032420001.0,"{'latitude': '40.694995763', 'longitude': '-73.927986267', 'human_address': '{""address"": ""797 Bushwick Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",797 Bushwick Avenue,JP Morgan Chase,12,"B38, B46, B47, B52, B54, B60, Q24",,K865,393.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.academyforwriters.com,4130570056.0,"{'latitude': '40.668232288', 'longitude': '-73.756839894', 'human_address': '{""address"": ""143 10 Springfield Boulevard Springfield Gardens"", ""city"": ""NY"", ""state"": """", ""zip"": ""11413""}'}",143-10 Springfield Boulevard,,12,"Q3, Q77, Q85",,Q420,330.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/15/K519,3003970011.0,"{'latitude': '40.684579137', 'longitude': '-73.991093163', 'human_address': '{""address"": ""347 Baltic Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",347 Baltic Street,,12,"B103, B45, B57, B61, B62, B63, B65","Biology, Calculus AB",K804,69.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/21/K337,3068830001.0,"{'latitude': '40.593593811', 'longitude': '-73.984729232', 'human_address': '{""address"": ""2630 Benson Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",2630 Benson Avenue,,12,"B1, B3, B4, B6, B64, B82",,K400,306.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.rka141.org,2059180376.0,"{'latitude': '40.888372849', 'longitude': '-73.914093204', 'human_address': '{""address"": ""660 West 237 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10463""}'}",660 West 237 Street,,12,"Bx10, Bx20, Bx7",,X141,309.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/07/X259,2025760026.0,"{'latitude': '40.810405415', 'longitude': '-73.906800116', 'human_address': '{""address"": ""455 Southern Blvd"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10455""}'}",455 Southern Blvd,,11,"Bx17, Bx19, Bx33, Bx4, Bx4A",,X655,35.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.brooklyncaas.com,3047420001.0,"{'latitude': '40.648663663', 'longitude': '-73.921898762', 'human_address': '{""address"": ""5800 Tilden Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",5800 Tilden Avenue,"PENCIL, Neuman's Catering, Virtual Enterprise",12,"B17, B35, B46, B47, B7, B8",Chemistry,K415,936.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/02/M500,1008897501.0,"{'latitude': '40.746106375', 'longitude': '-73.981009667', 'human_address': '{""address"": ""111 East 33Rd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10016""}'}",111 East 33Rd Street,,12,"M101, M102, M15, M15-SBS, M2, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9",,M620,72.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.eschs.org,1004390017.0,"{'latitude': '40.729782687', 'longitude': '-73.983041441', 'human_address': '{""address"": ""420 East 12 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",420 East 12 Street,"Prudential Securities, Moore Capital, Morgan Stanley, Barclay Intercontinental Hotels, Supreme, Vans, IBM, Guardian Insurance, Altra-Share.",12,"M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M8, M9",,M060,34.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/17/K531,3048110001.0,"{'latitude': '40.659517006001', 'longitude': '-73.942546499', 'human_address': '{""address"": ""600 Kingston Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",600 Kingston Avenue,,12,"B12, B17, B43, B44",Biology,K470,810.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.bronxleadershipacademy.org,2028980001.0,"{'latitude': '40.843581195', 'longitude': '-73.903220038', 'human_address': '{""address"": ""1710 Webster Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",1710 Webster Avenue,"American Progressive Life Insurance Company of Westchester County, Anderson Kill & Olick PC, O'Melveny & Myers LLP",12,"Bx1, Bx11, Bx15, Bx17, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",,X876,165.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/10/X268,2032470070.0,"{'latitude': '40.870377467', 'longitude': '-73.898162952', 'human_address': '{""address"": ""2780 Reservoir Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10468""}'}",2780 Reservoir Avenue,Burton Snowboards USA,12,"Bx1, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9",,X430,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.pistonpride.com,3026700001.0,"{'latitude': '40.72264264', 'longitude': '-73.952583045', 'human_address': '{""address"": ""50 Bedford Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",50 Bedford Avenue,"Greater New York Dealers' Association, King's Auto Collision, NYPD Fleet Service, McCarren Motors, Mercedes, Toyota, Advance Fleet Maintenance, Major Chevrolet, FDNY Fleet Service Division, M.I.C. Tire Pros, All-Boro, Auto Lab, Central Auto Info, Inc.",12,"B32, B43, B48, B62","Biology, Calculus AB, Physics B",K610,517.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.flhfhs.org,2030130001.0,"{'latitude': '40.830807154', 'longitude': '-73.886021316', 'human_address': '{""address"": ""1021 Jennings Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",1021 Jennings Street,FLHFHS has been recognized as an Apple Distingushed Program (2013- 2015),12,"Bx11, Bx19, Bx21, Bx27, Bx35, Bx36, Bx4, Bx4A",,X878,157.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.WHSAD.org,3023300011.0,"{'latitude': '40.715037551', 'longitude': '-73.954649959', 'human_address': '{""address"": ""257 North 6 Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",257 North 6 Street,"Robert Silman and Associates-- Structural Engineers, Ottavino Stoneworks, Turner Construction, Greenpoint Gazette",12,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",,K650,519.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.goddardhs308.org,4114030001.0,"{'latitude': '40.671769478001', 'longitude': '-73.844977739', 'human_address': '{""address"": ""138 30 Lafayette Street Ozone Park"", ""city"": ""NY"", ""state"": """", ""zip"": ""11417""}'}",138-30 Lafayette Street,Classlink,12,"Q11, Q41, Q7","English Literature and Composition, Environmental Science, Psychology, World History",Q202,58.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.excelsiorprephs.com,4130570056.0,"{'latitude': '40.668232288', 'longitude': '-73.756839894', 'human_address': '{""address"": ""143 10 Springfield Boulevard Springfield Gardens"", ""city"": ""NY"", ""state"": """", ""zip"": ""11413""}'}",143-10 Springfield Boulevard,,12,"Q3, Q77, Q85",,Q420,330.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.hslps.net,1021600018.0,"{'latitude': '40.855938307', 'longitude': '-73.927029634', 'human_address': '{""address"": ""549 Audubon Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10040""}'}",549 Audubon Avenue,Health Corp.,12,"Bx18, Bx40, Bx42, Bx7, M101, M3, M98",,M465,277.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.columbiasecondary.org,1019640012.0,"{'latitude': '40.810917853', 'longitude': '-73.956927387', 'human_address': '{""address"": ""425 West 123 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",425 West 123 Street,,12,"Bx15, M10, M100, M101, M104, M11, M2, M3, M4, M5, M60, M7",,M125,20901.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.ihs-us.org,1008720057.0,"{'latitude': '40.735519463', 'longitude': '-73.987604249', 'human_address': '{""address"": ""40 Irving Place"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10003""}'}",40 Irving Place,,12,"M101, M102, M103, M14A, M14D, M15, M2, M23, M3, M34A-SBS, M5, M7, M8, M9",,M460,50.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/11/X253,2046330040.0,"{'latitude': '40.875754211', 'longitude': '-73.861387834', 'human_address': '{""address"": ""800 East Gun Hill Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10467""}'}",800 East Gun Hill Road,"Random House, Inc., Noticias Telemundo, MSNBC, The New York Post",12,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx8",,X425,372.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/03/M299,1011570025.0,"{'latitude': '40.774296411', 'longitude': '-73.984822701', 'human_address': '{""address"": ""122 Amsterdam Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10023""}'}",122 Amsterdam Avenue,Deloitte,12,"M10, M104, M11, M20, M31, M5, M57, M66, M7, M72",,M490,151.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.uagreencareers.org,1012150001.0,"{'latitude': '40.785743157', 'longitude': '-73.974415228', 'human_address': '{""address"": ""145 West 84 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10024""}'}",145 West 84 Street,"Jonathan Rose Companies, Thornton Tomasetti, Inc., Con Edison",12,"M10, M104, M5, M7, M79, M86",,M470,169.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/24/Q550,4019630005.0,"{'latitude': '40.73741817', 'longitude': '-73.85330573', 'human_address': '{""address"": ""105 25 Horace Harding Expy N"", ""city"": ""Corona"", ""state"": ""NY"", ""zip"": ""11368""}'}",105-25 Horace Harding Expy N,"O'Melveny & Myers LLP, Exxon Mobil, Zenith Optimedia LLP, Movie Pass",12,"Q23, Q38, Q58, Q88",,Q456,43701.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
bronxsoftware.org,2031040007.0,"{'latitude': '40.85592271', 'longitude': '-73.88257898', 'human_address': '{""address"": ""2474 Crotona Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10458""}'}",2474 Crotona Avenue,"Gilt, Bloomberg Philanthropy, Alcoa",11,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx36, Bx9",,X660,393.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
,1001130100.0,"{'latitude': '40.710679471', 'longitude': '-74.000807021', 'human_address': '{""address"": ""411 Pearl Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",411 Pearl Street,,10,"M103, M15, M22, M5, M9",,M520,29.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
http://schools.nyc.gov/schoolportals/11/X544,2046330040.0,"{'latitude': '40.875754211', 'longitude': '-73.861387834', 'human_address': '{""address"": ""800 East Gun Hill Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10467""}'}",800 East Gun Hill Road,,12,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx8",,X425,372.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
www.ichs.weebly.com,2022860036.0,"{'latitude': '40.810036192', 'longitude': '-73.917812482', 'human_address': '{""address"": ""345 Brook Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",345 Brook Avenue,,12,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,X139,41.0,This school will provide students with disabilities the supports and services indicated on their IEPs.
