loc,may_19_pm,oct_20_am,sept_12_md,sept_13_am,sept_17_pm,may_15_am,oct_20_pm,sept_11_md,oct24_am,sept_16_am,may_22_am,may_21_am,may_15_pm,sept_09_am,sept_15_md,may_16_am,borough,may_21_pm,may_11_md,may_19_am,may_14_pm,oct_22_pm,may25_pm,may_18_md,may_09_pm,sept_11_am,from_stree,the_geom,oct_23_pm,may25_md,may_08_pm,may_14_md,may_15_md,may_14_am,sept_12_am,may_17_md,oct_21_am
9.0,1402,0,6325,1658,4730,1791,0,4999,1172,1642,1167,1677,7802,1364,6082,1531,Brooklyn,9439,6135,652,7718,3673,4271,4515,5730,1445,51st Street,"{'type': 'Point', 'coordinates': [-74.01119296689038, 40.64426682358741]}",4642,3592,7054,6313,6762,1522,1419,5356,1221
105.0,0,0,120,130,399,133,0,128,365,260,187,236,332,54,216,161,East River Bridges,497,95,0,729,291,133,214,506,112,midpoint,"{'type': 'Point', 'coordinates': [-73.95460085520162, 40.7568698600874]}",374,134,70,250,207,127,107,227,674
100.0,1139,0,559,875,717,883,0,489,418,588,409,222,1099,549,571,579,Staten Isla,413,514,383,1186,620,636,305,1402,396,Bay Street,"{'type': 'Point', 'coordinates': [-74.07740338696911, 40.63793280712071]}",523,383,1586,729,618,826,619,492,464
83.0,0,40,130,112,171,90,75,189,84,93,62,67,202,32,89,68,Queens,172,305,0,232,106,140,54,105,189,108th Drive,"{'type': 'Point', 'coordinates': [-73.78539020907581, 40.69769336243358]}",197,115,207,134,76,89,83,44,77
20.0,0,165,1757,307,999,453,1367,870,180,372,358,256,1661,436,1254,238,Brooklyn,1431,1283,0,1618,1975,1257,1306,1243,184,Avenue U,"{'type': 'Point', 'coordinates': [-73.9214952312361, 40.6089208214552]}",675,972,1401,1919,1523,325,347,1387,302
53.0,9823,0,5284,5405,10494,5681,0,6742,3987,6445,3530,2253,10717,3506,6261,6759,Manhattan,4265,5906,5453,10741,6021,9688,4623,9608,6219,New Street,"{'type': 'Point', 'coordinates': [-74.01098647762808, 40.70733537559069]}",0,5046,11264,5827,5430,6072,6733,5651,2939
96.0,0,124,215,236,368,233,293,143,135,203,113,89,289,183,217,205,Staten Isla,292,149,0,344,167,266,247,214,91,Regan Avenue,"{'type': 'Point', 'coordinates': [-74.10857607699721, 40.63017169829432]}",305,242,240,205,242,273,172,246,167
81.0,0,497,1295,835,1287,1159,1640,1537,905,1234,769,454,2138,678,1312,1005,Queens,1511,1952,0,1914,1587,1539,1296,1892,1095,86th Street,"{'type': 'Point', 'coordinates': [-73.85779008961042, 40.6925963247586]}",2327,1146,2007,1652,1616,1005,912,1585,741
12.0,5605,741,4778,1452,5004,1473,3702,4179,1864,1561,1084,720,6828,1038,4362,1456,Brooklyn,3523,4464,1149,5281,3869,4737,3652,4674,1236,4th Avenue,"{'type': 'Point', 'coordinates': [-74.02728680504437, 40.622138829200395]}",3673,2753,5128,4049,5036,1534,1533,4163,1108
19.0,2047,585,1842,752,2276,824,1734,2670,1034,1161,1005,992,1884,755,3333,1037,Brooklyn,2330,4699,980,2127,1912,2497,4437,880,525,Plaza Street East,"{'type': 'Point', 'coordinates': [-73.96818725047231, 40.67292523719001]}",1188,3317,1367,3828,2511,687,1228,2205,986
5.0,0,357,2273,760,3330,1055,1997,3934,725,1101,669,444,3710,912,2466,993,Bronx,2382,4274,0,3586,2084,1585,2565,2660,1049,Prospect Avenue,"{'type': 'Point', 'coordinates': [-73.88956389732787, 40.844636776717664]}",2140,1522,2438,2460,2554,971,959,2526,714
