pops_number,building_address_with_zip,latitude,longitude,bbl,:@computed_region_92fq_4b7q,zip_code,hour_of_access_required
M080003,"980 FIFTH AVENUE, New York, NY 10075",40.777041,-73.963201,1014910001.0,51,10075,24 Hours
M080012,"200 EAST 65 STREET, New York, NY 10065",40.764775,-73.963557,1014197502.0,51,10065,Restricted Hours
M060007,"115 EAST 34 STREET, New York, NY 10016",40.746892,-73.980165,1008900011.0,50,10016,24 Hours
M010037,"388 GREENWICH STREET, New York, NY 10013",40.720865,-74.011003,1002160001.0,32,10013,24 Hours
M080099,"750 LEXINGTON AVENUE, New York, NY 10022",40.762669,-73.968262,1013940013.0,51,10022,24 Hours
M010018,"40 BROAD STREET, New York, NY 10004",40.706021,-74.011787,1000247501.0,32,10004,24 Hours
M060005,"150 EAST 34 STREET, New York, NY 10016",40.745895,-73.979288,1008890055.0,50,10016,24 Hours
M080050,"200 EAST 89 STREET, New York, NY 10128",40.78051,-73.952402,1015347501.0,1,10128,Restricted Hours
M050004,"500 PARK AVENUE, New York, NY 10022",40.762894,-73.970356,1012940037.0,51,10022,24 Hours
M050074,"156 WEST 56 STREET, New York, NY 10019",40.764241,-73.979745,1010087503.0,51,10019,24 Hours; Restricted Hours
M080070,"1725 YORK AVENUE, New York, NY 10128",40.778319,-73.94598,1015690016.0,1,10128,24 Hours
Q020002,"69-02 QUEENS BOULEVARD, Queens, NY 11377",40.739699,-73.89534,4024320009.0,34,11377,
M050095,"12 EAST 49 STREET, New York, NY 10017",40.757231,-73.977022,1012840007.0,51,10017,24 Hours; Restricted Hours
M060059,"309 EAST 48 STREET, New York, NY 10017",40.753512,-73.968588,1013410006.0,51,10017,24 Hours
M050054,"1155 SIXTH AVENUE, New York, NY 10036",40.756672,-73.98336,1009970029.0,51,10036,24 Hours
M060022,"330 EAST 39 STREET, New York, NY 10016",40.747088,-73.972452,1009440010.0,51,10016,24 Hours
M020004,"99 JANE STREET, New York, NY 10014",40.738442,-74.008596,1006427502.0,10,10014,Restricted Hours
M060025,"630 FIRST AVENUE, New York, NY 10016",40.745155,-73.971836,1009687501.0,51,10016,24 Hours
M060085,"200 EAST 32 STREET, New York, NY 10016",40.744021,-73.97896,1009127502.0,50,10016,24 Hours
M060067,"300 EAST 54 STREET, New York, NY 10022",40.756954,-73.966399,1013460049.0,51,10022,24 Hours; Restricted Hours
M060079,"243 LEXINGTON AVENUE, New York, NY 10016",40.746466,-73.97923,1008900025.0,50,10016,24 Hours
M060008,"132 EAST 35 STREET, New York, NY 10016",40.746873,-73.979696,1008900020.0,50,10016,24 Hours
M050026,"1330 SIXTH AVENUE, New York, NY 10019",40.761966,-73.978478,1012690001.0,51,10019,24 Hours
M060037,"245 EAST 40 STREET, New York, NY 10016",40.748957,-73.973343,1013140021.0,51,10016,24 Hours
M010045,"75 WALL STREET, New York, NY 10005",40.705041,-74.008119,1000317501.0,32,10005,24 Hours
M080062,"300 EAST 93 STREET, New York, NY 10128",40.781993,-73.948325,1015557501.0,1,10128,Restricted Hours
M010060,"130 WILLIAM STREET, New York, NY 10038",40.709112,-74.006345,1000777501.0,32,10038,24 Hours
M050076,"712 FIFTH AVENUE, New York, NY 10019",40.762294,-73.975103,1012710038.0,51,10019,24 Hours; Restricted Hours
M050018,"550 MADISON AVENUE, New York, NY 10022",40.761462,-73.973504,1012910010.0,51,10022,24 Hours; Closing for Events; Restricted Hours
M020001,"60 EAST 8 STREET, New York, NY 10003",40.730499,-73.993076,1005487501.0,32,10003,24 Hours
M050033,"55 EAST 52 STREET, New York, NY 10055",40.759124,-73.973671,1012880027.0,51,10055,Restricted Hours
M080033,"900 PARK AVENUE, New York, NY 10075",40.776088,-73.960695,1014917501.0,51,10075,24 Hours
M080023,"300 EAST 74 STREET, New York, NY 10021",40.769607,-73.957212,1014480003.0,1,10021,Restricted Hours
M050043,"1221 SIXTH AVENUE, New York, NY 10036",40.759381,-73.982067,1010010029.0,51,10036,24 Hours
M080001,"118 EAST 60 STREET, New York, NY 10022",40.762812,-73.968648,1013940007.0,51,10022,24 Hours
M080094,"400 EAST 84 STREET, New York, NY 10028",40.775165,-73.950164,1015630004.0,1,10028,24 Hours
