bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,comparable_rental_3_building_classification,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,bronx_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_2_address,bronx_cooperatives_comparable_properties_gross_sqft,bronx_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_1_expense_per_sqft,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_2_gross_income_per_sqft,bronx_cooperatives_comparable_properties_market_value_per_sqft,bronx_cooperatives_comparable_properties_full_market_value,comparable_rental_2_estimated_expense,community_council,comparable_rental_1_total_units,comparable_rental_3_distance_from_coop_in_miles
2-03295-0033,"{'latitude': '40.868821027506', 'longitude': '-73.889321886789', 'human_address': '{""address"": ""2830 BRIGGS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.8688,-73.88937,C7-WALK-UP,329561,1010000,11.96,"{'latitude': '40.868466962961', 'longitude': '-73.888414899322', 'human_address': '{""address"": ""2835 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",51060,610678,6.36,0.09,11.96,36.84,1881000,194519,15.0,72,0
2-05795-0518,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3530 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.886429,-73.912248, ,553390,1969000,12.0,"{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",312000,3744000,4.63,0.11,11.75,32.65,10186000,298924,11.0,57, 
2-03343-0076,"{'latitude': '40.875813496168', 'longitude': '-73.87630549726', 'human_address': '{""address"": ""3245 PERRY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.875766,-73.876304,D1-ELEVATOR,187498,927000,12.3,"{'latitude': '40.879219416478', 'longitude': '-73.88308230934', 'human_address': '{""address"": ""51 MOSHOLU PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",41000,504300,5.53,0.57,9.69,36.63,1502000,273742,11.0,42,1.93
2-05792-0422,"{'latitude': '40.886174879493', 'longitude': '-73.908768870371', 'human_address': '{""address"": ""3512 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.885718,-73.908943,D1-ELEVATOR,553390,3565000,13.91,"{'latitude': '40.885270655874', 'longitude': '-73.907787840625', 'human_address': '{""address"": ""511 235 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",43000,598130,4.63,0.05,13.91,45.79,1969000,348839,11.0,57,0.09
2-03398-0097,"{'latitude': '40.898939297048', 'longitude': '-73.862227754106', 'human_address': '{""address"": ""4295 WEBSTER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.899231,-73.86211,D1-ELEVATOR,406210,1933000,12.38,"{'latitude': '40.888362327284', 'longitude': '-73.86213681348', 'human_address': '{""address"": ""641 225 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",57840,716059,6.09,2.85,11.33,36.84,2131000,414666,11.0,78,0.5
2-03901-0031,"{'latitude': '40.836090745979', 'longitude': '-73.86516757362', 'human_address': '{""address"": ""1430 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.836194,-73.865208,D1-ELEVATOR,739023,4004000,11.16,"{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",217800,2430648,5.63,0.53,11.16,42.49,9255000,596640,18.0,159,0.16
2-05759-0364,"{'latitude': '40.883444836663', 'longitude': '-73.907775609496', 'human_address': '{""address"": ""3240 RIVERDALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.883355,-73.90793,D1-ELEVATOR,806632,4972000,12.64,"{'latitude': '40.882995283021', 'longitude': '-73.903440283547', 'human_address': '{""address"": ""3424 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",67987,859356,5.03,0.22,12.66,37.05,2519000,793514,11.0,85,0.19
2-05771-0041,"{'latitude': '40.887492918014', 'longitude': '-73.906053246915', 'human_address': '{""address"": ""474 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,, ,553390,4599000,12.0,"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",76500,918000,4.63,0.16,11.25,38.68,2959000,801013,,57, 
2-05907-0362,"{'latitude': '40.889606376858', 'longitude': '-73.911526714719', 'human_address': '{""address"": ""620 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,806632,4322000,12.85,"{'latitude': '40.887600254178', 'longitude': '-73.90868609313', 'human_address': '{""address"": ""3660 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",119600,1536860,5.03,0.33,13.24,44.46,5317000,765281,,85,0.08
2-02700-0053,"{'latitude': '40.824954497085', 'longitude': '-73.896886103878', 'human_address': '{""address"": ""1061 INTERVALE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.824941,-73.896857,C7-WALK-UP,100418,302000,9.89,"{'latitude': '40.825628132388', 'longitude': '-73.895806455721', 'human_address': '{""address"": ""1086 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",20825,205959,4.0,0.15,9.96,29.15,607000,100095,17.0,25,0.38
2-02410-0032,"{'latitude': '40.818281553805', 'longitude': '-73.920240886156', 'human_address': '{""address"": ""320 151 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,C1-WALK-UP,74506,498000,13.53,"{'latitude': '40.809989155852', 'longitude': '-73.920879112364', 'human_address': '{""address"": ""451 140 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",7560,102287,7.9,0.55,13.53,37.7,285000,103814,,20,0.55
2-03252-0052,"{'latitude': '40.882662017829', 'longitude': '-73.890040487355', 'human_address': '{""address"": ""3965 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.882587,-73.889936, ,1163175,9429000,9.39,"{'latitude': '40.850282871762', 'longitude': '-73.90065969534', 'human_address': '{""address"": ""2010 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",425070,3991487,5.94,1.97,11.44,19.04,8093000,2823485,11.0,322, 
2-03130-0100,"{'latitude': '40.841457107807', 'longitude': '-73.880565351805', 'human_address': '{""address"": ""1010 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,, ,490752,1870000,12.71,"{'latitude': '40.844659679777', 'longitude': '-73.878312290716', 'human_address': '{""address"": ""990 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",214344,2724312,5.1,0.1,13.49,37.25,7985000,443322,,96, 
2-02462-0033,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1100 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D6-ELEVATOR,488905,3210000,7.26,"{'latitude': '40.832793163377', 'longitude': '-73.918056396437', 'human_address': '{""address"": ""185 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",107841,783361,6.01,0.1,10.28,13.1,1413000,748623,,107,0.09
2-03344-0102,"{'latitude': '40.880501106972', 'longitude': '-73.875774047255', 'human_address': '{""address"": ""3535 KINGS COLLEGE PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.880577,-73.875724, ,859246,5745000,11.11,"{'latitude': '40.870675595369', 'longitude': '-73.902640773202', 'human_address': '{""address"": ""2735 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",160000,1777600,4.57,2.87,13.39,30.86,4938000,974840,11.0,120, 
2-03095-0001,"{'latitude': '40.846734186008', 'longitude': '-73.889777010932', 'human_address': '{""address"": ""705 179 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,C1-WALK-UP,113956,496000,10.01,"{'latitude': '40.850058089353', 'longitude': '-73.885969751409', 'human_address': '{""address"": ""743 182 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",30000,300300,6.36,0.23,10.93,22.8,684000,135607,,41,0.27
2-03263-0225,"{'latitude': '40.882253491449', 'longitude': '-73.897027479712', 'human_address': '{""address"": ""75 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,639811,1958000,10.51,"{'latitude': '40.865494989354', 'longitude': '-73.891424437396', 'human_address': '{""address"": ""2670 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",77000,809270,5.85,1.0,9.41,27.39,2109000,435174,,72,2.38
2-05953-0550,"{'latitude': '40.904351291388', 'longitude': '-73.906294899245', 'human_address': '{""address"": ""5600 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.904441,-73.906291, ,589366,4290000,14.23,"{'latitude': '40.889579457198', 'longitude': '-73.911174785847', 'human_address': '{""address"": ""600 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",395000,5620850,5.35,0.45,13.69,49.14,19412000,701622,11.0,73, 
2-03311-0001,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3127 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D1-ELEVATOR,535376,3713000,10.49,"{'latitude': '40.875096159713', 'longitude': '-73.887583677649', 'human_address': '{""address"": ""3121 VILLA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",128900,1352161,4.34,0.08,10.15,29.26,3772000,486286,,65,0.11
2-03092-0006,"{'latitude': '40.845958864518', 'longitude': '-73.890627388925', 'human_address': '{""address"": ""1974 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.845929,-73.890676,C7-WALK-UP,113956,435000,9.77,"{'latitude': '40.846247830163', 'longitude': '-73.883732726692', 'human_address': '{""address"": ""2116 CROTONA PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",24100,235457,6.36,0.29,9.77,22.07,532000,118759,17.0,41,0.35
2-03280-0013,"{'latitude': '40.86829433307', 'longitude': '-73.883727818096', 'human_address': '{""address"": ""2962 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.868371,-73.883629,D1-ELEVATOR,199017,2145000,11.02,"{'latitude': '40.869575835091', 'longitude': '-73.883264102385', 'human_address': '{""address"": ""2976 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",43195,476009,6.47,0.05,11.02,33.8,1460000,376775,11.0,36,0.11
2-02683-0041,"{'latitude': '40.81245139545', 'longitude': '-73.903133881487', 'human_address': '{""address"": ""571 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.812457,-73.903039,C7-WALK-UP,185960,1375000,14.32,"{'latitude': '40.820807036696', 'longitude': '-73.895926603199', 'human_address': '{""address"": ""935 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",25926,371260,7.83,0.89,14.33,39.27,1018000,213822,17.0,21,0.31
2-05141-0120,"{'latitude': '40.869509649521', 'longitude': '-73.829054961098', 'human_address': '{""address"": ""2049 BARTOW AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.869472,-73.828582, ,9539762,55466000,11.73,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1325 PENNSYLVANIA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",13540113,158825525,7.0,5.1,13.86,26.88,363902000,12168435,12.0,8271, 
2-04289-0020,"{'latitude': '40.852344857511', 'longitude': '-73.865231854052', 'human_address': '{""address"": ""764 BRADY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.850964,-73.865879, ,172128,2655000,11.08,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1960 WILLIAMSBRIDGE ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",94000,1041520,6.36,0.15,12.3,30.81,2896000,461008,13.0,45, 
2-03356-0096,"{'latitude': '40.880080323675', 'longitude': '-73.873376960105', 'human_address': '{""address"": ""316 211 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,, ,83343,432000,11.07,"{'latitude': '40.877200096155', 'longitude': '-73.873029244118', 'human_address': '{""address"": ""3370 DECATUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",16600,183762,6.16,0.13,10.24,25.6,425000,97550,,21, 
2-03659-0001,"{'latitude': '40.822948904925', 'longitude': '-73.871017911381', 'human_address': '{""address"": ""920 METCALF AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.823477,-73.871152,D7-ELEVATOR,588433,7891000,11.67,"{'latitude': '40.822078429909', 'longitude': '-73.892911569022', 'human_address': '{""address"": ""975 SIMPSON STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",212300,2477541,6.97,0.7,11.67,29.14,6186000,2511711,18.0,129,1.28
2-02794-0062,"{'latitude': '40.843769504069', 'longitude': '-73.908825952402', 'human_address': '{""address"": ""221 173 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,D5-ELEVATOR,294411,1517000,15.71,"{'latitude': '40.835554324423', 'longitude': '-73.912792431948', 'human_address': '{""address"": ""1295 MORRIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",32150,505077,8.02,0.54,15.71,43.51,1399000,326047,,30,0.56
2-05748-0500,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3001 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.882699,-73.9161,D1-ELEVATOR,553390,1969000,11.78,"{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",140000,1649200,4.63,0.42,11.75,37.09,5192000,298924,11.0,57,0.11
2-05909-0970,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4555 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.892797,-73.908499,D1-ELEVATOR,649321,4599000,12.25,"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",217360,2662660,7.11,0.17,11.25,44.03,9570000,801013,11.0,90,0.38
2-05745-0001,"{'latitude': '40.88178886635', 'longitude': '-73.921407259442', 'human_address': '{""address"": ""2621 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.881995,-73.921164,D1-ELEVATOR,806632,1969000,11.75,"{'latitude': '40.886372374526', 'longitude': '-73.910726409353', 'human_address': '{""address"": ""3555 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",231154,2716060,5.03,0.58,11.75,38.64,8932000,298924,11.0,85,0.31
2-04341-0001,"{'latitude': '40.858899993647', 'longitude': '-73.868922833194', 'human_address': '{""address"": ""665 THWAITES PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.858853,-73.868957, ,1309082,1857000,12.68,"{'latitude': '40.861388476294', 'longitude': '-73.868319127862', 'human_address': '{""address"": ""679 WARING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",125891,1596298,7.63,0.05,12.59,36.53,4599000,325629,15.0,512, 
2-05259-0016,"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879631,-73.836703, ,1722111,9031000,12.94,"{'latitude': '40.877675801423', 'longitude': '-73.846757626733', 'human_address': '{""address"": ""3437 EASTCHESTER ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",256000,3312640,7.05,0.75,14.07,39.68,10157000,2273586,12.0,292, 
2-03931-0006,"{'latitude': '40.834532887062', 'longitude': '-73.861460203206', 'human_address': '{""address"": ""1910 MC GRAW AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834548,-73.861478,D7-ELEVATOR,373267,2369000,11.45,"{'latitude': '40.83151202789', 'longitude': '-73.860929502324', 'human_address': '{""address"": ""1236 VIRGINIA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",57000,652650,5.1,0.16,10.08,14.72,839000,543784,18.0,61,0.23
2-03144-0018,"{'latitude': '40.853458694566', 'longitude': '-73.899556698315', 'human_address': '{""address"": ""2122 VALENTINE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.853422,-73.899596,C1-WALK-UP,53298,724000,11.38,"{'latitude': '40.85690882679', 'longitude': '-73.903387241676', 'human_address': '{""address"": ""62 182 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",19715,224357,7.32,0.2,11.38,32.92,649000,155470,15.0,16,0.32
2-04322-0051,"{'latitude': '40.8557379344', 'longitude': '-73.862926381466', 'human_address': '{""address"": ""2165 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.85569,-73.862905, ,377495,2392000,12.34,"{'latitude': '40.854776923166', 'longitude': '-73.863842562522', 'human_address': '{""address"": ""2162 BARNES AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",58500,721890,6.63,0.0,12.32,36.24,2120000,436593,13.0,71, 
2-02608-0019,"{'latitude': '40.828015136085', 'longitude': '-73.906146594525', 'human_address': '{""address"": ""1109 FRANKLIN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.827831,-73.906312,C7-WALK-UP,74613,294000,6.99,"{'latitude': '40.829636806559', 'longitude': '-73.907290450748', 'human_address': '{""address"": ""494 167 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",24750,173014,6.35,0.09,16.61,12.89,319000,127431,16.0,24,0.35
2-03218-0074,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2265 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,, ,202058,999000,10.88,"{'latitude': '40.861083442631', 'longitude': '-73.90884951969', 'human_address': '{""address"": ""2300 LORING PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",46440,505267,5.83,0.12,10.84,27.97,1299000,311444,,42, 
2-03931-0001,"{'latitude': '40.834090529726', 'longitude': '-73.860785705163', 'human_address': '{""address"": ""1332 METROPOLITAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834131,-73.860919,D1-ELEVATOR,373267,2387000,11.75,"{'latitude': '40.83174319951', 'longitude': '-73.857697297133', 'human_address': '{""address"": ""1990 ELLIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",67800,796650,5.1,0.16,12.06,42.51,2882000,500946,18.0,61,0.2
2-02504-0036,"{'latitude': '40.83024922701', 'longitude': '-73.928498515152', 'human_address': '{""address"": ""941 JEROME AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.830182,-73.928481,D1-ELEVATOR,433215,1564000,12.0,"{'latitude': '40.831522093197', 'longitude': '-73.922113821767', 'human_address': '{""address"": ""101 165 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",114941,1379292,7.32,0.16,11.72,29.81,3426000,434893,8.0,79,0.26
2-05909-0977,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4525 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.891386,-73.908483, ,639811,4322000,13.15,"{'latitude': '40.887600254178', 'longitude': '-73.90868609313', 'human_address': '{""address"": ""3660 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",201511,2649870,5.85,0.17,13.24,44.0,8866000,765281,11.0,72, 
