latitude,longitude,comparable_rental_2_market_value_per_sqft,bronx_cooperatives_comparable_properties_expense_per_sqft,bronx_cooperatives_comparable_properties_net_operating_income,comparable_rental_3_estimated_expense,census_tract,bin,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_total_units,comparable_rental_2_estimated_gross_income
40.849667,-73.887251,17.85,4.42,57298,"121,214",373.0,2012404.0,10.01,2-03114-0071,46,435533
40.855369,-73.903696,42.2,6.83,83447,"153,184",239.0,2013970.0,11.29,2-03186-0030,49,601161
40.848002,-73.891027,34.3,6.46,60538,"94,222",373.0,2012016.0,10.93,2-02909-0012,28,240786
,,35.09,7.88,113808, ,,,17.04,,26,233675
40.864448,-73.890957,27.22,6.64,346085,"327,750",40502.0,2016467.0,9.41,2-03283-0055,60,662981
,,43.31,6.51,2103247, ,,,23.0,,115,1854672
,,31.97,5.24,99918,"133,045",,,11.39,2-03151-0012,46,373690
,,16.05,6.29,341965,"815,410",,,10.78,2-02461-0001,99,840877
40.847659,-73.910152,18.54,6.87,125504,"134,703",22701.0,2007880.0,11.23,2-02889-0018,51,471744
,,37.56,5.95,77437,"80,629",,,8.53,2-02504-0053,27,383419
,,25.59,6.62,88615,"89,624",,,10.43,2-03293-0043,11,155176
40.861793,-73.869411,34.32,6.95,1274180, ,33202.0,2051242.0,15.02,,512,3254182
40.893697,-73.908509,50.2,5.34,431093,"264,788",30701.0,2085811.0,14.07,2-05825-1572,66,986536
40.823465,-73.901571,30.6,5.63,168818,"265,330",133.0,2004849.0,10.51,2-02623-0188,42,371319
40.851946,-73.864897,24.93,5.49,325646,"436,593",22404.0,2048800.0,10.33,2-04322-0025,42,536590
40.85267,-73.864881,31.18,5.22,1135344,"809,160",22404.0,2048821.0,12.02,2-04286-0013,157,1982253
40.901183,-73.862761,34.14,7.09,686905, ,45102.0,2019824.0,13.4,,127,1515163
,,38.47,6.48,211500, ,,,8.9,,27,380427
40.816566,-73.896621,23.62,7.12,99330,"78,844",89.0,2005745.0,12.55,2-02430-0033,16,156326
40.820212,-73.894924,43.19,6.18,65378, ,87.0,2097216.0,11.39,,15,195840
40.906656,-73.906827,43.78,7.65,2728958, ,323.0,2086319.0,15.09,,72,1137030
40.888257,-73.904958,55.7,5.45,1577621,"1,045,025",335.0,2084039.0,13.24,2-05903-0283,55,890050
40.813725,-73.899443,48.29,9.71,253847,"320,197",85.0,2005724.0,14.01,2-02674-0027,43,455390
,,40.42,7.16,363377,"335,602",,,13.69,2-05793-0467,77,1415876
40.905591,-73.899904,46.31,6.06,350610,"784,441",345.0,2085034.0,14.77,2-05845-1799,84,1033731
,,21.37,6.31,154642,"304,195",,,10.93,2-02429-0034,44,399962
,,43.62,6.2,35655,"118,837",,,9.54,2-02422-0010,27,235136
40.849035,-73.889507,22.25,6.62,46970, ,373.0,2012360.0,10.93,,41,312306
40.832295,-73.859314,26.1,5.89,730968, ,72.0,2025916.0,11.45,,209,2257592
40.829554,-73.814845,33.52,5.39,430776, ,160.0,2078259.0,13.22,,46,545580
40.867449,-73.894842,18.38,4.9,403263,"352,275",40304.0,2017481.0,10.08,2-03314-0057,49,571103
40.87807,-73.917484,22.76,6.45,2937550, ,29302.0,2083246.0,12.83,,65,715469
40.878823,-73.898542,30.41,6.51,461580,"560,265",279.0,2015803.0,9.56,2-05784-0340,67,887960
,,24.05,5.04,289484,"116,812",,,10.34,2-03311-0112,43,528104
,,16.82,6.71,47369,"102,120",,,9.96,2-02980-0046,58,412647
,,32.52,6.31,740540, ,,,12.79,,66,629252
40.889874,-73.912883,43.78,5.03,876490,"554,033",309.0,2085872.0,13.69,2-05798-0077,72,1137030
,,26.1,4.92,365217,"703,535",,,8.08,2-02456-0163,117,1264238
40.872985,-73.900756,28.01,5.8,322040, ,26702.0,2015403.0,11.46,,79,821285
,,46.09,4.63,577192,"335,602",,,9.57,2-05793-0467,87,1304480
40.847123,-73.885094,29.04,6.37,113005, ,36501.0,2012994.0,9.77,,11,109850
40.830039,-73.901727,16.35,3.51,114928,"85,397",149.0,2004311.0,9.25,2-02971-0010,20,139290
40.881195,-73.908042,38.69,5.35,643500,"974,840",289.0,2091858.0,13.24,2-03253-0063,138,1626498
,,20.35,6.05,1061362,"734,305",,,10.26,2-02473-0043,107,1390039
40.887566,-73.909469,39.22,6.19,710515, ,297.0,2084196.0,13.24,,64,1137489
40.856629,-73.875725,29.52,6.24,332057,"460,533",334.0,,9.47,2-04338-0006,60,663226
40.845216,-73.826436,31.43,5.5,760105,"235,580",26602.0,2046201.0,13.22,2-04172-0007,80,840441
