daily_task_id,medical_waste,date_worked,gispropnum,napsw,ncrew
1583173,No,2023-04-21T00:00:00.000,B126,0,1
1582544,No,2023-04-22T00:00:00.000,Q333,1,1
1581617,No,2023-04-19T00:00:00.000,B300,0,2
1581779,No,2023-04-17T00:00:00.000,X272,0,1
1580078,No,2023-04-13T00:00:00.000,X013,0,1
1580540,No,2023-04-18T00:00:00.000,,0,6
1.58e+06,No,2023-04-17T00:00:00.000,X034-XZ442,0,2
1580188,No,2023-04-17T00:00:00.000,X061,0,1
1579778,No,2023-04-16T00:00:00.000,M199,1,4
1580397,No,2023-04-18T00:00:00.000,,1,2
1580677,No,2023-04-17T00:00:00.000,B223E,0,2
1581293,No,2023-04-18T00:00:00.000,BZ28,1,4
1582276,No,2023-04-21T00:00:00.000,M056,0,2
1579320,No,2023-04-15T00:00:00.000,R061,1,8
1581185,No,2023-04-19T00:00:00.000,X292,0,2
1582926,No,2023-04-22T00:00:00.000,X010,0,2
1582113,No,2023-04-20T00:00:00.000,B087,0,1
1579143,No,2023-04-16T00:00:00.000,Q471,2,7
158078900.00%,No,2023-04-18T00:00:00.000,B326,1,3
1580110,No,2023-04-10T00:00:00.000,B057,0,1
1580997,Yes,2023-04-17T00:00:00.000,Q300,1,3
1579935,No,2023-04-12T00:00:00.000,XZ25,0,1
1581602,No,2023-04-20T00:00:00.000,B316,1,3
1581578,No,2023-04-19T00:00:00.000,M012,0,2
1582024,No,2023-04-20T00:00:00.000,M098,0,9
1582602,No,2023-04-19T00:00:00.000,M072-MZ405,2,10
1580307,No,2023-04-12T00:00:00.000,B310,0,5
1579770,No,2023-04-16T00:00:00.000,X008,0,3
1579834,No,2023-04-17T00:00:00.000,Q347,1,1
1582914,No,2023-04-22T00:00:00.000,,1,2
1581731,No,2023-04-16T00:00:00.000,XZ53,0,1
1580987,No,2023-04-19T00:00:00.000,M166,1,2
1580200,No,2023-04-17T00:00:00.000,R075B,1,4
1581718,No,2023-04-20T00:00:00.000,Q094,0,2
1580820,No,2023-04-18T00:00:00.000,Q005,0,1
1580943,No,2023-04-16T00:00:00.000,,0,2
1580416,No,2023-04-18T00:00:00.000,Q100A,1,1
1.58e+06,No,2023-04-13T00:00:00.000,X148K3,0,2
158125200.00%,No,2023-04-19T00:00:00.000,X286,1,2
1581234,No,2023-04-18T00:00:00.000,R106,0,2
1581149,No,2023-04-17T00:00:00.000,M056,0,2
1580974,No,2023-04-17T00:00:00.000,RZ38,0,1
1581332,No,2023-04-19T00:00:00.000,,1,4
1580139,No,2023-04-13T00:00:00.000,X025-XZ390,0,3
1.58e+06,No,2023-04-10T00:00:00.000,Q346,0,1
1579633,No,2023-04-16T00:00:00.000,M094,1,4
1581449,No,2023-04-19T00:00:00.000,,1,3
1582036,No,2023-04-21T00:00:00.000,Q398,1,2
1694500,No,2023-10-24T00:00:00.000,,1,2
1581127,No,2023-04-17T00:00:00.000,R027A,1,2
1579871,No,2023-04-14T00:00:00.000,X045,0,2
1580001,No,2023-04-12T00:00:00.000,BZ495,1,1
1581843,No,2023-04-20T00:00:00.000,MZ62,0,4
1582004,No,2023-04-20T00:00:00.000,X300,0,2
1582402,No,2023-04-20T00:00:00.000,R025,0,1
1580571,No,2023-04-18T00:00:00.000,XZ324,1,1
1579419,No,2023-04-16T00:00:00.000,B087,1,1
1579294,Yes,2023-04-13T00:00:00.000,B223NC,0,2
1581114,No,2023-04-18T00:00:00.000,RZ118,0,4
1583089,No,2023-04-21T00:00:00.000,M104,2,13
1581581,No,2023-04-20T00:00:00.000,X033,0,2
1581358,No,2023-04-19T00:00:00.000,MZG003,0,1
1579320,No,2023-04-15T00:00:00.000,R124,1,8
1582101,No,2023-04-21T00:00:00.000,,0,4
1579347,No,2023-04-14T00:00:00.000,Q289,1,1
1580804,No,2023-04-18T00:00:00.000,,0,2
1582928,No,2023-04-17T00:00:00.000,B294,0,1
1582056,No,2023-04-21T00:00:00.000,M056,1,3
1580251,No,2023-04-17T00:00:00.000,X136,0,2
1582883,No,2023-04-22T00:00:00.000,X092,1,1
1579148,No,2023-04-15T00:00:00.000,Q306,0,1
1.58e+06,No,2023-04-16T00:00:00.000,,1,3
1580188,No,2023-04-17T00:00:00.000,X061,0,1
1578502,No,2023-04-13T00:00:00.000,RZ217,1,6
1579949,No,2023-04-15T00:00:00.000,,0,4
1581470,No,2023-04-19T00:00:00.000,B313,1,1
1579933,No,2023-04-17T00:00:00.000,R022,1,4
1581790,No,2023-04-20T00:00:00.000,,0,3
1580226,No,2023-04-09T00:00:00.000,B073,0,3
1579768,No,2023-04-16T00:00:00.000,XZ209,0,2
1579573,No,2023-04-16T00:00:00.000,M077,1,2
1581816,No,2023-04-20T00:00:00.000,,1,1
1693674,No,2023-10-24T00:00:00.000,Q405,0,1
1579717,No,2023-04-16T00:00:00.000,B383,0,5
1579756,No,2023-04-15T00:00:00.000,Q021,0,1
1580117,No,2023-04-17T00:00:00.000,X010,0,3
1579715,No,2023-04-14T00:00:00.000,B237,1,6
1581784,No,2023-04-17T00:00:00.000,X194,0,1
1581820,No,2023-04-20T00:00:00.000,Q099,0,2
1581296,No,2023-04-19T00:00:00.000,,0,3
1582199,No,2023-04-21T00:00:00.000,B264,1,2
1580008,No,2023-04-15T00:00:00.000,X010,0,2
1580875,No,2023-04-18T00:00:00.000,B126,0,1
1581252,No,2023-04-19T00:00:00.000,X286,1,2
1580101,No,2023-04-17T00:00:00.000,,0,4
1581868,No,2023-04-20T00:00:00.000,M028,0,5
1580059,No,2023-04-11T00:00:00.000,XZ01,0,1
1582646,No,2023-04-21T00:00:00.000,Q462,1,5
1581304,No,2023-04-18T00:00:00.000,Q066C,2,4
1579949,No,2023-04-15T00:00:00.000,,0,4
1580045,No,2023-04-09T00:00:00.000,X010,0,1
1579431,No,2023-04-16T00:00:00.000,X041,1,2
1579363,Yes,2023-04-14T00:00:00.000,B124,0,5
1581156,No,2023-04-19T00:00:00.000,X092,1,4
1582461,No,2023-04-21T00:00:00.000,B040,0,7
1580078,No,2023-04-13T00:00:00.000,X013,0,1
1581682,No,2023-04-18T00:00:00.000,X010,1,1
1581709,No,2023-04-20T00:00:00.000,BZ100,0,4
1580910,No,2023-04-19T00:00:00.000,Q032,0,1
1581739,No,2023-04-20T00:00:00.000,B252,1,6
1580241,No,2023-04-17T00:00:00.000,,0,6
1580190,No,2023-04-17T00:00:00.000,M144,0,4
1580025,No,2023-04-17T00:00:00.000,X152,1,1
1580832,Yes,2023-04-18T00:00:00.000,X-07,0,1
1579445,No,2023-04-16T00:00:00.000,X153,0,5
1699432,No,2023-11-06T00:00:00.000,Q301,0,1
1783321,No,2024-04-24T00:00:00.000,R070,1,5
1581885,No,2023-04-19T00:00:00.000,X159,0,1
1581575,No,2023-04-20T00:00:00.000,Q402,1,2
1582759,No,2023-04-17T00:00:00.000,B329,0,1
1582213,No,2023-04-21T00:00:00.000,M037,0,4
1579763,No,2023-04-13T00:00:00.000,M105,0,3
1582886,No,2023-04-22T00:00:00.000,X053,1,2
1582421,No,2023-04-21T00:00:00.000,,1,9
1580648,No,2023-04-18T00:00:00.000,,1,5
1579902,No,2023-04-13T00:00:00.000,XZ54,0,1
1580936,No,2023-04-19T00:00:00.000,RZ73,1,4
1579815,No,2023-04-16T00:00:00.000,X036,1,3
1579770,No,2023-04-16T00:00:00.000,X008,0,3
1.58e+06,No,2023-04-17T00:00:00.000,M035,1,2
1582233,No,2023-04-20T00:00:00.000,Q245,0,3
1582455,No,2023-04-21T00:00:00.000,Q099,0,5
1580538,No,2023-04-18T00:00:00.000,M239,1,2
1581586,No,2023-04-20T00:00:00.000,X038,1,4
1581909,No,2023-04-20T00:00:00.000,X010,0,2
1581863,No,2023-04-20T00:00:00.000,M108F,0,2
1582627,No,2023-04-16T00:00:00.000,M071-MZ80,2,5
1580934,No,2023-04-19T00:00:00.000,Q063,1,2
1579934,No,2023-04-17T00:00:00.000,X035,0,3
1581731,No,2023-04-16T00:00:00.000,XZ53,0,1
1581806,Yes,2023-04-20T00:00:00.000,M031,1,3
1579655,No,2023-04-16T00:00:00.000,B159,1,2
1581125,No,2023-04-19T00:00:00.000,B265,0,1
1581004,No,2023-04-19T00:00:00.000,R150,0,4
1580655,No,2023-04-16T00:00:00.000,Q104,0,2
1579545,No,2023-04-14T00:00:00.000,B329,0,1
1581271,No,2023-04-19T00:00:00.000,M228,0,1
1582222,No,2023-04-21T00:00:00.000,,0,3
1581470,No,2023-04-19T00:00:00.000,B262,1,1
1582549,No,2023-04-22T00:00:00.000,R022,1,8
1580389,No,2023-04-17T00:00:00.000,BZ110,0,1
1581831,No,2023-04-20T00:00:00.000,,0,1
1582637,No,2023-04-21T00:00:00.000,M094,0,1
1580588,No,2023-04-14T00:00:00.000,B223K,0,2
1580620,No,2023-04-11T00:00:00.000,B222,0,1
1580044,No,2023-04-15T00:00:00.000,M270,0,3
1581906,No,2023-04-20T00:00:00.000,X118,0,2
1580055,No,2023-04-13T00:00:00.000,X010,0,1
1581670,No,2023-04-16T00:00:00.000,X284,0,1
1582589,No,2023-04-20T00:00:00.000,X039,1,2
1580784,No,2023-04-18T00:00:00.000,,2,6
