daily_task_activity_id,fiscal_qtr,vehicle_number,district,fiscal_day
6350554,2023Q4,5770.0,B-12,290
6351642,2023Q4,7434.0,B-08,290
6.36e+06,2023Q4,5773.0,X-09,291
6363672,2023Q4,5007.0,X-10,290
6358070,2023Q4,,M-09,292
6361805,2023Q4,8251.0,M-11R,291
6353958,2023Q4,5444.0,Q-07,291
6348312,2023Q4,4834.0,,289
6350330,2023Q4,7218.0,M-11,290
6346115,2023Q4,7173.0,M-09,284
6364589,2023Q4,,B-03,292
6350247,2023Q4,8249.0,B-11,289
6358386,2023Q4,8349.0,,293
6357084,2023Q4,5143.0,B-06,292
6352280,2023Q4,8493.0,X-15,290
6362490,2023Q4,0.0,M-09,294
6362994,2023Q4,5191.0,Q-07,295
6347971,2023Q4,3595.0,,289
6361508,2023Q4,8616.0,M-01,294
6885376,2024Q2,8315.0,Q-12,128
6348745,2023Q4,209.0,X-13,289
6348409,2023Q4,,M-03,286
6349751,2023Q4,7520.0,X-15A,290
6357564,2023Q4,4629.0,X-04,292
6359773,2023Q4,686.0,,293
6363639,2023Q4,,B-18,290
6359380,2023Q4,8604.0,B-10,293
6361568,2023Q4,8603.0,B-01,294
6350723,2023Q4,7087.0,,290
6614897,2024Q1,4598.0,Q-15,25
6363131,2023Q4,8480.0,Q-01,295
6346449,2023Q4,8477.0,M-10,289
6.35e+06,2023Q4,644.0,X-09,286
6363219,2023Q4,8280.0,X-01,295
6352292,2023Q4,8347.0,B-01,291
6351279,2023Q4,,M-12,290
6359415,2023Q4,7144.0,R-01,291
6349553,2023Q4,,X-03,282
