jun_18,mar_18,apr_12,jan_11,jan_18,apr_13,may_15,jul_14,geographic_unit,jun_14,feb_16,oct_10,agency,jun_15,dec_16,dec_15,nov_18,aug_18,nov_10,jan_14,oct_11,sep_12,apr_16,jul_13,dec_12
20.67,19.18,13.80,17.15,20.52,14.53,16.30,16.44,Community District,17.34,21.23,15.83,DSNY,18.44,20.09,19.43,20.18,19.27,14.62,17.91,14.25,14.78,18.97,15.69,14.44
100.00,94.87,96.00,100.00,92.14,89.20,94.64,89.90,Community District,92.00,88.04,93.90,DSNY,88.68,93.51,90.08,,97.19,92.70,88.70,85.40,96.10,93.93,93.30,97.20
100.00,93.44,95.20,96.00,94.79,94.10,94.04,94.10,Community District,90.50,83.73,97.30,DSNY,92.78,91.65,84.68,,90.91,96.90,99.50,95.40,97.90,92.00,94.70,95.10
26.40,24.49,18.82,21.34,25.77,19.47,21.37,21.77,Community District,22.80,26.92,19.22,DSNY,23.76,24.92,24.69,25.94,24.77,18.18,22.14,18.81,16.95,24.66,20.24,20.24
,95.24,99.20,92.90,94.35,98.10,92.05,92.70,Community District,95.40,92.23,95.60,DSNY,93.05,95.46,84.53,,97.12,94.40,90.10,96.10,93.60,96.55,91.80,94.50
15.80,15.44,10.35,10.71,16.38,10.40,11.79,11.66,Community District,12.35,15.80,10.19,DSNY,13.12,15.36,14.37,15.17,15.66,9.86,13.19,10.35,10.68,13.42,11.33,11.05
18.62,18.24,13.71,13.79,16.67,13.31,15.42,14.68,Community District,15.51,19.73,13.73,DSNY,16.89,16.99,17.82,18.13,17.89,12.15,15.52,13.40,13.21,17.92,14.22,13.34
-,-,-,-,-,-,-,-,Community District,-,-,-,DSNY,-,-,-,,0.65,-,-,0.50,-,-,-,0.50
97.73,97.51,98.50,94.70,88.89,96.80,92.67,95.70,Community District,96.50,96.76,95.00,DSNY,97.98,99.17,99.17,,98.81,94.50,100.00,98.50,98.60,99.17,92.50,95.40
0,0,2,2,1,1,3,2,Precinct,2,0,2,NYPD,2,0,2,0.0,2,4,1,0,1,2,1,4
6.06,5.50,4.86,3.29,5.43,4.74,5.18,5.19,Community District,5.23,5.41,5.25,DSNY,5.66,6.19,5.63,6.28,5.98,5.54,4.96,5.08,5.21,5.60,5.25,4.46
1,5,14,8,4,9,8,5,Precinct,6,4,18,NYPD,6,5,5,15.0,10,11,4,10,13,13,8,9
