oct_14,nov_11,may_16,oct_15,sep_10,sep_16,dec_13,apr_14,may_11,oct_18,jun_13,jun_17,apr_15,aug_10,jul_12,oct_17,mar_11,aug_12
8.20,8.63,8.66,8.16,8.86,8.53,8.22,8.40,8.69,8.61,9.12,9.01,8.22,8.76,8.31,8.37,8.08,8.76
0,2,1,0,2,3,0,0,1,0,4,0,0,1,1,0,1,2
83.64,83.70,75.74,84.62,93.10,96.36,91.00,90.00,85.80,94.05,89.90,91.84,91.81,94.80,91.40,87.02,86.50,97.30
0,1,1,1,0,1,2,2,0,2,1,2,0,0,0,2,1,1
0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0
9,16,6,9,14,9,15,7,10,8,12,7,7,21,11,22,3,8
7.36,7.17,8.27,7.69,7.35,8.41,7.88,7.21,7.13,7.54,7.30,8.01,7.39,6.43,6.31,7.36,6.58,6.44
2.54,1.60,-,1.89,1.10,0.20,0.40,1.30,-,0.56,0.30,-,-,0.40,-,0.48,1.00,0.60
0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,0
37,27,38,33,30,45,22,35,31,40,34,43,33,31,43,27,39,42
21.32,20.43,25.93,23.14,21.13,25.53,21.61,22.03,21.11,27.03,22.67,28.54,22.93,20.91,16.18,25.85,19.54,16.62
5.15,5.32,5.33,5.13,5.37,5.46,5.68,5.17,5.11,5.37,5.31,5.79,5.09,4.88,4.85,5.22,5.14,4.71
14,9,10,12,11,13,11,6,15,7,7,9,11,15,16,11,16,8
16.92,17.80,17.67,16.87,18.32,18.21,19.60,17.47,18.29,16.99,20.76,19.68,16.83,17.64,16.44,15.60,18.47,16.59
4,7,3,6,11,7,11,7,4,7,2,1,6,11,8,6,8,6
3.83,4.12,4.02,3.55,4.32,3.98,4.17,4.03,4.23,4.00,4.28,4.45,3.77,3.96,3.89,3.84,3.86,3.74
10.65,10.49,13.35,12.64,11.05,14.24,11.73,11.12,10.33,15.42,11.32,16.73,11.48,10.84,10.49,14.81,10.99,10.27
94.45,91.60,95.60,95.72,95.20,93.30,93.50,97.90,98.00,95.14,90.70,91.42,90.76,91.60,94.40,92.50,93.60,96.60
5.56,5.02,6.72,6.43,5.21,6.88,5.54,5.67,4.87,6.91,5.85,7.46,5.92,4.55,4.88,6.19,5.25,4.81
0.93,1.10,1.61,-,-,1.07,-,0.50,-,-,0.50,-,1.06,-,-,-,1.70,-
49,29,36,45,24,48,34,31,35,44,21,33,31,31,40,49,38,35
7,9,6,9,10,1,7,16,5,2,6,8,7,8,8,7,9,9
63,61,63,58,56,56,46,47,62,55,66,39,48,68,56,42,62,49
12.54,11.84,13.44,13.13,12.53,13.75,13.85,12.52,11.39,13.70,12.16,13.95,12.82,12.22,12.06,13.39,13.17,11.88
96.33,96.50,97.91,92.48,98.50,91.06,94.70,95.60,96.20,96.16,95.50,100.00,96.53,95.80,93.50,97.87,95.70,96.50
14.66,15.06,15.41,15.15,15.64,15.82,16.59,15.19,14.68,16.55,15.21,15.53,15.15,15.66,15.00,18.57,15.77,14.99
1,0,1,0,1,2,1,2,0,0,2,0,1,1,1,2,0,0
1,0,0,0,2,3,1,0,0,1,2,0,1,0,1,3,0,2
11.67,12.30,11.67,11.65,11.60,11.25,11.56,11.49,11.90,11.41,12.37,12.07,11.38,11.34,11.66,11.62,11.52,11.90
42,30,45,39,33,47,36,57,22,53,49,34,33,25,44,38,22,36
30,18,28,35,25,32,19,30,26,33,32,31,23,15,37,41,10,22
14.98,13.87,18.88,16.84,14.76,19.00,16.15,15.83,13.88,19.50,16.39,21.65,16.70,14.24,14.57,19.34,14.55,14.34
1.17,0.80,1.32,1.01,0.80,0.75,-,1.50,-,5.11,0.30,-,0.90,0.40,0.80,-,-,-
26,18,16,19,26,9,23,18,26,9,15,17,10,35,22,16,25,24
4.66,4.98,4.82,4.76,4.96,5.03,4.91,4.64,4.73,5.02,5.03,5.23,4.64,4.70,4.24,4.92,4.55,4.18
1,2,2,1,1,1,2,1,0,1,2,4,4,5,1,2,2,5
93,128,85,97,108,74,115,69,119,96,119,96,89,129,97,98,95,98
108,112,90,119,129,94,101,95,100,94,105,86,110,135,124,109,93,100
-,0.40,0.50,-,-,-,-,-,-,-,-,-,-,-,0.50,-,-,0.50
-,-,-,-,0.60,1.21,1.40,-,-,1.21,-,1.21,-,-,0.60,1.15,1.50,-
89,83,76,82,90,81,94,64,72,77,90,73,75,76,87,108,70,85
53,57,53,54,42,64,48,59,37,67,64,60,51,44,40,57,39,62
93.17,92.40,94.59,94.29,96.90,95.54,100.00,88.60,96.90,90.81,95.20,97.91,95.83,98.30,95.10,93.79,99.00,94.10
36,26,8,19,30,9,23,19,14,23,17,9,26,25,39,20,19,32
115,123,111,100,110,146,142,104,113,96,111,99,100,110,145,104,95,105
37,31,24,32,30,33,33,38,28,51,44,43,30,20,27,52,38,32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,74,70,99,71,90,81,64,72,90,86,66,69,87,101,85,62,87
19.65,18.36,19.39,19.94,20.60,20.77,22.62,19.23,17.74,20.21,19.00,19.78,18.90,20.16,19.30,20.10,21.05,19.16
15,,11,17,,13,11,20,,11,12,4,17,,,7,,
11.89,12.55,11.24,11.49,12.10,11.35,11.86,11.74,12.23,11.41,12.24,11.57,11.28,12.20,11.98,11.32,12.33,12.09
18,6,9,10,1,6,6,6,13,13,12,3,3,7,8,5,15,14
0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,1,1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4.61,4.03,5.64,5.15,3.90,6.15,4.09,4.96,4.21,5.52,5.56,6.58,5.00,3.23,3.45,5.00,4.58,3.53
2,2,0,0,1,1,2,1,1,0,0,3,0,1,2,0,0,3
1,0,1,0,5,0,1,1,1,3,2,2,1,0,1,0,0,0
3,2,2,2,0,2,2,1,2,0,1,0,1,0,0,2,0,4
19.77,16.93,22.75,20.04,18.22,25.44,19.51,18.60,17.43,20.24,17.53,20.53,19.90,16.96,16.96,23.71,18.60,16.87
96,114,97,128,103,105,136,107,93,91,105,73,98,94,126,122,98,104
24,20,7,15,17,12,8,16,29,15,25,9,14,20,13,5,22,10
98.08,99.10,100.00,99.63,99.60,100.00,99.60,100.00,99.40,99.66,98.20,99.64,99.63,98.50,97.40,98.89,100.00,100.00
37,24,25,34,23,14,21,20,22,24,30,15,17,29,26,22,13,26
76.83,83.20,85.61,78.36,86.40,91.80,73.90,82.70,95.00,91.02,89.00,88.68,87.69,84.70,84.60,86.91,95.90,82.50
117,148,85,94,151,105,146,84,151,88,101,82,89,126,116,94,119,106
3,2,2,0,4,3,2,1,2,3,1,3,1,3,6,3,3,5
0.19,-,-,-,0.80,0.42,-,-,-,1.00,-,-,0.39,0.90,0.60,0.43,-,0.40
6.16,6.11,6.73,6.05,6.28,6.95,6.70,6.46,5.76,6.73,6.30,7.44,6.08,5.65,5.73,6.62,5.90,5.53
2,3,1,0,3,0,0,2,3,1,1,1,1,0,0,1,0,2
-,1.20,-,1.33,-,-,0.90,-,0.60,-,-,-,-,-,-,-,1.30,-
18.26,15.66,20.00,19.71,16.89,20.33,18.60,18.04,15.38,20.93,17.92,20.28,18.60,16.28,16.45,19.93,16.28,16.32
17.14,17.76,17.84,17.33,18.36,17.87,18.84,17.58,17.76,19.03,16.82,20.04,17.49,17.85,17.19,19.66,18.87,17.27
11,12,3,13,10,10,6,8,6,5,3,2,3,12,3,1,10,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.81,92.70,94.08,90.75,97.90,97.07,97.00,95.10,96.20,96.04,95.30,97.00,93.51,94.10,95.80,88.94,93.30,97.70
7.48,8.06,7.67,7.21,7.82,7.33,7.11,7.67,8.59,7.62,8.14,8.00,7.49,7.40,7.20,7.39,7.48,7.43
65,68,74,75,56,93,105,80,69,63,71,70,67,57,81,68,49,60
2,1,4,3,3,1,0,2,2,1,1,0,1,2,1,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,2,1,0,0,1,2,1,2,0,0,1,1,4,2,0,0,2
13.96,15.88,13.82,13.40,15.00,14.25,14.99,14.27,15.60,13.57,15.23,14.62,13.57,14.48,14.77,12.46,15.39,14.16
24.16,23.55,26.03,25.62,25.53,26.73,25.35,23.70,23.49,26.43,23.27,25.09,25.28,23.57,22.69,25.68,24.68,22.72
132,127,86,111,137,108,159,116,121,71,148,71,107,148,168,104,114,162
-,-,-,0.71,-,-,1.00,-,-,-,-,-,-,1.20,-,-,1.20,-
148,147,106,121,162,97,136,120,140,114,145,98,119,146,136,119,108,154
0.20,-,-,-,1.10,-,2.50,0.20,-,0.40,0.20,-,0.19,0.90,0.40,0.21,-,0.20
169,192,142,181,162,164,221,163,160,176,155,113,170,173,180,163,175,204
2,1,1,0,1,1,0,1,2,2,0,1,1,1,1,0,0,0
36,46,28,30,47,27,40,21,37,15,30,19,30,38,33,19,29,39
6,0,1,6,3,1,1,0,0,2,0,4,1,2,5,2,2,1
0.34,-,-,-,-,-,0.40,-,-,-,-,-,-,-,-,-,-,-
12,15,6,7,13,12,10,9,13,14,5,6,7,14,22,10,5,7
2,0,1,4,1,3,1,1,2,2,2,0,0,1,1,2,1,2
14,20,15,14,20,7,18,12,14,14,11,13,17,30,15,9,16,11
11,14,11,10,8,10,16,12,10,6,15,8,13,20,9,11,8,10
19.04,19.47,19.58,20.60,19.60,21.64,18.29,18.26,19.57,22.73,18.72,22.71,19.26,16.59,15.19,22.02,19.68,16.77
5.23,5.42,5.45,5.34,5.53,5.53,5.61,5.46,4.77,5.52,5.46,5.80,5.24,5.16,4.95,5.33,5.31,4.91
6,13,12,8,13,15,8,2,8,7,7,2,8,16,13,12,17,8
130,113,106,121,120,119,115,112,98,132,102,113,93,97,140,137,83,102
6,3,8,9,7,11,3,6,9,8,7,5,4,12,10,10,7,9
20.51,22.73,20.99,20.54,22.98,22.05,23.86,21.53,22.53,19.63,24.29,22.29,20.01,21.54,20.16,18.88,22.53,21.05
6.01,5.66,6.55,6.22,5.95,6.51,6.34,6.15,5.68,6.24,6.29,7.00,6.17,5.77,5.89,6.10,5.75,5.80
-,0.70,-,-,-,-,-,-,-,-,0.70,-,1.39,0.70,-,-,-,-
