jun_19,may_12,mar_12,may_19,oct_13,aug_17,sep_17,oct_12,indicator,aug_15,jan_16,nov_15,nov_14,mar_15,aug_11,oct_16,jul_16,apr_11,aug_16,dec_10,may_13,jul_15,feb_17,jul_18,nov_12,jan_17,mar_16,mar_13
,96.70,95.50,,95.10,97.25,95.99,95.60,Streets rated acceptably clean (%),94.89,94.92,95.82,88.06,88.38,97.30,96.31,94.17,91.30,,97.60,91.30,93.40,92.64,99.12,,94.12,95.51,89.80
0.0,3,1,0.0,1,0,1,1,Forcible rape,0,1,0,2,0,2,1,1,1,1,0,1,1,0,2,1,1,0,0
180.0,170,155,150.0,166,153,148,179,Grand larceny,195,191,199,203,145,191,168,181,174,159,254,142,188,139,186,196,169,164,146
,92.10,96.90,,92.60,98.26,92.86,89.20,Streets rated acceptably clean (%),94.07,95.95,92.69,95.68,87.97,91.20,98.84,93.07,94.50,,100.00,96.70,85.26,89.47,93.51,93.40,94.78,97.32,89.20
,98.00,94.60,,95.20,96.74,96.21,96.20,Streets rated acceptably clean (%),93.73,96.29,92.69,87.73,88.02,96.00,95.25,96.07,97.50,,99.10,96.90,91.07,95.47,96.68,,96.21,98.02,96.70
9.67,10.05,8.92,9.6,9.54,8.76,9.11,9.64,Refuse tons per truckshift,9.21,9.04,10.06,10.06,8.78,9.40,9.48,9.17,9.23,9.08,9.15,10.15,9.47,9.30,8.84,9.53,9.54,9.03,8.99
12.0,6,9,12.0,10,5,10,15,Burglary,13,16,12,8,6,10,13,12,8,10,9,8,5,7,4,8,4,12,2
0.0,0,2,1.0,0,2,1,2,Forcible rape,2,1,0,1,3,1,0,2,0,0,0,2,0,0,0,3,1,0,0
7.0,10,24,9.0,18,7,5,33,Burglary,12,12,23,14,11,18,5,5,8,13,10,15,17,2,14,47,0,10,17
3.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1
10.64,10.39,10.12,10.43,10.19,9.84,10.30,10.25,Refuse tons per truckshift,9.53,9.68,10.14,10.31,9.67,10.13,9.94,9.66,10.28,9.71,9.68,10.59,9.63,9.74,9.81,10.14,9.87,9.87,9.81
,-,-,,-,-,-,-,Sidewalks rated filthy (%),0.36,0.90,1.35,0.68,2.76,-,-,-,-,-,-,-,-,-,0.82,0.80,-,-,-
0.0,1,1,1.0,0,1,1,0,Murder and non-negligent manslaughter,0,1,0,0,0,0,0,1,0,3,1,1,0,1,0,0,1,1,2
3.0,6,9,1.0,6,5,5,1,Grand larceny auto,9,7,5,4,3,2,4,10,4,10,9,4,11,2,6,10,5,3,3
0.0,0,0,0.0,0,0,0,-1,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11.99,12.44,11.61,11.96,12.11,11.75,11.82,12.16,Refuse tons per truckshift,11.50,11.94,12.05,12.33,11.70,12.75,11.97,11.90,12.50,11.70,12.10,12.37,11.96,11.55,11.69,12.16,11.96,11.55,11.70
1.0,3,5,1.0,2,0,2,1,Forcible rape,2,0,1,3,0,3,1,0,3,2,0,1,8,1,4,2,0,1,1
78.0,131,108,112.0,114,119,119,132,Major felony crime,104,111,92,83,114,160,111,111,140,115,141,72,116,87,98,130,100,85,85
83.0,135,122,86.0,179,120,99,151,Major felony crime,144,124,115,105,120,145,128,134,101,134,129,152,121,85,114,127,101,103,107
0.0,1,0,0.0,0,0,1,0,Murder and non-negligent manslaughter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.60,1.10,,0.70,0.57,-,0.50,Streets rated filthy (%),-,0.54,0.34,1.09,1.65,0.30,-,1.14,0.50,,-,-,1.10,0.51,-,-,-,-,-
6.0,9,10,7.0,13,19,13,13,Grand larceny auto,11,12,10,9,6,5,13,7,9,10,10,20,5,11,13,8,11,7,10
,95.60,98.80,,100.00,91.05,91.91,96.10,Streets rated acceptably clean (%),96.55,95.72,97.67,95.55,72.17,94.70,96.47,96.09,94.20,97.66,98.60,94.10,95.52,95.02,95.76,97.90,97.51,98.09,97.40
17.36,15.39,13.86,15.43,14.83,15.40,16.93,12.91,Curbside and containerized mixed paper recycled tons per day,14.90,14.97,15.38,15.12,15.29,15.32,15.65,15.05,15.44,15.12,13.59,15.24,15.06,14.45,14.96,18.88,16.20,15.12,15.25
6.42,5.72,5.18,6.1,5.47,6.02,6.30,5.41,Recycling tons per truckshift,5.79,6.06,6.10,5.82,5.37,5.47,6.30,6.09,5.44,6.16,5.75,5.38,5.97,5.63,6.21,5.26,6.36,5.77,5.15
0.0,2,0,2.0,0,0,0,0,Forcible rape,1,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0
6.73,4.13,3.75,6.49,3.87,5.82,5.55,2.92,"Curbside and containerized metal, glass and plastic recycled tons per day",4.89,4.52,4.52,3.99,4.21,4.11,5.27,5.40,4.12,5.12,3.19,3.97,4.83,4.76,6.03,4.49,5.59,4.89,3.58
107.0,131,117,106.0,176,110,103,144,Major felony crime,125,137,124,132,122,177,102,122,117,111,146,140,127,97,81,132,111,102,108
0.0,1,0,0.0,3,0,0,2,Murder and non-negligent manslaughter,1,0,1,1,1,0,0,1,3,1,1,0,0,0,1,0,1,0,0
11.71,14.26,13.74,11.71,12.99,13.44,11.69,13.82,Refuse tons per truckshift,13.13,13.95,14.20,14.14,13.18,14.49,13.48,13.84,14.54,13.36,14.29,14.14,13.64,13.31,11.68,15.13,13.88,13.11,14.01
11.0,36,21,14.0,26,17,13,24,Burglary,23,15,23,25,13,18,12,19,24,19,30,23,16,10,13,23,14,21,25
11.23,11.00,9.81,10.97,10.39,10.39,10.34,10.90,Refuse tons per truckshift,10.26,9.48,9.83,10.02,9.31,11.29,9.94,10.34,10.46,10.36,9.57,11.33,10.72,9.43,11.04,11.18,9.55,9.41,10.28
2.0,1,0,1.0,1,2,1,1,Murder and non-negligent manslaughter,2,0,1,0,1,2,3,1,1,0,1,1,0,1,0,0,1,0,0
29.56,20.94,19.88,27.58,20.85,21.68,25.71,17.84,Curbside and containerized mixed paper recycled tons per day,19.96,20.41,21.13,20.24,23.40,18.77,24.74,19.44,23.01,21.07,18.12,20.96,18.96,23.16,22.35,23.28,26.00,22.68,21.19
21.95,20.23,18.28,19.2,18.23,18.83,18.58,15.59,Curbside and containerized mixed paper recycled tons per day,19.40,18.38,18.91,18.78,20.12,20.30,20.21,20.07,20.86,19.81,17.84,19.50,20.48,17.55,20.06,20.92,21.44,19.53,18.69
,98.70,99.10,,98.20,100.00,98.19,96.80,Streets rated acceptably clean (%),98.68,100.00,99.56,95.73,91.62,100.00,99.12,99.09,98.40,,100.00,99.10,98.19,92.83,100.00,97.50,99.12,96.49,98.10
8.22,4.95,4.70,7.99,5.36,7.79,7.33,3.85,"Curbside and containerized metal, glass and plastic recycled tons per day",6.80,6.86,7.04,6.38,6.93,4.82,7.63,7.46,4.75,7.32,3.83,5.32,6.82,7.30,7.07,6.61,7.85,7.96,5.10
25.42,20.47,18.31,24.18,20.85,20.07,22.74,19.37,Curbside and containerized mixed paper recycled tons per day,20.29,22.81,22.54,21.38,20.94,20.62,23.81,21.03,23.31,20.19,27.47,19.82,19.75,20.64,22.28,23.77,22.80,22.05,18.58
,94.30,97.00,,87.20,94.79,88.85,93.60,Streets rated acceptably clean (%),95.25,95.33,95.55,94.90,72.39,95.40,91.26,99.48,93.80,,96.00,92.40,90.22,91.23,98.95,87.40,92.94,94.52,95.60
54.0,55,58,57.0,75,42,53,63,Major felony crime,62,51,52,58,46,62,46,57,50,51,59,49,48,29,54,52,41,49,58
4.0,13,6,3.0,9,4,9,9,Grand larceny auto,13,8,9,7,6,16,11,4,10,10,18,12,8,7,3,6,5,14,9
3.0,10,5,4.0,10,6,10,8,Grand larceny auto,9,12,6,9,12,9,6,5,15,11,11,8,8,2,9,11,5,7,4
12.76,9.13,8.47,11.66,9.51,9.22,10.55,9.50,Curbside and containerized mixed paper recycled tons per day,10.20,9.99,11.25,10.38,10.41,9.47,11.38,10.06,11.15,9.95,11.14,9.38,9.40,9.91,10.50,12.25,11.02,10.70,8.96
26.77,25.01,23.24,22.75,23.09,22.17,22.85,19.86,Curbside and containerized mixed paper recycled tons per day,22.41,19.41,23.24,23.89,24.50,26.45,23.28,23.28,27.25,22.40,24.55,23.78,23.35,20.84,22.52,23.73,24.60,23.09,23.86
,-,-,,0.60,0.69,0.66,1.00,Sidewalks rated filthy (%),-,0.62,-,-,-,-,-,-,-,,-,-,-,-,0.64,-,-,-,-
80.0,132,137,103.0,152,122,109,140,Major felony crime,124,110,149,127,98,104,83,120,88,111,88,125,111,89,92,150,114,99,114
19.63,13.57,13.10,17.89,13.30,18.39,17.91,10.47,"Curbside and containerized metal, glass and plastic recycled tons per day",15.22,15.09,14.65,12.92,15.11,13.85,16.53,17.41,14.41,16.96,11.82,13.08,15.51,16.03,17.98,15.61,17.95,15.97,12.62
14.89,11.14,10.89,14.16,11.58,13.98,15.51,9.50,Curbside and Containerized Recycling Diversion Rate,12.80,15.21,12.83,12.01,12.86,10.14,14.35,14.29,10.39,14.31,10.16,11.47,12.73,14.31,14.16,11.51,15.83,14.48,11.59
14.14,8.66,8.38,13.66,9.00,12.70,13.54,6.68,Curbside and Containerized Recycling Diversion Rate,11.22,13.36,10.10,8.74,10.43,8.12,12.75,12.47,8.37,12.89,9.43,8.78,11.30,12.42,13.27,8.85,14.15,12.64,8.89
,-,-,,-,1.07,-,1.00,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-
1.0,3,0,1.0,0,0,1,0,Forcible rape,2,0,1,2,1,0,3,1,0,0,1,0,1,1,1,3,0,0,1
,-,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,1.67,-,-,,1.50,0.50,-,3.35,-,,-,-,1.60
2.0,7,1,4.0,8,4,3,7,Grand larceny,8,2,4,3,1,16,2,8,3,6,2,6,13,1,3,2,0,1,1
0.0,0,3,4.0,2,3,2,6,Forcible rape,0,0,1,3,2,1,3,3,2,1,0,3,2,3,2,1,2,1,0
67.0,62,48,54.0,50,76,71,45,Grand larceny,75,50,72,58,49,53,70,60,33,58,41,63,74,58,74,52,66,65,41
17.81,17.43,15.36,15.23,15.04,14.73,14.81,13.10,Curbside and containerized mixed paper recycled tons per day,15.53,14.54,15.42,15.44,15.46,17.45,16.25,16.14,17.34,15.47,15.00,15.97,16.09,13.91,15.96,14.57,17.27,15.77,15.58
,-,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,-,,-,-,-,-,-,0.70,-,-,-
24.87,18.85,19.99,23.96,19.47,23.60,23.94,16.18,Curbside and Containerized Recycling Diversion Rate,23.24,23.34,25.58,22.88,22.22,19.16,25.61,23.93,20.97,23.97,22.74,19.12,23.08,24.29,23.27,23.31,26.90,24.90,21.18
12.7,9.15,8.88,11.19,8.64,10.22,10.94,7.20,Curbside and containerized mixed paper recycled tons per day,9.79,8.99,9.48,9.76,10.31,9.77,10.08,10.44,9.75,10.16,8.34,8.82,10.55,9.43,11.26,10.19,12.09,10.25,8.81
8.0,15,13,10.0,12,9,7,18,Grand larceny auto,9,7,9,12,2,15,12,6,9,10,15,7,9,6,4,17,6,7,11
5.0,0,2,1.0,5,3,4,3,Grand larceny auto,5,0,2,1,1,2,0,4,0,4,3,1,3,0,1,4,2,0,2
,100.00,99.70,,99.30,98.53,97.69,99.30,Streets rated acceptably clean (%),99.27,98.59,100.00,100.00,98.97,99.10,99.32,98.50,98.40,99.17,100.00,99.30,99.25,100.00,100.00,100.00,98.47,97.98,95.80
1.0,6,2,3.0,1,0,1,6,Grand larceny auto,1,0,0,7,0,9,1,13,4,3,1,3,4,1,1,4,0,2,2
,0.70,-,,-,-,1.09,-,Streets rated filthy (%),-,-,-,-,-,-,1.63,-,-,,-,-,-,-,-,,-,-,-
,-,-,,0.70,-,-,-,Streets rated filthy (%),-,-,-,-,0.85,-,-,-,-,,0.80,-,-,0.75,-,-,-,-,0.60
116.0,165,161,129.0,179,150,132,188,Major felony crime,137,120,156,155,120,150,142,164,155,126,161,159,134,109,131,175,149,131,100
34.0,24,23,54.0,60,62,58,35,Grand larceny,59,49,65,30,33,18,65,53,32,69,29,29,42,58,38,40,57,38,33
7.0,7,3,10.0,10,10,14,9,Grand larceny auto,12,10,10,8,6,7,10,11,6,7,11,10,13,4,8,7,3,4,8
1.0,2,2,0.0,3,2,0,5,Grand larceny auto,0,1,3,2,1,5,6,5,0,0,3,4,2,3,1,2,3,0,3
,-,1.70,,-,-,1.64,-,Streets rated filthy (%),-,-,-,-,1.57,-,-,-,-,,-,-,-,-,-,-,-,-,-
12.0,13,7,13.0,14,21,12,10,Burglary,10,12,10,18,7,17,9,7,13,14,9,10,22,10,13,12,11,6,10
12.37,15.46,15.31,12.23,14.42,14.16,12.47,15.43,Refuse tons per truckshift,13.84,14.63,14.83,15.37,13.74,16.16,14.19,14.33,15.89,14.09,15.81,15.68,14.47,14.08,12.35,16.13,14.28,13.75,15.79
7.0,12,13,9.0,13,11,13,18,Burglary,27,9,18,14,9,26,17,11,10,19,14,11,14,7,11,8,9,13,15
4.0,3,1,0.0,4,4,4,3,Grand larceny auto,7,3,2,1,5,5,3,5,1,3,1,1,6,2,6,0,3,1,2
2.0,1,0,1.0,1,0,2,0,Forcible rape,2,1,1,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,0
50.0,47,33,55.0,57,40,32,40,Grand larceny,58,57,51,40,49,41,36,41,26,54,33,36,47,34,32,40,47,48,36
,97.00,99.70,,93.80,93.92,88.77,93.40,Sidewalks rated acceptably clean (%),96.57,92.65,98.48,93.51,96.55,95.00,91.78,99.30,96.40,,96.40,91.30,95.32,98.13,95.38,99.30,97.68,93.81,97.50
5.14,4.68,4.45,5.08,4.36,4.02,4.74,4.49,Recycling tons per truckshift,4.15,4.41,4.81,4.54,4.36,4.03,4.85,4.50,5.09,4.30,5.11,4.55,4.36,4.32,4.61,4.32,4.84,4.70,4.30
10.83,7.32,7.18,10.08,7.37,9.66,9.61,5.95,Curbside and Containerized Recycling Diversion Rate,8.83,8.83,8.15,7.85,8.85,7.27,9.24,9.69,7.31,9.64,7.77,7.36,8.80,9.36,9.94,7.74,10.66,9.32,7.56
1.0,0,1,0.0,1,0,1,0,Murder and non-negligent manslaughter,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
17.73,13.33,12.65,16.87,13.84,14.47,15.48,10.31,"Curbside and containerized metal, glass and plastic recycled tons per day",14.48,14.30,15.01,14.06,15.02,13.33,15.93,15.78,13.90,15.45,11.95,13.99,15.06,15.60,15.22,17.19,17.72,16.05,12.75
2.0,1,2,0.0,1,1,0,2,Forcible rape,2,0,0,1,1,3,1,3,3,0,0,0,2,0,0,2,1,1,0
,-,-,,0.50,0.53,-,0.60,Streets rated filthy (%),-,-,-,-,3.01,-,-,-,-,,-,2.40,-,1.55,-,-,-,0.51,-
0.0,0,0,0.0,1,0,0,0,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0,0,0.0,0,0,0,0,Murder and non-negligent manslaughter,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,98.40,98.30,,99.40,95.38,95.88,97.60,Sidewalks rated acceptably clean (%),97.11,96.42,95.08,97.37,88.58,97.30,98.16,96.98,96.10,98.56,99.40,97.90,97.32,96.62,97.57,97.00,100.00,97.40,96.30
,0.80,1.60,,-,-,2.37,5.60,Sidewalks rated filthy (%),0.81,-,-,1.56,2.23,-,1.47,2.51,1.60,,-,3.20,-,-,-,,-,-,1.20
,2.30,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1.50
32.0,55,28,47.0,46,49,49,50,Grand larceny,52,41,48,48,27,37,41,42,28,32,27,44,47,38,34,51,40,40,34
1.0,2,2,0.0,0,0,0,0,Murder and non-negligent manslaughter,1,2,0,0,0,2,1,1,2,1,0,0,0,1,1,2,1,0,1
3.0,1,0,0.0,1,0,1,1,Forcible rape,1,1,1,1,2,2,2,1,0,0,1,1,1,0,4,3,2,1,2
0.0,2,1,1.0,0,4,1,0,Forcible rape,0,1,0,0,1,0,1,1,3,1,0,2,0,0,0,0,1,1,2
0.0,0,2,0.0,0,0,0,0,Murder and non-negligent manslaughter,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0.0,6,2,3.0,3,2,2,3,Grand larceny auto,4,0,3,1,1,4,4,4,2,5,2,3,2,1,2,0,3,0,4
0.0,0,0,0.0,0,0,0,1,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
,95.30,97.10,,92.20,98.72,94.41,97.60,Sidewalks rated acceptably clean (%),96.32,97.67,98.28,95.17,87.76,97.70,97.66,100.00,95.80,,97.00,96.60,96.09,97.86,100.00,88.60,95.32,97.71,99.30
4.0,0,1,0.0,1,0,0,2,Murder and non-negligent manslaughter,0,1,0,0,0,2,1,1,4,2,0,0,2,2,0,1,0,3,1
,99.00,94.20,,96.30,92.89,95.40,97.00,Streets rated acceptably clean (%),90.92,97.95,98.46,100.00,86.39,97.40,97.95,99.46,94.70,99.29,98.90,95.80,94.86,98.02,96.91,93.80,97.98,98.46,94.90
54.0,70,64,55.0,69,71,63,56,Grand larceny,44,54,53,49,53,57,45,60,58,52,65,53,59,35,64,69,57,52,54
29.0,34,30,23.0,39,21,26,31,Grand larceny,39,22,36,30,33,27,38,30,24,32,23,26,28,23,25,22,34,23,27
,-,0.60,,1.80,1.89,-,1.30,Sidewalks rated filthy (%),4.44,-,1.24,1.26,1.84,1.20,-,-,-,1.22,2.40,-,2.10,-,-,1.30,-,1.23,-
11.79,9.20,9.32,11.34,9.68,11.22,11.44,8.03,Curbside and Containerized Recycling Diversion Rate,10.84,10.90,11.04,11.30,11.69,9.07,11.98,12.26,9.16,11.37,8.56,9.62,10.68,11.43,10.89,10.53,12.57,11.57,9.58
,86.10,93.80,,93.80,94.87,91.36,87.90,Streets rated acceptably clean (%),92.96,91.22,91.56,88.51,87.90,88.10,90.88,90.42,86.60,,97.70,82.30,88.55,91.21,98.84,82.90,88.60,93.59,91.00
,0.20,0.50,,1.00,-,-,1.00,Sidewalks rated filthy (%),0.75,-,0.55,-,-,-,-,-,0.20,,-,-,0.57,-,-,-,-,-,0.50
2.0,1,0,2.0,1,0,0,0,Forcible rape,0,0,0,0,1,2,2,2,0,0,0,1,0,0,0,1,1,0,0
,97.30,98.80,,97.80,92.69,94.31,97.80,Sidewalks rated acceptably clean (%),96.69,94.17,97.37,94.96,94.81,98.20,98.28,100.00,98.80,,95.00,98.50,95.36,98.38,99.54,84.60,95.56,99.71,100.00
19.17,15.62,13.87,16.58,15.03,15.74,17.22,12.72,Curbside and containerized mixed paper recycled tons per day,15.60,16.80,16.35,15.73,15.32,14.95,17.31,16.22,14.74,16.75,13.01,14.68,16.11,15.39,17.45,17.36,18.26,16.10,14.21
9.51,9.44,9.36,9.16,9.35,10.02,10.07,9.86,Refuse tons per truckshift,9.71,9.54,10.16,9.97,9.32,10.49,9.69,9.73,9.70,9.77,9.37,9.24,9.89,9.42,9.15,9.93,9.89,9.35,8.88
6.0,14,8,5.0,13,15,7,16,Grand larceny auto,20,6,8,20,5,20,13,11,15,9,10,11,14,11,6,9,11,13,9
20.48,14.91,18.62,19.45,15.83,20.15,19.89,13.78,Curbside and Containerized Recycling Diversion Rate,16.62,17.71,17.30,16.74,16.97,16.40,18.44,17.09,16.88,17.19,17.42,14.80,16.51,18.41,19.27,18.88,20.41,18.15,15.28
0.0,0,0,0.0,0,0,0,2,Murder and non-negligent manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175.0,134,160,167.0,144,153,146,153,Grand larceny,149,165,188,150,145,166,145,155,125,163,209,154,149,110,164,174,136,178,132
16.0,15,17,9.0,14,7,2,23,Burglary,14,14,18,20,7,20,6,15,21,19,24,18,29,9,14,19,18,14,16
26.0,18,25,35.0,29,28,29,31,Felonious assault,38,20,20,20,25,43,31,31,25,45,26,33,31,21,29,30,33,37,25
,99.40,98.50,,97.80,99.06,97.84,98.00,Sidewalks rated acceptably clean (%),99.02,96.82,99.02,97.94,94.70,98.90,97.97,98.97,98.00,,98.00,97.50,98.52,99.06,97.22,99.00,97.39,99.49,97.90
5.0,14,15,7.0,27,14,15,24,Burglary,14,13,18,22,10,20,13,20,6,12,11,16,15,8,9,16,14,15,8
0.0,2,1,1.0,0,2,0,0,Murder and non-negligent manslaughter,1,0,0,0,0,1,1,1,2,0,3,1,0,1,,0,1,0,0
164.0,202,162,172.0,234,174,166,199,Major felony crime,202,166,168,162,168,182,159,181,158,211,205,171,187,100,166,178,130,171,138
2.0,1,2,2.0,3,1,0,3,Forcible rape,2,1,3,3,2,4,2,2,0,1,1,3,0,1,2,3,2,1,2
,,,,2,,,,Forcible rape,1,0,0,2,1,,,1,,0,,0,0,,,,,,0
27.0,50,33,17.0,29,30,17,37,Burglary,27,15,20,25,25,31,29,19,21,27,33,27,21,31,21,28,25,25,20
,1.40,0.20,,0.30,-,-,-,Sidewalks rated filthy (%),0.30,-,0.70,0.80,0.89,-,-,-,0.40,,-,0.30,0.62,-,-,,-,-,1.00
9.98,10.05,8.93,9.66,8.32,8.81,9.88,9.70,Refuse tons per truckshift,9.57,9.74,10.25,10.05,8.79,10.11,9.93,10.15,9.80,9.71,9.39,10.07,10.03,9.33,9.46,9.94,9.60,9.33,8.32
,100.00,98.30,,99.10,100.00,98.19,98.40,Sidewalks rated acceptably clean (%),99.56,100.00,100.00,96.62,93.38,99.60,100.00,100.00,100.00,,100.00,98.30,100.00,98.76,100.00,100.00,100.00,98.28,98.70
,-,-,,-,-,-,-,Sidewalks rated filthy (%),-,-,-,-,-,-,-,-,-,,-,0.90,1.77,-,-,-,-,-,-
,98.70,94.70,,98.70,96.51,93.47,98.20,Streets rated acceptably clean (%),95.46,97.84,98.50,96.48,98.94,96.80,97.46,98.06,95.30,,97.90,98.40,96.30,94.90,99.07,96.40,97.42,95.59,94.90
1.0,3,4,1.0,5,2,5,2,Forcible rape,5,2,2,2,2,3,3,1,3,4,0,7,5,3,3,3,1,1,4
2.0,2,0,0.0,1,1,1,2,Forcible rape,0,1,0,0,1,2,1,2,2,3,2,2,1,0,2,4,0,0,2
,-,-,,-,-,-,-,Streets rated filthy (%),-,-,-,-,0.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51.55,42.66,38.93,46.53,42.85,40.86,49.11,41.46,Curbside and containerized mixed paper recycled tons per day,41.13,44.60,50.28,48.02,45.72,42.24,49.20,42.46,49.49,43.06,48.52,43.77,40.95,43.08,43.97,87.05,49.89,48.61,40.33
,96.10,93.20,,91.80,94.43,96.12,95.90,Streets rated acceptably clean (%),87.23,89.48,90.44,90.64,80.89,91.70,96.05,85.76,97.30,,97.20,90.80,92.81,96.98,95.92,98.50,90.68,95.65,98.10
36.13,35.32,31.34,31.93,32.29,31.50,32.95,27.79,Curbside and containerized mixed paper recycled tons per day,32.71,29.43,31.66,32.63,33.24,35.21,32.69,32.50,35.21,32.16,31.33,33.61,33.30,29.36,32.87,40.76,34.50,31.06,32.08
113.0,104,96,81.0,113,94,93,101,Major felony crime,104,63,111,93,80,111,94,104,94,97,92,100,95,74,73,93,87,94,106
1.0,0,1,0.0,0,2,0,1,Forcible rape,1,1,1,0,1,2,0,1,1,0,1,2,1,0,1,2,0,0,0
7.01,5.92,5.58,6.66,6.04,6.40,6.13,5.87,Recycling tons per truckshift,6.28,7.07,7.05,6.64,6.16,5.89,6.44,6.56,5.91,6.61,6.67,5.90,6.57,5.86,6.71,6.48,6.77,6.50,5.77
6.65,5.61,5.14,6.26,5.32,6.19,6.20,5.30,Recycling tons per truckshift,5.60,6.18,5.93,5.47,5.46,5.58,6.16,6.32,5.60,6.10,5.94,5.40,5.91,5.52,6.52,5.87,6.35,5.63,4.96
5.0,6,6,6.0,6,5,3,4,Felonious assault,6,4,7,3,6,6,4,9,2,2,6,6,3,5,5,3,3,7,2
11.38,11.76,10.78,11.69,11.40,10.74,11.60,11.74,Refuse tons per truckshift,10.34,11.19,11.70,11.71,10.80,11.20,11.61,10.97,11.12,10.86,11.95,11.64,10.82,11.23,10.47,11.87,11.35,10.86,11.00
,96.50,99.20,,88.30,94.10,100.00,89.50,Sidewalks rated acceptably clean (%),87.21,90.54,100.00,90.48,94.47,90.10,97.24,94.38,98.70,,91.60,91.70,96.40,88.69,96.24,,100.00,94.37,93.10
3.0,0,0,1.0,3,3,2,2,Forcible rape,1,0,1,0,1,2,2,3,0,2,4,2,0,1,0,2,3,0,2
7.88,5.66,5.25,7.45,5.27,6.89,6.67,5.32,Recycling tons per truckshift,6.30,6.60,6.36,5.90,5.92,5.84,6.52,7.05,5.77,6.91,6.10,5.71,6.57,5.85,7.15,5.92,6.68,6.51,5.44
