property_id,property_name,percent_better_than_national,property_floor_area_building,energy_star_certification_3,date_property_last_modified,national_median_site_energy,national_median_energy_cost
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,85550,False,04/25/2014 12:27 PM EDT,Not Available,Not Available
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available
2563039,"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available
2595885,3130 Grand Concourse,Not Available,150135,False,04/17/2014 10:00 AM EDT,Not Available,Not Available
2603248,220 Riverside Boulevard,Not Available,795215,False,02/06/2014 06:31 AM EST,Not Available,Not Available
2615612,Patchogue Homes Condo I,Not Available,192368,False,09/15/2013 04:30 PM EDT,Not Available,Not Available
1200524,730 Third Ave,-31,627731,False,11/13/2013 05:33 AM EST,85183096.7,0
2008836,The Visionaire,Not Available,457771,False,09/15/2013 04:29 PM EDT,Not Available,Not Available
2595286,1007-7501,Not Available,90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available
2595286,1007-7501,Not Available,90374,False,04/29/2014 10:00 AM EDT,Not Available,Not Available
2595286,1007-7501,Not Available,90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available
2595286,1007-7501,Not Available,90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available
2595286,1007-7501,Not Available,90374,False,04/29/2014 10:00 AM EDT,Not Available,Not Available
