property_name,t3_property_name,latitude,longitude,t5_latitude,t5_longitude,property_floor_area_building,national_median_energy_cost
One Liberty Plaza,One Liberty Plaza,40.709589,-74.010186,40.709589,-74.010186,2346193,13419748.81
200 East 84th Street,200 East 84th Street,40.777357,-73.954614,40.777357,-73.954614,137469,Not Available
82 Wall Street,82 Wall Street,40.705415,-74.007729,40.705415,-74.007729,56271,0
175 lawrence,175 lawrence,40.6308,-73.973311,40.6308,-73.973311,105000,0
785 Fifth Avenue,785 Fifth Avenue,40.764627,-73.972745,40.764627,-73.972745,184489,Not Available
KOFLER ASSOCIATES,KOFLER ASSOCIATES,40.740448,-73.984894,40.740448,-73.984894,63270,0
TRUSTEES OF THE MASONIC HALL,TRUSTEES OF THE MASONIC HALL,40.742441,-73.991667,40.742441,-73.991667,372545,0
The Visionaire,The Visionaire,40.70706,-74.016519,40.70706,-74.016519,457771,Not Available
595 West End Ave,595 West End Ave,40.790637,-73.976591,40.790637,-73.976591,55190,Not Available
730 Third Ave,730 Third Ave,40.753104,-73.972757,40.753104,-73.972757,627731,0
ATCO - 555 Fifth Avenue,ATCO - 555 Fifth Avenue,40.755801,-73.97874,40.755801,-73.97874,244534,Not Available
315 Hudson St,315 Hudson St,40.72631,-74.00749,40.72631,-74.00749,427972,0
