printedschoolname,t3_printedschoolname,selectioncriteria3_prog1,selectioncriteria1_prog3,activities,category,count,avg_value,total_value,max_value
West Bronx Academy for the Future,West Bronx Academy for the Future,,,Arts; Cheerleading; Dance; Drama; Girls Talk; Project-Based Learning; Technology Program: Mobile Computer Labs; Voices and Choices; Writing Matters,medium pass rate,1,90.0,90.0,90.0
J.H.S. 194 William Carr,J.H.S. 194 William Carr,,,Boys and Girls Basketball; Chess Club Friends of Rachel; Citizen Science Club; Culture Club; Dance Team; Film Club; Jazz Band; LEGO Robotics; Math Team; Peer Tutoring; Ukulele Club; Volleyball; Yearbook Club,high pass rate,1,94.0,94.0,94.0
P.S. 211,P.S. 211,,,"Award-Winning Dancing Classrooms Program; Creative Writing; ELL Academy; Encores! New York City Center Program’s Annual Museum & Theater Trips (NYC, New Jersey, and Massachusetts); Extended Day Program; Grow NYC ; New York Common Pantry; School Marching Band (including: Drum Line, Brass Section, and Baton Twirling); Spring Recess Program; Studio in a School; Technology; Trip to Plimoth Plantation for seventh graders and Holiday Hills for eighth grade graduates",medium pass rate,1,86.0,86.0,86.0
J.H.S. 054 Booker T. Washington,J.H.S. 054 Booker T. Washington,Entrance Assessment,,"Art Portfolio; Camera Club; Coding; Community Service Club; Dance; Homework Help; Interactive Boards; Internet Access; JV Basketball; Jazz Ensemble; Laptop Carts; Math Team; Model UN; Musicals; Painting; School Library (29,000 items in collection & full-time librarian); School Musical; School-Wide Computer Network; SHSAT Preparation; Small-Group Academic Support; Student Council; Talent Show; Two Computer Labs",high pass rate,1,99.0,99.0,99.0
J.H.S. 190 Russell Sage,J.H.S. 190 Russell Sage,,,Computer Club; Computers; Debate Team; Geometry Prep; Honors Program; Math Team; NJHS; Science Olympia; SHSAT Prep; Student Council; Yearbook Club,high pass rate,1,96.0,96.0,96.0
The Bronx School of Young Leaders,The Bronx School of Young Leaders,,,"Computer; Dance; Extensive After-School and Saturday Sports, Tutoring, and Arts Classes; Four Super Scholar trips Per Year Including: Snow Tubing, Horseback Riding, Six Flags (special trips for students who score an 85% or higher in four classes, pass all of their classes with at least 70%, and have read the required amount of independent books); Mentoring in Medicine; Mock Trial; Perfect Attendance Classes; Sign Language; Spelling Bee; Thanksgiving Turkey Bowl; Winter Talent Show",medium pass rate,1,82.0,82.0,82.0
Urban Assembly Academy for Future Leaders,Urban Assembly Academy for Future Leaders,,,Advisory; Cartooning and Fashion Design; Chess; Dance; Drama; Engineering and Business; Fine Arts: Sketching; Music Theory; Performing Arts; Photography; Production; Robotics; Sculpting; Step; Video Game Animation,medium pass rate,1,77.0,77.0,77.0
Professional Performing Arts School,Professional Performing Arts School,Audition,,"Free After-School Program in partnership with Manhattan Youth, including classes in STEM, Visual Arts, Physical Activity, and Sports.",high pass rate,1,100.0,100.0,100.0
M.S. 224 Manhattan East School for Arts & Academics,M.S. 224 Manhattan East School for Arts & Academics,Attendance,,"Flag Football, Soccer, and Basketball through Asphalt Green; Global Kids After-School Program; Nature’s Classroom; Queens College Honor Band; Rooftop Gardening with the NY Horticultural Society",medium pass rate,1,89.0,89.0,89.0
Richard S. Grossley (J.H.S. 8),Richard S. Grossley (J.H.S. 8),,,"Achieve 3000; ARISTA/NJHS; Band; Chorus; Dance; Drumline; English as a New Language After-School/Saturday Programs; Field Trips: High Schools, Colleges, Washington, DC; Flocabulary; Girls Empowered and Motivated for Success; Junior Deans Program; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation; Project BOOST; Student Government; Substance Abuse Prevention and Intervention; Young Men’s Initiative",medium pass rate,1,90.0,90.0,90.0
Amistad Dual Language School,Amistad Dual Language School,Spanish Interview,,"Field Day; Ice Skating Trip; LANG Program; Lang Youth Medical Program; NYC ROW; Prep for Prep; Senior Trip to Washington, DC; Specialized High School Admission Test Prep Program",medium pass rate,1,86.0,86.0,86.0
