longitude_internal,prevailing_wage_status,neighborhood_tabulation_area,low_income_units,project_name,total_units,building_completion_date,rank,dense_rank
,Non Prevailing Wage,BK0402,,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8,,1,7
-73.910302,Non Prevailing Wage,BX0101,8.0,TIMPSON PLACE HDFC.GHPP.FY25,42,,1,7
-73.910302,Non Prevailing Wage,BX0101,8.0,TIMPSON PLACE HDFC.GHPP.FY25,22,,2,7
-74.016181,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),4,,5,7
-73.990755,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),6,,3,7
-74.016181,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),6,,3,7
-73.990755,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),4,,5,7
-73.904166,Non Prevailing Wage,BX0502,,256 MT HOPE PLACE_HPS,42,,2,7
-73.929804,Non Prevailing Wage,BK1703,,153 EAST 51 STREET,9,,1,7
-73.950054,Non Prevailing Wage,MN1001,,JERICHO HOUSE,56,,1,7
-74.016181,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),8,,1,7
-73.990755,Non Prevailing Wage,BK0702,3.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),8,,1,7
-73.903445,Non Prevailing Wage,BX0502,,UPS. 1806 ANTHONY AVE,111,,1,7
-73.921384,Non Prevailing Wage,BX0401,,130 EAST 165TH STREET APARTMENTS,75,,1,7
-73.942737,Non Prevailing Wage,QN0201,,23-10 42ND ROAD APARTMENTS,240,,1,7
-73.963787,Non Prevailing Wage,MN0703,1.0,MORNINGSIDE HEIGHTS III. HPO.FY25,19,,1,7
-74.170235,Non Prevailing Wage,MN0703,1.0,MORNINGSIDE HEIGHTS III. HPO.FY25,19,,1,7
-73.963787,Non Prevailing Wage,MN0703,1.0,MORNINGSIDE HEIGHTS III. HPO.FY25,10,,3,7
-74.170235,Non Prevailing Wage,MN0703,1.0,MORNINGSIDE HEIGHTS III. HPO.FY25,10,,3,7
-73.906677,Non Prevailing Wage,BX0403,35.0,CLAREMONT PARK APARTMENTS.YR15.FY25,98,,1,7
-73.893059,Non Prevailing Wage,BX0702,,2769 CRESTON AVENUE,44,,1,7
-73.756609,Non Prevailing Wage,QN1401,,22-25 NEW HAVEN AVENUE APARTMENTS,26,,1,7
-73.945046,Non Prevailing Wage,BK1702,,1644 NEW YORK AVENUE,36,,1,7
-73.945899,Non Prevailing Wage,MN1002,2.0,SALEM HOUSE.YR15.FY25,48,,1,7
-73.84926,Non Prevailing Wage,BX1202,7.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.850074,Non Prevailing Wage,BX1202,11.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.851015,Non Prevailing Wage,BX1202,10.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.84926,Non Prevailing Wage,BX1202,10.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.848323,Non Prevailing Wage,BX1202,9.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.850074,Non Prevailing Wage,BX1202,11.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.850074,Non Prevailing Wage,BX1202,8.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.850074,Non Prevailing Wage,BX1202,12.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.850074,Non Prevailing Wage,BX1202,6.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,15,,1,7
-73.896597,Non Prevailing Wage,BK0502,,180 PENNSYLVANIA AVE APARTMENTS,50,,1,7
-73.899328,Non Prevailing Wage,BK0502,2.0,NEW PENN DEVELOPMENT,4,,2,7
-73.899328,Non Prevailing Wage,BK0502,2.0,NEW PENN DEVELOPMENT,4,,2,7
-73.899328,Non Prevailing Wage,BK0502,2.0,NEW PENN DEVELOPMENT,4,,2,7
-73.925388,Non Prevailing Wage,QN0103,,21-07 ASTORIA BLVD APARTMENTS,68,,1,7
