facgroup,xcoord,overagency,overlevel,ycoord,schooldist,factype,datasource
DAY CARE AND PRE-KINDERGARTEN,1035329.29584,NYC Department of Health and Mental Hygiene,City,220502.567861,25.0,DAY CARE,dohmh_daycare
CHILD SERVICES AND WELFARE,1041199.29631,NYC Department of Education,City,215537.038435,25.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions
HUMAN SERVICES,1030996.28004,NYC Department for the Aging,City,215182.287082,25.0,SENIOR CENTER,dfta_contracts
CHILD SERVICES AND WELFARE,1021820.82908,NYC Department of Education,City,182956.069639,19.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions
PARKS AND PLAZAS,999092.370439,NYC Department of Parks and Recreation,City,235191.946907,5.0,PLAYGROUND,dpr_parksproperties
CHILD SERVICES AND WELFARE,1008788.56864,NYC Department of Education,City,237694.857311,7.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions
DAY CARE AND PRE-KINDERGARTEN,1009500.81171,NYC Department of Health and Mental Hygiene,City,236202.816475,7.0,DAY CARE,dohmh_daycare
HEALTH CARE,1010545.78958,NYS Department of Health,State,235165.458061,7.0,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,nysdoh_healthfacilities
DAY CARE AND PRE-KINDERGARTEN,1030080.89443,NYC Department of Health and Mental Hygiene,City,244592.041131,8.0,DAY CARE,dohmh_daycare
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1027074.0422,NYC Department of Sanitation,City,241756.015773,8.0,INDOOR PARKING GARAGE,dcp_colp
SCHOOLS (K-12),1022837.00187,NYC Department of Education,City,236915.267368,8.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions
TRANSPORTATION,1028101.0,NYC Department of Education,City,244722.0,11.0,SCHOOL BUS DEPOT,doe_busroutesgarages
PARKS AND PLAZAS,984932.220059,NYC Department of Parks and Recreation,City,185483.327969,15.0,PLAYGROUND,dpr_parksproperties
CHILD SERVICES AND WELFARE,1032142.06394,NYC Department of Education,City,189257.138263,27.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions
YOUTH SERVICES,1020014.0424,NYC Department of Youth and Community Development,City,205706.739593,28.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations
SCHOOLS (K-12),1022878.09539,NYC Department of Education,City,201804.332553,28.0,ELEMENTARY SCHOOL - PUBLIC,doe_lcgms
SCHOOLS (K-12),1002063.30782,NYC Department of Education,City,213665.52764,30.0,K-8 SCHOOL - CHARTER,doe_lcgms
DAY CARE AND PRE-KINDERGARTEN,996177.151165,NYC Department of Education,City,210459.261405,30.0,EARLY EDUCATION PROGRAM,doe_universalprek
HEALTH CARE,977617.655349,NYS Department of Health,State,174453.147856,20.0,DIAGNOSTIC AND TREATMENT CENTER,nysdoh_healthfacilities
YOUTH SERVICES,989185.093238,NYC Department of Youth and Community Development,City,170612.680115,20.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations
YOUTH SERVICES,989185.093238,NYC Department of Youth and Community Development,City,170612.680115,20.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations
YOUTH SERVICES,985761.328225,NYC Department of Youth and Community Development,City,170612.680115,20.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations
YOUTH SERVICES,985761.328225,NYC Department of Youth and Community Development,City,170612.680115,20.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations
YOUTH SERVICES,1009466.35533,NYC Department of Youth and Community Development,City,248460.050405,9.0,SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP) (AGES 14-15),moeo_socialservicesitelocations
YOUTH SERVICES,1009409.07489,NYC Department of Youth and Community Development,City,241027.956312,9.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations
CULTURAL INSTITUTIONS,988168.217475,NYC Department of Cultural Affairs,City,201925.018535,1.0,"MULTI-DISCIPL, PERF & NON-PERF",dcla_culturalinstitutions
CHILD SERVICES AND WELFARE,1003446.15391,NYC Department of Education,City,257289.976345,6.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions
CULTURAL INSTITUTIONS,997114.855347,NYC Department of Cultural Affairs,City,173022.104107,22.0,FILM/VIDEO/AUDIO,dcla_culturalinstitutions
CHILD SERVICES AND WELFARE,1018414.5727,NYC Department of Education,City,209899.016251,24.0,FEEDING SITE,nysed_activeinstitutions
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1009437.09271,NYC Department of Sanitation,City,207131.182991,24.0,VEHICLE MAINTENANCE,dcp_colp
HEALTH CARE,1011726.03699,NYS Department of Health,State,196029.223309,24.0,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,nysdoh_healthfacilities
