t2_owner,t4_owner,t4_borough_block_lot,t5_borough_block_lot,total_units,of_res_units,category,count,avg_value,total_value,max_value
CHURCH MANAGEMENT,CHURCH MANAGEMENT,1008687502,1008687502,229,224,small capacity,1,15.5,15.5,15.5
WASSERSTEIN BROS.,WASSERSTEIN BROS.,1007600055,1007600055,28,0,small capacity,1,2.81,2.81,2.81
"YOUNG,CARL S.","YOUNG,CARL S.",1022020033,1022020033,72,72,small capacity,1,6.0,6.0,6.0
16 E. 40 REALTY LLC C/O QUARTZ RLTY.,16 E. 40 REALTY LLC C/O QUARTZ RLTY.,1008690064,1008690064,18,0,small capacity,1,5.3,5.3,5.3
ELO EQUITIES LLC,ELO EQUITIES LLC,1009990009,1009990009,2,0,small capacity,1,24.0,24.0,24.0
CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,1011380001,1011380001,376,376,small capacity,1,12.6,12.6,12.6
MARTIN BAUMRIND,MARTIN BAUMRIND,1010750044,1010750044,10,10,small capacity,1,2.6,2.6,2.6
T.U.C. MGMT. CO. INC.TIM O'KEEFE,T.U.C. MGMT. CO. INC.TIM O'KEEFE,1008910062,1008910062,31,31,small capacity,1,2.8,2.8,2.8
BROCROS REALTY,BROCROS REALTY,1005110016,1005110016,24,0,small capacity,1,4.2,4.2,4.2
470P.A.ASSOC/S.L.GREEN MG,470P.A.ASSOC/S.L.GREEN MG,1008610044,1008610044,31,0,small capacity,1,8.4,8.4,8.4
DEZER PROPERTIES,DEZER PROPERTIES,1008220015,1008220015,1,0,small capacity,1,5.0,5.0,5.0
PARISH OF TRINITY CHURCH,PARISH OF TRINITY CHURCH,1002270063,1002270063,0,0,small capacity,1,3.9,3.9,3.9
EXTELL DEVELOPMENT COMPANY,EXTELL DEVELOPMENT COMPANY,1001710001,1001710001,68,0,small capacity,1,10.5,10.5,10.5
PR 30 LLC,PR 30 LLC,1007540028,1007540028,12,12,small capacity,1,2.34,2.34,2.34
29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,1008380024,1008380024,14,0,small capacity,1,4.1,4.1,4.1
WG 27th STREET LLC C/O THE WITKOFF GROUP,WG 27th STREET LLC C/O THE WITKOFF GROUP,1008290016,1008290016,22,0,small capacity,1,8.2,8.2,8.2
RANDAL HSE. OWNERS %AKAM ASSOC.,RANDAL HSE. OWNERS %AKAM ASSOC.,1005617501,1005617501,235,229,small capacity,1,6.6,6.6,6.6
ABS PARTNERS REAL ESTATE LLC.,ABS PARTNERS REAL ESTATE LLC.,1007870025,1007870025,19,0,small capacity,1,6.0,6.0,6.0
WEST 63 EMPIRE ASSOCIATES LLC,WEST 63 EMPIRE ASSOCIATES LLC,1011150057,1011150057,7,0,small capacity,1,10.0,10.0,10.0
RUDD RLTY MGMT.CORP/MARK McCONNELL,RUDD RLTY MGMT.CORP/MARK McCONNELL,1007750060,1007750060,43,0,small capacity,1,6.27,6.27,6.27
HOLD BOUNCED CHECK,HOLD BOUNCED CHECK,1001450012,1001450012,6,0,small capacity,1,2.5,2.5,2.5
ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,1005500022,1005500022,200,198,small capacity,2,16.8,33.6,16.8
Manchester West 36 LLC-ATT: FARAJ SROUR,Manchester West 36 LLC-ATT: FARAJ SROUR,1007860013,1007860013,15,0,small capacity,1,4.9,4.9,4.9
"MOCAL ENTERPRISES, INC.","MOCAL ENTERPRISES, INC.",1008310064,1008310064,100,0,small capacity,1,4.9,4.9,4.9
ROOSEVELT LEE 38 LLC,ROOSEVELT LEE 38 LLC,1008330018,1008330018,76,0,small capacity,1,8.82,8.82,8.82
1 HUDSON PK INC/ANDREW BL. CORP.,1 HUDSON PK INC/ANDREW BL. CORP.,1001440001,1001440001,33,25,small capacity,1,6.4,6.4,6.4
MURRAY HILL OWNERS CO.,MURRAY HILL OWNERS CO.,1008910023,1008910023,35,35,small capacity,1,3.1,3.1,3.1
CONCOURSE MGMT/BLDG MGMT INC.,CONCOURSE MGMT/BLDG MGMT INC.,1010180061,1010180061,0,0,small capacity,1,2.4,2.4,2.4
BUCHBINDER & WARREN,BUCHBINDER & WARREN,1007977502,1007977502,23,22,small capacity,1,3.8,3.8,3.8
"EBM DEVELOPMENT CO.,LTD.","EBM DEVELOPMENT CO.,LTD.",1010120032,1010120032,25,0,small capacity,1,2.59,2.59,2.59
130 WEST 57 STREET CO.LLC,130 WEST 57 STREET CO.LLC,1010090046,1010090046,85,10,small capacity,1,4.3,4.3,4.3
77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,1008947501,1008947501,106,106,small capacity,1,8.19,8.19,8.19
MIRANDA REALTY ASSOC.,MIRANDA REALTY ASSOC.,1007790049,1007790049,46,7,small capacity,1,3.6,3.6,3.6
201 W. 21ST STREET TENANTS CORP.,201 W. 21ST STREET TENANTS CORP.,1007710038,1007710038,133,130,small capacity,1,5.2,5.2,5.2
OUR LADY OF POMPEI R.C.CH,OUR LADY OF POMPEI R.C.CH,1005860020,1005860020,4,0,small capacity,1,5.25,5.25,5.25
WEINREB MANAGEMENT LLC,WEINREB MANAGEMENT LLC,1011620141,1011620141,37,37,small capacity,1,2.8,2.8,2.8
CHAS.ST.ASSOC/MARTIN MGMT,CHAS.ST.ASSOC/MARTIN MGMT,1006110045,1006110045,19,18,small capacity,1,1.1,1.1,1.1
"LEIST, FRED","LEIST, FRED",2028070070,2028070070,67,67,small capacity,1,12.18,12.18,12.18
