t1_system,t3_system,t4_global_id,t5_global_id,nys_senate,councildis,descriptio
X148M-XZ407,X148M-XZ407,{B9CEAA50-AF40-47C5-AFF4-300D3FBF84CD},{B9CEAA50-AF40-47C5-AFF4-300D3FBF84CD},34,18,Olmsted Triangle
MZ378,MZ378,{50421325-A4B5-43D7-8678-679F200442CB},{50421325-A4B5-43D7-8678-679F200442CB},27,3,9th Avenue - 23rd st to 31 st
QZ351,QZ351,{3497D25F-EFC6-480D-BAA2-F6695F929056},{3497D25F-EFC6-480D-BAA2-F6695F929056},11,19,Greenstreet
QZ364,QZ364,{49C8436E-C8E7-45D5-A59E-0A9168DC217E},{49C8436E-C8E7-45D5-A59E-0A9168DC217E},11,19,Greenstreet
Q157-QZ799,Q157-QZ799,{8906E35B-B4CC-434A-B7A7-D7F4A47E8D03},{8906E35B-B4CC-434A-B7A7-D7F4A47E8D03},14,29,Triangle
QZ110,QZ110,{8AE2C859-C2F5-4219-81BD-C5D5C43AE273},{8AE2C859-C2F5-4219-81BD-C5D5C43AE273},13,26,Greenstreet
QZ318,QZ318,{B9EE529F-470C-4537-ABDB-CBB659087A32},{B9EE529F-470C-4537-ABDB-CBB659087A32},16,21,Handball Haven
QZ429,QZ429,{4E2848FE-66AA-47D0-985D-C2377470467C},{4E2848FE-66AA-47D0-985D-C2377470467C},14,29,Greenstreet
QZ140,QZ140,{8B8F30BC-3D15-460A-B982-AB127C3707A6},{8B8F30BC-3D15-460A-B982-AB127C3707A6},13,21,Greenstreet
QZ448,QZ448,{940D61F0-F9AE-45C2-B622-C3BAEA8D9296},{940D61F0-F9AE-45C2-B622-C3BAEA8D9296},15,32,Greenstreet
QZ49,QZ49,{2875EE78-85D7-4203-8551-CE77A79E3804},{2875EE78-85D7-4203-8551-CE77A79E3804},16,25,Greenstreet
X148K2-XZ415,X148K2-XZ415,{395E1DD2-2B44-4032-A49E-A48CDD420DBA},{395E1DD2-2B44-4032-A49E-A48CDD420DBA},33,18,St Lawrence Triangle
M072-MZ223,M072-MZ223,{F186028E-795D-42DE-BFB7-F096D20BE0A1},{F186028E-795D-42DE-BFB7-F096D20BE0A1},31,7,Riverside Park-Greenstreet
Q262-QZ466,Q262-QZ466,{E31B79B5-9D27-410C-AD56-EF0A01272AD5},{E31B79B5-9D27-410C-AD56-EF0A01272AD5},11,19,Greenstreet
X082-XZ327,X082-XZ327,{CEFFE243-DECC-4064-9FD5-E8E44C9BBB1B},{CEFFE243-DECC-4064-9FD5-E8E44C9BBB1B},29,16,University Malls
MZ393,MZ393,{13B3A1F4-36B7-4DC4-B346-7C6BB4E264ED},{13B3A1F4-36B7-4DC4-B346-7C6BB4E264ED},27,3,Greenwich Ave & 7th Ave
QZ149,QZ149,{18C86613-682A-4C60-83CF-B8E37462CCBD},{18C86613-682A-4C60-83CF-B8E37462CCBD},11,19,Greenstreet
QZ601,QZ601,{E8CE767F-5894-4924-ABC4-8638880DE695},{E8CE767F-5894-4924-ABC4-8638880DE695},14,27,Greenstreet
QZ138,QZ138,{9149CDBF-6D28-4E7E-B996-1BE29D11EA2C},{9149CDBF-6D28-4E7E-B996-1BE29D11EA2C},12,26,Greenstreet
QZ153,QZ153,{98E41803-4E4F-4099-A3AF-E616FB9FBFB9},{98E41803-4E4F-4099-A3AF-E616FB9FBFB9},11,19,Greenstreet
QZ285,QZ285,{D96FD567-04D7-47CF-8693-4221C77D300D},{D96FD567-04D7-47CF-8693-4221C77D300D},13,21,Greenstreet
QZ389,QZ389,{96AD5B23-DD56-41DA-AFDF-47323D875D85},{96AD5B23-DD56-41DA-AFDF-47323D875D85},11,24,Greenstreet
X049-XZ405,X049-XZ405,{29F67979-0975-42B8-984F-A920BD5E8A6E},{29F67979-0975-42B8-984F-A920BD5E8A6E},34,13,Schneider-sampson Park
B178-BZ183,B178-BZ183,{5F59E8CD-1C3E-44A3-826A-06D45A252E14},{5F59E8CD-1C3E-44A3-826A-06D45A252E14},17,45,GREENSTREET-Flatbush Malls
