dsny_district,police_precinct,categoriesaccepted,dsny_zone,hours,categoriesavailable,rank,dense_rank
SI02,122.0,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,1,1
SI02,122.0,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,1,1
SI01,121.0,"Clothing/Personal Accessories, Footwear",SI,,,1,1
SI01,120.0,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",2,1
SI01,120.0,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",2,1
SI02,121.0,"Clothing/Personal Accessories, Footwear",SI,,,4,2
SI03,,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",SI,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,1,2
SI03,,Clothing/Personal Accessories,SI,,,1,2
SI03,,Clothing/Personal Accessories,SI,,,1,2
BX01,40.0,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BX,,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",1,1
BX06,48.0,"Clothing/Personal Accessories, Footwear",BX,,,1,2
BX06,48.0,Food/Beverage,BX,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",Food/Beverage,1,3
BX11,49.0,"Clothing/Personal Accessories, Footwear",BX,,,1,3
BX11,49.0,HealthCare,BX,,,1,3
BX11,49.0,HealthCare,BX,,,1,3
BX12,47.0,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",BX,,,1,4
BKS18,63.0,,BKS,,Food/Beverage,1,1
BKS06,76.0,,BKS,,Books/Media,1,2
BKS07,72.0,"Food/Beverage, Baby Care",BKS,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",Baby Care,1,2
