latitude,longitude,phone,categoriesaccepted,hours,categoriesavailable,rank,dense_rank
40.733935,-74.005895,(212) 352-1618,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",1,1
40.637406,-74.081209,(718) 273-7139,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",2,1
40.727017,-73.986286,(212) 466-0844,,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd","Clothing/Personal Accessories, Footwear",2,1
40.637406,-74.081209,(718) 273-7139,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",2,1
40.693131,-73.843549,(212) 354-1056,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food","Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",1,1
40.808541,-73.917014,(718) 585-5632,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",1,1
40.736295,-73.959295,(646) 807-5109,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games","Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",,1,1
40.680114,-73.946493,(347) 685-6002,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,,1,2
40.863083,-73.920252,(201) 519-2384,"Clothing/Personal Accessories, Footwear",,,1,3
40.784856,-73.841859,(718) 353-1549,"Clothing/Personal Accessories, Footwear",,,1,3
40.667178,-73.896805,(347) 425-9349,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",,,1,3
40.53073,-74.228363,(718) 943-1200,Clothing/Personal Accessories,,,1,3
40.53073,-74.228363,(718) 943-1200,Clothing/Personal Accessories,,,1,3
40.527919,-74.237856,(212) 788-4000,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment","Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,1,3
40.625211,-74.138886,(516) 869-7275,"Clothing/Personal Accessories, Footwear",,,1,3
40.695649,-73.917657,(718) 455-1100,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear","Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,1,3
40.723492,-73.947933,(917) 776-3786,"Clothing/Personal Accessories, Footwear",,,1,3
40.69108,-73.908517,(917) 353-0790,"Clothing/Personal Accessories, Footwear",,,1,3
40.784856,-73.841859,(718) 353-1549,"Clothing/Personal Accessories, Footwear",,,1,3
40.687331,-73.955155,(646) 239-2996,"Clothing/Personal Accessories, Footwear",,,1,3
40.878736,-73.864074,(646) 714-4665,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,,1,3
40.763972,-73.933338,(718) 626-6354,"Clothing/Personal Accessories, Footwear",,,1,3
40.69164,-73.866648,(917) 217-5717,"Clothing/Personal Accessories, Footwear",,,1,3
40.591141,-74.164246,(718) 616-2000,"Clothing/Personal Accessories, Footwear",,,1,3
40.713559,-73.778133,(718) 297-2613,"Clothing/Personal Accessories, Footwear",,,1,3
40.851499,-73.894866,(813) 426-5234,"Clothing/Personal Accessories, Footwear",,,1,3
40.770271,-73.833544,(718) 353-6300,"Clothing/Personal Accessories, Footwear",,,1,3
40.784856,-73.841859,(718) 353-1549,"Clothing/Personal Accessories, Footwear",,,1,3
40.856464,-73.867403,(718) 513-3577,HealthCare,,,1,3
40.693255,-73.945604,(347) 240-2466,,,,2,3
40.732531,-73.997357,(646) 478-7301,,,,2,3
40.672931,-73.94519,(718) 756-8673,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene","Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",,1,3
40.856453,-73.868324,(718) 863-9200,HealthCare,,,1,3
40.865275,-73.859067,(347) 843-0420,"Clothing/Personal Accessories, Footwear",,,1,3
40.677737,-74.012765,(347) 668-8285,,,Books/Media,2,1
40.718866,-73.955916,(718) 486-3771,,,Books/Media,2,1
40.720773,-73.959981,(718) 388-4111,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",Books/Media,2,1
40.714443,-73.959471,(111) 111-1111,Books/Media,,Books/Media,1,1
40.714443,-73.959471,(111) 111-1111,Books/Media,,Books/Media,1,1
