t1_printedschoolname,t3_printedschoolname,t4_code_prog1,t5_code_prog1,geseats_prog4,activities,coursepassrate,ellprograms
J.H.S. 194 William Carr,J.H.S. 194 William Carr,Q194U,Q194U,.,Boys and Girls Basketball; Chess Club Friends of Rachel; Citizen Science Club; Culture Club; Dance Team; Film Club; Jazz Band; LEGO Robotics; Math Team; Peer Tutoring; Ukulele Club; Volleyball; Yearbook Club,94.0,English as a New Language
The Bronx School of Young Leaders,The Bronx School of Young Leaders,X331U,X331U,,"Computer; Dance; Extensive After-School and Saturday Sports, Tutoring, and Arts Classes; Four Super Scholar trips Per Year Including: Snow Tubing, Horseback Riding, Six Flags (special trips for students who score an 85% or higher in four classes, pass all of their classes with at least 70%, and have read the required amount of independent books); Mentoring in Medicine; Mock Trial; Perfect Attendance Classes; Sign Language; Spelling Bee; Thanksgiving Turkey Bowl; Winter Talent Show",82.0,"English as a New Language, Transitional Bilingual Education: Spanish"
Baychester Middle School,Baychester Middle School,X532U,X532U,,"After-School Clubs: Blogging, Breakdancing, Chess, Cooking, Regents Prep, Student Council, Theater, Web Design; School Trips to: Boston, MA, Broadway, Mini-Golf, Museums, Rock Climbing, Sporting Events, Washington DC",87.0,English as a New Language
East-West School of International Studies,East-West School of International Studies,Q281U,Q281U,.,Art Club; Games Club; Gay-Straight Alliance; Girl Talk; Glee; Japanese Culture Club; Junior NAACP; K-Pop; Key Club; Literacy Lab; Model UN; Newspaper Club; OST Hodori; Peer Mediation; Photography; Roblox Club; Robotics; School Newspaper; Student Government; Table Tennis; Tutoring; Ultimate Frisbee; Yearbook; Yiddish Song Club; Young Men's Leadership,95.0,English as a New Language
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School","P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",Q128Z,Q128Z,.,Academic Field Trips; Dance; National Junior Honor Society; Robotics; Theater,100.0,English as a New Language
School of Authors (P.S./M.S. 108 ),School of Authors (P.S./M.S. 108 ),M108U,M108U,.,Art; Band; Book Clubs; Boys Basketball; Chorus; Community Service; Cooking; Double Dutch; Flag Football; GOAL Program; Girls Basketball; Music; Robotics; Soccer; Step Team; Student Government; Technology/Movie Making; Thurgood Marshall Mock Trial Program; Urban Advantage; Digital Storytelling; Young Runners’ Club,85.0,English as a New Language
Catherine & Count Basie Middle School 72,Catherine & Count Basie Middle School 72,Q072M,Q072M,.,Alvin Ailey Dance; ARISTA Honor Society; Beacon; Broadway Jr.; Gender Classes; Gospel Choir; MOUSE Squad; Multicultural Club; Penny Harvest; Spanish Proficiency Exam Tutoring; Specialized High School Prep; International Travel Program; Student Council; Summer Transition Program,88.0,English as a New Language
J.H.S. 054 Booker T. Washington,J.H.S. 054 Booker T. Washington,M054M,M054M,.,"Art Portfolio; Camera Club; Coding; Community Service Club; Dance; Homework Help; Interactive Boards; Internet Access; JV Basketball; Jazz Ensemble; Laptop Carts; Math Team; Model UN; Musicals; Painting; School Library (29,000 items in collection & full-time librarian); School Musical; School-Wide Computer Network; SHSAT Preparation; Small-Group Academic Support; Student Council; Talent Show; Two Computer Labs",99.0,English as a New Language
P.S. 211,P.S. 211,X211U,X211U,.,"Award-Winning Dancing Classrooms Program; Creative Writing; ELL Academy; Encores! New York City Center Program’s Annual Museum & Theater Trips (NYC, New Jersey, and Massachusetts); Extended Day Program; Grow NYC ; New York Common Pantry; School Marching Band (including: Drum Line, Brass Section, and Baton Twirling); Spring Recess Program; Studio in a School; Technology; Trip to Plimoth Plantation for seventh graders and Holiday Hills for eighth grade graduates",86.0,"English as a New Language, Transitional Bilingual Education: Spanish"
Amistad Dual Language School,Amistad Dual Language School,M311M,M311M,,"Field Day; Ice Skating Trip; LANG Program; Lang Youth Medical Program; NYC ROW; Prep for Prep; Senior Trip to Washington, DC; Specialized High School Admission Test Prep Program",86.0,"English as a New Language, Dual Language: Spanish"
James Weldon Johnson,James Weldon Johnson,M057S,M057S,.,Breakthrough New York Academic Program; Chorus; City Year After-School Program; Double Dutch; Drumline (Tiger Band Program); Flag Corps Team; Little Scholars Tutoring Program; Roads To Success AfterSchool Program,80.0,"English as a New Language, Dual Language: Spanish"
