gis_council_district,self_cert,work_type,permit_status,gis_nta_name,permit_subtype,category,count,avg_value,total_value,max_value
1.0,N,OT,ISSUED,SoHo-TriBeCa-Civic Center-Little Italy,OT,high_license,2,3962.0,7924.0,3962.0
26.0,,EQ,ISSUED,Hunters Point-Sunnyside-West Maspeth,FN,very_high_license,6,25099.0,150594.0,25099.0
3.0,N,PL,ISSUED,Hudson Yards-Chelsea-Flatiron-Union Square,,high_license,1,2042.0,2042.0,2042.0
37.0,N,PL,ISSUED,Bushwick North,,high_license,1,1223.0,1223.0,1223.0
8.0,Y,PL,ISSUED,Mott Haven-Port Morris,SD,standard_license,2,789.0,1578.0,789.0
20.0,N,SP,ISSUED,Flushing,SP,standard_license,1,860.0,860.0,860.0
39.0,N,OT,ISSUED,Park Slope-Gowanus,OT,very_high_license,1,614701.0,614701.0,614701.0
4.0,Y,EQ,ISSUED,Turtle Bay-East Midtown,OT,very_high_license,1,608211.0,608211.0,608211.0
26.0,,EQ,ISSUED,Hunters Point-Sunnyside-West Maspeth,,very_high_license,6,25099.0,150594.0,25099.0
24.0,,OT,ISSUED,Briarwood-Jamaica Hills,OT,standard_license,2,,,
