site_name,city,state_senate_district,service_setting_taxonomy,service_taxonomy,serves_food,rank,dense_rank
Petrides High School,staten island,24.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,3
Petrides High School,staten island,24.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,1,3
PAL Harlem Teen Center,new york,30.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,3,4
PAL Harlem Teen Center,new york,30.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,3,4
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
PAL Webster Teen Center,bronx,33.0,,"[""recreational services"",""arts and culture"",""mentoring""]",False,2,5
Manhattan,new york,26.0,,"[""restitution collections""]",False,3,1
Manhattan,new york,26.0,,"[""restitution collections""]",False,3,1
Manhattan,new york,26.0,,"[""restitution collections""]",False,3,1
Manhattan,new york,26.0,,"[""restitution collections""]",False,3,1
Arts Therapy - Bright Harp,jamaica,10.0,,,False,1,1
Arts Therapy - Bright Harp,jamaica,10.0,,,False,1,1
AAFE FLUSHING,flushing,11.0,,,False,1,2
Bangladeshi American Community Development and Yotuh Services,ozone park,15.0,,,False,1,3
"Bridge The Gap Youth, Inc.",brooklyn,17.0,,,False,1,4
All City Leadership Secondary School,brooklyn,18.0,"[""school""]",,False,1,5
All City Leadership Secondary School,brooklyn,18.0,"[""school""]",,False,1,5
East New York,brooklyn,19.0,,,False,1,6
Achievement First Brownsville Charter School,brooklyn,19.0,"[""school""]",,False,1,6
"Biobus, Inc",brooklyn,21.0,,,False,1,7
Project Hospitality Drop-in,staten island,23.0,,,False,1,8
Academy of Arts and Letters,brooklyn,25.0,"[""school""]",,False,1,9
Asian Americans For Equality,new york,26.0,,,False,3,10
301 Henry Street Youth Center,new york,26.0,,,False,3,10
Urban Justice Center - HQ,new york,26.0,"[""clinical - outpatient""]",,False,1,10
The Legal Aid Society,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Urban Justice Center - HQ,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
The Legal Aid Society,new york,26.0,,,False,3,10
The Legal Aid Society,new york,26.0,,,False,3,10
Urban Justice Center - HQ,new york,26.0,"[""clinical - outpatient""]",,False,1,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
The Legal Aid Society,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
The Legal Aid Society,new york,26.0,,,False,3,10
Center for Employment Opportunities,new york,26.0,,,False,3,10
The Legal Aid Society,new york,26.0,,,False,3,10
Urban Justice Center - HQ,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Arab American Family Support Center,brooklyn,26.0,,,False,1,10
Asian Americans For Equality,new york,26.0,,,False,3,10
Bronx Charter School for Children,bronx,29.0,,,False,2,11
Bronx,bronx,29.0,,,False,2,11
Harlem,new york,30.0,,,False,3,12
Bameso USA,new york,31.0,,,False,3,13
Bameso USA,new york,31.0,,,False,3,13
Bronx,bronx,32.0,,,False,2,14
Bronx,bronx,32.0,,,False,2,14
"BronxWorks, Inc.",bronx,33.0,,,False,2,15
Bronx,bronx,33.0,,,False,2,15
NYC Business Solutions Bronx Center,bronx,34.0,,,False,2,16
MONTEFIORE MEDICAL CENTER_Bronx,bronx,34.0,,,False,2,16
MONTEFIORE MEDICAL CENTER_Bronx,bronx,34.0,,,False,2,16
Works Plus North,bronx,36.0,,,False,1,17
East New York,brooklyn,,,,False,1,18
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",False,2,1
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",False,2,1
Therapeutic services - 101 Precinct,far rockaway,10.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,1,1
Therapeutic services - 79 Precinct,brooklyn,25.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,1,2
Thurgood Marshall Academy for Learning and Social Change,new york,30.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,3,3
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,2,4
Therapeutic services - 48 Precinct,bronx,33.0,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,2,4
Queens - LIC,long island city,12.0,,"[""case management"",""individual advocacy"",""individual client outreach""]",False,1,1
Brooklyn Justice Initiatives,brooklyn,25.0,,"[""case management"",""individual advocacy"",""individual client outreach""]",False,1,2
NYC office,new york,26.0,,"[""case management"",""individual advocacy"",""individual client outreach""]",False,3,3
NYC office,new york,26.0,,"[""case management"",""individual advocacy"",""individual client outreach""]",False,3,3
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Bronx Family Justice Center,bronx,32.0,,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,2,1
Brooklyn office,brooklyn,21.0,,"[""outreach"",""community advocacy"",""community engagement"",""supportive services""]",False,1,1
Brooklyn office,brooklyn,26.0,,"[""outreach"",""community advocacy"",""community engagement"",""supportive services""]",False,1,2
46 Precinct (Bronx),bronx,33.0,,"[""client evaluation/assessment"",""case conferencing"",""intake"",""individual advocacy"",""counseling"",""crisis intervention/management"",""mental health services""]",False,2,1
46 Precinct (Bronx),bronx,33.0,,"[""client evaluation/assessment"",""case conferencing"",""intake"",""individual advocacy"",""counseling"",""crisis intervention/management"",""mental health services""]",False,2,1
Medgar Evers College,brooklyn,20.0,,"[""outreach"",""community advocacy"",""training"",""legal services""]",False,1,1
