queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,bin,queens_cooperatives_comparable_properties_gross_income_per_sqft,total,count,average
4-02874-0055,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4065248.0,14.0,14.0,1,14.0
4-02874-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4065242.0,14.0,14.0,1,14.0
4-09665-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4453850.0,13.7,13.7,1,13.7
4-05025-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4113841.0,13.5,13.5,1,13.5
4-01727-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4431565.0,13.3,13.3,1,13.3
4-05302-0117,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4119923.0,13.08,13.08,1,13.08
4-02266-0100,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4052786.0,13.0,13.0,1,13.0
4-05146-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4116426.0,12.85,12.85,1,12.85
4-01946-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4431751.0,12.75,12.75,1,12.75
4-00579-0042,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4007112.0,12.64,12.64,1,12.64
4-02864-0017,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4064929.0,12.6,12.6,1,12.6
4-05122-0046,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4115401.0,12.4,12.4,1,12.4
4-08353-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4315314.0,12.0,12.0,1,12.0
4-08762-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4454685.0,12.0,12.0,1,12.0
4-11434-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4434846.0,11.82,11.82,1,11.82
4-09824-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4210164.0,11.8,11.8,1,11.8
4-08178-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4170057.0,11.75,11.75,1,11.75
4-04602-0119,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4104354.0,11.5,11.5,1,11.5
4-05002-0087,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4113180.0,11.1,11.1,1,11.1
4-09265-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4193459.0,11.0,11.0,1,11.0
4-01451-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4035712.0,11.0,11.0,1,11.0
4-11466-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4435022.0,7.7,7.7,1,7.7
