queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_market_value_per_sqft,nta,queens_cooperatives_comparable_properties_year_built,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_building_classification,row_num
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.7,Jackson Heights                                                            ,1956,11.0,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",51.0,Murray Hill                                                                ,1962,13.5,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",49.2,Murray Hill                                                                ,1951,13.08,C6-WALK-UP,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.3,Flushing                                                                   ,1966,12.85,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",46.6,Flushing                                                                   ,1962,12.4,D4-ELEVATOR,2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",39.1,Flushing                                                                   ,1937,11.1,D4-ELEVATOR,3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.5,Astoria                                                                    ,1971,12.64,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",42.4,Glen Oaks-Floral Park-New Hyde Park                                        ,1950,12.0,C6-WALK-UP,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,1963,14.04,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.0,Corona                                                                     ,1962,12.75,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",41.7,Lindenwood-Howard Beach                                                    ,1962,11.82,D4-ELEVATOR,1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",23.62,Lindenwood-Howard Beach                                                    ,1958,7.7,C6-WALK-UP,2
