queens_cooperatives_comparable_properties_address,nta,queens_cooperatives_comparable_properties_year_built,category,count,avg_value,total_value,max_value
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Jamaica                                                                    ,1962,medium value per sqft,1,41.6,41.6,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Lindenwood-Howard Beach                                                    ,1958,low value per sqft,1,23.62,23.62,23.62
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Whitestone                                                                 ,1958,medium value per sqft,1,40.5,40.5,40.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,1963,medium value per sqft,1,56.0,56.0,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Ft. Totten-Bay Terrace-Clearview                                           ,1957,medium value per sqft,1,58.0,58.0,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Rego Park                                                                  ,1963,medium value per sqft,1,55.0,55.0,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Douglas Manor-Douglaston-Little Neck                                       ,1952,medium value per sqft,1,42.3,42.3,42.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Flushing                                                                   ,1937,low value per sqft,1,39.1,39.1,39.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Murray Hill                                                                ,1951,medium value per sqft,1,49.2,49.2,49.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1949,high value per sqft,1,62.0,62.0,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Forest Hills                                                               ,1960,medium value per sqft,1,48.8,48.8,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Murray Hill                                                                ,1962,medium value per sqft,1,51.0,51.0,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Rego Park                                                                  ,1964,medium value per sqft,1,56.0,56.0,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Corona                                                                     ,1962,medium value per sqft,1,48.0,48.0,48.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Briarwood-Jamaica Hills                                                    ,1955,medium value per sqft,1,54.0,54.0,54.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",Astoria                                                                    ,1971,medium value per sqft,1,47.5,47.5,47.5
