location_name,location_code,managed_by_name,grades_text,school_support_team_leader_name,category,count,avg_value,total_value,max_value
River East Elementary,M037,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Stephen T. Mather Building Arts & Craftsmanship Hi,M139,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 071 Rose E. Scala,X071,DOE,"0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
P.S. 315 Lab School,X315,DOE,"0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
Success Academy Charter School - Williamsburg,K182,Charter,"PK,0K,01,02,03,04,05,06",,post_2017,1,2018.0,2018,2018
P.S. 032 Belmont,X032,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Transit Tech Career and Technical Education High S,K615,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Comprehensive Model School Project M.S. 327,X327,DOE,"06,07,08,09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
New Utrecht High School,K445,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Riverdale / Kingsbridge Academy (Middle School / H,X141,DOE,"06,07,08,09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 161 The Crown,K161,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Gotham Professional Arts Academy,K594,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 273,Q273,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
Red Hook Neighborhood School,K676,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
High School for Violin and Dance,X543,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Middle School 322,M322,DOE,"06,07,08,SE",,post_2017,1,2018.0,2018,2018
Bronxdale High School,X508,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
New Bridges Elementary,K532,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S./M.S. 194,X194,DOE,"0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
Bronx High School for the Visual Arts,X418,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 273 Wortman,K273,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S. 086 Kingsbridge Heights,X086,DOE,"PK,0K,01,02,03,04,05,06,SE",,post_2017,1,2018.0,2018,2018
High School for Public Service: Heroes of Tomorrow,K546,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
Bronx Delta School,X392,DOE,"PK,0K,01,02,03,SE",,post_2017,1,2018.0,2018,2018
Bronx Health Sciences High School,X249,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 041 Greenwich Village,M041,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
High School for Health Careers and Sciences,M468,DOE,"09,10,11,12,SE",,post_2017,1,2018.0,2018,2018
P.S. 076 A. Philip Randolph,M076,DOE,"PK,0K,01,02,03,04,05,06,07,08,SE",,post_2017,1,2018.0,2018,2018
P.S. 130 The Parkside,K130,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S. 189,M189,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
J.H.S. 125 Henry Hudson,X125,DOE,"06,07,08,SE",,post_2017,1,2018.0,2018,2018
I.S. 289,M289,DOE,"06,07,08,SE",,post_2017,1,2018.0,2018,2018
P.S. 153 Helen Keller,X153,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
P.S. 067 Charles A. Dorsey,K067,DOE,"PK,0K,01,02,03,04,05,SE",,post_2017,1,2018.0,2018,2018
