engroupa,avgofprop_n,nypd_site_name,schools_in_building,nocrim_n,latitude,longitude,rank,dense_rank
4C,0.75,PS 190K,P.S. 194 Raoul Wallenberg,3.0,40.579451,-73.943819,2,3
4C,0.75,IS 142K,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,3.0,40.705204,-73.939407,2,3
4C,0.75,MS 17M,P.S. 020 Anna Silver,5.0,40.718895,-73.979308,1,3
4C,0.75,IS 7R,P.S. 018 John G. Whittier,0.0,40.631523,-74.144297,10,3
4C,0.75,PS 019K,Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,1.0,40.709647,-73.95465,6,3
4C,0.75,PS 077K,EBC High School for Public Service - Bushwick,0.0,40.695332,-73.969243,10,3
4C,0.75,PS 029K,P.S. 031 Samuel F. Dupont,0.0,40.726587,-73.95427,10,3
4C,0.75,IS 218M,"East Side Elementary School, PS 267",0.0,40.70644,-74.017818,10,3
4C,0.75,IS 218M,P.S./I.S. 217 Roosevelt Island,0.0,40.70644,-74.017818,10,3
5C,0.98,NEW UTRECHT HS,Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION,23.0,40.685004,-73.947152,1,4
5C,0.98,PS 277K,P.S. 282 Park Slope,7.0,40.667377,-73.908214,2,4
5C,0.98,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,3,4
5C,0.98,PS 076M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,3,4
5C,0.98,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,3,4
5C,0.98,JHS 168Q,P.S. 173 Fresh Meadows,0.0,40.685492,-73.729982,7,4
5C,0.98,NEW UTRECHT HS,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION ,,40.685004,-73.947152,8,4
5C,0.98,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,4
5C,0.98,PS 075M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,4
5C,0.98,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,4
5C,0.98,PS 076M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,3,4
5C,0.98,PS 075M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,4
6C,1.39,IS 008Q,P.S. 011 Kathryn Phelan,0.0,40.74056,-73.854131,1,5
7C,1.72,PS 102K,P.S./I.S. 104 The Fort Hamilton School,4.0,40.618415,-74.028842,1,6
9C,2.55,PAL AUXILARY SERVICES,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,20.0,40.633237,-73.952929,1,7
9C,2.55,THURGOOD MARSHALL ACADEMY,I.S. 5 - The Walter Crowley Intermediate School,4.0,40.69719,-73.787192,2,7
10C,3.63,The Cinema School,"Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION",50.0,40.860043,-73.888267,1,8
2C,,PS 075M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,9
2C,,PS 034K,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,,40.681896,-73.935963,8,9
2C,,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,,40.738548,-73.982455,8,9
2C,,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,2,9
2C,,PS 076M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,2,9
3C,,JHS 013M,P.S. 015 Roberto Clemente,1.0,40.761448,-73.988019,6,9
3C,,JHS 013M,P.S. 015 Roberto Clemente,1.0,40.761448,-73.988019,6,9
2C,,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,2,9
2C,,PS 076M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,40.789526,-73.967574,2,9
2C,,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,,40.594124,-73.937696,8,9
2C,,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,9
2C,,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,,40.691146,-73.868328,8,9
2C,,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,,40.691146,-73.868328,8,9
6C,,PS 219K MAIN,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2,9
6C,,PS 219K MAIN,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2,9
6C,,IS 218K,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2,9
2C,,PS 075M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,9
2C,,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,,40.594124,-73.937696,8,9
2C,,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,,40.594124,-73.937696,8,9
2C,,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,,40.789526,-73.967574,8,9
2C,,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,,40.594124,-73.937696,8,9
,,JOHN F. KENNEDY HS,Bronx Haven High School |  Bronx Design and Construction Academy |  Alfred E. Smith Campus YABC |  Alfred E. Smith Career and Technical Education Hig |  333 EAST 151 STREET CONSOLIDATED LOCATION,,40.818232,-73.919867,1,9
4C,,PS 075K,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,1.0,40.621224,-73.91287,6,9
2C,,PS 307K,P.S. 309 The George E. Wibecan Preparatory Academy |Excellence Girls Charter School |794 MONROE STREET CONSOLIDATED LOCATION,,40.688419,-73.924833,8,9
