type,hotspot_count,latitude,longitude,latitude,longitude,location,location,ntacode
Free,1,40.8029842296,-73.9678553303,40.8029842296,-73.9678553303,300 WEST 108 STREET,300 WEST 108 STREET,MN09
Free,1,40.8072958097,-73.9646455504,40.8072958097,-73.9646455504,2939 BROADWAY,2939 BROADWAY,MN09
Free,1,40.7986462699,-73.9414215295,40.7986462699,-73.9414215295,145 EAST 116 STREET,145 EAST 116 STREET,MN34
Free,1,40.797148,-73.9696300005,40.797148,-73.9696300005,219 WEST 100 STREET,219 WEST 100 STREET,MN12
Free,1,40.7427700859,-74.0017175673,40.7427700859,-74.0017175673,18th between 8th and 9th,18th between 8th and 9th,MN13
Free,1,40.796138,-73.970931,40.796138,-73.970931,2601 BROADWAY,2601 BROADWAY,MN12
Limited Free,1,40.6574519997,-73.9639909997,40.6574519997,-73.9639909997,Skate Rental Area,Skate Rental Area,BK99
Limited Free,1,40.7720050003,-73.9823840006,40.7720050003,-73.9823840006,Park Area at W63rd & Columbus,Park Area at W63rd & Columbus,MN14
Free,1,40.7438912097,-73.9833700403,40.7438912097,-73.9833700403,101 EAST 29 STREET,101 EAST 29 STREET,MN20
Limited Free,1,40.8377000004,-73.9084800001,40.8377000004,-73.9084800001,FRNT OF BASKET BALL COURT N/O E 170TH ST,FRNT OF BASKET BALL COURT N/O E 170TH ST,BX99
Free,1,40.7404654556,-73.9933569112,40.7404654556,-73.9933569112,40 WEST 20 STREET,40 WEST 20 STREET,MN13
Free,1,40.7036540004,-73.9426819995,40.7036540004,-73.9426819995,61 AVENUE OF PUERTO RICO,61 AVENUE OF PUERTO RICO,BK90
Free,1,40.6735340004,-73.982789,40.6735340004,-73.982789,304 5 AVENUE,304 5 AVENUE,BK37
Free,1,40.7809927904,-73.9815226701,40.7809927904,-73.9815226701,2135 BROADWAY,2135 BROADWAY,MN12
Free,1,40.6510267597,-73.9465128704,40.6510267597,-73.9465128704,3301 CHURCH AVE,3301 CHURCH AVE,BK95
Free,1,40.7724771003,-73.9587668404,40.7724771003,-73.9587668404,1330 3 AVENUE,1330 3 AVENUE,MN40
Free,1,40.7660599997,-73.9635540005,40.7660599997,-73.9635540005,1132 3 AVENUE,1132 3 AVENUE,MN40
Free,1,40.8075079996,-73.9644880005,40.8075079996,-73.9644880005,2943 BROADWAY,2943 BROADWAY,MN09
Free,1,40.7509655202,-73.9741480605,40.7509655202,-73.9741480605,675 3 AVENUE,675 3 AVENUE,MN19
Free,1,40.810178,-73.9489240003,40.810178,-73.9489240003,Pole 49: 126NS2E8av,Pole 49: 126NS2E8av,MN03
Free,1,40.7541882302,-73.9293986402,40.7541882302,-73.9293986402,36-35 33 STREET,36-35 33 STREET,QN68
Free,1,40.7611419703,-73.9830902797,40.7611419703,-73.9830902797,777 7 AVENUE,777 7 AVENUE,MN17
Free,1,40.7622461604,-73.9862930105,40.7622461604,-73.9862930105,825 8 AVENUE,825 8 AVENUE,MN15
Free,1,40.8062866423,-73.9179551832,40.8062866423,-73.9179551832,211 ST ANN'S AVENUE,211 ST ANN'S AVENUE,BX39
Free,1,40.8048000002,-73.9443,40.8048000002,-73.9443,Amphitheater,Amphitheater,MN34
Free,1,40.6900723003,-73.9823248003,40.6900723003,-73.9823248003,1 Dekalb Ave.,1 Dekalb Ave.,BK38
Limited Free,3,40.5786309996,-74.0768009998,40.5786309996,-74.0768009998,Along Boardwalk and Beach,Along Boardwalk and Beach,SI36
