bin__,total_est_fee_sum,job_status,job_status_descrp,latest_action_date,owner_s__phone__
5155571,600.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00,6099242262
1088870,1600.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00,2124881645
5164798,263.6,P,PLAN EXAM - APPROVED                    ,08/25/2017 00:00:00,7189660303
4223565,400.0,D,APPLICATION PROCESSED - ENTIRE          ,08/16/2017 00:00:00,5163265353
4146186,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/16/2017 00:00:00,5163265353
4077915,160.6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00,7189077555
1081009,698.0999999999999,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00,2122576600
4223565,200.0,D,APPLICATION PROCESSED - ENTIRE          ,08/15/2017 00:00:00,5163265353
4146186,300.0,D,APPLICATION PROCESSED - ENTIRE          ,08/15/2017 00:00:00,5163265353
4238738,150.3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00,5164292244
4208831,400.0,R,PLAN EXAM - DISAPPROVED                 ,09/12/2017 00:00:00,2124881645
1022646,240.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/06/2017 00:00:00,9176475509
1007605,200.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00,2122161796
1088870,400.0,R,APPLICATION PROCESSED - ENTIRE          ,10/03/2017 00:00:00,2124881645
4223565,600.0,D,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00,5163265353
4223565,400.0,D,APPLICATION PROCESSED - ENTIRE          ,08/25/2017 00:00:00,5163265353
1085682,300.6,J,PLAN EXAM - DISAPPROVED                 ,08/03/2017 00:00:00,2122576600
4208831,400.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/12/2017 00:00:00,2124881645
4238738,150.3,D,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00,5164292244
3327490,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/26/2017 00:00:00,9142888100
1057837,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00,2128698580
4169382,120.0,J,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00,2123769300
3078952,201.8,P,PLAN EXAM - APPROVED                    ,09/28/2017 00:00:00,9176998693
5162340,341.8,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00,7189831100
3088276,240.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00,6306238437
1088841,420.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00,2122576600
2057273,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/25/2017 00:00:00,5163265353
1081009,698.0999999999999,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00,2122576600
3088276,120.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/11/2017 00:00:00,6306238437
2057273,600.0,D,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00,5163265353
4223565,400.0,D,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00,5163265353
4440113,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/03/2017 00:00:00,7182246300
1090374,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/06/2017 00:00:00,2125639290
2057273,900.0,D,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00,5163265353
4169382,120.0,J,PLAN EXAM - APPROVED                    ,10/03/2017 00:00:00,2123769300
1088870,800.0,R,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00,2124881645
4111794,400.0,D,APPLICATION PROCESSED - ENTIRE          ,08/16/2017 00:00:00,5163265353
4111794,400.0,D,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00,5163265353
4208831,200.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00,2124881645
1057837,100.0,D,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00,2128698580
3414141,800.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00,7182737575
1087616,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00,2125642246
1088841,420.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00,2122576600
2057273,600.0,D,APPLICATION PROCESSED - ENTIRE          ,08/16/2017 00:00:00,5163265353
2057273,300.0,D,APPLICATION PROCESSED - ENTIRE          ,08/15/2017 00:00:00,5163265353
3424339,100.0,P,PLAN EXAM - APPROVED                    ,08/01/2017 00:00:00,2126499400
1035335,100.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00,2126970696
4448939,2208.0,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00,5164727880
1089782,397.5,D,APPLICATION PROCESSED - ENTIRE          ,07/28/2017 00:00:00,2124218100
5150289,150.3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/25/2017 00:00:00,7184940717
3128805,600.0,R,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00,7184754736
1085682,300.6,J,PLAN EXAM - DISAPPROVED                 ,08/29/2017 00:00:00,2122576600
4223565,200.0,D,APPLICATION PROCESSED - ENTIRE          ,09/08/2017 00:00:00,5163265353
