program_name,ecers_observation_average_score,class_instructional_support_score,strong_family_community_ties_survey_percent_positive,class_classroom_organization_score,trust_survey_percent_positive,rank,dense_rank
ACE Early Childhood Center,3.7,2.1,0.94,5.8,0.99,1,3
ACE Early Childhood Center,3.7,2.1,0.94,5.8,1.0,1,4
ACE Early Childhood Center,3.7,2.1,0.94,5.8,1.0,1,4
ACE Early Childhood Center,3.7,2.1,0.94,5.8,,1,5
Bushwick United HDFC 2,3.1,2.9,0.98,6.3,0.76,1,1
Bushwick United HDFC 2,3.1,2.9,0.98,6.3,0.98,1,2
Bushwick United HDFC 2,3.1,2.9,0.98,6.3,1.0,1,3
Bushwick United HDFC 2,3.1,2.9,0.98,6.3,1.0,1,3
P.S. 136 Roy Wilkins,5.4,2.9,0.99,4.9,1.0,1,1
Riverdale Avenue Community School,3.9,4.2,0.93,6.4,0.83,1,1
Riverdale Avenue Community School,3.9,4.2,0.93,6.4,0.95,1,2
P.S. 153 Maspeth Elem,4.6,3.0,1.0,6.8,1.0,1,1
Boulevard Nursery School,3.9,3.0,,5.2,0.87,1,1
Boulevard Nursery School,3.9,3.0,,5.2,0.91,1,2
Boulevard Nursery School,3.9,3.0,,5.2,1.0,1,3
Boulevard Nursery School,3.9,3.0,,5.2,,1,4
Stuyvesant Heights Day Care/New Vision One,4.1,3.1,0.96,6.3,1.0,1,1
Stuyvesant Heights Day Care/New Vision One,4.1,3.1,0.96,6.3,1.0,1,1
Barkai Yeshivah,4.5,1.8,1.0,5.1,0.91,1,1
Barkai Yeshivah,4.5,1.8,1.0,5.1,0.94,1,2
Barkai Yeshivah,4.5,1.8,1.0,5.1,0.99,1,3
Barkai Yeshivah,4.5,1.8,1.0,5.1,1.0,1,4
Barkai Yeshivah,4.5,1.8,1.0,5.1,,1,5
P.S. 75 Mayda Cortiella,4.1,3.3,0.81,6.9,0.87,1,1
P.S. 75 Mayda Cortiella,4.1,3.3,0.81,6.9,0.98,1,2
P.S. 75 Mayda Cortiella,4.1,3.3,0.81,6.9,0.99,1,3
P.S. 75 Mayda Cortiella,4.1,3.3,0.81,6.9,1.0,1,4
Saint Marks,3.9,2.9,0.92,5.6,0.95,1,1
Saint Marks,3.9,2.9,0.92,5.6,1.0,1,2
Saint Marks,3.9,2.9,0.92,5.6,,1,3
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,0.81,1,1
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,0.92,1,2
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,0.92,1,2
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,0.99,1,3
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,1.0,1,4
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,1.0,1,4
The Maurice Sendak Community School,3.7,3.4,0.98,6.7,,1,5
All My Children Day Care 10,3.5,2.5,0.92,5.2,0.98,1,1
All My Children Day Care 10,3.5,2.5,0.92,5.2,1.0,1,2
All My Children Day Care 10,3.5,2.5,0.92,5.2,,1,3
P.S. 146 Ann M. Short,3.4,2.1,,6.9,0.97,1,1
P.S. 146 Ann M. Short,3.4,2.1,,6.9,,1,2
P.S. 178 Saint Clair Mckelway,4.0,,0.96,,0.98,1,1
P.S. 178 Saint Clair Mckelway,4.0,,0.96,,0.99,1,2
P.S. 178 Saint Clair Mckelway,4.0,,0.96,,,1,3
P.S. 178 Saint Clair Mckelway,4.0,,0.96,,,1,3
Smart Start Early Childhood Center,5.1,2.8,0.94,5.8,0.9,1,1
Smart Start Early Childhood Center,5.1,2.8,0.94,5.8,0.94,1,2
Smart Start Early Childhood Center,5.1,2.8,0.94,5.8,0.97,1,3
Smart Start Early Childhood Center,5.1,2.8,0.94,5.8,0.99,1,4
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,0.81,1,1
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,0.92,1,2
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,0.92,1,2
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,0.99,1,3
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,1.0,1,4
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,1.0,1,4
"Al Madinah School, Inc.",4.6,2.2,0.9,6.0,,1,5
P.S. 102 Bayview,5.3,3.4,0.97,6.6,1.0,1,1
P.S. 130 Hernando De Soto,4.5,3.1,0.91,6.3,0.98,1,1
P.S. 130 Hernando De Soto,4.5,3.1,0.91,6.3,,1,2
P.S. 193 Gil Hodges,3.5,3.2,0.95,6.9,1.0,1,1
Yeshiva Jesode Hatorah,4.7,2.3,0.98,5.4,1.0,1,1
P.S. 174 William Sidney Mount,5.2,3.8,0.92,6.7,0.98,1,1
P.S. 234,5.6,3.1,0.93,6.6,0.99,1,1
Kathy's Day Care,4.1,3.0,0.88,6.3,1.0,1,1
P.S. 126 Jacob August Riis,3.8,2.1,0.95,6.4,1.0,1,1
P.S. 129 Patricia Larkin,4.2,3.9,0.96,6.6,0.99,1,1
KESHET LEARNING CENTER,5.1,2.7,0.99,6.3,0.95,1,1
KESHET LEARNING CENTER,5.1,2.7,0.99,6.3,1.0,1,2
P.S. 111 Adolph S. Ochs,3.3,3.2,0.94,6.5,1.0,1,1
P.S. 175 Henry H Garnet,2.8,2.7,0.92,4.5,0.89,1,1
P.S. 230 Doris L. Cohen,3.9,4.2,0.96,6.9,0.99,1,1
P.S. 230 Doris L. Cohen,3.9,4.2,0.96,6.9,1.0,1,2
P.S. 31 Samuel F. Dupont,4.8,,0.94,,0.95,1,1
P.S. 31 Samuel F. Dupont,4.8,,0.94,,0.98,1,2
P.S. 31 Samuel F. Dupont,4.8,,0.94,,1.0,1,3
P.S. 31 Samuel F. Dupont,4.8,,0.94,,,1,4
P.S. 6 Corporal Allan F. Kivlehan School,5.1,3.1,,6.2,0.86,1,1
P.S. 6 Corporal Allan F. Kivlehan School,5.1,3.1,,6.2,,1,2
P.S. 73 Bronx,3.6,2.3,0.94,6.1,1.0,1,1
