t2_fullapplicationno,fullapplicationno,applicationdate,t5_applicationdate,trailerstate,endcity,category,count,avg_value,total_value,max_value
HAR-2023921-31753,HAR-2023921-31753,2023-09-22 00:35:15+08:00,2023-09-22 00:35:15+08:00,NJ,MANHATTAN,standard,1,117950.0,117950,117950
HAR-20221213-49423,HAR-20221213-49423,2022-12-13 23:00:51+08:00,2022-12-13 23:00:51+08:00,NJ,MANHATTAN,heavy,1,151400.0,151400,151400
Joh2-2021122-37528,Joh2-2021122-37528,2021-12-02 16:46:23+08:00,2021-12-02 16:46:23+08:00,GA,BROOKLYN,standard,1,56834.0,56834,56834
209-2023124-3411,209-2023124-3411,2023-01-24 21:23:31+08:00,2023-01-24 21:23:31+08:00,GA,MANHATTAN,standard,1,75000.0,75000,75000
New-202254-17117,New-202254-17117,2022-05-05 03:52:55+08:00,2022-05-05 03:52:55+08:00,ON,,standard,1,33000.0,33000,33000
Eli-2023228-9584,Eli-2023228-9584,2023-03-01 02:03:23+08:00,2023-03-01 02:03:23+08:00,WA,,standard,1,36500.0,36500,36500
Blu-2023320-12589,Blu-2023320-12589,2023-03-20 20:14:36+08:00,2023-03-20 20:14:36+08:00,PA,Brooklyn,standard,1,53080.0,53080,53080
Blu-2021927-29244,Blu-2021927-29244,2021-09-27 18:53:18+08:00,2021-09-27 18:53:18+08:00,PA,brooklyn,standard,1,53080.0,53080,53080
BAR-2021719-20382,BAR-2021719-20382,2021-07-20 06:33:24+08:00,2021-07-20 06:33:24+08:00,AL,,standard,1,57000.0,57000,57000
Cen1-202182-21917,Cen1-202182-21917,2021-08-02 15:40:54+08:00,2021-08-02 15:40:54+08:00,GA,New York,standard,1,24350.0,24350,24350
Con3-20221020-41624,Con3-20221020-41624,2022-10-20 22:16:08+08:00,2022-10-20 22:16:08+08:00,NY,Bronx,standard,1,55000.0,55000,55000
HAR-2022510-17734,HAR-2022510-17734,2022-05-10 16:06:33+08:00,2022-05-10 16:06:33+08:00,NJ,MANHATTAN,standard,1,110800.0,110800,110800
HAR-2022929-38008,HAR-2022929-38008,2022-09-29 16:38:26+08:00,2022-09-29 16:38:26+08:00,NJ,MANHATTAN,standard,1,117950.0,117950,117950
Mut-2023428-18687,Mut-2023428-18687,2023-04-28 23:01:31+08:00,2023-04-28 23:01:31+08:00,PA,,standard,1,49000.0,49000,49000
SP-2022110-713,SP-2022110-713,2022-01-10 21:05:05+08:00,2022-01-10 21:05:05+08:00,PA,Staten Island,standard,1,67000.0,67000,67000
HAR-2023315-12021,HAR-2023315-12021,2023-03-15 22:33:39+08:00,2023-03-15 22:33:39+08:00,NJ,,standard,1,58000.0,58000,58000
Mut-202346-15454,Mut-202346-15454,2023-04-07 01:11:02+08:00,2023-04-07 01:11:02+08:00,NY,,standard,1,35000.0,35000,35000
Jac-2022322-10187,Jac-2022322-10187,2022-03-22 20:44:26+08:00,2022-03-22 20:44:26+08:00,PA,MANHATTAN,standard,1,44197.0,44197,44197
Wes-2023117-2241,Wes-2023117-2241,2023-01-17 23:59:04+08:00,2023-01-17 23:59:04+08:00,ME,BROOKLYN,standard,1,79000.0,79000,79000
UNT2-202214-152,UNT2-202214-152,2022-01-04 19:11:37+08:00,2022-01-04 19:11:37+08:00,PA,Queens,standard,1,55000.0,55000,55000
Hig-20211115-35781,Hig-20211115-35781,2021-11-15 21:23:03+08:00,2021-11-15 21:23:03+08:00,NH,,standard,1,45000.0,45000,45000
Amb-2021913-27230,Amb-2021913-27230,2021-09-13 19:32:07+08:00,2021-09-13 19:32:07+08:00,NJ,Brooklyn,standard,1,60000.0,60000,60000
HAR-202245-12283,HAR-202245-12283,2022-04-05 18:40:17+08:00,2022-04-05 18:40:17+08:00,NJ,,standard,1,78520.0,78520,78520
New-2022928-37920,New-2022928-37920,2022-09-28 23:45:33+08:00,2022-09-28 23:45:33+08:00,,BROOKLYN,heavy,1,156664.0,156664,156664
JAM-20221129-46794,JAM-20221129-46794,2022-11-29 18:50:30+08:00,2022-11-29 18:50:30+08:00,PA,,standard,1,32000.0,32000,32000
NJ-202322-5409,NJ-202322-5409,2023-02-03 03:26:53+08:00,2023-02-03 03:26:53+08:00,ME,,standard,1,41000.0,41000,41000
THE1-2021106-30623,THE1-2021106-30623,2021-10-06 21:40:25+08:00,2021-10-06 21:40:25+08:00,ME,,standard,1,40000.0,40000,40000
Edw-202278-26223,Edw-202278-26223,2022-07-09 00:16:54+08:00,2022-07-09 00:16:54+08:00,GA,Brooklyn,standard,1,47000.0,47000,47000
New-2022103-38706,New-2022103-38706,2022-10-04 01:37:40+08:00,2022-10-04 01:37:40+08:00,NY,,standard,1,49000.0,49000,49000
NJ-2022127-48556,NJ-2022127-48556,2022-12-08 02:55:03+08:00,2022-12-08 02:55:03+08:00,ME,MASPETH,standard,1,63300.0,63300,63300
Hig-2022318-9702,Hig-2022318-9702,2022-03-19 00:19:24+08:00,2022-03-19 00:19:24+08:00,NJ,,standard,1,40000.0,40000,40000
Com-2023428-18696,Com-2023428-18696,2023-04-29 01:35:32+08:00,2023-04-29 01:35:32+08:00,NJ,,standard,1,98566.0,98566,98566
New-2023929-32438,New-2023929-32438,2023-09-29 19:26:09+08:00,2023-09-29 19:26:09+08:00,ME,MANHATTAN,very_heavy,1,164380.0,164380,164380
New-2021812-23402,New-2021812-23402,2021-08-12 22:30:26+08:00,2021-08-12 22:30:26+08:00,NJ,BROOKLYN,very_heavy,1,161660.0,161660,161660
New-2023517-20862,New-2023517-20862,2023-05-18 00:35:24+08:00,2023-05-18 00:35:24+08:00,,MANHATTAN,heavy,1,158400.0,158400,158400
