facname,latitude,longitude,facgroup,latitude,longitude,overlevel,factype,total_xcoord
THE CORNER SCHOOL,40.7717573443,-73.8155863412,DAY CARE AND PRE-KINDERGARTEN,40.7717573443,-73.8155863412,City,DAY CARE,1035329.29584
CHINESE AMERICAN PLANNING COUNCIL INC,40.7571785496,-73.831266963,HUMAN SERVICES,40.7571785496,-73.831266963,City,SENIOR CENTER,1030996.28004
BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,0.0,0.0,CULTURAL INSTITUTIONS,0.0,0.0,,THEATER,0.0
LITTLE ONES,40.7443305688,-73.9569566783,DAY CARE AND PRE-KINDERGARTEN,40.7443305688,-73.9569566783,City,EARLY EDUCATION PROGRAM,996177.151165
G.V.C. LTD. (B2192),40.8382717188,-73.8415246987,TRANSPORTATION,40.8382717188,-73.8415246987,City,SCHOOL BUS DEPOT,1028101.0
NIA COMMUNITY SERVICES NETWORK INC,40.6349675557,-73.9822191676,YOUTH SERVICES,40.6349675557,-73.9822191676,City,SCHOOL'S OUT NEW YORK CITY (SONYC),3949892.842926
ST. MARY'S PARK,40.6757855782,-73.9975404994,PARKS AND PLAZAS,40.6757855782,-73.9975404994,City,PLAYGROUND,984932.220059
LOUIS HEATON PINK (5),40.6687691274,-73.8645659985,CHILD SERVICES AND WELFARE,40.6687691274,-73.8645659985,City,SUMMER ONLY FEEDING SITE,1021820.82908
THE YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION,40.7828763067,-73.9526290076,YOUTH SERVICES,40.7828763067,-73.9526290076,City,CITY COUNCIL AWARDS,997368.738724
"PS, THE SHORT FILM EXHIBITION INC.",40.7209133437,-73.9858647025,CULTURAL INSTITUTIONS,40.7209133437,-73.9858647025,City,"MULTI-DISCIPL, PERF & NON-PERF",988168.217475
BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,0.0,0.0,CULTURAL INSTITUTIONS,0.0,0.0,State,THEATER,0.0
JEWISH INSTITUTE OF QUEENS,40.7312218126,-73.8709582177,YOUTH SERVICES,40.7312218126,-73.8709582177,City,SCHOOL'S OUT NEW YORK CITY (SONYC),1020014.0424
PS 14 ANNEX,40.7427348866,-73.8767080353,CHILD SERVICES AND WELFARE,40.7427348866,-73.8767080353,City,FEEDING SITE,1018414.5727
CLINTON,40.7949335872,-73.9452804674,HUMAN SERVICES,40.7949335872,-73.9452804674,City,NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE EXPANSION,999401.070575
ST. FRANCIS THRIFT STORE TEXTILE DROP-OFF SITE,40.794604,-73.970956,SOLID WASTE,40.794604,-73.970956,City,TEXTILES,992291.916144
MIDTOWN COMMUNITY COURT,40.764879,-73.985455,JUSTICE AND CORRECTIONS,40.764879,-73.985455,City,COURTHOUSE,988279.124764
60TH STORAGE CORP.,40.761617,-73.965386,TRANSPORTATION,40.761617,-73.965386,City,COMMERCIAL GARAGE & PARKING LOT,993838.927616
GROWING UP GREEN CHARTER SCHOOL,40.7531210622,-73.9357059245,SCHOOLS (K-12),40.7531210622,-73.9357059245,City,K-8 SCHOOL - CHARTER,1002063.30782
MASBIA OF BORO PARK,0.0,0.0,HUMAN SERVICES,0.0,0.0,City,SOUP KITCHEN,0.0
MASBIA OF BORO PARK,0.0,0.0,HUMAN SERVICES,0.0,0.0,,SOUP KITCHEN,0.0
BAY RIDGE SUNSET PARK DIALYSIS CENTER,40.6455077087,-74.0238996982,HEALTH CARE,40.6455077087,-74.0238996982,State,DIAGNOSTIC AND TREATMENT CENTER,977617.655349
SUPERIOR PARKING LLC,40.771028,-73.948828,TRANSPORTATION,40.771028,-73.948828,City,COMMERCIAL GARAGE & PARKING LOT,998423.896624
INDOOR PARKING GARAGE,40.830136,-73.845255,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",40.830136,-73.845255,City,INDOOR PARKING GARAGE,1027074.0422
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,40.704689,-73.900902,HEALTH CARE,40.704689,-73.900902,State,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,1011726.03699
BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,0.0,0.0,CULTURAL INSTITUTIONS,0.0,0.0,City,THEATER,0.0
QUEENS CENTRAL REPAIR SHOP,40.735168,-73.909116,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",40.735168,-73.909116,City,VEHICLE MAINTENANCE,1009437.09271
"CREATE, INC. RR",40.8006793134,-73.9511172353,HEALTH CARE,40.8006793134,-73.9511172353,State,820 REHAB AND REINTEGRATION,997783.783439
DREAMYARD PROJECT INC,40.8282056722,-73.9090901612,YOUTH SERVICES,40.8282056722,-73.9090901612,City,CITY COUNCIL AWARDS,1009409.07489
BRONXCHESTER,40.819059011,-73.9113444872,CHILD SERVICES AND WELFARE,40.819059011,-73.9113444872,City,SUMMER ONLY FEEDING SITE,1008788.56864
NYU LANGONE PERLMUTTER CANCER CENTER-34TH STREET,40.7457188849,-73.9788265259,HEALTH CARE,40.7457188849,-73.9788265259,State,HOSPITAL EXTENSION CLINIC,990116.972199
"TENDER YEAR CHILDCARE, INC.",40.8379049668,-73.8343703648,DAY CARE AND PRE-KINDERGARTEN,40.8379049668,-73.8343703648,City,DAY CARE,1030080.89443
