property_floor_area_building,energy_star_certification_3,date_property_last_modified,district_steam_cost,national_median_site_energy,national_median_source_energy,national_median_energy_cost,rank,dense_rank
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
287400,False,04/29/2014 10:48 AM EDT,0,18278640,42563940,0,1,1
287400,False,04/29/2014 10:48 AM EDT,0,18278640,42563940,0,1,1
58000,False,04/29/2014 12:29 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
2346193,False,01/10/2014 06:08 AM EST,2133719.836,409176059.2,1018951620,13419748.81,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 10:48 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
157059,False,02/12/2014 05:32 AM EST,Not Available,21234376.8,34490156.4,0,1,1
63270,True,03/28/2014 12:57 PM EDT,Not Available,6358635,13609377,0,1,1
136000,False,04/22/2014 10:32 AM EDT,Not Available,8486400,17204000,0,1,1
90374,False,04/29/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
244534,False,04/30/2014 02:39 PM EDT,0,Not Available,36215485.4,Not Available,1,1
51750,False,09/15/2013 04:30 PM EDT,Not Available,3669075,11524725,0,10,1
615000,True,09/15/2013 04:30 PM EDT,0,75645000,181179000,0,9,2
50070,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
39667,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
194870,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
80754,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
192368,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
22033,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
85757,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
149955,False,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,1,3
102972,False,03/31/2014 08:04 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
83952,False,04/03/2014 12:37 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
85550,False,04/28/2014 06:20 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
90374,False,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,1,1
74545,False,03/31/2014 02:41 PM EDT,Not Available,Not Available,Not Available,Not Available,1,1
297836,False,04/07/2014 07:37 AM EDT,0,27162643.2,73893111.6,0,1,1
